devanagari,iast,slp1,count,pct,devanagari_halant,n_consonants,slot1,slot2,slot3,slot4,slot5
क्क,kk,kk,1135,0.0348,क्क्,2,95,185,377,370,108
क्क्र,kkr,kkr,59,0.0018,क्क्र्,3,1,6,19,30,3
क्क्ल,kkl,kkl,10,0.0003,क्क्ल्,3,0,0,7,2,1
क्क्व,kkv,kkv,3,0.0001,क्क्व्,3,0,1,2,0,0
क्क्ष,kkṣ,kkz,55,0.0017,क्क्ष्,3,0,6,30,18,1
क्ख,kkh,kK,7,0.0002,क्ख्,2,0,1,4,2,0
क्ख्य,kkhy,kKy,1,0.0,क्ख्य्,3,0,0,1,0,0
क्ङ,kṅ,kN,8,0.0002,क्ङ्,2,0,7,1,0,0
क्च,kc,kc,150,0.0046,क्च्,2,19,21,45,57,8
क्च्य,kcy,kcy,1,0.0,क्च्य्,3,0,0,1,0,0
क्छ,kch,kC,39,0.0012,क्छ्,2,0,15,13,9,2
क्छ्र,kchr,kCr,2,0.0001,क्छ्र्,3,0,1,0,1,0
क्ट,kṭ,kw,1,0.0,क्ट्,2,0,1,0,0,0
क्ट्व,kṭv,kwv,1,0.0,क्ट्व्,3,0,0,0,0,1
क्ठ,kṭh,kW,2,0.0001,क्ठ्,2,0,2,0,0,0
क्ण,kṇ,kR,48,0.0015,क्ण्,2,44,2,0,2,0
क्त,kt,kt,48172,1.4752,क्त्,2,4773,12920,13276,13240,3956
क्त्य,kty,kty,1973,0.0604,क्त्य्,3,121,353,495,628,375
क्त्र,ktr,ktr,1315,0.0403,क्त्र्,3,77,323,410,404,101
क्त्र्य,ktry,ktry,2,0.0001,क्त्र्य्,4,1,0,0,1,0
क्त्व,ktv,ktv,4209,0.1289,क्त्व्,3,337,1683,944,924,321
क्त्व्य,ktvy,ktvy,1,0.0,क्त्व्य्,4,1,0,0,0,0
क्थ,kth,kT,1034,0.0317,क्थ्,2,777,59,118,40,40
क्थ्न,kthn,kTn,32,0.001,क्थ्न्,3,4,1,24,3,0
क्थ्य,kthy,kTy,394,0.0121,क्थ्य्,3,360,6,9,3,16
क्ध्र,kdhr,kDr,1,0.0,क्ध्र्,3,0,0,0,1,0
क्न,kn,kn,542,0.0166,क्न्,2,161,231,95,31,23
क्न्य,kny,kny,11,0.0003,क्न्य्,3,6,0,4,1,0
क्प,kp,kp,696,0.0213,क्प्,2,58,88,223,262,65
क्प्र,kpr,kpr,274,0.0084,क्प्र्,3,40,51,96,73,14
क्प्ल,kpl,kpl,4,0.0001,क्प्ल्,3,0,0,4,0,0
क्फ,kph,kP,20,0.0006,क्फ्,2,0,4,11,5,0
क्म,km,km,896,0.0274,क्म्,2,315,265,179,61,76
क्म्य,kmy,kmy,12,0.0004,क्म्य्,3,12,0,0,0,0
क्य,ky,ky,7802,0.2389,क्य्,2,536,3684,1789,1226,563
क्र,kr,kr,38431,1.1769,क्र्,2,6513,13514,9072,7260,2066
क्र्ट,krṭ,krw,1,0.0,क्र्ट्,3,0,0,1,0,0
क्र्य,kry,kry,3,0.0001,क्र्य्,3,2,1,0,0,0
क्ल,kl,kl,3907,0.1196,क्ल्,2,297,1327,1327,668,284
क्ल्य,kly,kly,6,0.0002,क्ल्य्,3,0,1,3,2,0
क्व,kv,kv,4985,0.1527,क्व्,2,618,919,1645,1498,305
क्श,kś,kS,239,0.0073,क्श्,2,61,77,68,24,9
क्श्र,kśr,kSr,28,0.0009,क्श्र्,3,3,3,10,11,1
क्श्ल,kśl,kSl,4,0.0001,क्श्ल्,3,1,1,1,1,0
क्श्व,kśv,kSv,9,0.0003,क्श्व्,3,4,0,3,2,0
क्ष,kṣ,kz,102577,3.1412,क्ष्,2,23241,28886,23584,19800,7044
क्ष्ठ,kṣṭh,kzW,1,0.0,क्ष्ठ्,3,0,0,0,1,0
क्ष्ण,kṣṇ,kzR,2788,0.0854,क्ष्ण्,3,177,861,698,815,237
क्ष्ण्य,kṣṇy,kzRy,46,0.0014,क्ष्ण्य्,4,0,23,20,3,0
क्ष्म,kṣm,kzm,4080,0.1249,क्ष्म्,3,324,1661,933,903,259
क्ष्म्य,kṣmy,kzmy,221,0.0068,क्ष्म्य्,4,8,77,77,42,17
क्ष्म्र,kṣmr,kzmr,1,0.0,क्ष्म्र्,4,0,0,0,0,1
क्ष्य,kṣy,kzy,9479,0.2903,क्ष्य्,3,916,4028,2321,1695,518
क्ष्र,kṣr,kzr,1,0.0,क्ष्र्,3,0,0,0,1,0
क्ष्ल,kṣl,kzl,4,0.0001,क्ष्ल्,3,0,0,0,4,0
क्ष्व,kṣv,kzv,970,0.0297,क्ष्व्,3,182,485,175,88,40
क्स,ks,ks,1453,0.0445,क्स्,2,117,527,344,160,305
क्स्क,ksk,ksk,2,0.0001,क्स्क्,3,0,0,2,0,0
क्स्त,kst,kst,9,0.0003,क्स्त्,3,3,0,5,1,0
क्स्त्र,kstr,kstr,4,0.0001,क्स्त्र्,4,0,1,2,1,0
क्स्थ,ksth,ksT,39,0.0012,क्स्थ्,3,1,2,27,5,4
क्स्न,ksn,ksn,15,0.0005,क्स्न्,3,0,5,7,3,0
क्स्प,ksp,ksp,1,0.0,क्स्प्,3,0,1,0,0,0
क्स्फ,ksph,ksP,3,0.0001,क्स्फ्,3,0,0,2,1,0
क्स्म,ksm,ksm,2,0.0001,क्स्म्,3,0,1,1,0,0
क्स्य,ksy,ksy,5,0.0002,क्स्य्,3,0,0,2,2,1
क्स्र,ksr,ksr,72,0.0022,क्स्र्,3,6,12,42,9,3
क्स्व,ksv,ksv,30,0.0009,क्स्व्,3,5,1,12,10,2
ख्ख,khkh,KK,1,0.0,ख्ख्,2,1,0,0,0,0
ख्न,khn,Kn,6,0.0002,ख्न्,2,4,1,1,0,0
ख्य,khy,Ky,11935,0.3655,ख्य्,2,1272,3632,3134,2948,946
ख्र,khr,Kr,1,0.0,ख्र्,2,0,0,0,0,1
ख्व,khv,Kv,2,0.0001,ख्व्,2,1,0,1,0,0
ग्क,gk,gk,1,0.0,ग्क्,2,0,0,0,1,0
ग्ग,gg,gg,428,0.0131,ग्ग्,2,13,46,149,169,51
ग्ग्र,ggr,ggr,51,0.0016,ग्ग्र्,3,15,3,21,8,4
ग्ग्ल,ggl,ggl,1,0.0,ग्ग्ल्,3,0,0,0,1,0
ग्घ,ggh,gG,88,0.0027,ग्घ्,2,51,12,14,10,1
ग्घ्न,gghn,gGn,1,0.0,ग्घ्न्,3,0,0,1,0,0
ग्घ्य,gghy,gGy,11,0.0003,ग्घ्य्,3,10,0,0,0,1
ग्घ्र,gghr,gGr,7,0.0002,ग्घ्र्,3,2,3,0,1,1
ग्ज,gj,gj,184,0.0056,ग्ज्,2,8,72,44,52,5
ग्ज्ञ,gjñ,gjY,26,0.0008,ग्ज्ञ्,3,1,0,14,10,1
ग्ज्य,gjy,gjy,82,0.0025,ग्ज्य्,3,2,49,20,11,0
ग्ज्व,gjv,gjv,16,0.0005,ग्ज्व्,3,0,1,9,5,1
ग्ण,gṇ,gR,65,0.002,ग्ण्,2,8,36,9,8,4
ग्द,gd,gd,505,0.0155,ग्द्,2,62,78,178,159,28
ग्द्ध्व,gddhv,gdDv,1,0.0,ग्द्ध्व्,4,0,0,0,1,0
