devanagari,iast,slp1,count,pct,slot1,slot2,slot3,slot4,slot5
र्बा,rbā,rbA,188,0.0013,53,14,51,56,14
र्बि,rbi,rbi,87,0.0006,9,39,15,16,8
र्बी,rbī,rbI,71,0.0005,1,3,13,38,16
र्बु,rbu,rbu,688,0.0048,85,224,234,100,45
र्बू,rbū,rbU,8,0.0001,0,0,1,7,0
र्बृ,rbṛ,rbf,13,0.0001,4,1,5,3,0
र्बृं,rbṛṃ,rbfM,2,0.0,0,2,0,0,0
र्बो,rbo,rbo,99,0.0007,0,41,30,10,18
र्ब्र,rbra,rbra,129,0.0009,12,10,66,33,8
र्ब्रा,rbrā,rbrA,50,0.0003,8,5,19,10,8
र्ब्रु,rbru,rbru,2,0.0,1,1,0,0,0
र्ब्रू,rbrū,rbrU,11,0.0001,9,0,0,2,0
र्भ,rbha,rBa,3608,0.0252,716,631,994,968,298
र्भं,rbhaṃ,rBaM,423,0.003,160,105,80,54,24
र्भः,rbhaḥ,rBaH,234,0.0016,95,67,41,27,4
र्भा,rbhā,rBA,1676,0.0117,314,304,509,450,99
र्भां,rbhāṃ,rBAM,50,0.0003,5,17,12,13,3
र्भाः,rbhāḥ,rBAH,75,0.0005,57,7,7,3,1
र्भि,rbhi,rBi,1191,0.0083,260,380,229,231,91
र्भिं,rbhiṃ,rBiM,1,0.0,0,1,0,0,0
र्भिः,rbhiḥ,rBiH,254,0.0018,114,62,47,22,9
र्भी,rbhī,rBI,98,0.0007,14,25,17,37,2
र्भीं,rbhīṃ,rBIM,6,0.0,1,4,1,0,0
र्भु,rbhu,rBu,290,0.002,52,26,91,96,25
र्भू,rbhū,rBU,481,0.0034,36,112,196,87,50
र्भूं,rbhūṃ,rBUM,1,0.0,1,0,0,0,0
र्भूः,rbhūḥ,rBUH,7,0.0,0,0,4,3,0
र्भृ,rbhṛ,rBf,46,0.0003,4,15,12,11,4
र्भे,rbhe,rBe,687,0.0048,169,77,129,230,82
र्भै,rbhai,rBE,84,0.0006,51,5,11,7,10
र्भैः,rbhaiḥ,rBEH,42,0.0003,32,1,5,3,1
र्भो,rbho,rBo,433,0.003,133,75,131,73,21
र्भौ,rbhau,rBO,28,0.0002,17,4,3,4,0
