devanagari,iast,slp1,count,pct,slot1,slot2,slot3,slot4,slot5
अ,a,a,269327,1.8799,116998,72576,42146,25995,11551
अं,aṃ,aM,1115,0.0078,654,122,208,95,36
अः,aḥ,aH,18,0.0001,2,5,0,10,1
आ,ā,A,88212,0.6157,40043,22419,12841,8789,4104
आं,āṃ,AM,44,0.0003,21,0,3,18,2
आः,āḥ,AH,15,0.0001,5,0,3,7,0
इ,i,i,100374,0.7006,45974,23151,15012,11527,4686
इं,iṃ,iM,15,0.0001,1,0,0,14,0
ई,ī,I,4403,0.0307,1569,1113,787,651,283
ईं,īṃ,IM,100,0.0007,82,0,2,3,13
उ,u,u,80759,0.5637,33124,23512,12407,7351,4353
उं,uṃ,uM,2,0.0,0,0,0,2,0
उः,uḥ,uH,4,0.0,1,3,0,0,0
ऊ,ū,U,6436,0.0449,3291,997,1033,679,436
ऊं,ūṃ,UM,1595,0.0111,540,19,114,782,140
ऋ,ṛ,f,11494,0.0802,5847,2942,1637,627,441
ऋं,ṛṃ,fM,2,0.0,0,0,0,0,2
ॠ,ṝ,F,10,0.0001,0,3,3,3,1
ॠं,ṝṃ,FM,2,0.0,0,0,0,0,2
ऌ,ḷ,x,2,0.0,2,0,0,0,0
ए,e,e,92426,0.6451,45587,20418,12753,9259,4393
एं,eṃ,eM,1,0.0,0,0,0,0,1
ऐ,ai,E,2509,0.0175,1477,416,293,209,114
ऐं,aiṃ,EM,54,0.0004,0,0,0,35,19
ऐः,aiḥ,EH,2,0.0,2,0,0,0,0
ओ,o,o,3304,0.0231,2517,270,272,152,92
ओं,oṃ,oM,221,0.0015,47,29,43,18,84
ओः,oḥ,oH,2,0.0,0,2,0,0,0
औ,au,O,1678,0.0117,649,297,341,206,183
औं,auṃ,OM,5,0.0,1,0,0,3,1
क्,k,k,5154,0.036,1504,1164,1183,1063,240
क,ka,ka,158069,1.1033,19510,43443,42844,39880,12353
कं,kaṃ,kaM,19097,0.1333,1945,3745,4301,6861,2242
कः,kaḥ,kaH,10494,0.0732,1260,2364,2513,3583,772
का,kā,kA,95837,0.6689,11295,27599,25663,23463,7782
कां,kāṃ,kAM,2937,0.0205,268,749,715,887,318
काः,kāḥ,kAH,3814,0.0266,557,1248,1054,729,224
कि,ki,ki,10801,0.0754,1181,3405,3141,2325,740
किं,kiṃ,kiM,9361,0.0653,824,3432,2354,2021,726
किः,kiḥ,kiH,310,0.0022,51,202,23,31,3
की,kī,kI,8222,0.0574,621,2628,2207,2030,730
कीं,kīṃ,kIM,241,0.0017,12,67,75,47,40
कीः,kīḥ,kIH,22,0.0002,11,3,7,0,1
कु,ku,ku,40713,0.2842,4322,14498,10223,8478,3183
कुं,kuṃ,kuM,76,0.0005,1,5,31,36,3
कुः,kuḥ,kuH,59,0.0004,8,36,7,7,1
कू,kū,kU,3576,0.025,457,850,1072,804,392
कृ,kṛ,kf,46875,0.3272,7828,15163,11387,9010,3481
कॄ,kṝ,kF,1,0.0,0,1,0,0,0
के,ke,ke,25370,0.1771,4412,7633,6030,5062,2231
केः,keḥ,keH,27,0.0002,1,16,1,9,0
कै,kai,kE,3949,0.0276,395,1186,1164,872,332
कैं,kaiṃ,kEM,5,0.0,0,2,1,2,0
कैः,kaiḥ,kEH,2076,0.0145,53,528,711,579,205
को,ko,ko,16865,0.1177,1306,4688,4790,4601,1468
कोः,koḥ,koH,9,0.0001,2,4,3,0,0
कौ,kau,kO,5356,0.0374,295,2981,991,825,263
क्क,kka,kka,247,0.0017,31,38,106,55,17
क्कं,kkaṃ,kkaM,16,0.0001,9,1,0,6,0
क्कः,kkaḥ,kkaH,3,0.0,0,2,0,1,0
क्का,kkā,kkA,286,0.002,15,46,105,93,27
क्कां,kkāṃ,kkAM,19,0.0001,0,2,5,10,2
क्काः,kkāḥ,kkAH,5,0.0,2,1,1,1,0
क्कि,kki,kki,59,0.0004,16,25,11,6,1
क्की,kkī,kkI,5,0.0,0,1,2,1,1
क्कु,kku,kku,339,0.0024,13,50,90,151,35
क्कू,kkū,kkU,12,0.0001,3,1,6,2,0
क्कृ,kkṛ,kkf,77,0.0005,1,10,27,26,13
क्के,kke,kke,14,0.0001,1,2,6,3,2
क्को,kko,kko,36,0.0003,0,3,10,15,8
क्कौ,kkau,kkO,17,0.0001,4,3,8,0,2
क्क्र,kkra,kkra,8,0.0001,0,1,1,4,2
क्क्रा,kkrā,kkrA,2,0.0,0,0,1,1,0
क्क्रि,kkri,kkri,41,0.0003,1,2,14,24,0
क्क्री,kkrī,kkrI,2,0.0,0,1,0,0,1
क्क्रु,kkru,kkru,1,0.0,0,0,1,0,0
क्क्रू,kkrū,kkrU,4,0.0,0,2,1,1,0
क्क्रो,kkro,kkro,1,0.0,0,0,1,0,0
क्क्ल,kkla,kkla,1,0.0,0,0,1,0,0
क्क्लि,kkli,kkli,2,0.0,0,0,1,0,1
क्क्ले,kkle,kkle,7,0.0,0,0,5,2,0
क्क्वा,kkvā,kkvA,3,0.0,0,1,2,0,0
क्क्ष,kkṣa,kkza,13,0.0001,0,6,6,1,0
क्क्षा,kkṣā,kkzA,1,0.0,0,0,0,1,0
क्क्षि,kkṣi,kkzi,3,0.0,0,0,2,1,0
क्क्षी,kkṣī,kkzI,33,0.0002,0,0,19,13,1
क्क्षु,kkṣu,kkzu,2,0.0,0,0,2,0,0
क्क्षे,kkṣe,kkze,2,0.0,0,0,0,2,0
क्क्षौ,kkṣau,kkzO,1,0.0,0,0,1,0,0
क्ख,kkha,kKa,6,0.0,0,0,4,2,0
क्खौ,kkhau,kKO,1,0.0,0,1,0,0,0
क्ख्या,kkhyā,kKyA,1,0.0,0,0,1,0,0
क्ङि,kṅi,kNi,8,0.0001,0,7,1,0,0
क्च,kca,kca,89,0.0006,15,12,26,34,2
क्चा,kcā,kcA,3,0.0,1,0,0,2,0
क्चि,kci,kci,21,0.0001,2,4,5,9,1
क्चु,kcu,kcu,1,0.0,1,0,0,0,0
क्चू,kcū,kcU,14,0.0001,0,0,3,8,3
क्चे,kce,kce,13,0.0001,0,3,8,2,0
क्चै,kcai,kcE,7,0.0,0,2,2,1,2
क्चो,kco,kco,2,0.0,0,0,1,1,0
क्च्यु,kcyu,kcyu,1,0.0,0,0,1,0,0
क्छ,kcha,kCa,28,0.0002,0,12,8,7,1
क्छा,kchā,kCA,2,0.0,0,1,1,0,0
क्छि,kchi,kCi,3,0.0,0,0,2,1,0
क्छु,kchu,kCu,3,0.0,0,1,1,0,1
क्छे,kche,kCe,1,0.0,0,0,0,1,0
क्छौ,kchau,kCO,2,0.0,0,1,1,0,0
क्छ्रु,kchru,kCru,1,0.0,0,1,0,0,0
क्छ्रो,kchro,kCro,1,0.0,0,0,0,1,0
क्टु,kṭu,kwu,1,0.0,0,1,0,0,0
क्ट्वा,kṭvā,kwvA,1,0.0,0,0,0,0,1
क्ठ,kṭha,kWa,2,0.0,0,2,0,0,0
क्ण,kṇa,kRa,20,0.0001,18,2,0,0,0
क्णं,kṇaṃ,kRaM,5,0.0,5,0,0,0,0
क्णः,kṇaḥ,kRaH,7,0.0,7,0,0,0,0
क्णा,kṇā,kRA,5,0.0,4,0,0,1,0
क्णाः,kṇāḥ,kRAH,2,0.0,2,0,0,0,0
क्णे,kṇe,kRe,3,0.0,2,0,0,1,0
क्णो,kṇo,kRo,6,0.0,6,0,0,0,0
क्त,kta,kta,13523,0.0944,1217,3313,4110,3876,1003
क्तं,ktaṃ,ktaM,7485,0.0522,583,1867,2100,2272,661
क्तः,ktaḥ,ktaH,2740,0.0191,210,1017,719,583,211
क्ता,ktā,ktA,7791,0.0544,752,2339,2086,1993,621
क्तां,ktāṃ,ktAM,390,0.0027,19,135,123,84,29
क्ताः,ktāḥ,ktAH,886,0.0062,93,346,222,150,75
क्ति,kti,kti,5020,0.035,724,771,1208,1796,520
क्तिं,ktiṃ,ktiM,504,0.0035,42,198,93,113,58
क्तिः,ktiḥ,ktiH,562,0.0039,37,60,157,244,64
क्ती,ktī,ktI,227,0.0016,47,41,37,89,13
क्तीः,ktīḥ,ktIH,22,0.0002,9,4,4,5,0
क्तु,ktu,ktu,987,0.0069,228,340,241,150,28
क्तुं,ktuṃ,ktuM,410,0.0029,5,196,90,97,22
क्तुः,ktuḥ,ktuH,12,0.0001,4,1,2,4,1
क्तू,ktū,ktU,147,0.001,95,21,26,5,0
क्तूं,ktūṃ,ktUM,12,0.0001,8,2,2,0,0
क्तृ,ktṛ,ktf,99,0.0007,2,12,50,34,1
क्तॄ,ktṝ,ktF,16,0.0001,2,7,4,2,1
क्तॄं,ktṝṃ,ktFM,1,0.0,0,0,1,0,0
क्ते,kte,kte,2730,0.0191,375,725,813,590,227
क्तेः,kteḥ,kteH,64,0.0004,0,7,15,34,8
क्तै,ktai,ktE,464,0.0032,25,159,164,92,24
क्तैः,ktaiḥ,ktEH,210,0.0015,14,64,73,38,21
क्तो,kto,kto,3438,0.024,221,1167,835,907,308
क्तोः,ktoḥ,ktoH,4,0.0,4,0,0,0,0
क्तौ,ktau,ktO,428,0.003,57,128,101,82,60
क्त्य्,kty,kty,45,0.0003,36,5,1,2,1
क्त्य,ktya,ktya,166,0.0012,10,22,46,81,7
क्त्यं,ktyaṃ,ktyaM,5,0.0,2,0,0,2,1
क्त्यः,ktyaḥ,ktyaH,2,0.0,1,1,0,0,0
क्त्या,ktyā,ktyA,1521,0.0106,34,278,411,450,347
क्त्यां,ktyāṃ,ktyAM,13,0.0001,5,2,2,2,2
क्त्याः,ktyāḥ,ktyAH,5,0.0,3,1,0,1,0
क्त्यु,ktyu,ktyu,60,0.0004,0,2,10,40,8
क्त्यू,ktyū,ktyU,2,0.0,0,1,1,0,0
क्त्यृ,ktyṛ,ktyf,37,0.0003,1,29,4,1,2
क्त्ये,ktye,ktye,20,0.0001,8,2,0,9,1
क्त्यै,ktyai,ktyE,57,0.0004,12,4,11,27,3
क्त्यो,ktyo,ktyo,35,0.0002,9,5,9,9,3
क्त्योः,ktyoḥ,ktyoH,4,0.0,0,1,0,3,0
क्त्यौ,ktyau,ktyO,1,0.0,0,0,0,1,0
क्त्र,ktra,ktra,381,0.0027,21,60,148,127,25
क्त्रं,ktraṃ,ktraM,212,0.0015,12,60,53,66,21
क्त्रः,ktraḥ,ktraH,34,0.0002,0,11,14,8,1
क्त्रा,ktrā,ktrA,295,0.0021,11,114,88,66,16
क्त्रां,ktrāṃ,ktrAM,21,0.0001,0,4,6,8,3
क्त्राः,ktrāḥ,ktrAH,17,0.0001,2,7,4,2,2
क्त्रि,ktri,ktri,11,0.0001,0,1,6,4,0
क्त्रिः,ktriḥ,ktriH,1,0.0,0,1,0,0,0
क्त्री,ktrī,ktrI,6,0.0,0,0,2,3,1
क्त्रीं,ktrīṃ,ktrIM,1,0.0,0,0,0,1,0
क्त्रु,ktru,ktru,1,0.0,0,0,1,0,0
क्त्रे,ktre,ktre,240,0.0017,31,29,56,100,24
क्त्रै,ktrai,ktrE,18,0.0001,0,10,3,4,1
क्त्रैः,ktraiḥ,ktrEH,10,0.0001,0,7,2,1,0
क्त्रो,ktro,ktro,60,0.0004,0,15,25,14,6
क्त्रौ,ktrau,ktrO,7,0.0,0,4,2,0,1
क्त्र्या,ktryā,ktryA,2,0.0,1,0,0,1,0
क्त्व्,ktv,ktv,23,0.0002,23,0,0,0,0
क्त्व,ktva,ktva,50,0.0003,5,7,21,10,7
क्त्वं,ktvaṃ,ktvaM,45,0.0003,3,10,10,21,1
क्त्वा,ktvā,ktvA,3868,0.027,267,1609,869,825,298
क्त्वि,ktvi,ktvi,8,0.0001,2,5,1,0,0
क्त्वे,ktve,ktve,100,0.0007,7,35,19,28,11
क्त्वै,ktvai,ktvE,52,0.0004,1,12,14,24,1
क्त्वो,ktvo,ktvo,60,0.0004,26,5,10,16,3
क्त्वौ,ktvau,ktvO,3,0.0,3,0,0,0,0
क्त्व्य्,ktvy,ktvy,1,0.0,1,0,0,0,0
क्थ,ktha,kTa,364,0.0025,267,19,29,21,28
क्थं,kthaṃ,kTaM,116,0.0008,90,9,10,5,2
क्थः,kthaḥ,kTaH,8,0.0001,7,0,1,0,0
क्था,kthā,kTA,221,0.0015,203,6,4,3,5
क्थां,kthāṃ,kTAM,2,0.0,0,2,0,0,0
क्थाः,kthāḥ,kTAH,19,0.0001,19,0,0,0,0
क्थि,kthi,kTi,116,0.0008,33,15,61,6,1
क्थिं,kthiṃ,kTiM,2,0.0,0,0,2,0,0
क्थिः,kthiḥ,kTiH,1,0.0,0,0,1,0,0
क्थी,kthī,kTI,10,0.0001,2,1,7,0,0
क्थे,kthe,kTe,98,0.0007,89,2,1,3,3
क्थै,kthai,kTE,31,0.0002,28,1,1,1,0
क्थैः,kthaiḥ,kTEH,28,0.0002,27,0,0,0,1
क्थो,ktho,kTo,15,0.0001,10,4,1,0,0
क्थौ,kthau,kTO,3,0.0,2,0,0,1,0
क्थ्नः,kthnaḥ,kTnaH,8,0.0001,3,1,3,1,0
क्थ्ना,kthnā,kTnA,2,0.0,0,0,2,0,0
क्थ्नां,kthnāṃ,kTnAM,1,0.0,0,0,1,0,0
क्थ्नि,kthni,kTni,8,0.0001,0,0,8,0,0
क्थ्नो,kthno,kTno,11,0.0001,1,0,9,1,0
क्थ्नोः,kthnoḥ,kTnoH,2,0.0,0,0,1,1,0
क्थ्य्,kthy,kTy,4,0.0,3,0,1,0,0
क्थ्य,kthya,kTya,138,0.001,126,3,3,1,5
क्थ्यं,kthyaṃ,kTyaM,49,0.0003,43,2,3,0,1
क्थ्यः,kthyaḥ,kTyaH,65,0.0005,64,0,0,1,0
क्थ्या,kthyā,kTyA,39,0.0003,35,0,1,0,3
क्थ्याः,kthyāḥ,kTyAH,18,0.0001,18,0,0,0,0
क्थ्यु,kthyu,kTyu,1,0.0,0,0,1,0,0
क्थ्ये,kthye,kTye,28,0.0002,25,0,0,0,3
क्थ्यो,kthyo,kTyo,42,0.0003,37,1,0,1,3
क्थ्योः,kthyoḥ,kTyoH,3,0.0,2,0,0,0,1
क्थ्यौ,kthyau,kTyO,7,0.0,7,0,0,0,0
क्ध्रू,kdhrū,kDrU,1,0.0,0,0,0,1,0
क्न,kna,kna,17,0.0001,17,0,0,0,0
क्नः,knaḥ,knaH,1,0.0,1,0,0,0,0
क्ना,knā,knA,3,0.0,3,0,0,0,0
क्नि,kni,kni,3,0.0,2,0,0,1,0
क्नी,knī,knI,10,0.0001,5,0,4,1,0
क्नीं,knīṃ,knIM,1,0.0,0,1,0,0,0
क्नीः,knīḥ,knIH,1,0.0,1,0,0,0,0
क्नु,knu,knu,209,0.0015,50,114,33,8,3
क्नुः,knuḥ,knuH,2,0.0,0,1,1,0,0
क्नू,knū,knU,1,0.0,0,1,0,0,0
क्ने,kne,kne,1,0.0,1,0,0,0,0
क्नै,knai,knE,1,0.0,1,0,0,0,0
क्नो,kno,kno,292,0.002,80,114,57,21,20
क्न्य्,kny,kny,1,0.0,1,0,0,0,0
क्न्या,knyā,knyA,3,0.0,2,0,1,0,0
क्न्यां,knyāṃ,knyAM,7,0.0,3,0,3,1,0
क्प,kpa,kpa,235,0.0016,22,34,76,86,17
क्पा,kpā,kpA,164,0.0011,23,9,57,53,22
क्पि,kpi,kpi,31,0.0002,2,4,21,4,0
क्पी,kpī,kpI,3,0.0,0,1,1,1,0
क्पु,kpu,kpu,116,0.0008,3,19,21,66,7
क्पू,kpū,kpU,25,0.0002,0,8,6,8,3
क्पृ,kpṛ,kpf,116,0.0008,8,13,38,41,16
क्पे,kpe,kpe,4,0.0,0,0,2,2,0
क्पो,kpo,kpo,1,0.0,0,0,0,1,0
क्पौ,kpau,kpO,1,0.0,0,0,1,0,0
क्प्र,kpra,kpra,232,0.0016,35,47,82,57,11
क्प्रा,kprā,kprA,19,0.0001,5,0,3,9,2
क्प्रि,kpri,kpri,7,0.0,0,0,4,3,0
क्प्री,kprī,kprI,1,0.0,0,1,0,0,0
क्प्रे,kpre,kpre,14,0.0001,0,3,7,3,1
क्प्रौ,kprau,kprO,1,0.0,0,0,0,1,0
क्प्ल,kpla,kpla,4,0.0,0,0,4,0,0
क्फ,kpha,kPa,15,0.0001,0,2,9,4,0
क्फा,kphā,kPA,1,0.0,0,0,1,0,0
क्फि,kphi,kPi,2,0.0,0,2,0,0,0
क्फे,kphe,kPe,2,0.0,0,0,1,1,0
क्म,kma,kma,447,0.0031,162,175,47,23,40
क्मं,kmaṃ,kmaM,43,0.0003,27,9,1,5,1
क्मः,kmaḥ,kmaH,17,0.0001,17,0,0,0,0
क्मा,kmā,kmA,75,0.0005,51,14,1,6,3
क्मि,kmi,kmi,205,0.0014,9,55,94,22,25
क्मी,kmī,kmI,38,0.0003,1,8,26,1,2
क्मीं,kmīṃ,kmIM,1,0.0,0,1,0,0,0
क्मे,kme,kme,29,0.0002,13,3,10,2,1
क्मै,kmai,kmE,4,0.0,2,0,0,2,0
क्मैः,kmaiḥ,kmEH,1,0.0,1,0,0,0,0
क्मो,kmo,kmo,22,0.0002,20,0,0,0,2
क्मौ,kmau,kmO,14,0.0001,12,0,0,0,2
क्म्यं,kmyaṃ,kmyaM,1,0.0,1,0,0,0,0
क्म्या,kmyā,kmyA,9,0.0001,9,0,0,0,0
क्म्ये,kmye,kmye,1,0.0,1,0,0,0,0
क्म्यो,kmyo,kmyo,1,0.0,1,0,0,0,0
क्य्,ky,ky,24,0.0002,6,1,6,9,2
क्य,kya,kya,3359,0.0234,85,1556,872,628,216
क्यं,kyaṃ,kyaM,1973,0.0138,41,1222,367,200,142
क्यः,kyaḥ,kyaH,146,0.001,12,85,27,13,9
क्या,kyā,kyA,1101,0.0077,186,351,279,204,81
क्यां,kyāṃ,kyAM,96,0.0007,12,14,34,25,11
क्याः,kyāḥ,kyAH,132,0.0009,39,54,21,9,9
क्यि,kyi,kyi,2,0.0,2,0,0,0,0
क्यु,kyu,kyu,16,0.0001,7,1,5,3,0
क्युः,kyuḥ,kyuH,4,0.0,4,0,0,0,0
क्ये,kye,kye,517,0.0036,121,160,94,74,68
क्यै,kyai,kyE,106,0.0007,5,58,20,21,2
क्यैः,kyaiḥ,kyEH,39,0.0003,1,26,7,2,2
क्यो,kyo,kyo,264,0.0018,6,148,55,35,20
क्योः,kyoḥ,kyoH,2,0.0,1,0,1,0,0
क्यौ,kyau,kyO,21,0.0001,8,8,1,3,1
क्र,kra,kra,16050,0.112,3154,5065,3749,3281,798
क्रं,kraṃ,kraM,1049,0.0073,147,283,264,246,109
क्रः,kraḥ,kraH,285,0.002,71,97,65,44,8
क्रा,krā,krA,4656,0.0325,1156,1177,965,1045,313
क्रां,krāṃ,krAM,66,0.0005,7,18,3,38,0
क्राः,krāḥ,krAH,31,0.0002,20,6,3,2,0
क्रि,kri,kri,4841,0.0338,765,1201,1514,1051,307
क्रिं,kriṃ,kriM,1,0.0,1,0,0,0,0
क्रिः,kriḥ,kriH,2,0.0,2,0,0,0,0
क्री,krī,krI,1891,0.0132,408,442,589,291,161
क्रीं,krīṃ,krIM,34,0.0002,4,0,0,22,8
क्रीः,krīḥ,krIH,7,0.0,4,3,0,0,0
क्रु,kru,kru,2858,0.0199,159,2153,314,199,33
क्रुः,kruḥ,kruH,248,0.0017,60,117,39,23,9
क्रू,krū,krU,749,0.0052,107,307,202,103,30
क्रूं,krūṃ,krUM,1,0.0,0,0,0,1,0
क्रृ,krṛ,krf,1,0.0,0,0,0,1,0
क्रे,kre,kre,1818,0.0127,236,628,459,387,108
क्रै,krai,krE,59,0.0004,11,22,13,10,3
क्रैः,kraiḥ,krEH,10,0.0001,1,3,3,3,0
क्रो,kro,kro,3462,0.0242,177,1897,800,430,158
क्रों,kroṃ,kroM,5,0.0,0,0,0,5,0
क्रौ,krau,krO,305,0.0021,23,95,90,76,21
क्रौं,krauṃ,krOM,2,0.0,0,0,0,2,0
क्र्टिः,krṭiḥ,krwiH,1,0.0,0,0,1,0,0
क्र्या,kryā,kryA,1,0.0,0,1,0,0,0
क्र्योः,kryoḥ,kryoH,2,0.0,2,0,0,0,0
क्ल,kla,kla,1023,0.0071,92,290,338,194,108
क्लं,klaṃ,klaM,114,0.0008,37,19,31,20,7
क्लः,klaḥ,klaH,40,0.0003,5,6,19,7,3
क्ला,klā,klA,387,0.0027,43,100,141,80,23
क्लां,klāṃ,klAM,21,0.0001,3,5,8,1,4
क्लाः,klāḥ,klAH,15,0.0001,4,2,7,2,0
क्लि,kli,kli,673,0.0047,16,358,205,66,28
क्ली,klī,klI,277,0.0019,40,85,76,57,19
क्लीं,klīṃ,klIM,45,0.0003,0,0,0,21,24
क्लु,klu,klu,1,0.0,0,1,0,0,0
क्लूं,klūṃ,klUM,1,0.0,0,0,0,0,1
क्ले,kle,kle,1139,0.008,23,422,443,187,62
क्लै,klai,klE,55,0.0004,1,18,21,15,0
क्लैं,klaiṃ,klEM,1,0.0,0,0,0,0,1
क्लैः,klaiḥ,klEH,9,0.0001,0,4,4,1,0
क्लो,klo,klo,104,0.0007,33,17,34,16,3
क्लौ,klau,klO,1,0.0,0,0,0,1,0
क्लौं,klauṃ,klOM,1,0.0,0,0,0,0,1
क्ल्य,klya,klya,1,0.0,0,1,0,0,0
क्ल्यं,klyaṃ,klyaM,4,0.0,0,0,2,2,0
क्ल्या,klyā,klyA,1,0.0,0,0,1,0,0
क्व्,kv,kv,1,0.0,0,1,0,0,0
क्व,kva,kva,2976,0.0208,442,751,867,762,154
क्वं,kvaṃ,kvaM,371,0.0026,22,24,139,143,43
क्वः,kvaḥ,kvaH,40,0.0003,13,2,14,6,5
क्वा,kvā,kvA,1314,0.0092,85,103,500,533,93
क्वां,kvāṃ,kvAM,19,0.0001,5,1,7,6,0
क्वाः,kvāḥ,kvAH,15,0.0001,7,2,3,2,1
क्वि,kvi,kvi,14,0.0001,0,8,3,3,0
क्वी,kvī,kvI,1,0.0,0,0,0,1,0
क्वे,kve,kve,137,0.001,34,13,71,16,3
क्वेः,kveḥ,kveH,1,0.0,0,1,0,0,0
क्वै,kvai,kvE,21,0.0001,5,2,7,6,1
क्वैः,kvaiḥ,kvEH,5,0.0,0,2,2,1,0
क्वो,kvo,kvo,63,0.0004,4,5,32,17,5
क्वौ,kvau,kvO,7,0.0,1,4,0,2,0
क्श,kśa,kSa,98,0.0007,16,36,32,11,3
क्शं,kśaṃ,kSaM,1,0.0,1,0,0,0,0
क्शः,kśaḥ,kSaH,3,0.0,3,0,0,0,0
क्शा,kśā,kSA,23,0.0002,16,2,4,1,0
क्शि,kśi,kSi,73,0.0005,21,35,12,2,3
क्शी,kśī,kSI,7,0.0,1,2,2,1,1
क्शु,kśu,kSu,14,0.0001,1,1,7,3,2
क्शृ,kśṛ,kSf,1,0.0,0,0,1,0,0
क्शे,kśe,kSe,1,0.0,0,0,1,0,0
क्शो,kśo,kSo,16,0.0001,2,0,9,5,0
क्शौ,kśau,kSO,2,0.0,0,1,0,1,0
क्श्र,kśra,kSra,3,0.0,0,1,2,0,0
क्श्री,kśrī,kSrI,1,0.0,0,0,0,0,1
क्श्रु,kśru,kSru,3,0.0,2,0,0,1,0
क्श्रे,kśre,kSre,15,0.0001,1,1,4,9,0
क्श्रो,kśro,kSro,6,0.0,0,1,4,1,0
क्श्लु,kślu,kSlu,1,0.0,0,1,0,0,0
क्श्ले,kśle,kSle,2,0.0,0,0,1,1,0
क्श्लो,kślo,kSlo,1,0.0,1,0,0,0,0
क्श्व,kśva,kSva,3,0.0,3,0,0,0,0
क्श्वः,kśvaḥ,kSvaH,1,0.0,1,0,0,0,0
क्श्वा,kśvā,kSvA,4,0.0,0,0,3,1,0
क्श्वे,kśve,kSve,1,0.0,0,0,0,1,0
क्ष,kṣa,kza,41841,0.2921,9415,13920,9084,6789,2620
क्षं,kṣaṃ,kzaM,2373,0.0166,592,717,562,352,150
क्षः,kṣaḥ,kzaH,1508,0.0105,356,405,365,298,84
क्षा,kṣā,kzA,9650,0.0674,2005,2038,2614,2264,727
क्षां,kṣāṃ,kzAM,1048,0.0073,480,267,160,106,35
क्षाः,kṣāḥ,kzAH,399,0.0028,106,138,109,27,19
क्षि,kṣi,kzi,21386,0.1493,5932,5145,3974,4739,1594
क्षिं,kṣiṃ,kziM,42,0.0003,1,15,22,3,1
क्षिः,kṣiḥ,kziH,30,0.0002,6,1,14,8,1
क्षी,kṣī,kzI,5581,0.039,556,923,1847,1838,417
क्षीं,kṣīṃ,kzIM,93,0.0006,2,36,16,20,19
क्षीः,kṣīḥ,kzIH,17,0.0001,7,6,1,3,0
क्षु,kṣu,kzu,6242,0.0436,1342,1765,1585,1126,424
क्षुं,kṣuṃ,kzuM,25,0.0002,6,5,9,3,2
क्षुः,kṣuḥ,kzuH,665,0.0046,312,126,103,96,27
क्षू,kṣū,kzU,193,0.0013,49,33,84,21,6
क्षूं,kṣūṃ,kzUM,46,0.0003,7,24,7,5,3
क्षूः,kṣūḥ,kzUH,1,0.0,0,1,0,0,0
क्षे,kṣe,kze,6717,0.0469,1332,1963,1658,1136,625
क्षें,kṣeṃ,kzeM,5,0.0,0,0,0,2,3
क्षेः,kṣeḥ,kzeH,3,0.0,0,1,1,1,0
क्षै,kṣai,kzE,304,0.0021,34,126,70,45,29
क्षैं,kṣaiṃ,kzEM,19,0.0001,0,0,0,16,3
क्षैः,kṣaiḥ,kzEH,133,0.0009,14,47,43,20,9
क्षो,kṣo,kzo,2890,0.0202,558,845,711,604,171
क्षों,kṣoṃ,kzoM,1,0.0,0,0,0,0,1
क्षोः,kṣoḥ,kzoH,28,0.0002,8,5,8,7,0
क्षौ,kṣau,kzO,1327,0.0093,121,334,537,267,68
क्षौं,kṣauṃ,kzOM,10,0.0001,0,0,0,4,6
क्ष्ठी,kṣṭhī,kzWI,1,0.0,0,0,0,1,0
क्ष्ण,kṣṇa,kzRa,1017,0.0071,88,285,220,335,89
क्ष्णं,kṣṇaṃ,kzRaM,518,0.0036,5,120,112,209,72
क्ष्णः,kṣṇaḥ,kzRaH,87,0.0006,15,18,31,22,1
क्ष्णा,kṣṇā,kzRA,376,0.0026,10,124,87,131,24
क्ष्णां,kṣṇāṃ,kzRAM,37,0.0003,0,13,9,11,4
क्ष्णाः,kṣṇāḥ,kzRAH,25,0.0002,0,11,9,3,2
क्ष्णि,kṣṇi,kzRi,15,0.0001,1,0,11,2,1
क्ष्णी,kṣṇī,kzRI,16,0.0001,11,0,2,2,1
क्ष्णु,kṣṇu,kzRu,16,0.0001,15,1,0,0,0
क्ष्णू,kṣṇū,kzRU,4,0.0,4,0,0,0,0
क्ष्णे,kṣṇe,kzRe,136,0.0009,7,66,16,33,14
क्ष्णै,kṣṇai,kzRE,169,0.0012,1,119,41,7,1
क्ष्णैः,kṣṇaiḥ,kzREH,89,0.0006,0,57,28,1,3
क्ष्णो,kṣṇo,kzRo,246,0.0017,15,38,113,55,25
क्ष्णोः,kṣṇoḥ,kzRoH,21,0.0001,2,4,12,3,0
क्ष्णौ,kṣṇau,kzRO,16,0.0001,3,5,7,1,0
क्ष्ण्य,kṣṇya,kzRya,7,0.0,0,4,3,0,0
क्ष्ण्यं,kṣṇyaṃ,kzRyaM,14,0.0001,0,10,3,1,0
क्ष्ण्या,kṣṇyā,kzRyA,17,0.0001,0,6,9,2,0
क्ष्ण्ये,kṣṇye,kzRye,4,0.0,0,2,2,0,0
क्ष्ण्यो,kṣṇyo,kzRyo,1,0.0,0,1,0,0,0
क्ष्ण्यौ,kṣṇyau,kzRyO,3,0.0,0,0,3,0,0
क्ष्म,kṣma,kzma,2236,0.0156,100,1318,317,408,93
क्ष्मं,kṣmaṃ,kzmaM,228,0.0016,47,39,51,61,30
क्ष्मः,kṣmaḥ,kzmaH,52,0.0004,9,11,17,11,4
क्ष्मा,kṣmā,kzmA,526,0.0037,84,86,165,146,45
