devanagari,iast,slp1,count,pct,devanagari_halant,n_consonants,slot1,slot2,slot3,slot4,slot5
क्क,kk,kk,1135,0.037,क्क्,2,95,185,377,370,108
क्ख,kkh,kK,7,0.0002,क्ख्,2,0,1,4,2,0
क्ङ,kṅ,kN,8,0.0003,क्ङ्,2,0,7,1,0,0
क्च,kc,kc,150,0.0049,क्च्,2,19,21,45,57,8
क्छ,kch,kC,39,0.0013,क्छ्,2,0,15,13,9,2
क्ट,kṭ,kw,1,0.0,क्ट्,2,0,1,0,0,0
क्ठ,kṭh,kW,2,0.0001,क्ठ्,2,0,2,0,0,0
क्ण,kṇ,kR,48,0.0016,क्ण्,2,44,2,0,2,0
क्त,kt,kt,48172,1.5697,क्त्,2,4773,12920,13276,13240,3956
क्थ,kth,kT,1034,0.0337,क्थ्,2,777,59,118,40,40
क्न,kn,kn,542,0.0177,क्न्,2,161,231,95,31,23
क्प,kp,kp,696,0.0227,क्प्,2,58,88,223,262,65
क्फ,kph,kP,20,0.0007,क्फ्,2,0,4,11,5,0
क्म,km,km,896,0.0292,क्म्,2,315,265,179,61,76
क्य,ky,ky,7802,0.2542,क्य्,2,536,3684,1789,1226,563
क्र,kr,kr,38431,1.2523,क्र्,2,6513,13514,9072,7260,2066
क्ल,kl,kl,3907,0.1273,क्ल्,2,297,1327,1327,668,284
क्व,kv,kv,4985,0.1624,क्व्,2,618,919,1645,1498,305
क्श,kś,kS,239,0.0078,क्श्,2,61,77,68,24,9
क्ष,kṣ,kz,102577,3.3425,क्ष्,2,23241,28886,23584,19800,7044
क्स,ks,ks,1453,0.0473,क्स्,2,117,527,344,160,305
ख्ख,khkh,KK,1,0.0,ख्ख्,2,1,0,0,0,0
ख्न,khn,Kn,6,0.0002,ख्न्,2,4,1,1,0,0
ख्य,khy,Ky,11935,0.3889,ख्य्,2,1272,3632,3134,2948,946
ख्र,khr,Kr,1,0.0,ख्र्,2,0,0,0,0,1
ख्व,khv,Kv,2,0.0001,ख्व्,2,1,0,1,0,0
ग्क,gk,gk,1,0.0,ग्क्,2,0,0,0,1,0
ग्ग,gg,gg,428,0.0139,ग्ग्,2,13,46,149,169,51
ग्घ,ggh,gG,88,0.0029,ग्घ्,2,51,12,14,10,1
ग्ज,gj,gj,184,0.006,ग्ज्,2,8,72,44,52,5
ग्ण,gṇ,gR,65,0.0021,ग्ण्,2,8,36,9,8,4
ग्द,gd,gd,505,0.0165,ग्द्,2,62,78,178,159,28
ग्ध,gdh,gD,4663,0.1519,ग्ध्,2,389,822,1581,1484,386
ग्न,gn,gn,27151,0.8847,ग्न्,2,16996,3389,2925,2540,1300
ग्ब,gb,gb,117,0.0038,ग्ब्,2,10,29,34,31,13
ग्भ,gbh,gB,797,0.026,ग्भ्,2,140,215,203,174,65
ग्म,gm,gm,1890,0.0616,ग्म्,2,421,799,286,271,113
ग्य,gy,gy,2603,0.0848,ग्य्,2,286,481,824,753,258
ग्र,gr,gr,25649,0.8358,ग्र्,2,5901,7333,5828,4867,1711
ग्ल,gl,gl,439,0.0143,ग्ल्,2,56,174,130,58,21
ग्व,gv,gv,1452,0.0473,ग्व्,2,347,268,418,324,95
घ्न,ghn,Gn,4835,0.1576,घ्न्,2,856,1396,1027,1296,260
घ्म,ghm,Gm,3,0.0001,घ्म्,2,3,0,0,0,0
घ्य,ghy,Gy,176,0.0057,घ्य्,2,41,25,43,51,16
घ्र,ghr,Gr,3433,0.1119,घ्र्,2,308,1794,618,499,214
घ्व,ghv,Gv,145,0.0047,घ्व्,2,7,39,45,39,15
ङ्क,ṅk,Nk,7579,0.247,ङ्क्,2,535,1682,2052,2494,812
ङ्ख,ṅkh,NK,2194,0.0715,ङ्ख्,2,159,688,510,586,251
ङ्ग,ṅg,Ng,28243,0.9203,ङ्ग्,2,3246,6262,8569,7330,2835
ङ्घ,ṅgh,NG,972,0.0317,ङ्घ्,2,67,217,354,238,96
ङ्ङ,ṅṅ,NN,183,0.006,ङ्ङ्,2,180,0,0,0,3
ङ्च,ṅc,Nc,1,0.0,ङ्च्,2,1,0,0,0,0
ङ्ज,ṅj,Nj,3,0.0001,ङ्ज्,2,0,3,0,0,0
ङ्ण,ṅṇ,NR,1,0.0,ङ्ण्,2,0,1,0,0,0
ङ्त,ṅt,Nt,3,0.0001,ङ्त्,2,2,1,0,0,0
ङ्ध,ṅdh,ND,31,0.001,ङ्ध्,2,29,2,0,0,0
ङ्न,ṅn,Nn,208,0.0068,ङ्न्,2,20,28,84,59,17
ङ्प,ṅp,Np,4,0.0001,ङ्प्,2,0,3,0,1,0
ङ्भ,ṅbh,NB,2,0.0001,ङ्भ्,2,0,1,0,0,1
ङ्म,ṅm,Nm,1257,0.041,ङ्म्,2,248,310,421,203,73
ङ्य,ṅy,Ny,19,0.0006,ङ्य्,2,1,17,1,0,0
ङ्र,ṅr,Nr,1,0.0,ङ्र्,2,0,1,0,0,0
ङ्ल,ṅl,Nl,12,0.0004,ङ्ल्,2,0,12,0,0,0
ङ्व,ṅv,Nv,14,0.0005,ङ्व्,2,9,3,2,0,0
ङ्श,ṅś,NS,2,0.0001,ङ्श्,2,1,1,0,0,0
ङ्स,ṅs,Ns,3,0.0001,ङ्स्,2,0,3,0,0,0
ङ्ह,ṅh,Nh,1,0.0,ङ्ह्,2,0,1,0,0,0
च्क,ck,ck,8,0.0003,च्क्,2,0,2,0,6,0
च्ख,ckh,cK,1,0.0,च्ख्,2,0,1,0,0,0
च्च,cc,cc,10426,0.3397,च्च्,2,642,3890,2721,2462,706
च्छ,cch,cC,30079,0.9801,च्छ्,2,7075,9412,6471,5191,1925
च्ञ,cñ,cY,38,0.0012,च्ञ्,2,3,4,11,20,0
च्त,ct,ct,2,0.0001,च्त्,2,0,2,0,0,0
च्प,cp,cp,4,0.0001,च्प्,2,0,3,1,0,0
च्फ,cph,cP,2,0.0001,च्फ्,2,0,2,0,0,0
च्म,cm,cm,59,0.0019,च्म्,2,9,1,2,42,5
च्य,cy,cy,10993,0.3582,च्य्,2,2389,2668,2739,2446,749
च्र,cr,cr,2,0.0001,च्र्,2,2,0,0,0,0
च्ल,cl,cl,2,0.0001,च्ल्,2,0,2,0,0,0
च्व,cv,cv,8,0.0003,च्व्,2,0,6,0,1,1
च्स,cs,cs,1,0.0,च्स्,2,0,1,0,0,0
छ्य,chy,Cy,30,0.001,छ्य्,2,26,0,3,0,1
छ्र,chr,Cr,307,0.01,छ्र्,2,51,56,56,126,18
छ्ल,chl,Cl,5,0.0002,छ्ल्,2,1,0,1,2,1
छ्व,chv,Cv,16,0.0005,छ्व्,2,6,3,2,4,1
ज्क,jk,jk,1,0.0,ज्क्,2,0,1,0,0,0
ज्ज,jj,jj,4697,0.1531,ज्ज्,2,568,1314,1129,1362,324
ज्झ,jjh,jJ,181,0.0059,ज्झ्,2,5,23,56,80,17
ज्ञ,jñ,jY,38043,1.2397,ज्ञ्,2,9189,13082,8017,5769,1978
ज्द,jd,jd,3,0.0001,ज्द्,2,0,2,1,0,0
ज्न,jn,jn,1,0.0,ज्न्,2,1,0,0,0,0
ज्ब,jb,jb,1,0.0,ज्ब्,2,0,1,0,0,0
