devanagari,iast,slp1,count,pct,slot1,slot2,slot3,slot4,slot5
अ,a,a,6267173,19.7045,1333949,1947919,1410562,1146909,426430
आ,ā,A,2441708,7.6769,524587,769010,556430,427336,163875
इ,i,i,1502169,4.7229,372093,426345,338260,267258,97858
ई,ī,I,324006,1.0187,74930,89657,70097,65682,23586
उ,u,u,808917,2.5433,171876,257491,180951,144361,54049
ऊ,ū,U,180187,0.5665,38702,47447,40993,39759,13240
ऋ,ṛ,f,243902,0.7668,61107,73333,53488,41205,14731
ॠ,ṝ,F,1946,0.0061,491,743,335,223,154
ऌ,ḷ,x,2,0.0,2,0,0,0,0
ए,e,e,899825,2.8291,229119,249189,191566,164346,65447
ऐ,ai,E,191205,0.6012,44053,60212,44006,31415,11492
ओ,o,o,505648,1.5898,119914,145711,114292,92108,33498
औ,au,O,77932,0.245,13964,27479,18037,13565,4871
ं,ṃ,M,738014,2.3204,122521,242459,162507,151523,58830
ः,ḥ,H,495873,1.5591,106758,162336,113687,84576,28434
क्,k,k,751962,2.3642,104829,220571,192465,175255,58655
ख्,kh,K,56039,0.1762,6294,16589,13968,13938,5230
ग्,g,g,327030,1.0282,62444,90411,80810,67660,25641
घ्,gh,G,39994,0.1257,6839,13588,9100,7898,2566
ङ्,ṅ,N,46283,0.1455,6522,10594,13033,11741,4386
च्,c,c,435613,1.3696,70105,150386,103986,82136,28916
छ्,ch,C,46128,0.145,11175,13821,9905,8203,3014
ज्,j,j,311462,0.9793,74807,97823,63023,56645,19123
झ्,jh,J,838,0.0026,9,174,202,265,184
ञ्,ñ,Y,72013,0.2264,16670,22291,15209,13183,4642
ट्,ṭ,w,97099,0.3053,16183,24889,23293,24844,7879
ठ्,ṭh,W,37566,0.1181,9457,11211,8186,5970,2736
ड्,ḍ,q,47804,0.1503,6058,14115,11445,11436,4734
ढ्,ḍh,Q,7633,0.024,789,2035,2044,2152,609
ण्,ṇ,R,320629,1.0081,62371,95788,76026,62178,24193
त्,t,t,2176895,6.8443,510119,638711,478068,399646,149851
थ्,th,T,200406,0.6301,38213,66470,47199,34114,14371
द्,d,d,785509,2.4697,180031,220635,177902,152639,54105
ध्,dh,D,309897,0.9743,61828,97008,68163,60879,21928
न्,n,n,1295525,4.0732,297503,404836,288149,220466,84338
प्,p,p,854608,2.687,187781,259008,197224,152689,57727
फ्,ph,P,18154,0.0571,1188,3900,5845,5594,1624
ब्,b,b,138931,0.4368,24674,47643,32364,25308,8892
भ्,bh,B,345198,1.0853,72768,111173,77487,61097,22587
म्,m,m,1219508,3.8342,283017,384156,267640,206061,78427
य्,y,y,1327363,4.1733,344761,386642,285565,226196,83921
र्,r,r,1766267,5.5533,356575,566865,395385,324955,122084
ल्,l,l,289868,0.9114,25763,80537,82033,76030,25412
व्,v,v,1346021,4.232,336665,402998,292960,227758,85393
श्,ś,S,474369,1.4915,84729,158948,111915,86351,32317
ष्,ṣ,z,468350,1.4725,106763,144142,106815,81079,29475
स्,s,s,1105336,3.4753,254312,342535,246571,189375,72337
ह्,h,h,407014,1.2797,105795,130999,82055,62556,25540
