lemma_iast	lemma_slp1	n1	n2	n3	n4	n5	dist_12	dist_23	dist_34	dist_45	dist_15	fshift_12	fshift_23	fshift_34	fshift_45	fshift_15	graded_rank_12	binary_changed_12	freq_tercile
ruc	ruc	333	216	82	47	30	0.959994	0.886915				1.062337	0.948891				11	1	1
visṛj	visfj	264	420	113	149	16	0.948362	0.859274	0.87016			0.232005	1.445622	0.70175			42	1	1
nidhana	niDana	391	240	73	59	11	0.946505	0.829667	0.873928			1.14198	1.268622	0.004421			49	1	1
ācakṣ	Acakz	298	383	165	47	44	0.931882	0.82643				0.075814	0.766434				118	1	1
vacas	vacas	247	1359	344	343	91	0.925562	0.698694	0.799693	0.825969	0.891014	2.022116	1.533621	0.298561	0.47888	0.308176	167	1	1
śaṃs	SaMs	898	301	242	243	101	0.925314	0.795388	0.840989	0.857589	0.80791	2.014798	0.133688	0.30871	0.168789	1.403611	172	1	1
parigrah	parigrah	336	220	83	14	18	0.917879	0.875106				1.048804	0.957876				224	1	1
sahas	sahas	348	354	117	72	17	0.915665	0.824336	0.914943			0.413184	1.148797	0.397679			238	1	1
ubhaya	uBaya	523	303	285	187	70	0.91509	0.786452	0.793399	0.857806	0.909235	1.225339	0.360088	0.305163	0.017779	1.152635	245	1	1
jīva	jIva	265	218	127	256	91	0.914231	0.861356	0.832262	0.84927	0.914661	0.71951	0.331055	1.314076	0.056815	0.206695	253	1	1
aśva	aSva	1508	1412	354	220	99	0.718837	0.641874	0.68601	0.828839	0.780396	0.532742	1.547475	0.383485	0.283387	2.180315	1247	0	1
brāhmaṇa	brAhmaRa	2094	2504	1094	363	377	0.715699	0.600958	0.676877	0.725924	0.765118	0.179873	0.746178	1.28881	1.489985	0.724876	1248	0	1
karman	karman	1296	4513	2077	1595	456	0.708559	0.58227	0.661418	0.727498	0.787465	1.362175	0.671141	0.078184	0.371061	0.241789	1251	0	1
udaka	udaka	557	491	583	233	138	0.705665	0.55804	0.725081	0.770743	0.787488	0.6198	0.696217	1.020405	0.679728	0.26426	1252	0	1
iva	iva	3739	8929	4699	2664	289	0.705116	0.559869	0.568493	0.683824	0.816342	0.818	0.477701	0.515999	1.769063	1.944762	1253	0	1
vā	vA	6800	6929	6901	3013	1844	0.693084	0.629462	0.696114	0.818657	0.798563	0.410734	0.442603	0.892844	0.727028	0.133947	1254	0	1
na	na	11403	25665	13854	9492	3309	0.682528	0.522646	0.495805	0.567658	0.697162	0.732543	0.441055	0.242758	0.084927	0.036197	1255	0	1
agni	agni	13046	2060	1839	1554	809	0.669181	0.552731	0.624664	0.651193	0.691507	3.100737	0.284721	0.059826	0.493615	2.262575	1256	0	1
vāsas	vAsas	651	423	311	115	71	0.66913	0.619966	0.733416	0.75731	0.755124	1.059846	0.004701	1.13252	0.739647	1.448018	1257	0	1
māṃsa	mAMsa	301	625	830	440	79	0.65205	0.476987	0.617435	0.731916	0.771998	0.616247	0.857699	0.612847	1.042189	0.18109	1258	0	1
śikṣ	Sikz	106	192	31	13	3	0.986693					0.419196					1	1	2
sadana	sadana	213	86	75	50	16	0.967645	0.774671	0.769619			1.746291	0.250998	0.282202			7	1	2
