lemma_iast	lemma_slp1	n1	n2	n3	n4	n5	dist_12	dist_23	dist_34	dist_45	dist_15	fshift_12	fshift_23	fshift_34	fshift_45	fshift_15	graded_rank_12	binary_changed_12
darpa	darpa	2	193	76	108	18		0.793683	0.845631				0.896085	0.809721				
darśana	darSana	84	1139	815	387	178	0.872317	0.663478	0.730251	0.815849	0.906539	3.323388	0.034451	0.771706	0.314934	2.832165	621	0
darśay	darSay	44	405	271	445	99		0.836755	0.832083	0.858217			0.131185	1.018273	0.732915			
darśin	darSin	4	226	85	49	11		0.807411					0.962344					
dasyu	dasyu	127	121	24	40	3	0.938547					0.507668					80	1
daurbalya	dOrbalya	4	50	52	17	0		0.673017					0.505028					
dayita	dayita	0	122	77	69	11		0.865084	0.879569				0.215506	0.144499				
dayā	dayA	4	85	75	59	31		0.841801	0.78764				0.267872	0.043415				
daśama	daSama	146	58	69	61	40	0.848959	0.723154	0.786366			1.76969	0.698988	0.124974			804	0
daśan	daSan	748	1112	776	644	327	0.803756	0.591419	0.692381	0.740443	0.797814	0.1342	0.070584	0.033765	0.45762	0.555001	1071	0
daṃś	daMS	21	83	135	41	17		0.787666					1.15022					
daṃṣṭra	daMzwra	37	141	101	61	20		0.749079	0.792464				0.032896	0.424713				
daṇḍa	daRqa	293	899	500	255	99	0.775121	0.649454	0.745111	0.804769	0.853422	1.179574	0.397949	0.66867	0.070393	0.183349	1166	0
daṇḍay	daRqay	10	61	88	14	3		0.754469					0.977139					
deha	deha	7	611	655	1071	286		0.750663	0.741706	0.775888			0.548767	1.012153	0.469481			
dehin	dehin	3	151	179	117	23		0.798268	0.870199				0.693855	0.31069				
deva	deva	10866	4730	4265	1700	1581	0.778506	0.5789	0.566419	0.646277	0.724037	1.637755	0.29915	1.02425	1.330693	1.032163	1159	0
devadeva	devadeva	0	84	335	77	99		0.695497	0.73615	0.835204			2.444144	1.81847	1.79796			
devarāja	devarAja	0	150	51	5	23		0.845995					1.107949					
devatā	devatA	2020	500	420	302	230	0.821529	0.71638	0.769473	0.775455	0.795567	2.452201	0.196906	0.17308	1.042475	1.3859	983	0
devayānī	devayAnI	2	118	98	16	0		0.296413					0.180511					
deveśa	deveSa	0	89	133	53	117		0.790644	0.760691	0.817106			1.027993	1.024601	2.577834			
devī	devI	722	678	805	1407	328	0.875013	0.688828	0.681461	0.741917	0.903489	0.52856	0.696148	1.108323	0.665465	0.610446	591	0
deśa	deSa	326	1051	917	537	148	0.806101	0.704039	0.722663	0.793052	0.824525	1.250973	0.251675	0.469239	0.423935	0.609474	1061	0
deśay	deSay	0	162	64	4	92		0.776972					0.891406					
dhairya	DErya	7	149	91	69	11		0.803468	0.794502				0.26293	0.096509				
dham	Dam	41	83	22	886	130				0.521572					1.333405			
dhana	Dana	399	964	611	414	140	0.831075	0.59679	0.67418	0.742194	0.863984	0.834798	0.209416	0.258781	0.128814	0.237787	926	0
dhanin	Danin	6	54	51	28	1		0.577822					0.365982					
dhanus	Danus	107	1259	212	99	40	0.838158	0.675558	0.776514			3.118749	2.121698	0.795803			878	0
dhanvan	Danvan	135	114	26	21	3	0.89553					0.681772					421	0
dhanya	Danya	21	97	119	107	38		0.815248	0.807664				0.743349	0.14941				
dhara	Dara	3	428	347	131	96		0.624311	0.685816	0.726076			0.145769	1.102608	0.98693			
dharaṇī	DaraRI	1	191	84	35	43		0.836509					0.736667					
dharma	Darma	383	7830	2521	1093	614	0.764853	0.576495	0.604028	0.676857	0.822251	3.91575	1.186572	0.902942	0.603407	2.429643	1184	0
dharman	Darman	147	67	39	11	12	0.925683					1.571429					165	1
dharmin	Darmin	5	65	64	39	2		0.850793					0.426077					
dharmya	Darmya	5	151	56	15	3		0.779779					0.982605					
dharā	DarA	3	52	81	80	32		0.886357	0.872201				1.087855	0.284839				
dhavala	Davala	0	0	89	61	11			0.788161					0.242235				
dhenu	Denu	443	87	72	47	43	0.844215	0.848177				2.786066	0.175426				839	0
dhik	Dik	4	155	78	51	4		0.783471	0.860591				0.542278	0.310216				
dhruva	Druva	577	212	260	89	19	0.878199	0.795868	0.809988			1.882353	0.742892	1.243873			565	0
dhruvam	Druvam	5	262	72	263	107		0.898357	0.944673	0.84028			1.415054	2.171755	0.137938			
dhvaja	Dvaja	16	744	179	89	39		0.626029	0.769904				1.606899	0.705321				
dhvani	Dvani	1	43	118	65	24			0.86281					0.557514				
dhyā	DyA	209	184	258	347	168	0.903109	0.831508	0.757547	0.762742	0.887662	0.621643	0.93611	0.730325	0.388916	1.433707	339	0
dhyāna	DyAna	15	220	274	207	85		0.729693	0.762695	0.792089			0.765117	0.101784	0.151294			
dhā	DA	4218	131	213	170	129	0.889697	0.882554	0.786087	0.842995	0.771384	5.446767	1.149731	0.022558	1.037226	3.282367	469	0
dhāman	DAman	491	35	125	192	44			0.83402					0.921939				
dhānya	DAnya	84	148	186	258	79	0.811239	0.689762	0.712937	0.715024	0.849065	0.37929	0.77815	0.774829	0.272057	1.660212	1026	0
dhāray	DAray	448	623	310	307	144	0.880288	0.799244	0.807374	0.834377	0.876594	0.037887	0.55852	0.288731	0.34322	0.111319	546	0
dhāraṇa	DAraRa	20	131	137	110	34		0.752386	0.829845				0.513053	0.013911				
dhārin	DArin	6	165	136	54	22		0.817969	0.849601				0.169585	1.029814				
dhārmika	DArmika	9	216	132	33	25		0.766469					0.262049					
dhārā	DArA	380	206	141	107	37	0.852117	0.73247	0.77849			1.321201	0.098505	0.095323			779	0
dhātrī	DAtrI	2	60	168	115	34		0.801049	0.738685				1.933871	0.244066				
dhātu	DAtu	85	434	407	399	216	0.90583	0.681488	0.720951	0.751975	0.942062	1.914314	0.355778	0.274121	0.550033	3.094246	309	1
dhātṛ	DAtf	250	136	104	80	21	0.838746	0.712075	0.760914			1.316168	0.061421	0.075751			876	0
dhāv	DAv	193	129	127	92	41	0.920338	0.8191	0.843696			1.019076	0.425902	0.162362			210	1
dhī	DI	502	101	166	308	57	0.910062	0.821405	0.791487	0.822778	0.867884	2.751178	1.165272	1.194508	0.998507	1.389904	275	1
dhīmat	DImat	1	659	270	132	35		0.750883	0.856044				0.838875	0.729661				
dhīra	DIra	138	214	122	192	18	0.883075	0.805185	0.80007			0.195096	0.362285	0.956986			521	0
dhū	DU	128	80	49	19	16	0.94303					1.115918					58	1
dhūma	DUma	156	176	317	167	81	0.830003	0.686923	0.773654	0.752107	0.881592	0.263817	1.297352	0.621874	0.391536	0.803197	931	0
dhūpa	DUpa	11	72	138	67	75		0.669834	0.682353	0.711203			1.387044	0.739674	1.59812			
dhṛ	Df	340	286	222	261	120	0.904079	0.799449	0.787707	0.817911	0.916094	0.687366	0.082989	0.536251	0.314375	0.246249	325	0
dhṛti	Dfti	141	223	115	80	26	0.878175	0.744528	0.795232			0.223502	0.506966	0.220801			566	0
dih	dih	15	79	71	17	3		0.848098					0.294411					
dina	dina	32	59	279	1715	332		0.805696	0.785028	0.643733			2.689923	2.922632	0.933563			
div	div	2743	646	382	199	101	0.755122	0.699336	0.791212	0.859922	0.769302	2.523995	0.309517	0.638043	0.456977	3.014578	1208	0
divasa	divasa	8	232	331	239	42		0.758068	0.82637				0.961151	0.16706				
divaukas	divOkas	0	159	67	15	11		0.853067					0.798349					
divya	divya	319	1441	889	887	297	0.893442	0.670332	0.716248	0.712022	0.882423	1.737596	0.248371	0.299512	0.143081	1.645656	445	0
divā	divA	167	70	117	69	18	0.818425	0.764186	0.821756			1.692267	1.189526	0.459079			998	0
divākara	divAkara	2	190	117	34	25		0.794298					0.251047					
diś	diS	1525	1142	624	441	286	0.806867	0.644236	0.705244	0.78285	0.79836	0.855093	0.4235	0.198006	0.810626	0.665973	1058	0
doṣa	doza	74	1140	1759	1437	298	0.864158	0.505237	0.553857	0.66789	0.92095	3.507519	1.074166	0.011065	0.834286	3.758464	691	0
drava	drava	3	63	139	816	140		0.691875	0.816127	0.626487			1.590105	2.856245	1.107752			
dravya	dravya	70	486	670	888	300	0.81096	0.660318	0.692981	0.732304	0.869344	2.357683	0.911649	0.709159	0.130207	3.848285	1029	0
droṇa	droRa	34	1714	115	193	22		0.804938	0.802622				3.449217	1.049728				
dru	dru	145	233	96	504	133	0.905987	0.847836	0.852114	0.627247	0.925392	0.246431	0.830779	2.695078	0.486607	1.624122	307	1
druma	druma	2	451	211	77	22		0.686061	0.79094				0.64744	1.151552				
dugdha	dugDa	54	7	76	306	104			0.756119	0.563478	0.895952			2.312221	0.121558	2.694301		
duhitṛ	duhitf	154	458	233	90	62	0.926068	0.778177	0.822222	0.889329	0.912144	1.134571	0.526573	1.069572	0.897733	0.436159	160	1
dundubhi	dunduBi	80	128	51	34	12	0.902527	0.781267				0.240226	0.87913				343	0
durbala	durbala	3	206	118	48	7		0.69097					0.355413					
durga	durga	52	269	68	69	13	0.876566	0.836487	0.836587			1.933177	1.535555	0.323823			580	0
durjaya	durjaya	0	133	53	48	7		0.833993					0.878918					
durlabha	durlaBa	2	214	162	173	101		0.817593	0.82351	0.702345			0.046827	0.397539	0.658973			
durātman	durAtman	1	261	62	26	11		0.882722					1.625265					
duḥkha	duHKa	24	1736	859	470	209		0.584143	0.662352	0.733943			0.566593	0.567236	0.266232			
duḥkhita	duHKita	0	344	92	69	19		0.76377	0.811941				1.454258	0.112277				
duṣ	duz	47	230	371	126	55		0.79462	0.784719	0.828109			1.13823	1.255235	0.23947			
duṣkara	duzkara	1	233	71	23	17		0.848777					1.265995					
duṣkṛta	duzkfta	53	147	45	18	24	0.861517					1.033906					706	0
duṣṭa	duzwa	2	61	75	31	32		0.896206					0.746526					
dvaya	dvaya	85	113	486	805	247	0.951782	0.877579	0.684128	0.673659	0.912677	0.027058	2.553078	1.030793	0.269088	3.287725	30	1
dvaṃdva	dvaMdva	59	127	82	181	58	0.91437	0.852567	0.843318	0.842918	0.954552	0.668196	0.182688	1.445055	0.206475	1.724087	251	1
dveṣa	dveza	7	142	144	78	28		0.743634	0.774044				0.468622	0.581762				
dvi	dvi	1843	838	1365	1033	405	0.767166	0.602458	0.627165	0.699237	0.779567	1.57488	1.152323	0.0993	0.084544	0.437313	1179	0
dvidhā	dviDA	8	92	154	155	17		0.867061	0.883038				1.191669	0.312099				
dviguṇa	dviguRa	30	130	233	267	86		0.789122	0.752674	0.65981			1.290263	0.499271	0.199041			
dvija	dvija	28	1130	1017	434	331		0.657582	0.730104	0.763328			0.296441	0.925792	1.044526			
dvijottama	dvijottama	2	194	260	29	94		0.86696					0.870899					
dvijāti	dvijAti	13	279	148	41	23		0.791443					0.466224					
dvitīya	dvitIya	663	282	372	376	181	0.870806	0.814552	0.804506	0.868969	0.850688	1.67116	0.848052	0.318191	0.380647	0.12427	639	0
dvividha	dviviDa	6	95	151	124	70		0.704729	0.860762	0.787021			1.116993	0.018552	0.610477			
dviṣ	dviz	1028	360	154	70	28	0.897121	0.782691	0.854913			1.951618	0.776622	0.834743			397	0
dvādaśan	dvAdaSan	1039	318	313	308	204	0.730881	0.668843	0.681042	0.755168	0.829477	2.145943	0.42558	0.279529	0.841029	0.599806	1239	0
dvāpara	dvApara	8	67	120	11	20		0.760225					1.289246					
dvār	dvAr	244	67	42	92	36	0.885724					2.302494					502	0
dvāra	dvAra	172	365	315	256	126	0.809707	0.7191	0.764212	0.750653	0.849883	0.647642	0.2359	0.003553	0.41267	1.299764	1038	0
dvārakā	dvArakA	0	67	94	22	10		0.800333					0.936944					
dvātriṃśat	dvAtriMSat	34	66	62	49	34		0.68022					0.358247					
dvīpa	dvIpa	11	132	264	95	33		0.765372	0.752447				1.448444	1.171778				
dyuti	dyuti	2	367	187	83	24		0.772954	0.791334				0.524297	0.869094				
dyūta	dyUta	8	224	72	43	3		0.814922					1.188986					
dā	dA	2768	2856	2834	2601	1306	0.765724	0.603044	0.619445	0.606277	0.794855	0.392694	0.437288	0.178988	0.441478	0.66506	1180	0
dāha	dAha	9	123	553	455	89		0.517383	0.480501	0.533557			2.617065	0.021348	0.918599			
dāna	dAna	205	860	552	362	417	0.775722	0.66923	0.666123	0.732102	0.791981	1.630867	0.191224	0.305918	1.639448	2.773173	1163	0
dānava	dAnava	12	542	652	75	162		0.612045	0.793418	0.813982			0.715023	2.817149	2.546421			
dāpay	dApay	5	58	245	151	42		0.791278	0.875394				2.527101	0.395472				
dāra	dAra	45	407	222	110	54		0.726333	0.79349	0.789541			0.426025	0.710295	0.408918			
dāraka	dAraka	1	73	159	7	14		0.752801					1.571503					
dāru	dAru	79	51	126	37	26	0.849978	0.856069				1.069202	1.753299				797	0
dāruṇa	dAruRa	10	565	247	100	45		0.743214	0.80741				0.745296	1.00175				
dāsa	dAsa	99	117	126	47	28	0.898237	0.775956				0.196838	0.55536				385	0
dāsī	dAsI	30	109	102	42	24		0.768116					0.352685					
dātṛ	dAtf	163	159	78	82	43	0.882859	0.761168	0.747296			0.473691	0.579036	0.374911			524	0
dāyin	dAyin	6	7	51	134	22			0.89454					1.696425				
dāyāda	dAyAda	9	68	113	12	5		0.802792					1.18116					
dāḍima	dAqima	0	33	156	72	23			0.717033					0.812716				
dīkṣā	dIkzA	384	64	44	211	76	0.890766			0.793463	0.806059	3.022809			0.037782	0.588286	462	0
dīna	dIna	10	481	131	96	23		0.737848	0.8291				1.428026	0.1457				
dīp	dIp	75	656	244	154	34	0.853499	0.667552	0.798706			2.690887	0.97837	0.36119			770	0
dīpa	dIpa	16	121	141	127	83		0.743333	0.749082	0.765062			0.669132	0.151894	0.821745			
dīpana	dIpana	0	17	214	385	76			0.446908	0.464261				1.150009	0.905397			
dīrgha	dIrGa	292	504	339	262	96	0.837864	0.677149	0.734323	0.758122	0.888093	0.349609	0.123694	0.068958	0.01307	0.143887	882	0
dūra	dUra	89	179	196	173	49	0.898212	0.81932	0.794136			0.570236	0.579338	0.122679			386	0
dūrāt	dUrAt	29	37	59	59	5			0.902776					0.302761				
dūta	dUta	206	242	134	91	29	0.907748	0.779719	0.842965			0.205483	0.40433	0.255534			288	1
dūṣay	dUzay	16	74	174	69	11		0.839635	0.759587				1.681934	1.031658				
dūṣaṇa	dUzaRa	22	79	51	60	8		0.886704	0.868802				0.182911	0.537226				
dṛ	df	51	72	18	10	5	0.876712					0.059654					575	0
dṛś	dfS	641	7575	3758	2456	929	0.833086	0.638528	0.650289	0.669815	0.823814	3.125003	0.562837	0.310894	0.03283	2.284103	914	0
dṛḍha	dfQa	77	409	180	361	134	0.893461	0.735704	0.825449	0.674851	0.92879	1.971324	0.73566	1.306763	0.005624	2.548052	444	0
dṛṣṭi	dfzwi	10	229	451	237	70		0.808241	0.789931	0.824333			1.426224	0.625479	0.32407			
e	e	874	211	140	172	45	0.870151	0.814471	0.866934			2.488236	0.143372	0.599743			644	0
edh	eD	63	76	10	20	3	0.939671					0.167199					75	1
eka	eka	3637	2897	2655	3296	1004	0.756446	0.666932	0.736327	0.721063	0.809192	0.766035	0.322596	0.614765	0.279567	0.108241	1205	0
ekadā	ekadA	1	11	79	122	10			0.827319					0.929717				
ekaika	ekEka	252	198	164	232	79	0.900526	0.818131	0.809298	0.832174	0.86084	0.785769	0.17664	0.80319	0.11881	0.07525	365	0
ekādaśan	ekAdaSan	524	55	108	58	26	0.920418	0.869376	0.792409			3.689909	1.421972	0.594146			209	1
ekānta	ekAnta	2	138	187	78	16		0.801275	0.895122				0.886814	0.958731				
elā	elA	0	24	123	59	19			0.664412					0.757111				
enad	enad	5745	1611	698	277	189	0.807267	0.668448	0.761447	0.870102	0.857017	2.272197	0.758213	1.03058	0.88389	3.1771	1054	0
enas	enas	229	58	23	10	11	0.893738					2.419069					441	0
eraṇḍa	eraRqa	1	15	90	96	21			0.682072					0.39587				
etad	etad	20347	9220	6034	4187	1627	0.835176	0.623584	0.66584	0.773181	0.79786	1.579824	0.163208	0.224437	0.071687	1.895781	899	0
etāvat	etAvat	274	163	91	78	15	0.95031	0.84982	0.8985			1.18715	0.392489	0.080368			36	1
eva	eva	21488	17500	13292	9775	3407	0.825718	0.5714	0.667582	0.717053	0.786697	0.734022	0.051648	0.140629	0.085205	0.908208	951	0
evam	evam	4069	5437	3379	2987	1035	0.866382	0.643985	0.702623	0.717286	0.855819	0.01971	0.23777	0.124862	0.093676	0.226294	677	0
evaṃvidha	evaMviDa	5	176	130	80	68		0.849624	0.885804	0.923738			0.011381	0.397679	1.200925			
eṣin	ezin	4	251	55	20	3		0.823368					1.74174					
ga	ga	74	309	349	386	143	0.837737	0.705676	0.736959	0.786259	0.885759	1.624164	0.624065	0.448135	0.002804	2.699167	885	0
gad	gad	2	88	73	271	32		0.890318	0.866027				0.178837	2.195085				
gada	gada	3	63	137	178	50		0.830005	0.707403	0.686929			1.569196	0.680462	0.396487			
gadā	gadA	0	757	188	171	68		0.643555	0.713066	0.741844			1.561116	0.166025	0.105			
gagana	gagana	2	127	124	217	107		0.784052	0.803374	0.714384			0.413956	1.110116	0.415306			
gahana	gahana	8	85	60	33	7		0.84421					0.054056					
gairika	gErika	0	22	53	100	35			0.835565					1.218697				
gaja	gaja	7	855	297	252	72		0.62874	0.7161	0.791103			1.077017	0.065722	0.371965			
gal	gal	0	7	54	94	57			0.85658	0.792242				1.102462	0.713691			
gala	gala	2	24	128	60	22			0.812408					0.790349				
gam	gam	2352	7584	4378	2611	1424	0.795308	0.553272	0.623613	0.644547	0.782967	1.251225	0.344243	0.442909	0.560737	1.02481	1106	0
gamana	gamana	29	244	230	120	62		0.796768	0.824525	0.831028			0.363197	0.635839	0.482696			
gamay	gamay	248	56	69	16	16	0.956754	0.911149				2.584688	0.749614				16	1
gambhīra	gamBIra	24	183	151	68	41		0.733672	0.7817				0.171149	0.848181				
gandha	ganDa	190	621	629	990	328	0.709853	0.625391	0.704524	0.612517	0.790005	1.270748	0.466911	0.957129	0.158343	2.536445	1250	0
gandhaka	ganDaka	0	0	1	962	229				0.480445					0.635299			
gandharva	ganDarva	309	834	383	124	87	0.82172	0.592342	0.654103	0.71343	0.83477	0.994594	0.674259	1.324243	0.924137	0.07977	977	0
garbha	garBa	824	587	620	538	175	0.795965	0.680032	0.716561	0.751737	0.867629	0.92713	0.527352	0.098099	0.184861	0.48654	1103	0
garta	garta	54	19	11	126	59				0.528018	0.923216				0.340753	1.876505		
garuḍa	garuqa	2	185	123	77	56		0.662589	0.852447	0.850742			0.140423	0.372967	0.975958			
garīyas	garIyas	14	83	58	19	7		0.869153					0.068614					
gati	gati	74	1125	717	429	263	0.901319	0.710274	0.774032	0.751818	0.898843	3.48841	0.201436	0.438235	0.729475	3.578215	354	0
gaura	gOra	36	49	79	57	13			0.836173					0.16813				
gaurava	gOrava	2	161	194	128	26		0.696825	0.794608				0.71744	0.297152				
gaurī	gOrI	10	13	79	91	41			0.806262					0.506775				
gautama	gOtama	124	335	177	47	21	0.873804	0.795071				0.995975	0.471967				603	0
gavya	gavya	71	28	58	62	30			0.754314					0.398976				
gaṅgā	gaNgA	12	499	214	157	149		0.752234	0.768808	0.762044			0.772985	0.144085	1.359938			
gaṇa	gaRa	216	1251	1141	460	241	0.86002	0.552222	0.768386	0.766941	0.869997	2.096132	0.315661	1.007832	0.502789	1.906751	719	0
gaṇay	gaRay	0	41	55	55	13			0.880307					0.302761				
ghana	Gana	26	152	361	378	139		0.727457	0.726398	0.708974			1.696372	0.369148	0.007911			
gharma	Garma	288	42	56	163	71			0.868792	0.85825	0.795291			1.844134	0.236409	0.271429		
ghaṇṭā	GaRwA	0	84	57	47	21		0.855886					0.110983					
ghaṭa	Gawa	5	65	154	231	91		0.79881	0.773273	0.762718			1.692863	0.887723	0.091436			
ghna	Gna	132	330	560	892	168	0.917276	0.567886	0.4705	0.455967	0.941362	0.884082	1.211405	0.974378	0.973192	2.096672	228	1
ghora	Gora	104	1443	408	283	146	0.873242	0.619252	0.717509	0.780599	0.914761	3.35657	1.373986	0.225006	0.480556	2.238134	614	0
ghoṣa	Goza	120	282	99	80	34	0.8441	0.772881	0.855244			0.794815	1.06175	0.004668			841	0
ghrāṇa	GrARa	11	95	110	62	24		0.700916	0.752392				0.659948	0.524403				
ghātay	GAtay	5	118	56	46	18		0.842224					0.626844					
ghātin	GAtin	1	117	50	23	20		0.870055					0.778064					
ghṛta	Gfta	1057	258	1043	534	201	0.757252	0.4988	0.510111	0.566497	0.733958	2.472379	2.463741	0.663067	0.025746	0.645959	1202	0
gir	gir	467	191	128	182	28	0.934561	0.760647	0.822078			1.727696	0.128985	0.810556			105	1
giri	giri	150	785	444	210	95	0.86003	0.609461	0.740172	0.732057	0.86116	1.949884	0.373689	0.777409	0.291	1.089786	718	0
go	go	2121	1272	1203	801	424	0.734126	0.578393	0.619134	0.644085	0.762776	1.175492	0.367982	0.284002	0.517652	0.573859	1238	0
gocara	gocara	4	108	180	105	24		0.829227	0.820319				1.18541	0.474847				
godhūma	goDUma	19	26	71	52	10			0.670855					0.146547				
gomaya	gomaya	75	26	84	117	55			0.79821	0.67222	0.800344			0.780808	0.346385	1.30129		
gomukha	gomuKa	2	10	153	67	3			0.879922					0.888538				
goptṛ	goptf	65	97	29	21	8	0.874659					0.139699					594	0
gotra	gotra	78	96	123	57	27	0.879331	0.858609	0.860106			0.138286	0.805996	0.806864			558	0
govinda	govinda	3	163	161	74	42		0.819258	0.861447				0.430633	0.818703				
grah	grah	2789	1456	1237	1220	377	0.873751	0.765077	0.74641	0.770037	0.876767	1.375584	0.213279	0.282797	0.258855	1.138362	605	0
graha	graha	733	268	532	271	98	0.894385	0.734091	0.730107	0.773157	0.851903	1.889426	1.437638	0.670372	0.032049	1.15421	432	0
grahaṇa	grahaRa	104	154	324	258	57	0.88345	0.772436	0.771834	0.86029	0.877316	0.128501	1.521508	0.025862	0.742947	0.881199	520	0
grahaṇī	grahaRI	4	31	108	121	25			0.608442					0.466737				
grantha	granTa	3	29	42	109	71				0.787487					0.816953			
granthi	granTi	131	24	187	110	23			0.839612					0.462774				
gras	gras	44	168	99	156	52		0.827574	0.842602	0.835109			0.314516	0.958806	0.149572			
grāhay	grAhay	37	45	62	51	5			0.937169					0.02099				
grāhin	grAhin	2	31	77	96	27			0.82441					0.620937				
grāma	grAma	332	315	257	148	80	0.786241	0.730043	0.790534	0.834188	0.828277	0.513678	0.154861	0.49341	0.547865	0.304362	1132	0
grāmya	grAmya	137	60	63	26	3	0.886078	0.748314				1.628988	0.518834				495	0
grāsa	grAsa	28	15	52	199	127			0.896115	0.644675				2.238946	0.78745			
grīvā	grIvA	220	96	126	38	17	0.854409	0.644073				1.634243	0.840762				763	0
grīṣma	grIzma	97	42	72	65	17			0.726476					0.155204				
guda	guda	68	31	186	70	21			0.67787					1.107115				
guggulu	guggulu	4	6	57	93	22			0.800121					1.00903				
guh	guh	55	154	147	91	23	0.909777	0.769119	0.885322			1.047581	0.38133	0.389117			277	1
guhya	guhya	51	114	115	79	34	0.902554	0.830213	0.813705			0.722619	0.461044	0.238948			342	0
guhā	guhA	123	135	121	50	25	0.843821	0.805214	0.869853			0.303545	0.290492	0.972246			843	0
gulma	gulma	4	238	352	251	77		0.592616	0.51097	0.519761			1.013058	0.185127	0.269367			
gup	gup	95	209	84	124	52	0.905203	0.878723	0.870147	0.874736	0.895857	0.699657	0.866597	0.86464	0.181633	0.879333	315	1
guru	guru	237	1433	1446	1577	448	0.738585	0.579646	0.632927	0.67231	0.789397	2.158234	0.461473	0.427876	0.380222	2.667361	1234	0
guñjā	guYjA	0	6	21	374	69				0.620643					1.00298			
guḍa	guqa	6	46	279	185	65			0.600368	0.5832				0.289979	0.073624			
guḍūcī	guqUcI	0	19	83	67	13			0.607281					0.006189				
guṇa	guRa	68	2066	1586	1868	455	0.850928	0.613398	0.660062	0.708896	0.885855	4.487316	0.066997	0.538863	0.602166	4.491009	790	0
guṇavat	guRavat	8	129	82	51	14		0.884049	0.880278				0.205231	0.382366				
guṭikā	guwikA	0	14	45	218	62				0.780964					0.378598			
gā	gA	1020	261	328	238	83	0.874626	0.757878	0.736142	0.794019	0.865509	2.404294	0.77809	0.159973	0.084388	1.870565	596	0
gāmin	gAmin	16	201	129	81	29		0.823597	0.841235				0.19138	0.368616				
gāthā	gATA	86	132	97	8	98	0.902457	0.771729			0.845762	0.180283	0.003963			1.937194	344	0
gātra	gAtra	53	431	335	117	72	0.891565	0.699448	0.789305	0.834631	0.940649	2.585777	0.084918	1.214892	0.73495	2.190754	457	0
gāyatrī	gAyatrI	817	13	132	59	72			0.644032	0.682879	0.816088			0.85899	1.722672	1.755518		
gāḍham	gAQam	0	27	58	79	20			0.886245					0.748561				
gīta	gIta	26	134	139	63	45		0.691981	0.778919				0.501296	0.8389				
gṛdhra	gfDra	32	197	62	87	10		0.748615	0.802871				1.219411	0.791508				
gṛha	gfha	809	890	1009	719	225	0.784827	0.694832	0.670213	0.766177	0.836772	0.30018	0.629493	0.186102	0.240677	0.097466	1135	0
gṛhapati	gfhapati	289	53	324	4	38	0.90404	0.631675				2.884851	3.060374				327	0
gṛhastha	gfhasTa	22	117	101	30	17		0.722859					0.236291					
ha	ha	6229	1397	372	137	153	0.83425	0.713722	0.800499	0.894699	0.899415	2.594515	1.460513	1.138366	1.594746	3.598648	906	0
han	han	2103	4688	1508	1412	341	0.774186	0.564054	0.610474	0.664712	0.833373	0.718678	1.187892	0.207865	0.614506	0.875856	1170	0
hanta	hanta	96	90	27	41	21	0.931114					0.530956					127	1
hara	hara	6	270	685	810	290		0.666625	0.600684	0.598629			1.791589	0.544579	0.046479			
haraṇa	haraRa	47	83	71	68	15		0.894975	0.8417				0.223152	0.240477				
hari	hari	442	826	706	701	231	0.864552	0.765214	0.735724	0.791702	0.910251	0.464249	0.221971	0.292507	0.166132	0.812596	687	0
haridrā	haridrA	5	23	121	78	28			0.709913					0.3307				
haritāla	haritAla	1	7	37	60	50				0.654826					1.172356			
harītakī	harItakI	0	20	70	71	25			0.765384					0.323225				
harṣa	harza	7	442	231	145	27		0.739053	0.771866				0.487709	0.369079				
has	has	18	152	132	101	21		0.807637	0.830314				0.244911	0.083422				
hasta	hasta	749	617	856	516	178	0.782142	0.625351	0.682276	0.681767	0.820204	0.717541	0.920785	0.427479	0.100104	0.324339	1144	0
hastin	hastin	102	323	137	81	37	0.815522	0.721484	0.826841			1.225119	0.788914	0.455421			1008	0
havis	havis	1605	180	105	36	77	0.822811	0.760576			0.773361	3.594351	0.329163			2.632822	968	0
havya	havya	486	93	59	14	14	0.883658	0.795605				2.8235	0.208071				517	0
haya	haya	51	873	91	135	37	0.900392	0.761274	0.804274			3.659566	2.813599	0.871782			366	0
haṃsa	haMsa	69	254	201	141	74	0.79652	0.651202	0.739029	0.801485	0.877606	1.442314	0.110811	0.208739	0.505292	1.849678	1102	0
heman	heman	19	405	212	1055	279		0.696121	0.750883	0.58487			0.485413	2.617868	0.483516			
hetu	hetu	13	1074	751	580	208		0.661417	0.690943	0.818748			0.067665	0.069999	0.044079			
hi	hi	5423	9386	4235	3686	1178	0.80201	0.624237	0.683643	0.76249	0.821489	0.353573	0.699704	0.102455	0.210327	0.454003	1079	0
hikkā	hikkA	0	28	58	54	18			0.723031					0.199667				
hima	hima	35	77	238	195	65		0.837338	0.704347	0.660994			2.076476	0.015273	0.149572			
himavant	himavant	24	241	124	62	17		0.742377	0.804499				0.510249	0.697239				
hiraṇmaya	hiraRmaya	78	58	55	21	6	0.925131	0.817846				0.865267	0.371823				173	1
hiraṇya	hiraRya	1061	139	136	30	59	0.791101	0.710581			0.820006	3.370114	0.416966			2.419817	1118	0
hita	hita	45	1154	1053	454	167		0.668696	0.680433	0.779179			0.316307	0.91098	0.007454			
hiṃs	hiMs	559	138	52	18	22	0.893227	0.833785				2.456026	0.95964				447	0
hiṃsā	hiMsA	20	113	116	31	17		0.747923					0.486246					
hiṅgu	hiNgu	0	27	147	104	19			0.655727					0.196472				
