lemma_iast	lemma_slp1	n1	n2	n3	n4	n5	dist_12	dist_23	dist_34	dist_45	dist_15	fshift_12	fshift_23	fshift_34	fshift_45	fshift_15	graded_rank_12	binary_changed_12
agni	agni	13046	2060	1839	1554	809	0.669181	0.552731	0.624664	0.651193	0.691507	3.100737	0.284721	0.059826	0.493615	2.262575	1256	0
agnihotra	agnihotra	643	79	39	11	22	0.870523					3.46274					642	0
agra	agra	1361	735	584	462	221	0.767498	0.691638	0.71354	0.722439	0.801869	1.326697	0.116668	0.035315	0.371544	0.8738	1177	0
agratas	agratas	43	255	127	57	52		0.854857	0.876939	0.896719			0.557224	0.853034	1.30294			
agrya	agrya	9	270	88	48	19		0.863204					1.16894					
aguru	aguru	1	55	74	37	13		0.742559					0.876538					
ah	ah	4061	1578	1566	1386	843	0.844732	0.695785	0.741672	0.799577	0.885115	1.801584	0.437431	0.126604	0.718067	0.519481	831	0
aha	aha	764	152	330	350	113	0.772141	0.683082	0.764368	0.749217	0.768093	2.767347	1.566839	0.38765	0.195642	1.008501	1172	0
ahar	ahar	2592	429	459	189	119	0.79122	0.692437	0.696901	0.826414	0.764735	3.032862	0.545961	0.977347	0.767965	2.696283	1116	0
ahaṃkāra	ahaMkAra	3	110	207	111	15		0.777862	0.668986				1.360572	0.59631				
ahi	ahi	230	47	65	116	31			0.791081					1.138374				
ahita	ahita	3	159	82	53	7		0.786611	0.810633				0.506887	0.326871				
ahiṃsā	ahiMsA	43	132	56	29	15		0.648247					0.788595					
aho	aho	1	234	183	200	15		0.759484	0.790897				0.093779	0.430917				
ahorātra	ahorAtra	92	35	80	98	32			0.805967					0.595543				
aindra	Endra	687	63	31	16	21	0.881203					3.884732					537	0
airāvata	ErAvata	2	68	51	15	3		0.871348					0.033407					
aiśvarya	ESvarya	22	234	242	108	25		0.776955	0.758706				0.496943	0.861215				
aja	aja	338	108	216	111	41	0.830443	0.729793	0.731109			2.083838	1.448444	0.657711			928	0
ajara	ajara	140	77	32	56	13	0.90053					1.300343					364	0
ajina	ajina	82	144	64	28	13	0.759187	0.771206				0.374527	0.721481				1198	0
ajñāna	ajYAna	9	172	141	103	41		0.746512	0.7685				0.161731	0.15029				
ajīrṇa	ajIrRa	2	24	98	100	45			0.73591					0.331907				
akasmāt	akasmAt	4	51	74	80	8		0.874146	0.87057				0.985472	0.415236				
akhila	aKila	2	95	347	252	71		0.85962	0.815644	0.906733			2.317381	0.158751	0.392143			
akāla	akAla	10	110	69	46	12		0.865225					0.224391					
akṛta	akfta	11	107	57	37	10		0.871981					0.460133					
akṣa	akza	326	668	439	261	84	0.827548	0.689844	0.737514	0.773866	0.907494	0.59713	0.157183	0.44741	0.200199	0.207662	946	0
akṣara	akzara	1192	219	265	158	111	0.807886	0.749516	0.806217	0.808202	0.775154	2.882228	0.723506	0.443307	0.926025	1.676004	1051	0
akṣaya	akzaya	6	191	130	108	93		0.762427	0.807365	0.790302			0.106617	0.035281	1.219661			
akṣi	akzi	185	125	313	125	30	0.837928	0.618204	0.736262			1.003443	1.772679	1.021474			881	0
alam	alam	107	183	218	174	22	0.945542	0.829211	0.878176			0.336387	0.700929	0.02248			53	1
alaṃkāra	alaMkAra	31	83	109	31	15		0.797849					0.841589					
alaṃkṛ	alaMkf	146	248	163	87	33	0.820767	0.727344	0.804516			0.326526	0.157024	0.603024			986	0
alpa	alpa	37	612	861	420	117		0.633625	0.701183	0.840933			0.940926	0.732863	0.408491			
amala	amala	0	71	155	116	41		0.832198	0.791129				1.574822	0.115383				
amara	amara	2	344	278	145	70		0.72237	0.810709	0.806592			0.141121	0.636271	0.384764			
amarṣa	amarza	0	144	55	14	3		0.861835					0.940121					
ambara	ambara	4	319	327	133	54		0.623543	0.66028	0.720541			0.484179	0.995103	0.134995			
ambhas	amBas	38	191	337	168	68		0.747271	0.746432	0.800651			1.26762	0.701526	0.130535			
ambu	ambu	2	120	449	297	66		0.758308	0.680698	0.785491			2.352125	0.293492	0.734535			
ambuda	ambuda	0	107	76	27	3		0.793618					0.045095					
ambuja	ambuja	0	22	80	108	36			0.814574					0.73572				
ambā	ambA	38	68	113	45	7		0.881731					1.18116					
amita	amita	32	406	148	27	5		0.795906					1.007438					
amitra	amitra	194	348	53	7	1	0.904809	0.806302				0.405185	2.266579				320	0
amla	amla	3	154	464	891	174		0.512338	0.53026	0.528623			2.039639	1.244062	0.920948			
amutra	amutra	65	66	33	16	7	0.906047					0.41582					306	1
amātya	amAtya	42	417	122	40	10		0.756777					1.324722					
amṛta	amfta	1319	435	431	497	132	0.799012	0.753391	0.729074	0.805171	0.840563	2.038203	0.435117	0.508319	0.477318	1.572086	1089	0
amṛtā	amftA	0	6	87	73	19			0.645214					0.049642				
an	an	1724	921	668	409	120	0.771735	0.72367	0.740986	0.843529	0.830796	1.342333	0.014909	0.404986	0.333676	2.095904	1173	0
anagha	anaGa	1	436	117	47	48		0.867557					1.449375					
anala	anala	2	192	247	224	57		0.736527	0.737559	0.798831			0.811849	0.161749	0.539075			
ananta	ananta	76	203	354	228	81	0.874824	0.774423	0.751639	0.839933	0.89676	0.979562	1.250714	0.331955	0.05765	1.840672	593	0
anantara	anantara	24	153	98	95	20		0.897348	0.867344				0.194234	0.257907				
anantaram	anantaram	10	117	129	104	118		0.906216	0.90286	0.860964			0.589307	0.008027	1.617593			
anartha	anarTa	3	167	122	42	1		0.798114					0.004523					
andha	anDa	103	184	137	114	47	0.856371	0.78314	0.823909			0.399215	0.022914	0.037619			746	0
andhaka	anDaka	0	117	138	27	36		0.807562					0.686604					
andhakāra	anDakAra	1	58	76	28	19		0.816322					0.838391					
aneka	aneka	18	295	421	198	86		0.75047	0.825195	0.862134			0.96155	0.785559	0.232298			
anila	anila	5	254	635	267	60		0.658384	0.61135	0.741434			1.770372	0.947156	0.718415			
