lemma_iast	lemma_slp1	n1	n2	n3	n4	n5	dist_12	dist_23	dist_34	dist_45	dist_15	fshift_12	fshift_23	fshift_34	fshift_45	fshift_15	graded_rank_12	binary_changed_12	freq_tercile	gold_binary	gold_graded	change_type	annotator_notes
ruc	ruc	333	216	82	47	30	0.959994	0.886915				1.062337	0.948891				11	1	1				
visṛj	visfj	264	420	113	149	16	0.948362	0.859274	0.87016			0.232005	1.445622	0.70175			42	1	1				
nidhana	niDana	391	240	73	59	11	0.946505	0.829667	0.873928			1.14198	1.268622	0.004421			49	1	1				
ācakṣ	Acakz	298	383	165	47	44	0.931882	0.82643				0.075814	0.766434				118	1	1				
vacas	vacas	247	1359	344	343	91	0.925562	0.698694	0.799693	0.825969	0.891014	2.022116	1.533621	0.298561	0.47888	0.308176	167	1	1				
māṃsa	mAMsa	301	625	830	440	79	0.65205	0.476987	0.617435	0.731916	0.771998	0.616247	0.857699	0.612847	1.042189	0.18109	1258	0	1				
vāsas	vAsas	651	423	311	115	71	0.66913	0.619966	0.733416	0.75731	0.755124	1.059846	0.004701	1.13252	0.739647	1.448018	1257	0	1				
agni	agni	13046	2060	1839	1554	809	0.669181	0.552731	0.624664	0.651193	0.691507	3.100737	0.284721	0.059826	0.493615	2.262575	1256	0	1				
na	na	11403	25665	13854	9492	3309	0.682528	0.522646	0.495805	0.567658	0.697162	0.732543	0.441055	0.242758	0.084927	0.036197	1255	0	1				
vā	vA	6800	6929	6901	3013	1844	0.693084	0.629462	0.696114	0.818657	0.798563	0.410734	0.442603	0.892844	0.727028	0.133947	1254	0	1				
śikṣ	Sikz	106	192	31	13	3	0.986693					0.419196					1	1	2				
sadana	sadana	213	86	75	50	16	0.967645	0.774671	0.769619			1.746291	0.250998	0.282202			7	1	2				
prasthā	prasTA	93	236	115	93	18	0.95688	0.842535	0.851589			0.905638	0.588709	0.00357			15	1	2				
etāvat	etAvat	274	163	91	78	15	0.95031	0.84982	0.8985			1.18715	0.392489	0.080368			36	1	2				
vikram	vikram	107	237	47	14	8	0.950098					0.70943					37	1	2				
gandha	ganDa	190	621	629	990	328	0.709853	0.625391	0.704524	0.612517	0.790005	1.270748	0.466911	0.957129	0.158343	2.536445	1250	0	2				
tila	tila	111	139	396	287	112	0.712756	0.615453	0.571371	0.627303	0.768615	0.113321	1.95886	0.161689	0.077838	1.761688	1249	0	2				
atithi	atiTi	208	264	130	77	27	0.720445	0.69594	0.686946			0.093892	0.573582	0.45282			1246	0	2				
dadhi	daDi	394	128	311	166	91	0.72162	0.556163	0.632779	0.65767	0.754287	2.059898	1.729215	0.60297	0.568145	0.365508	1245	0	2				
sarpis	sarpis	148	225	657	172	43	0.735899	0.481217	0.597842			0.166482	1.994413	1.630724			1236	0	2				
samāruh	samAruh	52	77	36	32	13	0.98528					0.128501					2	1	3				
vartman	vartman	50	72	205	74	13	0.976787	0.920631	0.897551			0.088223	1.957999	1.167266			3	1	3				
śiṣ	Siz	61	73	38	17	5	0.970019					0.178759					4	1	3				
abhidhā	aBiDA	55	134	461	598	86	0.969981	0.791157	0.776975	0.86199	0.962986	0.846883	2.230978	0.67814	1.362347	2.393654	5	1	3				
rudh	ruD	70	87	104	576	57	0.968672	0.899954	0.871509	0.659332	0.968536	0.124186	0.705941	2.772246	1.901645	1.452356	6	1	3				
yava	yava	460	84	367	121	42	0.737281	0.545268	0.704283			2.891019	2.575763	1.298012			1235	0	3				
aṅgula	aNgula	127	64	315	329	219	0.740108	0.550754	0.629566	0.444697	0.690384	1.426531	2.747652	0.365497	0.848233	2.534851	1233	0	3				
bhaikṣa	BEkza	62	115	52	8	4	0.748426	0.72477				0.453448	0.696606				1222	0	3				
śāka	SAka	50	95	170	122	42	0.754224	0.600977	0.714495			0.488153	1.28798	0.175893			1211	0	3				
ajina	ajina	82	144	64	28	13	0.759187	0.771206				0.374527	0.721481				1198	0	3				
