'Текст';'Middle Date';'IF.Present Ind.';'FF. Imperfect ind';'IF.Future passive particle';'FF. Present Passive';'FF. Future Ind.';'IF.Infinitive';'IF.Present Passive';'FF. Aorist Ind. Root.';'FF. Perfect Ind. Peri.';'FF. Pres. Imperative Passive';'FF. Aorist Jus.';'IF.Past Active Participle';'FF. Aorist Ind. Them.';'IF.Perfect Ind.';'FF. Future. Ind. Peri.';'FF. Pres. Sub.';'FF. Imperfect Ind. Passive ';'FF. Aorist Ind. S.';'FF.  Aorist Imp.';'FF.  Present Jus.';'IF.Future Ind.';'FF.  Aorist Sub.';'FF. Aorist Ind. Is.';'FF. Aorist Ind. Red.';'FF. Pres. Opt Passive';'FF. Aorist Ind. Passive';'FF.  Aorist Jus./Sub./Opt/Perf_Opt';'FF. Future Cond.';'FF. Aorist Prec.';'FF. Perfect Sub';'IF.Aorist Ind. Them.';'FF.  Perfect Imp';'IF.Aorist Ind. Root.';'FF.  Plp. ind.';'FF.  Perfect Opt.';'FF. Aorist Ind. Sa.';'FF.  Perfect Jus.';'IF.Aorist Ind. S.';'FF. Aorist Ind. Sis.';'IF.Pres. Potential';'IF. Perfect Imp';'IF.Aorist Ind. Red.';'IF.Aorist Ind. Is.';'FF. 17';'FF. 18';'FF. Past Passive Participle';'FF. Past Active Participle';'FF. Future passive particle';'FF. Infinitive';'FF. Absolutive';'FF. 31';'FF. 34?';'IF.Pres. Imp.';'IF.Imperfect ind';'IF.Future Cond.';'IF.Future. Ind. Peri.';'IF.Aorist Ind. Sa.';'IF.Aorist Prec.';'IF.Perfect Ind. Peri.';'IF.17';'IF.18';'IF.Pres. Sub.';'IF.Pres. Imperative Passive';'IF.Imperfect Ind. Passive ';'IF.Aorist Ind. Passive';'IF.Pres. Opt Passive';'IF.Aorist Jus.';'IF.31';'IF. Aorist Jus./Sub./Opt/Perf_Opt';'IF. Aorist Imp.';'IF.34?';'IF.Aorist Ind. Sis.';'IF.Perfect Sub';'IF. Perfect Jus.';'IF. Perfect Opt.';'IF. Present Jus.';'IF. Plp. ind.';'IF. Aorist Sub.';'Сумма всех форм'
'"""Devīkālottarāgama"""';2500;11;0;13;8;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39
'"""Ekākṣarakoṣa"""';2500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'"""Garbhopaniṣat"""';2500;1;0;2;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
'"""Gokarṇapurāṇasāraḥ"""';2500;98;153;15;37;66;39;3;69;41;10;5;42;33;0;6;0;10;1;0;0;0;0;3;3;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;640
'"""Harṣacarita"""';2500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'"""Haribhaktivilāsa"""';2500;164;14;164;142;15;9;7;5;0;1;1;1;1;0;1;1;0;1;0;0;5;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;535
'"""Kauśikasūtradārilabhāṣya"""';2500;3;0;7;2;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15
'"""Khādiragṛhyasūtrarudraskandavyākhyā"""';2500;1;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
'"""Mahācīnatantra"""';2500;1;3;7;0;3;1;1;1;0;4;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23
'"""Nāḍīvijñāna"""';2500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
