Present Ind.;30.03%;;;

Perfect Ind.;15.88%;;;
Лицо;Ед.ч.;%;Дв.ч.;%;Мн.ч.;%;
1-е лицо;(12)-he (16)-sa (17)-śe (24)-śa (132)-da -āṣe (140)-kre -yāya (141)-rśa (156)-ca -opa (158)-kṣe -oda -ṣuve (171)-de (173)-rava (176)-āta -yau -rhe -ne (180)-dhe (181)-au (184)-dau (185)-ame (186)-āra -āna (187)-pa (188)-me -oca (190)-īḍa -epa -āha (191)-ara (192)-nde (193)-Cha -arṣa -tara (194)-ce -tare (198)-re -the -rāva (200)-oha (202)-pe (203)-abha (207)-aya -ṛte (210)-ke -raya -gye (212)-eta (213)-uṣe (214)-aṇa (215)-ūva (216)-ra (218)-ana -ite -maya -āma -ice -eda -ide -ahe (219)-kara -ane (220)-ama -apa -eca -aha -āsa ;0.48;(1)-ruva -va ;0.00;(2)-ūvima (62)-ruma (86)-kṛma (174)-ma (192)-rumaḥ -īma -śruma -śma (202)-ima (203)-bhma (204)-admahe (209)-rima (211)-ṛjmahe (215)-vṛmahe -śima (219)-ṣuma (233)-kṛmā -ndima (234)-anma -bhmā -mahe -ūdima (235)-cima (236)-opima -ucmahe -tima -ujma -ujmahe (237)-yima -nima -sima -ahe ;0.45;
2-е лицо;(223)-tha (231)-ūvitha (265)-kartha -epitha -ukṣe -nīṣe (269)-artha -arjitha (300)-antha (321)-ūtha (355)-iṣe (364)-kṛṣe (367)-yātha (376)-ṣe (377)-śitha (378)-itse (380)-getha (383)-riṣe (395)-ñiṣe (418)-itha (423)-rātha -āhiṣe -artitha (427)-ohitha (436)-kṣitha (437)-vartha (438)-attha -dhitha -ātha -iyetha -yuṣe -ktha (439)-ojitha (440)-netha (441)-kṣe -ocitha -pātha (442)-iyatha -vṛṣe (443)-niṣe -arditha -editha -etha -ikṣe -aktha (444)-eyatha ;0.81;(1)-mathuḥ (17)-athuḥ (44)-thuḥ (63)-krathuḥ (74)-dathuḥ -uḥ (80)-āthe -pathuḥ (83)-ūvathuḥ -krāthe -icāthe (84)-nvathuḥ (85)-nyathuḥ (91)-yathuḥ -kethe -eyathuḥ -icathuḥ -dāthe -srāthe -yāthe -amāthe (93)-gyathuḥ -idathuḥ -rathuḥ -bhathuḥ -rāthe -nāthe -nathuḥ -vrāthe -ṣathuḥ -atuḥ ;0.21;(23)-tra (37)-da -ida -ca (44)-kra (47)-śa (52)-idhve (70)-ya -ka (72)-ma -atha -ṣa -ūva -kṣa (73)-ha ;0.15;
3-е лицо;(385)-Cha (14163)-ca (14949)-kāra (20194)-ha (20355)-je (20583)-āla (20779)-me (21602)-dau (22220)-eda (23066)-śa (23495)-pa (24160)-āda (25004)-āra (25432)-ne (26138)-āna (26815)-āha (27070)-de (28071)-rśa (28292)-dhe (29253)-he (29355)-asa (29425)-vau (30445)-da (30905)-ñe (32096)-ūva (32294)-sa (32510)-oha (34233)-āma (34279)-nja (34290)-dāra (34450)-āsa (34460)-ja (34572)-pe (34578)-āṣa (35356)-kre (36167)-au (36453)-arja (36458)-rha (36464)-ge (36491)-eve (36529)-mpe (36603)-oṣa (36604)-klape (36873)-ame (36965)-āva (37021)-re (37280)-oca (38966)-yau (39034)-the (39687)-dha (40042)-rāva (40067)-iyāya (40103)-gye (40122)-uhe (40196)-nda (40197)-aja (40299)-oda (40315)-bha (40540)-āja (40581)-bhe (40583)-kpe (40825)-śe (40882)-gau (40917)-yāya (40990)-ṣuve (41294)-āpa (41456)-āṣe (41495)-ṛje (41498)-rja (41532)-āse (41630)-ce (41639)-āhe (41709)-ruve (41741)-ide (41797)-uje (41870)-nye (42013)-māra (42115)-ṭāva (42188)-nde (42214)-oja (42220)-ārja (42868)-āta (42986)-arta (43014)-ṛṣe (43082)-āka (43229)-ubhe (43275)-opa (43371)-vre (43398)-āce (43574)-arṣa (43624)-sāra (43675)-aje (43689)-rda (43704)-ice (43935)-epa (43955)-luve (44005)-tāra (44042)-ude (44093)-rāma (44183)-eṣa (44199)-uce (44280)-nāya (44297)-arpa (44318)-śye (44396)-kṣe (44415)-vāsa (44419)-rca (44427)-ntha (44490)-kṣa (44493)-rhe (44507)-la (44538)-tha (44543)-eca (44544)-upūre (44582)-gāya (44583)-ṭuve (44623)-thau (44624)-eva (44641)-mbe (44646)-mba (44652)-ase (44756)-ṛte (44787)-pau (44810)-arda (44811)-ṛde (44826)-īḍa (44838)-ra (44844)-uve (44849)-lye (44859)-miye (44869)-ade (44873)-ipe (44890)-rchat (44893)-karṣa (44895)-rṣa (44904)-jja -āḍa (44922)-akāra (44952)-akre (44963)-ṣāva (44971)-gāra (44978)-kha (44980)-ṇge (44985)-eśa (44987)-ūja (44991)-oṭa (44993)-vāra (44995)-na (44996)-ḍe (45019)-mau (45030)-nau (45039)-se (45040)-īla -ūha (45055)-riye (45056)-cCha (45057)-nje (45059)-lpa (45064)-ṣe (45065)-rṇa -ihe -ṣa -ṣiye -eṣe (45068)-īva -ije (45085)-āya (45092)-eyāya (45099)-ṭha (45100)-ṅke (45105)-rdha -mpa (45107)-are (45108)-āje (45110)-lga (45111)-upe (45112)-rta (45117)-vāya (45121)-sūva -nce (45127)-ye -puve -āṇa (45129)-arha (45133)-tre (45134)-ūve (45135)-īpe (45139)-ṇga (45143)-te -nthe (45149)-sre (45150)-tare (45152)-ute -ure -īye -ale -oke (45157)-ārā (45188)-eta (45197)-māya -ṣāya (45200)-rāya (45201)-vye (45207)-ahe (45209)-va (45216)-rau (45219)-kāya (45225)-āca (45227)-ve (45229)-aśe (45233)-iṣe (45237)-ke (45242)-ite (45245)-nve (45247)-cha (45249)-ghāya -rā (45250)-anda (45258)-ya -pūre -tāva -tire -etarām -eha (45259)-ama (45261)-uṣe (45262)-īḍe (45264)-yuve (45265)-lau (45266)-śre -epe (45269)-mbha -athe -ota -jāra (45270)-ṣṭe ;75.60;(83)-ūvatuḥ (109)-āte (393)-atuḥ (401)-dhatuḥ (402)-uṣatuḥ (561)-matuḥ (596)-dhāte (679)-natuḥ -upatuḥ (708)-śatuḥ (802)-kratuḥ (944)-tuḥ (946)-ujāte -gatuḥ (951)-ndatuḥ (981)-śāte (996)-kṣatuḥ (1051)-yatuḥ -śate (1054)-ate (1056)-Chatuḥ (1064)-ratuḥ (1065)-kyatuḥ (1067)-rśatuḥ (1068)-arjatuḥ (1069)-asatuḥ (1070)-vrāte (1087)-ñāte (1088)-śete (1092)-kṣāte -āhatuḥ (1093)-ṣuvatuḥ -lyāte (1094)-njatuḥ (1095)-arṣāte (1096)-lgatuḥ -idatuḥ -amatuḥ (1120)-krāte (1130)-arṣatuḥ (1131)-epatuḥ (1136)-ruvatuḥ (1138)-gyatuḥ (1139)-nyatuḥ (1146)-rāte (1147)-ṣatuḥ -ubhate (1148)-ucatuḥ -artatuḥ (1149)-ṛjāte -ahatuḥ -alatuḥ -anatuḥ (1156)-īyatuḥ (1161)-ajāte -rjatuḥ -rśāte (1162)-ohatuḥ (1163)-ṭuvatuḥ -adatuḥ (1164)-thatuḥ -miyāte (1166)-sratuḥ -riyāte -āhāte (1171)-datuḥ -rchatuḥ (1172)-ṛṣāte (1174)-īḍatuḥ -thate -ipāte -ṭuvāte -ṣāte (1176)-icatuḥ -ṛdatuḥ -ruvāte (1177)-ṛṣatuḥ -uvatuḥ -viyatuḥ -ucāte -idāte -ipatuḥ (1178)-nāte -ṣṭatuḥ -śetām -mpatuḥ -mbatuḥ -ajatuḥ -uhatuḥ -uhāte -udāte -te -vratuḥ -ṣuvāte (1179)-ñatuḥ -udatuḥ -patuḥ -māte -ete -dhete ;2.12;(5464)-uḥ (5471)-vrire (5529)-re (6117)-ire (6825)-yuḥ (7312)-kruḥ (7978)-śuḥ (8149)-ruvuḥ (8152)-udire (8239)-guḥ (8374)-krire (8754)-ūvuḥ (8861)-ṭuvuḥ (8938)-Chuḥ (8951)-aduḥ (9105)-ñire (9229)-duḥ (10029)-muḥ (10068)-uhuḥ (10277)-nuḥ (10317)-īyuḥ (10320)-lyuḥ (10336)-aluḥ (10343)-bhuḥ (10454)-dhuḥ (10461)-lyire (10491)-vuḥ (10569)-asuḥ (10589)-uvuḥ (10601)-rire (10735)-ruḥ (10786)-śire (10827)-puḥ -ubhuḥ (10849)-dhire (10858)-ñuḥ (10861)-arjuḥ -ṭuvire (10909)-nyuḥ (10932)-ṛjuḥ (10983)-iduḥ (11060)-amuḥ (11084)-nthuḥ (11121)-nire (11176)-ṛtuḥ (11185)-rcuḥ (11193)-kṣire (11209)-nduḥ (11250)-uduḥ (11319)-ucuḥ (11325)-ṛṣire (11334)-ṛpuḥ (11335)-pire (11358)-icuḥ -ārjuḥ (11359)-ṛtire (11362)-ācire (11371)-asire (11404)-ipuḥ (11419)-mpire (11428)-njuḥ (11435)-evire (11514)-vruḥ (11515)-maruḥ -anire (11551)-thuḥ (11554)-arjire (11556)-ajire (11561)-cuḥ (11581)-sruḥ (11597)-arṣuḥ (11602)-akruḥ -rduḥ (11604)-lguḥ (11636)-ajuḥ (11643)-īḍuḥ (11644)-ājire (11668)-ṛṣuḥ (11669)-mbuḥ (11675)-rjuḥ (11707)-kṣuḥ (11715)-luḥ (11717)-ihuḥ (11718)-ṣuvire (11735)-mire (11745)-ṛduḥ (11747)-arṣire -ūvire (11751)-śyire (11754)-ujire -āmire (11761)-bhire (11764)-ubhire (11767)-riyuḥ (11771)-luvuḥ (11772)-luvire (11776)-ujuḥ (11784)-āṣire (11790)-upuḥ (11792)-ruvire -jjuḥ -ṭire -ājuḥ (11804)-ahuḥ (11809)-lpuḥ -yire (11810)-njire -mrire -uvire (11820)-ndire -ṇguḥ (11822)-amire (11823)-ācuḥ (11830)-vasuḥ (11831)-mbire (11835)-anuḥ -iñcire (11841)-ramuḥ -ijire -suḥ -khuḥ (11842)-dire (11856)-uṣuḥ -rchuḥ -yayuḥ (11857)-miyuḥ -sire (11875)-bhayuḥ (11876)-nyire -taruḥ -ūjuḥ -mpuḥ -yajuḥ -ṣire (11884)-gyuḥ (11892)-kyuḥ (11893)-myuḥ -tire -āsire -rhire -karuḥ -ucire -adire -ipire -ṅkire (11897)-itre (11902)-ujre -iyuḥ (11906)-bhre (11913)-śre -icre (11915)-dhre (11918)-sre (11920)-itrire (11928)-nvire (11932)-ṣuḥ -mruḥ -ijre -ucre (11933)-kpre (11934)-tiruḥ (11939)-cire (11940)-ūre (11941)-ure -idrire (11942)-tuḥ (11943)-āsuḥ (11945)-udre -ipre (11946)-ituḥ (11948)-idre (11954)-uhre -bhrire -druḥ (11955)-riyire (11956)-ujrire -aruḥ -adre -iṣuḥ -juvuḥ -īḍire (11957)-drire -ṛjrire -kpuḥ -eyuḥ -epuḥ -cChuḥ -ṛcuḥ -ghyuḥ ;20.18;

Imperfect ind;9.48%;;;
Лицо;Ед.ч.;%;Дв.ч.;%;Мн.ч.;%;
1-е лицо;(19)-jam (91)-avam (102)-ṇavam (319)-am (740)-yam (750)-ṣam (769)-aravam (771)-dhām (790)-he (791)-me (793)-ndam (797)-ñcam (799)-ṇām (810)-ayam (839)-ram (927)-uvam (932)-vam (934)-adām (943)-āyam (977)-sam (984)-pam (995)-mam (1001)-nam -dyam (1002)-pyam (1013)-ām (1016)-ṇam (1019)-ṇvam (1051)-cCham (1057)-aram (1058)-knuvam (1062)-cam (1070)-Cham (1080)-ye -ibam (1084)-tam (1100)-dam -dham -navam (1116)-ṭham -ṭam (1118)-lam (1119)-ṣṭham -rte -ntam (1121)-cChe -ahām (1124)-je (1127)-si (1129)-ṣe (1130)-nye -ṣyam -de -re (1131)-rṣam -ñjam -inavam -unavam -rtam (1132)-ce -pye (1133)-te -ṇi -nām -ve -īyam ;3.34;-Chāva (4)-yāva (5)-ṇuva (8)-āva -rāva -āvahi -māvahi -rāvahi -urvahi -dāva -ṣāvahi -arāva -ṭhāva -cChāva -sāva ;0.06;(5)-ma -ṅkṣmahi (127)-yāma (139)-āma -numa (147)-cChāma (149)-rma (151)-ṣāma -āmahe -dhāmahi -ayāmahi (152)-āmahi (153)-ṭhāma -mahi -dāma (154)-sāma -nyāma -rṣāma -Chāma -nīma (155)-urmahi (157)-aima -avāmahi -dhma -rāma -ṇuma -jāma -ūma -tāmahi -vāma (158)-īma -ṇīmahi (159)-ṛṇīmahi -ṣma -ṣāmahi ;0.54;
