Present Ind.;30.03%;;;
1-е лицо;-lpitāsmi (4)-ṭāsmi (53)-rtāsmi (59)-āsmi (70)-itāsmi (130)-tāsmi (131)-vitāsmi (134)-rtāham -dhāsmi -yitāsmi ;11.16;;0.00;-tāsmaḥ -āsmaḥ -tāsmahe ;0.23;
2-е лицо;(65)-tāsi (75)-itāsi (91)-rtāsi (100)-vitāsi (101)-āsi (135)-ṭāsi -dhāsi ;11.01;;0.00;-ṭāstha ;0.08;
3-е лицо;(318)-vitā (391)-rtā (392)-ṣṭā (713)-tā (836)-itā (868)-ṭā (869)-dhā (878)-hā (883)-ītā (887)-yitā (904)-etā -titā -ritā -ptā ;71.16;-rtārau (2)-vitārau -ṭārau -itārau (3)-tārau -tārā ;0.70;(6)-ṭāraḥ (17)-vitāraḥ (57)-tāraḥ (63)-rtāraḥ (68)-itāraḥ ;5.66;

Pres. Sub.;0.33%;;;
Лицо;Ед.ч.;%;Дв.ч.;%;Мн.ч.;%;
1-е лицо;-avā -yam (23)-āni (26)-yā (30)-vā -avai (34)-cā -ṣā -ṇavā (36)-vāṇi -navā (37)-ṇavai (38)-vai -āṇi (39)-ni -ayā -jā (40)-sā -rā (41)-navai -rai ;4.90;(3)-āvahai (8)-āva -ṇavāvahai -vāvahai -ṇavāva -bāva -acāva ;1.19;(4)-ṇavāmā (6)-nāma (7)-vāmahai (10)-āmahai (30)-āma -āva (52)-vāma (53)-āmasi (58)-ṇavāma -dhāmahai (61)-rāma (68)-avāma (73)-yāma (83)-navāma -ma (84)-ṇavāmahai -mahai -dāmahe -ayāma ;8.14;
2-е лицо;(38)-ṣi (48)-vaḥ (78)-āsi (83)-yāsi (91)-ṇavaḥ -athāḥ (93)-rāḥ (105)-āse -ncāḥ (150)-aḥ (179)-āḥ (183)-yāḥ (185)-yaḥ -adaḥ -bāḥ (193)-asi (194)-nāḥ (199)-vāsi -vāḥ -bāsi -vasi (203)-yasi (204)-yāsai -Chāsi (206)-ase -ṇavase -avase -vāse -Chāḥ (208)-avaḥ -uraḥ (211)-daḥ -eṣaḥ (213)-ayaḥ -rāsi -ncāsi -āyasi -ravaḥ -dāsai ;19.92;(2)-athaḥ (5)-āthaḥ (11)-bāthaḥ -aithe -navaithe -yāthaḥ ;1.34;(1)-yātha (9)-ātha (12)-atha -avatha -rāthaḥ (13)-ātaḥ (15)-ādhvai -ādhve -vatha -ṇvaite -tha -ṇavatha -Chātha -athaḥ -āthaḥ -vātha (16)-avātha ;2.61;
3-е лицо;(154)-at -ncāti (270)-āt (283)-ātai (361)-āti (383)-ṇavat (407)-vāti (420)-Chāt (436)-āte (437)-Chāti (446)-dat (473)-avat (476)-yāte (477)-ajat (493)-yat (509)-ate (521)-yāti -adat (524)-yāt (538)-ati (552)-vat (566)-navat (569)-rāte (570)-ṇāt (572)-āyat -arṣat -dhat (575)-rāt (577)-ṇavate (581)-rāti -asat -iyāte (582)-ayat (584)-ti (585)-rate (587)-nat (592)-āyati (597)-yati -pāt (602)-yātai -arat -ravat -yavat -ajate -iṣāt -vāte (603)-bāt (604)-ncāt -bāti -arṣati -ayati -ravāt -vātai -navātai ;52.02;(8)-ātaḥ -āthaḥ (9)-ataḥ -bātaḥ -avāvahai (11)-aite -vaite -dātaḥ ;1.50;(3)-Chān (7)-ṇavan (11)-ayan -avate (35)-an (69)-ān (71)-ajan (75)-avan (78)-ṇavanta -sān -yān (80)-anta (81)-van -ahān (83)-dan -navanta -yavan (84)-yan -navan (85)-rān -ṇān ;8.38;

Imperfect Ind. Passive ;0.29%;;;
Лицо;Ед.ч.;%;Дв.ч.;%;Мн.ч.;%;
1-е лицо;(6)-ye (7)-īye ;0.83;;0.00;;0.00;
2-е лицо;;0.00;;0.00;;0.00;
3-е лицо;(22)-dyata (47)-pyata (303)-yata (505)-īyata (556)-īryata (566)-nyata (571)-riyata (589)-ūyata (590)-myata (596)-ta (600)-āyata (635)-jyata (660)-cyata (720)-ata (725)-ūryata (732)-ṣyata (745)-ryata -idyata (746)-kyata (747)-syata (749)-iyata -tyata ;71.19;(9)-dyetām -īyatām (11)-yetām -ṣyetām (13)-jyetām ;1.66;(3)-dyanta (141)-yanta (162)-īryanta (174)-ryanta (179)-īyanta (187)-ṣyanta (217)-anta (226)-nyanta (235)-ūyanta (238)-pyanta (249)-nta (254)-cyanta (256)-āyanta (257)-kyanta (262)-riyanta (268)-jyanta -aryanta ;26.32;

Aorist Ind. S.;0.27%;;;
Лицо;Ед.ч.;%;Дв.ч.;%;Мн.ч.;%;
1-е лицо;(63)-kṣam (187)-auṣam (194)-āsiṣam (202)-rṣam (231)-ārṣam (233)-āsam (236)-am (246)-aiṣam (247)-tsam -itsam (251)-si (253)-psam -eṣi (257)-oṣi (263)-kṣi -iṣam (267)-tsi (268)-sam (270)-ṣi -ūṣi -āk -ksam -ṛṣi -āsi ;28.30;-kṣva ;0.10;-auṣma -eṣmahi (3)-kṣma (6)-smahi (7)-āsma (11)-aiṣma -ṣmahi (12)-tsmahi (13)-kṣmahi -eṣma (14)-sma ;2.41;
2-е лицо;(5)-ākṣīḥ (16)-auṣīḥ (19)-sthāḥ (34)-ārṣīḥ (35)-tsīḥ -āsīḥ (39)-kṣīḥ (44)-aiṣīḥ (50)-iṣīḥ -iṣṭhāḥ (53)-īḥ -ipsīḥ -thāḥ (55)-rṣīḥ -īṣṭhāḥ (59)-sīḥ (60)-oṣṭhāḥ -ṣe -ut (61)-āḥ (62)-āsthāḥ -ān (63)-aiḥ ;8.28;(1)-stam -āṣṭram ;0.29;-aiṣṭa -oḍhvam -nta (2)-ādhvam -āsta ;0.67;
3-е лицо;(42)-auṣīt (57)-tsīt (59)-ākṣīt (150)-kṣīt (212)-ārṣīt (224)-sīt -uṣīt (249)-āsīt -ṇkṣīt (251)-iṣīt (266)-īt (283)-aiṣīt (285)-īṣṭa (288)-aiṣṭa (302)-sta (303)-dīt (305)-ta (317)-rṣīt -itsīt (319)-dha (323)-āḥ (324)-ṣe (325)-ṣṭa -āṭ (338)-ān (352)-ut -asīt (366)-ār (373)-kta (376)-āk (377)-oṣṭa (389)-it (393)-ik -an -ait -yīt -ṛta -āt ;41.48;-rṣṭām -ṣātām -ūṣātām (1)-ṣṭām ;0.48;(26)-ārṣuḥ (35)-kṣuḥ (38)-rṣuḥ (44)-eṣata (45)-aiṣuḥ (66)-sata (67)-suḥ (108)-ūṣata (130)-kṣata -ntsuḥ (146)-ṣata (147)-ṛṣata (153)-āsata -ākṣuḥ -oṣata -tsuḥ -rṣata (156)-psata (157)-tsata (158)-āsuḥ -ukṣata (162)-auṣuḥ -ata -ṣuḥ -uḥ ;18.00;

 Aorist Imp.;0.26%;;;
Лицо;Ед.ч.;%;Дв.ч.;%;Мн.ч.;%;
1-е лицо;-iṣāṇi ;0.10;;0.00;;0.00;
2-е лицо;(184)-dhi (195)-ṣvā (200)-svā (368)-hi (405)-dhī (427)-ṣva (431)-da (438)-rdhi (475)-sva -ṣa (478)-si (483)-va (490)-iḍḍhi (491)-rṣa (494)-ca -iṣva (499)-na (501)-kṣasva -ha ;52.42;(114)-tam (191)-am -sāthām (203)-iṣṭam (209)-atam (210)-ṛtam (212)-rtam -ṣatam (213)-ktam -ratam ;22.48;(65)-ta (79)-āta (95)-ata (113)-tana (117)-rtana (125)-rta -atana -tata -ṛta -tta -adhvam (126)-iṣṭana -iṣṭa -dhvam (128)-īdhvam ;14.42;
3-е лицо;(60)-tu (62)-iṣṭu -satām (63)-atu -atāt -ra ;6.96;-tām (4)-atām (5)-ratām (7)-ām (8)-iṣṭām ;1.31;(1)-vantu (4)-santām (14)-antu -yantu (15)-antām -ntu -purantu -athantu ;2.32;

 Present Jus.;0.24%;;;
Лицо;Ед.ч.;%;Дв.ч.;%;Мн.ч.;%;
1-е лицо;(15)-am -ncam -ṇām -ṇavam -vam ;2.22;;0.00;-nāma -yoma (1)-emahi ;0.44;
2-е лицо;(3)-an (60)-aḥ (62)-yaḥ -daḥ (68)-oḥ (83)-eḥ (85)-at -nāḥ (87)-ar -veḥ (88)-yothāḥ (93)-ak (96)-athāḥ -uthāḥ -āṭ -ṇāḥ -yathāḥ -śāḥ (97)-raḥ -rīthāḥ -ruthāḥ -aiḥ -ūrthāḥ -ṇīthāḥ -Chaḥ (98)-āḥ -īthāḥ ;13.90;;0.00;-rata (1)-yota (2)-ata ;0.56;
3-е лицо;(43)-ata (286)-at (296)-yat -Chat (297)-atā (298)-ṣat (301)-ṇuta (306)-ta (307)-et (310)-ncat (311)-pat (321)-an -rata (322)-īta (342)-rat (349)-ak -ṇot -bat (350)-ar (352)-yata -aṇat (353)-tat (356)-āt (357)-ṭa (362)-vat (363)-dat -īt -gāt -yota -nīt -dāt -nvat ;43.94;-atām ;0.11;(7)-van (110)-an -ban (128)-vanta (288)-anta (290)-yanta (291)-ran (300)-ranta (302)-dan (303)-nvan (304)-ta (306)-ṇvata (308)-yan (309)-vata (310)-ayanta (317)-ata (319)-njata -ṇata (320)-cata -rvata -nan -acuḥ (321)-nta (322)-ṇan -ṇanta (323)-uvan ;38.82;

 Aorist Sub.;0.20%;;;
Лицо;Ед.ч.;%;Дв.ч.;%;Мн.ч.;%;
1-е лицо;-dhā (1)-rāṇi -ṣāṇi (2)-ai -am (6)-jā (7)-āni -ni (8)-rā -cā -ṣīya -vāni -ṣe -ṣā ;2.97;-āvahai -āva ;0.27;(1)-rāma (11)-rāmahe (32)-āmahe (60)-āma (66)-ṣāma (69)-dhāma -mahi (70)-iṣāmahe (72)-mahe (74)-ma (76)-ṣma -amāma ;11.88;
2-е лицо;(62)-āḥ (73)-vaḥ (74)-rasi (78)-ase (88)-aḥ (91)-ṣaḥ (106)-rṣi (113)-ṣi (134)-raḥ (141)-iṣaḥ -rase -si -the (143)-daḥ -ithe -caḥ -riṣaḥ -apāsi -rṣasi ;21.86;-tas (1)-ataḥ -āthaḥ -āthe -ṣataḥ -sāthe -vathaḥ (2)-rathaḥ -sathaḥ (4)-thaḥ -ṣathaḥ ;2.02;(1)-āthana (3)-ātha (4)-rṣatha (5)-satha (6)-ṣatha -sataḥ ;1.62;
3-е лицо;(36)-rat (45)-rati (91)-at (151)-ṣat (152)-sati (173)-āt (184)-riṣat (217)-vat (247)-rṣat -āte (252)-rate (268)-sat (273)-amat (281)-ati (283)-āti (294)-iṣat (302)-viṣat -rṣate (303)-ṣate (310)-sate -kpāti (318)-ṣati -jate (333)-ate (341)-ti -rṣati (342)-siṣat -dhāti -śati -te -jati ;50.34;(1)-rataḥ (3)-rṣathaḥ (5)-ṣatām (12)-ṣataḥ -atuḥ -thaḥ -ataḥ -vataḥ -sathaḥ -ātaḥ ;2.97;-ranti (8)-van (17)-an -anta (21)-ran (23)-iṣanta (25)-ṣan -vanta -ranta -iṣan (27)-rṣan (28)-ṣata (29)-ante -anti (30)-san ;6.07;

Aorist Ind. Is.;0.19%;;;
Лицо;Ед.ч.;%;Дв.ч.;%;Мн.ч.;%;
1-е лицо;(7)-āriṣam (15)-riṣam (28)-diṣam (29)-ciṣam -iṣiṣam (32)-ayiṣi (33)-miṣam (39)-īṣam (43)-iṣi -tiṣi -ṣi -biṣam (44)-diṣi -viṣi (75)-iṣam (76)-siṣam -ṣiṣi -rtiṣi -piṣam (77)-īm (78)-viṣam -mīm (79)-niṣam (80)-yiṣam ;14.44;;0.00;-iṣma (2)-āsiṣma (6)-viṣma (9)-āriṣma (11)-bhīṣma -ārima ;2.36;
2-е лицо;(51)-īḥ (57)-dīḥ (61)-vīḥ (62)-iṣṭhāḥ -cithāḥ (64)-niṣṭhāḥ -rtithāḥ (65)-rīḥ -ayiṣṭhāḥ (67)-sīḥ -mīḥ -yiṣṭhāḥ -miṣṭhāḥ ;11.11;-iṣṭam ;0.14;-ṣṭa (2)-āsiṣṭa -iṣata -diṣṭa ;0.83;
3-е лицо;(247)-īt (248)-sīt (269)-niṣṭa (273)-ayiṣṭa (354)-dīt (365)-bhīt (369)-vīt (376)-āvīt (398)-mīt (400)-ṣiṣṭa (403)-iṣīt (406)-rīt (420)-iṣṭa -diṣṭa (424)-rtiṣṭa -kiṣṭa (426)-ciṣṭa (429)-ārīt (435)-ṣīt -diṣat -yiṣṭa -tiṣṭa (436)-miṣṭa (438)-nīt -dhiṣṭa -apiṣṭa -viṣṭa -aviṣṭa -siṣṭa -arait -ayīt ;65.14;-viṣātām -thiṣṭām -diṣātām ;0.42;(3)-viṣuḥ -ṣuḥ (8)-diṣuḥ (9)-yiṣata (10)-iṣata -riṣuḥ (15)-ndiṣuḥ (18)-āviṣuḥ (20)-rtiṣuḥ (24)-iṣuḥ -āriṣuḥ (25)-ṣiṣuḥ -ṇiṣuḥ -jiṣuḥ -diran ;5.56;

Aorist Ind. Red.;0.15%;;;
Лицо;Ед.ч.;%;Дв.ч.;%;Мн.ч.;%;
1-е лицо;(6)-cudam (24)-adam (25)-śamam (26)-caram -ṛdham -ramam -ūhavam (28)-ricam (30)-janam (32)-duṣam (33)-śriyam (36)-pam -kṛṣam (38)-aśam (59)-gamam -abham -madam (60)-īparam -ipam ;13.57;-śriyāva ;0.17;-tṛṣāma -adāma -ricāma ;0.52;
2-е лицо;(1)-cudaḥ (4)-aśaḥ (8)-janaḥ (10)-adaḥ -īkṛthāḥ -idaḥ -iśaḥ -paḥ (11)-aḥ -madaḥ -rupaḥ -śamaḥ -taraḥ -tṛpaḥ ;4.30;-rujatam ;0.17;-ṣikta -ṛdhadhvam ;0.34;
3-е лицо;(1)-rahat (2)-duhat (7)-ramat (8)-ghanat (12)-īkpat -śat (141)-janat (149)-īkarat (162)-aśat (168)-cudat (169)-dat (178)-ṛdhat (222)-adat -vadat (223)-tapat (260)-pat (267)-yujat (273)-śriyat (274)-arat -abhat -carat -īnayat -adhat (277)-dharat (279)-śamat (284)-vṛṣat -tuṣat -iśat -mṛdat -lat -tṛpat (287)-udhat -at (288)-kamata (289)-muhat (290)-riyat (295)-athat (307)-aḥ -duṣat (311)-amat -vṛtat -uṣat -ayat (312)-yutat -druvat (317)-ptat -ladat -ṣahat (318)-asat -piḍat (321)-vapat (322)-ūṣavat (323)-vasat -madat -īvarata -vipat -nat (325)-rucat -ar -itat -ucat -ipat -vitat (327)-gamat -tape (328)-patat -anat ;67.87;(5)-īkpatām ;1.03;(2)-yujan (3)-dharan (5)-adanta -ghanan (6)-vṛṣan (7)-duhan (13)-ṛdhan (14)-adan (18)-pan -vatan (26)-janan -aśanta -bhayanta -jananta (27)-madanta (30)-ptan -ṛdhanta (31)-japan (32)-īkaran -anan -ūpuran -mṛṇan -śaman -rasan -yupan (34)-aśan -ubhan (35)-īparan -vipan (36)-īvaran -vṛtan -asan -īkpan -an ;12.03;

Pres. Opt Passive;0.13%;;;
Лицо;Ед.ч.;%;Дв.ч.;%;Мн.ч.;%;
1-е лицо;-yam ;0.20;;0.00;-yemahi ;0.20;
2-е лицо;-ethāḥ -yethāḥ ;0.40;;0.00;;0.00;
3-е лицо;(276)-yeta (341)-ta (383)-iyeta (400)-ryeta (426)-eta -yet -kyeta -iyet -īyeta ;86.65;-yetām ;0.20;(46)-yeran (50)-ran (54)-iyeran -ryeran (57)-eran ;12.35;

Aorist Ind. Passive;0.11%;;;
Лицо;Ед.ч.;%;Дв.ч.;%;Мн.ч.;%;
1-е лицо;;0.00;;0.00;;0.00;
2-е лицо;;0.00;;0.00;;0.00;
3-е лицо;(27)-hi (69)-āyi (79)-pi (116)-yi (159)-āri (185)-āvi (247)-di (267)-ti (284)-śi (314)-ni (317)-ṣi (343)-ci (347)-ṇi (362)-mi (373)-ri -gi (386)-rji -ṭi -āni (387)-si (395)-ji (397)-ūri -vi ;100.00;;0.00;;0.00;

 Aorist Jus./Sub./Opt/Perf_Opt;0.08%;;;
Лицо;Ед.ч.;%;Дв.ч.;%;Мн.ч.;%;
1-е лицо;(9)-eyam (28)-īya -ṣiṣīya (48)-yām (55)-ṣīya (56)-eya (57)-sīya -rīya (60)-iṣīya ;23.71;-yāva ;0.34;(26)-īmahi -iyāma (86)-ema (103)-vema (136)-yāma -riṣīmahi (138)-iṣīmahi (144)-emahi -ma (146)-ṣīmahi ;53.61;
2-е лицо;(9)-yāḥ -iṣeḥ (11)-eḥ -īṣṭhāḥ -īthāḥ ;5.50;-etam ;0.34;;0.00;
3-е лицо;(7)-yāt (9)-ati (14)-et (23)-yāḥ -ṣat (24)-rīta (25)-iṣīṣṭa -rṣīṣṭa (26)-ta -īṣṭa ;12.37;(3)-sīthām -yātām ;1.72;-īrata -eyuḥ (4)-yuḥ ;2.41;

Future Cond.;0.07%;;;
Лицо;Ед.ч.;%;Дв.ч.;%;Мн.ч.;%;
1-е лицо;(1)-syadhvam -viṣyam -iṣyam (3)-kṣyam -diṣyam -akṣyam (5)-āsyam -yiṣyam -ṣyadhvam -miṣyam (8)-aviṣyam -ṣiṣya -aiṣam -ariṣyam ;8.18;(3)-iṣyāva -tiṣyāva (4)-syāva ;2.60;-yiṣyāma (5)-riṣyāma (22)-syāma (39)-iṣyāma (42)-yāma (49)-ṣyāma -tsmahi -kṣmahi ;21.19;
2-е лицо;(2)-ariṣyaḥ (6)-aviṣyaḥ -eṣyathāḥ -iṣyathāḥ -ṣyaḥ -āsyaḥ -yiṣyathāḥ (7)-yiṣyaḥ -kṣyaḥ -tiṣyaḥ (12)-miṣyaḥ -yaḥ -diṣyaḥ (13)-riṣyāḥ ;10.04;;0.00;(4)-viṣyadhvam (8)-ṣyadhvam (9)-syadhvam (13)-iṣyadhvam (15)-riṣyadhvam -kṣyatha ;7.81;
3-е лицо;(3)-āsyat (4)-kṣyat (8)-niṣyat (50)-aviṣyat (51)-īṣyat -viṣyat (52)-ariṣyat -ṣiṣyata -ariṣyata (54)-yiṣyat (56)-iṣyat (58)-tiṣyat -kṣat (82)-psyat -syat -ṇkṣyata -miṣyat -tsyat (88)-aiṣyat (94)-apsyat (95)-tsyata -eṣyat -riṣyat -yiṣyata -syata ;44.61;-āsyetām ;0.37;(4)-kṣyan (5)-iṣyan -yiṣyan (9)-aviṣyan -diṣyan ;5.20;

Aorist Prec.;0.06%;;;
Лицо;Ед.ч.;%;Дв.ч.;%;Мн.ч.;%;
1-е лицо;(72)-yāsam (73)-āsam (74)-yām -iyāsām ;35.29;-yāsva ;0.45;-yasma (3)-yāsma -iyāsma ;2.71;
2-е лицо;(11)-yāḥ -sisīṣṭhāḥ -ahīṣṭhāḥ ;6.33;;0.00;;0.00;
3-е лицо;(75)-yāt (98)-yāḥ (104)-īṣṭa (107)-iṣīṣṭa -ṣīṣṭa -eṣṭa ;51.13;-yāstām ;0.45;-yāsan (3)-yāsuḥ (5)-iyāsuḥ ;3.62;

Perfect Sub;0.05%;;;
Лицо;Ед.ч.;%;Дв.ч.;%;Мн.ч.;%;
1-е лицо;-jā ;0.52;;0.00;(2)-anāma -uryāma -śāmahai ;2.60;
2-е лицо;(3)-oṣaḥ -ūyāḥ (8)-anaḥ -rayaḥ -ayaḥ (9)-ahaḥ (11)-ūdaḥ (12)-itaḥ -śaḥ (13)-thaḥ -ucaḥ (14)-adaḥ -etasi -ṛcāsi -dhaḥ -aṇaḥ -yasi -oṣasi ;16.67;-ayataḥ -oṣatam -nīthaḥ -oṣathaḥ -etathaḥ ;2.60;-oṣatha -ayata -dhatha -ūdatha -āṇatā ;2.60;
3-е лицо;(2)-ūyāt (3)-ocat -mayat (4)-oṣati -dhati (11)-etati (14)-artati -dhate -ūdat (19)-anat (23)-śat (30)-śati (34)-ayat (39)-arṣati (40)-aṇat -dhāti (46)-etat (48)-uvat (54)-that -juvat (59)-artat (65)-oṣat (67)-ravat (68)-arat -apate (70)-ūdati -yati (73)-uryāt (75)-īyate (77)-ahat -amate -kṣati -rśat -ṛtat (78)-rayat -idat -oṣate -ṛṣate -ṭavat -kpat (79)-ocati (80)-yat -ndat (81)-ojate (82)-urat -adat ;66.67;;0.00;(3)-anan (8)-ayanta (9)-ayan -adan -oṣan -uṣan -than ;8.33;

 Perfect Imp;0.04%;;;
Лицо;Ед.ч.;%;Дв.ч.;%;Мн.ч.;%;
1-е лицо;;0.00;;0.00;;0.00;
2-е лицо;(7)-andhi (8)-rīhi (14)-iddhi (25)-ugdhi (36)-ṛtsva (38)-addhi (41)-dhasva (47)-iṣva (48)-ahasva -kṣva (50)-ḍḍhi -aya (51)-ihi (52)-ādhi -rayasva -ṛṣasva -rāyasva ;43.13;-tam (5)-uktam (8)-kṣatam (11)-yatam (12)-astam -ṛktam (16)-ocatam ;14.38;(2)-tana (3)-ṣṭana (5)-idhvam (6)-attana -yata -anta -ṛttana -ūdata (8)-uṣṭana -ta -ocata ;11.88;
3-е лицо;(11)-attu (14)-oktu (15)-antu -ūtu -tu -ottu -ṣṭu ;13.75;(2)-kṣatām -yatām ;2.50;-ntu (20)-ahantām -śrām ;14.38;

 Plp. ind.;0.04%;;;
Лицо;Ед.ч.;%;Дв.ч.;%;Мн.ч.;%;
1-е лицо;-etam -śravi -ṣṭavam -kṣam (2)-rabham -karam -abham ;6.43;;0.00;-pema ;0.71;
2-е лицо;(3)-an -ojīḥ (4)-amaḥ (6)-gan -śīḥ -aiyeḥ (8)-veṣīḥ -toḥ (9)-daḥ ;12.86;(2)-muktam -asatam (4)-ṛdhethām ;5.00;-bhartana -gantana -ganta (1)-cyavītana ;3.57;
3-е лицо;-ecīt (1)-ot (9)-an -pet -man -payat (11)-ṣṭa -acat (12)-tot -drot -upot (13)-śret -not -ūnot -bhat -akrat (14)-recīt (18)-īmet -vajat (19)-gan (22)-dat -āvat -rabhīt -cyavīt -āvarīt -āmat ;34.29;-aśītām ;0.71;(6)-ṛtran -gmiran (7)-sṛgram (11)-śrayuḥ -dṛhanta (14)-dhanta -śravuḥ (21)-cyavuḥ -ananta (22)-śanta (23)-amanta -ṛpanta -anduḥ -yavuḥ -vṛtranta -ṛṣanta -ciran -maduḥ (25)-aśanta -payanta -raṇuḥ -acanta -akriran -nnamuḥ -pyan -uṣavuḥ ;36.43;

 Perfect Opt.;0.03%;;;
Лицо;Ед.ч.;%;Дв.ч.;%;Мн.ч.;%;
1-е лицо;(8)-ṛtyām -icyām -ṛcyām -amyām (10)-ṛtīya -śyām ;16.67;;0.00;(3)-ahyāma -ṛtīmahi -ṛtyāma -yuvīmahi -uyāma ;8.33;
2-е лицо;-śyāḥ (4)-ṛtyāḥ -uṣyāḥ -amīthāḥ -pūryāḥ -dhīthāḥ -uryāḥ -ucyāḥ -rūyāḥ -kriyāḥ ;14.58;(1)-rūyātam -myātam ;3.13;;0.00;
3-е лицо;-īyāt (1)-pīyāt -gāyāt (2)-anyāt (3)-bhyāt -yāt (4)-ucīta -dyāt (5)-nīyāt (8)-ṛtyāt -ṛjyāt (21)-amyāt (22)-ahyāt -asīta -icyāt -ṛcyāt -ujyāt -rīta -uryāt -ṛjīta -atyāt -adyāt -uvīta ;46.88;;0.00;(2)-ṛtyuḥ (3)-anyuḥ -ṛḍyuḥ (4)-amyuḥ -yavīrata -ṛjyuḥ ;10.42;

Aorist Ind. Sa.;0.02%;;;
Лицо;Ед.ч.;%;Дв.ч.;%;Мн.ч.;%;
1-е лицо;(2)-ṣam (3)-am ;5.43;;0.00;(1)-ṣāma (2)-kṣāma ;4.35;
2-е лицо;-kṣaḥ ;1.09;;0.00;(2)-kṣata ;3.26;
3-е лицо;(2)-sata (13)-kṣata -ṣata (23)-ṣat (44)-at (52)-kṣat (53)-ukṣata -oṣata (60)-ukṣat ;75.00;;0.00;(1)-an (5)-ukṣan (6)-kṣanta -ṣan ;10.87;

 Perfect Jus.;0.01%;;;
Лицо;Ед.ч.;%;Дв.ч.;%;Мн.ч.;%;
1-е лицо;;0.00;;0.00;;0.00;
2-е лицо;-āḥ (7)-eḥ -śaḥ -sīḥ -roḥ ;48.00;;0.00;;0.00;
3-е лицо;(1)-rot -yavat (2)-arṣīt -an -ṣet ;28.00;;0.00;-thanta (1)-ananta -bhanta -ucanta -ahanta ;24.00;

Aorist Ind. Sis.;0.00%;;;
Лицо;Ед.ч.;%;Дв.ч.;%;Мн.ч.;%;
1-е лицо;(6)-siṣam ;46.67;(1)-siṣva ;13.33;;0.00;
2-е лицо;;0.00;;0.00;-siṣṭa ;6.67;
3-е лицо;(1)-āsīt ;13.33;;0.00;-siṣuḥ (1)-āsiṣuḥ ;20.00;

Неопределено личные глагольные формы;;;;
Past Passive Participle;57.90;(167786)-ta (178979)-na (190571)-ita (206947)-ṭa (222951)-ha (224905)-ṇa (226503)-dha (230568)-rṇa (231213)-īna (231268)-rita (231284)-eta (231372)-īrṇa (232909)-tta (232963)-yita (232980)-rta (233025)-ūrṇa -ncita (233027)-ūrita -sajārita -lita (233044)-īta (233048)-Chita -ṭita (233050)-āta (233055)-ṣṭa ;
Absolutive;20.25;(38417)-ya (43781)-tya (56001)-vā (56610)-ṭvā (74790)-tvā (78816)-itvā (80514)-ttvā (80929)-rya (81150)-etya (81158)-yya (81168)-yam (81215)-rtvā (81340)-dhvā -ditvā (81344)-itya (81351)-īrya -njya (81372)-yitvā (81377)-yā -titvā (81378)-ayitvā -ncya -ṇktvā (81379)-ītvā -pitvā -pya (81380)-ūrya -sajārya (81405)-am (81410)-vam (81418)-ram -ṣitvā (81420)-ritvā (81422)-tam (81423)-jam (81424)-rāya (81425)-tvāya (81445)-tvī (81450)-vāya -itvī -ttvāya (81456)-ṭvī (81463)-vī -dya -vitvā ;
Present Ind.;10.72;(1528)-vat (4173)-amāna (28249)-at (29464)-Chat (29693)-dat (30876)-amāṇa (33789)-yat (34424)-tamāna (34426)-ncāna (34618)-ṇat (34856)-nvat (36111)-rat (36219)-māna (36379)-vāna (37101)-rvat (37192)-pat (38113)-yamāna (38986)-āna (39203)-vāṇa (39585)-yāna (39792)-ṣat (40025)-njāna (40207)-ncat (40244)-ṇvāna (40296)-rāṇa (40550)-vamāna (40816)-rvāṇa (40872)-āyat (41051)-nat (41600)-nt (41682)-dāna (41683)-ayat (41764)-āṇa (41800)-nuvat (41979)-bat (42044)-njat (42118)-ṇvat (42220)-ṇāna (42328)-tat (42454)-nāna (42458)-ṇa (42497)-ramāṇa (42532)-yamāṇa (42604)-nvāna (42649)-ryat (42739)-na (42752)-jat (42754)-njamāna (42755)-irat (42778)-māṇa (42808)-ṣamāṇa (42833)-ṭhat (42903)-Chamāna (42909)-nuvāna (42910)-jamāna (42915)-ncamāna (42928)-damāna (42930)-pamāṇa (42970)-vamāṇa (42977)-ta (42979)-ṭhamāna (42984)-iyat (42993)-lpamāna (42995)-iṣat -bamāna -bāna (42999)-urāṇa (43021)-iyāna (43047)-asāna (43061)-śāna (43065)-prat -trat -cāna -namāna (43067)-cat (43068)-invat -srat -ṇuvat (43069)-ṛcāna -gat (43071)-uvat (43072)-kyat -uvāna -ayamāna ;
Future passive particle;5.95;(13609)-ya (15786)-rya (17245)-rtavya (19715)-tavya (20107)-īya (20670)-anīya (20798)-vitavya (20977)-raṇīya (21371)-avya (21669)-ṭavya (21941)-vya (21947)-yaṇīya (22065)-tya (22457)-dya (22461)-pya (23326)-itavya (23338)-yya (23528)-aṇīya (23563)-etavya (23569)-eya (23614)-ītavya (23628)-dhavya (23668)-titavya (23710)-nīya (23717)-lpanīya (23742)-danīya (23764)-tanīya (23766)-janīya (23767)-ritavya -ayitavya (23772)-ṇīya (23784)-lpya (23789)-yanīya (23798)-ṣaṇīya (23808)-jya (23814)-yitavya -ditavya (23820)-vaṇīya (23830)-ṣṭavya (23848)-ṣitavya (23850)-paṇīya -ttavya (23851)-panīya (23853)-āyya (23859)-itva (23869)-enya (23883)-rtva (23887)-tva (23890)-eṇya -ṇya -vāyya -ārya ;
