10Ā
10P
1Ā
1P
2Ā
2P
3Ā
3P
4Ā
4P
5Ā
5P
6Ā
6P
7Ā
7P
8Ā
8P
9Ā
9P
adj
DenomĀ
DenomP
DesidĀ
DesidP
djan
djma
f
fn
ind
IntĀ
IntP
m
mf
mfn
mn
n
nr
pron
