"ЕљДЃб№…khДЃyanagб№›hyasЕ«tra";;
"ЕљДЃб№…khДЃyanДЃraб№‡yaka";;
"ЕљДЃktavijГ±ДЃna";;
"ЕљДЃrб№…gadharasaб№ѓhitДЃ";; Alchemy;
"ЕљДЃrб№…gadharasaб№ѓhitДЃdД«pikДЃ";;
"Ељatakatraya";; war;
"ЕљatapathabrДЃhmaб№‡a";; PЕ«б№Јan;
"Ељikб№ЈДЃsamuccaya";;
"Ељira\"upaniб№Јad";; KashmirianShivaism;
"ЕљivapurДЃб№‡a";;
"ЕљivasЕ«tra";; KashmirianShivaism;
"ЕљivasЕ«travДЃrtika";;
"Ељukasaptati";;
"ЕљvetДЃЕ›vataropaniб№Јad";;
"ЕљyainikaЕ›ДЃstra";; triguб№‡a; goodbehaviour;
"2. fiktiver Komm. zum HitopadeЕ›a";;
"A concise history of science in India";;
"A history of Indian medical literature;;
"A history of Indian medical literature;;
"A Sanskrit Dictionary of Law and Statescraft";;
"A survey of Hinduism";;
"A Vedic Grammar for Students";;
"ДЂЕ›vДЃlДЃyanaЕ›rautasЕ«tra";;
"ДЂЕ›valДЃyanagб№›hyasЕ«tra";; Gaб№…gДЃ,Ganges;
"Aб№Јб№­ДЃб№…gahб№›dayasaб№ѓhitДЃ";;
"Aб№Јб№­ДЃб№…ganighaб№‡б№­u";;
"Aб№Јб№­ДЃб№…gasaб№ѓgraha";;
"Aб№Јб№­ДЃdhyДЃyД«";; NyДЃya; VaiЕ›eб№Јika;
"Aб№Јб№­ДЃdhyДЃyД« of PДЃб№‡ini";;
"Aб№Јб№­asДЃhasrikДЃ";; Indra;
"Aб№Јб№­ДЃvakragД«ta";; war;
"AbhidhДЃnacintДЃmaб№‡i";;
"AbhidharmakoЕ›a";;
"AbhidharmakoЕ›abhДЃб№Јya";; fable; friendship;
"AbhinavacintДЃmaб№‡i";;
"Acintyastava";;
"AgastД«yaratnaparД«kб№ЈДЃ";;
"AgnipurДЃб№‡a";;
"AitareyabrДЃhmaб№‡a";; war;
"Aitareyopaniб№Јad";; war;
"Alchemy and sacred geography in medieval Deccan.";;
"Allgemeine Geschichte der Philosophie";;
"AmarakoЕ›a";;
"AmaraughaЕ›ДЃsana";;
"AmaruЕ›ataka";;
"AMTest";;
"Amб№›tabindЕ«paniб№Јat";; KashmirianShivaism;
"An English translation of the SuЕ›rutasaб№ѓhitДЃ";;
"An English Translation of the Sushruta Samhita;;
"An illustrated Ardhamagadhi dictionary";;
"An Index to the Names in the MahДЃbhДЃrata";;
"An introduction to Buddhism.";;
"ДЂnandakanda";;
"Anga Suttani";;
"AntagaбёЌadasДЃo";;
"ДЂpastambaЕ›rautasЕ«tra";; cow; Indra;
"ДЂpastambagб№›hyasЕ«tra";; Buddha\slife;
"ArthaЕ›ДЃstra";;
"ДЂryДЃsaptaЕ›atД«";; war;
"AtharvaprДЃyaЕ›cittДЃni";; forprotectionandluck;
"Atharvaveda Ељaunaka)";; Indra;
"Atharva-Veda Saб№ѓhitДЃ";;
"Atharvaveda-PaippalДЃda;;
"AtharvavedapariЕ›iб№Јб№­a";; ViЕ›vedevДЃбёҐ;
"AvadДЃnaЕ›ataka";;
"ДЂyaraб№…ga";;
"ДЂyДЃracЕ«lДЃ";;
"ДЂyurvedadД«pikДЃ";;
"AyurvedarasДЃyana";;
"BalarДЃma im MahДЃbhДЃrata";;
"BaudhДЃyanaЕ›rautasЕ«tra";; forprotectionandluck; Indra;
"BaudhДЃyanadharmasЕ«tra";; Genealogies; Underworld,hell,naraka; NДЃga;
"BaudhДЃyanagб№›hyasЕ«tra";; Cosmogonygen.; Indra;
"BhadrabДЃhucarita";;
"BhДЃgavatapurДЃб№‡a";; SЕ«rya,Savitб№›,sun;
"Bhairavastava";; Alchemy;
"Bhallaб№­aЕ›ataka";;
"BhДЃradvДЃjagб№›hyasЕ«tra";;
"BhДЃratamaГ±jarД«";; triguб№‡a; karmandoctrine;
"BhДЃvaprakДЃЕ›a";;
"BhramarДЃб№Јб№­aka";; Yoga;
"BД«janighaб№‡б№­u";; KashmirianShivaism;
"BodhicaryДЃvatДЃra";;
"BrahmabindЕ«paniб№Јat";; KashmirianShivaism;
"British Eighteenth-Century Chemical Terms";;
"Buddhacarita";; King,rДЃjanД«ti; Minister;
"Buddhist Hybrid Sanskrit";;
"Bб№›hadДЃraб№‡yakopaniб№Јad";; NamesofViб№Јб№‡u,sahasranДЃman;
"Bб№›hatkathДЃЕ›lokasaб№ѓgraha";;
"Cakra ?) on SuЕ›r";;
"Carakasaб№ѓhitДЃ";;
"CarakatattvapradД«pikДЃ";; Medicine;
"CaurapaГ±caЕ›ikДЃ";; Viб№Јб№‡u,Vishnuism; Travel;
"ChДЃndogyopaniб№Јad";; war;
"Classical Hindu mythology";;
"Comm. on the KДЃvyДЃlaб№ѓkДЃravб№›tti";; Medicine;
"Commentary on AmaraughaЕ›ДЃsana";; mantra;
"Commentary on the KДЃdambarД«svД«karaб№‡asЕ«tramaГ±jarД«";;
"Cuire le monde";;
"DaЕ›akumДЃracarita";;
"Dпї¤cher;;
"DarЕ›an";;
"Das ЕљrautasЕ«tra des ДЂpastamba";;
"Das altindische Buch vom Welt- und Staatsleben";;
"Das JaiminД«ya-BrДЃhmaб№‡a in Auswahl";;
"Das RДЃmДЃyaб№‡a";;
"Der Jainismus";;
"Der Mondschein der SДЃб№ѓkhya-Wahrheit in deutscher пїњbersetzu;;
"Der Rigveda in Auswahl. Erster Teil: Glossar";;
"Der Rig-Veda. Aus dem Sanskrit ins Deutsche пїјbersetzt";;
"DevД«kДЃlottarДЃgama";; war;
"DevД«mДЃhДЃtmya";; SДЃб№ѓkhya; Liberation,mokб№Јa,release;
"Dhanurveda";;
"Dhanvantarinighaб№‡б№­u";;
"Die altindische Stadt";;
"Die Feldfrпїјchte Indiens in ihrer geographischen Verbreitung";;
"Die Lehre der Jainas";;
"Die philosophisch-theologischen Lehren des PДЃЕ›upata-Systems";;
"Die Religionen Indiens";;
"Die SДЃб№ѓkhya-Philosophie";;
"DivyДЃvadДЃna";; Buddhism;
"Early Indian secular architecture";;
"Ein buddhistisches Yogalehrbuch";;
"EkДЃkб№Јarakoб№Јa";;
"Encyclopaedia of Indian Temple Architecture. North India. Found;;
"Essays in early Indian architecture.";;
