lemma_id	lemma	upos	grammar	meaning
21896	abaddhavat	ADJ	adj	unmeaning; ungrammatical
170794	abahumatatva	NOUN	n	disrespect; low opinion of
21979	abdasāra	NOUN	m	a kind of camphor
213417	abdavat	ADJ	adj	enduring for xxx years
21994	abdhinagarī	NOUN	f	name of Dvārakā; the capital of Kṛṣṇa
165698	abdhiphala	NOUN	n	Name einer Substanz
21999	abdhisāra	NOUN	m	a gem
21998	abdhiśayana	NOUN	m	name of Viṣṇu
205114	abdhiśoṣa	NOUN	m	a kind of plant
199774	abhavastṛ	VERB	9.P.,1.P.,5.P.	
220757	abhayaprada	NOUN	m	name of a future Buddha
169630	abhayatva	NOUN	n	
201831	abhibandh	VERB	9.P.,1.P.,4.P.,9.Ā.	
22407	abhibhaṅga	NOUN	m	breaking down; destroying
219422	abhibhaṅga	ADJ	adj	zerst￶rend; breaking
22421	abhibhāvana	NOUN	n	causing to overcome; making victorious
170094	abhibhāvuka	ADJ	adj	
220429	abhibhāṣitu	NOUN	m	talking to
214555	abhibhāṣā	NOUN	f	
219225	abhibhūvan	ADJ	adj	￼berlegen
22427	abhibhūya	NOUN	n	superiority
217148	abhibhūṣay	VERB	10.P.,10.Ā.	to adorn
225863	abhibhṛti	NOUN	f	
158865	abhibādh	VERB	1.Ā.	to check; to stop; to attack (in battle); to cause pain; to afflict
22157	abhicara	NOUN	m	a servant
222406	abhichāya	ADJ	adj	
208841	abhicintaka	ADJ	adj	thinking about ...
223668	abhicyu	VERB	1.P.,1.Ā.	
219762	abhicākaś	VERB	Int.P.	to contemplate
22165	abhicāraka	ADJ	adj	exorcising; conjuring; a conjurer; a magician
200142	abhicāraka	ADJ	adj	
213932	abhicāravat	ADJ	adj	practising magic
225409	abhicāray	VERB	10. Ā.	
22219	abhidarśana	NOUN	n	becoming visible; appearance
212615	abhidevin	ADJ	adj	playing; gambling
22228	abhidharma	NOUN	m	the dogmas of Buddhist philosophy or metaphysics
217543	abhidharṣa	NOUN	m	violation
214638	abhidharṣay	VERB	10.P.	to attack; jemanden veranlassen, sich (an einen Feind) heranzuwagen
176664	abhidheyavat	ADJ	adj	having a meaning
212794	abhidhvaṃs	VERB	1.P.,1.Ā.	to be afflicted
202020	abhidhyātṛ	ADJ	adj	
158680	abhidhāray	VERB	10.P.	to uphold; to maintain
22236	abhidhātṛ	ADJ	adj	saying; telling
22254	abhidhāvana	NOUN	n	running up; attack
202554	abhidhṛ	VERB	1.P.,1.Ā.	
206350	abhidrava	NOUN	m	
216759	abhidyotana	NOUN	n	
216907	abhidāray	VERB	10.P.,10.Ā.	
207603	abhidīpay	VERB	10.P.,10.Ā.	to cause to shine
208131	abhidūṣaka	ADJ	adj	violating
216726	abhigad	VERB	1.P.,1.Ā.	
22124	abhigarjana	NOUN	n	ferocious roaring; uproar
217633	abhighoṣa	NOUN	m	
22146	abhighātin	NOUN	m	an assailant; enemy
22151	abhighṛta	ADJ	adj	sprinkled (as ghee); dropped upon; sprinkled with
222774	abhigopāy	VERB	Denom.P.,Denom.Ā.	to protect; to guard
22139	abhigrahītṛ	ADJ	adj	one who seizes
221917	abhigras	VERB	1.P.,1.Ā.	
207888	abhigrāhaka	ADJ	adj	
213978	abhigrāhay	VERB	10.P.,10.Ā.	to make someone catch someone
222995	abhigrāhin	ADJ	adj	seizing
199416	abhigāna	NOUN	n	singing
216946	abhigṛdh	VERB	9.P.,4.P.,4.Ā.	to desire sth.; to be greedy
211059	abhihantu	NOUN	m	killing
210181	abhihantṛ	ADJ	adj	
219116	abhihary	VERB	1.P.,1.Ā.	
226417	abhihas	VERB	1. Ā.	to ridicule
159224	abhiheṣ	VERB	1.P.	to neigh towards
31184	abhihitatva	NOUN	n	the having been said or stated or named; a holding forth; declaration; authority; test
205811	abhihiṃs	VERB	7.P.,1.Ā.,1.P.,7.Ā.,4.Ā.	
173188	abhihiṃsana	NOUN	n	
31179	abhihiṅkāra	NOUN	m	the sound hiṃ (used in addition to a certain japa formula)
31195	abhihrut	ADJ	adj	causing a fall or damage; injurious; harassing
31196	abhihrut	NOUN	f	fall; damage; injury; T￼cke
211507	abhihṛṣ	VERB	4.P.	
199171	abhijighāṃs	VERB	Desid.P.	
209422	abhikampay	VERB	10.P.,10.Ā.	to make something tremble; to frighten
223530	abhikara	NOUN	m	executor
201676	abhikarśay	VERB	10.P.	
199108	abhikarṣaṇa	NOUN	n	
22117	abhikhyātṛ	NOUN	m	a supervisor (name of Indra)
22102	abhikranda	NOUN	m	a shout
