Лемма	Тип	Класс	Залог	Форма	Лицо	Число	Время/наклонение	Примеры
sāntvay	Denom.	0	Ā	sāntvayāmāsa	Third	Sg.	"Perfect Ind. Peri."	"   29"
mantray	Denom.	0	Ā	mantrayāmāsa	Third	Sg.	"Perfect Ind. Peri."	"   17"
prārthay	Denom.	0	Ā	prārthayāmāsa	Third	Sg.	"Perfect Ind. Peri."	"   16"
tarkay	Denom.	0	Ā	tarkayāmāsa	Third	Sg.	"Perfect Ind. Peri."	"   15"
mantray	Denom.	0	Ā	mantrayāmāsuḥ	Third	Pl.	"Perfect Ind. Peri."	"   11"
cūrṇay	Denom.	0	P.	cūrṇayāmāsa	Third	Sg.	"Perfect Ind. Peri."	"    6"
āmantray	Denom.	0	Ā	āmantrayāmāsa	Third	Sg.	"Perfect Ind. Peri."	"    5"
prārthay	Denom.	0	Ā	prārthayāmāsuḥ	Third	Pl.	"Perfect Ind. Peri."	"    5"
mṛgay	Denom.	0	P.	mṛgayāmāsa	Third	Sg.	"Perfect Ind. Peri."	"    4"
cūrṇay	Denom.	0	P.	cūrṇayāmāsatuḥ	Third	Du.	"Perfect Ind. Peri."	"    3"
āmantray	Denom.	0	Ā	āmantrayāṃcakre	Third	Sg.	"Perfect Ind. Peri."	"    3"
nimantray	Denom.	0	Ā	nimantrayāmāsa	Third	Sg.	"Perfect Ind. Peri."	"    3"
maṇḍay	Denom.	0	Ā	maṇḍayāṃcakrire	Third	Pl.	"Perfect Ind. Peri."	"    3"
varṇay	Denom.	0	Ā	varṇayāmāsa	Third	Sg.	"Perfect Ind. Peri."	"    2"
abhyarthay	Denom.	0	Ā	abhyarthayāmāsa	Third	Sg.	"Perfect Ind. Peri."	"    2"
sammantray	Denom.	0	Ā	saṃmantrayāmāsa	Third	Sg.	"Perfect Ind. Peri."	"    2"
mārgay	Denom.	0	Ā	mārgayāmāsa	Third	Sg.	"Perfect Ind. Peri."	"    2"
vyaṁsay	Denom.	0	Ā	vyaṃsayāmāsa	Third	Sg.	"Perfect Ind. Peri."	"    2"
mantray	Denom.	0	Ā	mantrayāmāsatuḥ	Third	Du.	"Perfect Ind. Peri."	"    1"
mantray	Denom.	0	Ā	mantrayāṃcakre	Third	Sg.	"Perfect Ind. Peri."	"    1"
mantray	Denom.	0	Ā	mantrayāṃcakrāte	Third	Du.	"Perfect Ind. Peri."	"    1"
mantray	Denom.	0	Ā	mantrayāṃcakrire	Third	Pl.	"Perfect Ind. Peri."	"    1"
varṇay	Denom.	0	Ā	varṇayāmāsuḥ	Third	Pl.	"Perfect Ind. Peri."	"    1"
sāntvay	Denom.	0	Ā	sāntvayāmāsuḥ	Third	Pl.	"Perfect Ind. Peri."	"    1"
sāntvay	Denom.	0	Ā	sāntvayāṃcakrire	Third	Pl.	"Perfect Ind. Peri."	"    1"
khaṇḍay	Denom.	0	P.	khaṇḍayāmāsa	Third	Sg.	"Perfect Ind. Peri."	"    1"
cūrṇay	Denom.	0	P.	cūrṇayāmāsuḥ	Third	Pl.	"Perfect Ind. Peri."	"    1"
āmantray	Denom.	0	Ā	āmantrayāṃcakruḥ	Third	Pl.	"Perfect Ind. Peri."	"    1"
āmantray	Denom.	0	Ā	āmantrayāṃbabhūvuḥ	Third	Pl.	"Perfect Ind. Peri."	"    1"
upamantray	Denom.	0	Ā	upamantrayāṃcakre	Third	Sg.	"Perfect Ind. Peri."	"    1"
vāsay	Denom.	0	Ā	vāsayāmāsa	Third	Sg.	"Perfect Ind. Peri."	"    1"
saṁtarkay	Denom.	0	P.	saṃtarkayāmāsa	Third	Sg.	"Perfect Ind. Peri."	"    1"
samarthay	Denom.	0	Ā	samarthayāmāsa	Third	Sg.	"Perfect Ind. Peri."	"    1"
samprārthay	Denom.	0	P.	samprārthayāmāsa	Third	Sg.	"Perfect Ind. Peri."	"    1"
samprārthay	Denom.	0	P.	samprārthayāmāsuḥ	Third	Pl.	"Perfect Ind. Peri."	"    1"
mṛgay	Denom.	0	P.	mṛgayāmāsuḥ	Third	Pl.	"Perfect Ind. Peri."	"    1"
maṇḍay	Denom.	0	Ā	maṇḍayāmāsa	Third	Sg.	"Perfect Ind. Peri."	"    1"
sabhājay	Denom.	0	Ā	sabhājayāmāsa	Third	Sg.	"Perfect Ind. Peri."	"    1"
sabhājay	Denom.	0	Ā	sabhājayāmāsuḥ	Third	Pl.	"Perfect Ind. Peri."	"    1"
niṣpattray	Denom.	0	Ā	niṣpattrayāmāsa	Third	Sg.	"Perfect Ind. Peri."	"    1"
uddhūlay	Denom.	0	P.	uddhūlayāmāsa	Third	Sg.	"Perfect Ind. Peri."	"    1"
upasukhay	Denom.	0	P.	upasukhayāṃbabhūva	Third	Sg.	"Perfect Ind. Peri."	"    1"
