series,I_vedic_pct,II_pct,III_pct,IV_pct,V_late_pct,corpus_pct,I_count,II_count,III_count,IV_count,V_count,delta_I_to_V_pp
ka-varga velar,8.852,11.656,13.673,14.849,14.057,12.283,186928,351753,309376,276492,96478,5.204
ca-varga palatal,8.181,9.427,8.5,8.616,8.141,8.711,172766,284495,192325,160432,55879,-0.04
ṭa-varga retroflex,4.492,4.905,5.347,5.724,5.85,5.137,94858,148038,120994,106580,40151,1.358
ta-varga dental,51.509,47.308,46.823,46.603,47.292,47.957,1087694,1427660,1059481,867744,324593,-4.217
pa-varga labial,26.966,26.704,25.657,24.208,24.66,25.913,569428,805880,580560,450749,169257,-2.306
