देवनागरी	IAST	"Часть речи"	Примеры	Синонимы	Периоды/Тексты	Сочетаемость	Метка
सीरिन्	sīrin	"m. * +"	"     3"	+	2/2	+	
सुकण्डु	sukaṇḍu	"m. +"					
सुकण्डुः	sukaṇḍuḥ	m.					
सुकृतरस	sukṛtarasa	m.					
सुकृतात्मन्	sukṛtātman	adj.					
सुखगम	sukhagama	adj.					
सुखभञ्ज	sukhabhañja	m.					
सुखवर्मन्	sukhavarman	"m. +"					
सुखाशः	sukhāśaḥ	m.					
सुतः	sutaḥ	m.					
सुतसोम	sutasoma	"adj.m. +"	"    34"		2/2	+	
सुतृष्णं	sutṛṣṇaṁ	Noun					
सुदयित	sudayita	m.f.n.adj.					
सुधावलित	sudhāvalita	m.					
सुधावास	sudhāvāsa	"m. +"					
सुधीः	sudhīḥ	Noun					
सुधोद्गार	sudhodgāra	"m. +"					
सुनेपथ्य	sunepathya	"adj. +"					
सुपक्ष्मन्	supakṣman	"adj. +"	"     1"		1/1	+	
सुपच	supaca	n.					
सुबालक	subālaka	"m. +"	"     3"		2/2	+	
सुमहातपस्	sumahātapas	adj.					
सुयमा	suyamā	"f. +"					
सुरक्तकः	suraktakaḥ	m.					
सुरतं	surataṁ	Noun					
सुरभिवल्कलं	surabhivalkalaṁ	Noun					
सुरेलश	surelaśa	"m. +"	"     1"	+	1/1	+	
सुवर्णकक्ष्य	suvarṇakakṣya	m.f.n.					
सुविदल्ला	suvidallā	"f. +"					
सुविदु	suvidu	"m. +"	"     1"		1/1	+	
सुविधिः	suvidhiḥ	m.					
सुश्रोतु	suśrotu	"adj. +"					
सुसम्प्रतप्त	susampratapta	"adj. +"					
सुसान्त्वयमन	susāntvayamana	"adj. +"					
सुसान्त्वित	susāntvita	n.					
सुस्थितंमन्य	susthitaṁmanya	adj.					
सुहृद्	suhṛd	"m.f.adj. * +"	"  1022"	+	5/62	+	
सूक्ष्मवस्त्र	sūkṣmavastra	n.					
सूचिसूत्र	sūcisūtra	"n. +"					
सूचीकटाहन्याय	sūcīkaṭāhanyāya	"m. +"					
सूत्रकोश	sūtrakośa	"m. +"					
सूत्रमय	sūtramaya	n.adj.					
सूत्रय्	sūtray	"Denom.P. +"	"     5"	+	2/4	+	
सूनिक	sūnika	"m. +"					
सूनिन्	sūnin	"m. +"	"     1"		1/1	+	
सूनुता	sūnutā	"f. * +"					
सूपतीर्थ	sūpatīrtha	n.adj.					
सूरत	sūrata	"adj. +"					
सूर्यम्पश्य	sūryampaśya	"adj. * +"					
