देवनागरी	IAST	"Часть речи"	Примеры	Синонимы	Периоды/Тексты	Сочетаемость	Метка
अमित्रयन्त्	amitrayant	m.					
अमिनत्	aminat	f.m.f.n.					
अमिनन्त्	aminant	m.					
अमृतस्रुत्	amṛtasrut	m.f.n.adj.					
अमोक्षयत्	amokṣayat	m.f.n.					
अम्बुभृत्	ambubhṛt	"m. +"	"     3"	+	3/3	+	
अयाचन्त्	ayācant	m.					
अयाचमान	ayācamāna	m.f.n.					
अयुक्तकृत्	ayuktakṛt	m.f.n.					
अयुगपत्	ayugapat	m.					
अयुतजित्	ayutajit	"m. +"	"     1"	+	1/1	+	
अयुताजित्	ayutājit	"m. +"	"     1"	+	1/1	+	
अयुष्मन्त्	ayuṣmant	m.					
अयोदत्	ayodat	m.f.n.					
अरक्षन्त्	arakṣant	m.					
अरङ्कृत्	araṅkṛt	m.					
अरागद्वेषत्	arāgadveṣat	m.					
अरातीयत्	arātīyat	m.					
अरिणिन्	ariṇin	m.					
अरोकदत्	arokadat	m.f.n.					
अर्चिष्मत्	arciṣmat	"adj. +"	"    34"		4/7	+	
अर्छ्	arch	Noun					
अर्जुनतस्	arjunatas	"ind. +"					
अर्जुनपुर	arjunapura	"n. +"					
अर्जुनशिरीष	arjunaśirīṣa	"n. +"					
अर्त्	art	m.					
अर्थकृत्	arthakṛt	m.f.n.adj.					
अर्थवन्त्	arthavant	"m. +"	"     1"	+	1/1	+	
अर्थेत्	arthet	m.f.n.adj.					
अर्वन्त्	arvant	"m. +"	"    91"	+	3/6	+	
अर्वरीवन्त्	arvarīvant	m.					
अर्हन्त्	arhant	"m. +"	"   283"	+	3/12	+	
अलङ्घयत्	alaṅghayat	m.f.n.					
अलिमन्त्	alimant	"m. +"	"     1"		1/1	+	
अलुभ्यात्	alubhyāt	m.f.n.					
अलोपयत्	alopayat	m.					
अवगाढवत्	avagāḍhavat	m.f.n.					
अवगुंठनवत्	avaguṁṭhanavat	m.					
अवज्ञेय	avajñeya	m.f.n.					
अवटोदा	avaṭodā	"f. +"					
अवत्	avat	"m.m.f.n. *"					
अवद्यत्	avadyat	m.f.n.					
अवनिभृत्	avanibhṛt	"m. +"					
अवनीभृत्	avanībhṛt	"m. +"					
अवन्त्	avant	m.					
अवमूत्रयत्	avamūtrayat	m.f.n.					
अवरोहवन्त्	avarohavant	m.adj.					
अवलात्	avalāt	m.					
अवस्यन्त्	avasyant	m.					
अवाग्गमनवन्त्	avāggamanavant	m.					
अवाप्तवत्	avāptavat	m.f.n.					
अविक्षित्	avikṣit	"m. +"	"     4"	+	2/2	+	
अविचारिन्	avicārin	"adj. +"	"     1"		1/1	+	
अविज्ञाति	avijñāti	"f. +"	"     1"	+	2/1	+	
अविज्ञाति	avijñāti	"f. +"	"     1"	+	2/1	+	
अविज्ञेयं	avijñeyaṁ	Noun					
अविनश्यन्त्	avinaśyant	m.					
अविन्दन्त्	avindant	m.					
अविब्रुवत्	avibruvat	m.f.n.					
अविब्रुवन्त्	avibruvant	m.					
अविवेनन्त्	avivenant	m.					
अविष्यत्	aviṣyat	"m.f.n. *"					
अविह्वरत्	avihvarat	m.f.n.					
अवीक्षित्	avīkṣit	m.					
अवीचिमत्	avīcimat	m.					
अवृहत्	avṛhat	m.					
अवोचत्	avocat	m.					
अव्यत्	avyat	f.m.f.n.					
अव्यनत्	avyanat	m.f.n.					
अव्यवसायवत्	avyavasāyavat	m.f.n.					
अव्यवसायवन्त्	avyavasāyavant	m.					
अव्येष्यत्	avyeṣyat	m.f.n.					
अष्टपात्	aṣṭapāt	m.					
अष्टारचक्रवत्	aṣṭāracakravat	m.					
अष्टारचक्रवन्त्	aṣṭāracakravant	m.					
अष्ठीवत्	aṣṭhīvat	m.n.m.f.n.					
अष्ठीवन्त्	aṣṭhīvant	"m. +"	"    14"		4/6	+	
अशक्नुवन्त्	aśaknuvant	m.					
अशनायावन्त्	aśanāyāvant	m.					
अशासन्त्	aśāsant	m.					
अश्नत्	aśnat	"m.f.n. *"					
अश्नवत्	aśnavat	m.					
अश्मजित्	aśmajit	"m. +"	"     1"	+	1/1	+	
अश्मभित्	aśmabhit	m.					
अश्वजित्	aśvajit	"m. +"	"     4"		2/4	+	
अश्ववन्त्	aśvavant	"m. +"	"     1"	+	1/1	+	
अश्ववित्	aśvavit	m.					
अश्वैत्	aśvait	m.					
असंकल्पयत्	asaṁkalpayat	m.f.n.					
असंचरत्	asaṁcarat	m.f.n.					
असंभिन्दत्	asaṁbhindat	m.f.n.					
असंयत्	asaṁyat	m.f.n.					
असंवसन्त्	asaṁvasant	m.					
असंह्रादयन्त्	asaṁhrādayant	m.					
असन्त्	asant	"m. +"					
असम्भवत्	asambhavat	m.					
असश्चन्त्	asaścant	m.f.adv.adj.					
अससत्	asasat	m.f.n.					
असुन्वत्	asunvat	m.f.n.					
असुभृत्	asubhṛt	"m. +"					
असुमन्त्	asumant	"m. +"					
अस्कन्दयन्त्	askandayant	m.					
अस्तंयत्	astaṁyat	m.					
अस्तंयन्त्	astaṁyant	m.					
अस्तंयात्	astaṁyāt	m.					
अस्तक्षितिभृत्	astakṣitibhṛt	"m. +"					
अस्तमेष्यत्	astameṣyat	m.					
अस्तवत्	astavat	"m.f.n. *"					
अस्त्रभृत्	astrabhṛt	"m. +"	"     3"	+	2/2	+	
अस्थिवत्	asthivat	m.f.n.					
अस्पृशत्	aspṛśat	m.					
अस्पृशन्त्	aspṛśant	m.					
अस्मत्	asmat	m.					
अस्रजित्	asrajit	m.					
अस्रेधत्	asredhat	m.f.n.					
अस्रेधन्त्	asredhant	m.					
अहङ्कारबत्	ahaṅkārabat	m.f.n.					
अहारयत्	ahārayat	m.n.m.f.n.					
अहिट्टान	ahiṭṭāna	m.					
अहिनामभृत्	ahināmabhṛt	m.					
अहिभृत्	ahibhṛt	"m. +"					
आकायम्	ākāyam	ind.					
आकारवन्त्	ākāravant	f.adj.					
आकृष्टिः	ākṛṣṭiḥ	f.					
आक्षिप्तरेचित	ākṣiptarecita	"mn. +"	"     4"		1/1	+	
आखंडलः	ākhaṁḍalaḥ	m.					
आखुः	ākhuḥ	m.					
आघ्नान	āghnāna	"adj. +"					
आघ्रा	āghrā	"Verb.cl.4.P. +"	"   109"	+	6/38	+	
आच्छेत्तर्	ācchettar	m.					
आतंच्	ātaṁc	Verb.cl.7.P.					
आतपत्रक	ātapatraka	n.					
आतपवर्ष्य	ātapavarṣya	"adj. +"					
आददि	ādadi	"adj. +"	"     3"	+	1/1	+	
आदारिबिम्बी	ādāribimbī	f.					
आदिगदाधर	ādigadādhara	"m. +"	"     7"		1/1	+	
आद्यबीज	ādyabīja	n.					
आपत्	āpat	"Verb.cl.1.A. +"	"   372"	+	6/31	+	
आपांग्यम्	āpāṁgyam	Partic.					
आप्यायः	āpyāyaḥ	m.					
आप्यायक	āpyāyaka	"adj.adj. +"	"     6"		3/5	+	
आफल्य	āphalya	"n. +"	"     1"	+	1/1	+	
आमयावित्व	āmayāvitva	n.					
आमीवित	āmīvita	"adj. +"					
आमुकीनामन्	āmukīnāman	"n. +"					
आम्ब	āmba	"m. +"	"     2"	+	1/2	+	
आयतलोचन	āyatalocana	m.					
आयुधसाह्वय	āyudhasāhvaya	"m. +"					
आयुष्यं	āyuṣyaṁ	Noun					
आरनालं	āranālaṁ	Noun					
आरनालक	āranālaka	"n. +"	"    13"		3/5	+	
आरूढिः	ārūḍhiḥ	f.					
आर्तिहन्	ārtihan	m.f.n.					
आलिख्य	ālikhya	ind.					
आलिगव्य	āligavya	"m. +"					
आलिङ्ग्य	āliṅgya	"adj.m. +"	"     1"	+	1/1	+	
आलोहितीकृ	ālohitīkṛ	Noun					
आवहमान	āvahamāna	"adj. +"					
आवाप	āvāpa	"m. * +"	"    75"	+	7/24	+	
आशीर्वत्	āśīrvat	"adj. +"	"     2"	+	1/1	+	
आशीविष	āśīviṣa	"m. * +"	"   240"	+	6/22	+	
आश्चुत्	āścut	m.					
आश्चोतन	āścotana	"n. +"	"     1"	+	1/1	+	
आश्वसूक्ति	āśvasūkti	"m. +"					
आसज्य	āsajya	ind.					
आसज्य	āsajya	ind.					
आसन्दिका	āsandikā	"f. +"					
आसन्दी	āsandī	"f. * +"	"    14"		4/9	+	
आसन्नकाल	āsannakāla	"m.adj. +"					
आसीन	āsīna	"n.m.f.n.Partic. *"					
आसुतीय	āsutīya	adj.					
आस्फोटः	āsphoṭaḥ	m.					
इंद्रः	iṁdraḥ	m.f.n.Partic.					
इंद्रिय	iṁdriya	m.f.					
इंधन	iṁdhana	m.					
इंरेजः	iṁrejaḥ	m.					
इट्चर	iṭcara	"m. +"					
इडस्	iḍas	Noun					
इडापात्री	iḍāpātrī	"f. +"					
इच्छता	icchatā	"f. +"					
इतः	itaḥ	m.					
इत्यः	ityaḥ	m.					
इन्दुमत्	indumat	"m.f. *"					
इन्दुमित्र	indumitra	"m. +"					
इन्दुमौलि	indumauli	"m. +"	"    13"	+	3/7	+	
इन्द्रजूत	indrajūta	m.f.n.adj.					
इन्द्रस्वत्	indrasvat	"adj. +"	"     1"		1/1	+	
इन्द्रायुधं	indrāyudhaṁ	Noun					
इन्द्रावरुण	indrāvaruṇa	"m. * +"	"    57"		3/5	+	
इन्द्रियविषय	indriyaviṣaya	m.					
इभोषणा	ibhoṣaṇā	"f. +"					
इरिका	irikā	"f. +"					
इषुध	iṣudha	m.					
इषुध्य	iṣudhya	m.					
इष्टगन्धं	iṣṭagandhaṁ	Noun					
इष्टसाधन	iṣṭasādhana	m.					
इष्टिपच	iṣṭipaca	"m. +"					
ईड्य	īḍya	"m. * +"	"     1"	+	1/1	+	
ईन्	īn	"m. +"	"     1"	+	3/3/1	+	
उक्तानुक्त	uktānukta	m.f.n.					
उक्षसेन	ukṣasena	"m. +"					
उक्षा	ukṣā	f.					
उग्रं	ugraṁ	Noun					
उच्चैश्श्रवस्	uccaiśśravas	Noun					
उच्छोफः	ucchophaḥ	m.					
उच्छोषुक	ucchoṣuka	"adj. +"					
उज्ज्वलनीलमणि	ujjvalanīlamaṇi	"m. +"					
उज्झक	ujjhaka	"m. +"	"     1"	+	1/1	+	
उज्झटा	ujjhaṭā	"f. +"	"     1"	+	1/1	+	
उत्कर्तम्	utkartam	"ind. +"					
उत्कोच	utkoca	"m. * +"	"    12"	+	3/7	+	
उत्क्रीश	utkrīśa	m.					
उत्तरतर	uttaratara	"adj. +"	"     3"		2/3	+	
उत्तरम्	uttaram	adv.ind.					
उदपात्र	udapātra	"n. +"	"    22"	+	3/9	+	
उदयतुङ्ग	udayatuṅga	"m. +"					
उदरंभर	udaraṁbhara	"adj. +"					
उदसन	udasana	"n. +"	"     1"	+	1/1	+	
उद्दाल्य	uddālya	ind.					
उद्दास	uddāsa	"m. +"					
उद्भिदं	udbhidaṁ	Noun					
उद्यतः	udyataḥ	m.					
उद्यम्	udyam	"Verb.cl.6.P. +"	"   699"		6/60	+	
उद्यमिन्	udyamin	"adj. +"	"     3"	+	1/3	+	
उद्वहनम्	udvahanam	Partic.					
उद्वाष्पत्व	udvāṣpatva	"n. +"					
उद्वाश्	udvāś	"Verb.cl.4.A. +"					
उन्मिश्र	unmiśra	"adj. +"	"    33"		5/12	+	
उपचित	upacita	m.f.n.					
उपचितः	upacitaḥ	m.					
उपजन्मन्	upajanman	"n. +"	"     1"		1/1	+	
उपतप्त	upatapta	m.f.n.					
उपनिवपन	upanivapana	"n. +"					
उपनिषद्	upaniṣad	"f.Verb.cl.1.P. * +"	"   125"	+	6/37	+	
उपयिचारिक	upayicārika	m.					
उपवध्	upavadh	"Verb.cl.1.P. +"		+			
उपश्रुति	upaśruti	"m.f. * +"	"    20"		5/7	+	
उपसंहारः	upasaṁhāraḥ	m.					
उपसत्तिः	upasattiḥ	f.					
उपस्वृ	upasvṛ	Noun					
उपस्वेद	upasveda	"m. +"	"     3"	+	1/2	+	
उपानद्गूढ	upānadgūḍha	m.f.n.Verb.					
उपाप्रछ्	upāprach	"Verb.cl.6.P. +"		+			
उपोक्ष्	upokṣ	"Verb.cl.6.P. +"					
उपोच्चारिन्	upoccārin	adj.					
उभयतोद्वार	ubhayatodvāra	"adj. +"					
उभयद्युस्	ubhayadyus	"ind. +"	"     2"		1/1		
उभयपद्	ubhayapad	m.m.f.n.					
उर्वरित	urvarita	"adj. +"	"     1"	+	1/1	+	
उर्वीश्वर	urvīśvara	"m. +"					
उलूकपक्ष	ulūkapakṣa	"adj. +"					
उल्ललित	ullalita	m.f.n.					
उल्लसन	ullasana	m.					
उल्लिखितः	ullikhitaḥ	m.					
उषद्रथ	uṣadratha	"m. +"					
उषय्	uṣay	"Verb.cl.10.P. +"					
उष्णगत	uṣṇagata	"n. +"	"     1"		1/1	+	
उष्णय्	uṣṇay	Noun					
उष्णांशुः	uṣṇāṁśuḥ	m.					
उशद्गु	uśadgu	"m. +"	"     3"		2/2	+	
उशाना	uśānā	"f. +"					
ऊर्ज्जयोनि	ūrjjayoni	n.					
ऊर्ज्जा	ūrjjā	f.					
ऊर्णा	ūrṇā	"f. * +"	"   111"		6/40	+	
ऊर्णु	ūrṇu	"m. +"	"     2"		1/1/1/1	+	
ऊर्जस्वित्	ūrjasvit	m.					
ऊर्ध्वगुद	ūrdhvaguda	"m. +"	"     2"		1/1	+	
ऊर्ध्वगुह्यक	ūrdhvaguhyaka	"m. +"	"     1"	+	1/1	+	
ऊर्मिमाला	ūrmimālā	"f. +"					
ऊर्म्य	ūrmya	"adj. * +"	"     1"	+	1/1	+	
ऊषसूत	ūṣasūta	"n. +"	"     1"	+	2/1	+	
ऋक्षं	ṛkṣaṁ	Noun					
ऋक्षवान्	ṛkṣavān	m.					
ऋक्षविडम्बिन्	ṛkṣaviḍambin	"m. +"					
ऋञ्ज्	ṛñj	"Verb. cl.1."					
ऋणापकरण	ṛṇāpakaraṇa	"n. +"					
ऋतंजय	ṛtaṁjaya	"m. +"	"     1"	+	1/1	+	
ऋतज्ञा	ṛtajñā	m.f.n.					
ऋतायुस्	ṛtāyus	"m. +"					
ऋतुधा	ṛtudhā	"ind. +"	"     1"		1/1		
ऋधक्	ṛdhak	"ind. +"	"    17"		3/3		
ऋधद्वार	ṛdhadvāra	"adj. +"					
ऋश्यः	ṛśyaḥ	m.					
एकपात्र	ekapātra	m.f.n.					
एकवर्ण	ekavarṇa	m.f.m.f.n.adj.					
एकाधिक	ekādhika	m.					
एणी	eṇī	"f. +"	"     4"		2/3	+	
एणीपचनीय	eṇīpacanīya	"adj. +"					
एणेक्षण	eṇekṣaṇa	"adj. +"					
एडुकं	eḍukaṁ	Noun					
एतत्कालीन	etatkālīna	"adj. +"					
एधाच्	edhāc	"m. +"	"     1"		5/12/1	+	
एवयामरुत्	evayāmarut	"m. +"	"    10"	+	2/1	+	
एवशब्द	evaśabda	"m. +"	"     2"	+	1/1	+	
एश्	eś	"m. +"	"     1"	+	2/3/1	+	
ओङ्कार	oṅkāra	"m.f. *"					
कंठिन्	kaṁṭhin	m.					
कंसः	kaṁsaḥ	m.f.n.Partic.					
कंसवणिज्	kaṁsavaṇij	"m. +"					
ककुदः	kakudaḥ	m.					
ककुद्रुम	kakudruma	m.n.					
ककुप्	kakup	Noun					
ककुब्भण्ड	kakubbhaṇḍa	"m. +"					
ककुभ्	kakubh	"f. * +"	"    42"	+	5/13	+	
कक्षी	kakṣī	"f. +"	"     1"	+	1/1	+	
कक्षीकर्	kakṣīkar	m.					
कक्षोदक	kakṣodaka	"n. +"					
कक्ष्य	kakṣya	"adj.n. * +"	"     4"	+	2/2	+	
कण्ठसञ्जन	kaṇṭhasañjana	n.					
कचि	kaci	n.					
कण्टकालः	kaṇṭakālaḥ	m.					
कतम	katama	"pron. * +"	"   278"		5/37		
कतिपय	katipaya	"adj. * +"	"    56"		4/28	+	
कथमपि	kathamapi	n.					
कदिन्द्रियगण	kadindriyagaṇa	m.m.f.n.					
कनिष्ठकं	kaniṣṭhakaṁ	Noun					
कन्दशूरण	kandaśūraṇa	"m. +"	"     1"	+	1/1	+	
कन्दशूरणः	kandaśūraṇaḥ	m.					
कन्यासंवेद्य	kanyāsaṁvedya	"n. +"	"     1"	+	1/1	+	
कपालवत्	kapālavat	"adj. +"	"     2"		2/2	+	
कपुच्छल	kapucchala	"n. * +"					
कपुत्सल	kaputsala	m.					
कम्पि	kampi	"m. +"	"     1"		1/1/1	+	
कयाधु	kayādhu	"f. * +"					
कयाधू	kayādhū	f.					
करपत्रवन्त्	karapatravant	m.					
करपत्रिका	karapatrikā	f.					
करपल्लव	karapallava	"m. +"	"     5"	+	1/5	+	
करपल्लवः	karapallavaḥ	m.					
करिगर्ज्जित	karigarjjita	n.					
करिचर्म्मन्	karicarmman	n.					
करिहस्त	karihasta	"m. +"	"     3"	+	1/1	+	
कर्णगृह्य	karṇagṛhya	m.					
कर्णजाप	karṇajāpa	"m. +"					
कर्णशोभन	karṇaśobhana	"n. +"					
कर्णिन्	karṇin	"adj.m. * +"	"    34"	+	5/8	+	
कर्त्तृवाच्य	karttṛvācya	m.					
कर्मक्षमः	karmakṣamaḥ	m.					
कर्मक्षय	karmakṣaya	m.					
कर्मक्षेत्र	karmakṣetra	"n. +"					
कर्मण्यभुक्	karmaṇyabhuk	f.					
कर्मत्याग	karmatyāga	m.					
कर्म्मज्ञ	karmmajña	m.f.n.					
कर्म्मठ	karmmaṭha	m.m.f.n.					
कर्षिणी	karṣiṇī	"f. +"	"     3"	+	2/3	+	
कल	kala	"adj.m.n. * +"	"   134"	+	5/44	+	
कलचुरि	kalacuri	"m. * +"					
कललजः	kalalajaḥ	m.					
कलहाय	kalahāya	Verb.					
कलायखञ्ज	kalāyakhañja	m.					
कलाविद	kalāvida	m.					
कल्याणधर्म्मन्	kalyāṇadharmman	m.f.n.					
कवेल	kavela	"n. +"					
कषायपाण	kaṣāyapāṇa	"m. +"					
कशेरूः	kaśerūḥ	Noun					
कशेरूमत्	kaśerūmat	m.					
कश्मरी	kaśmarī	"f. +"	"     1"	+	1/1	+	
कश्मल	kaśmala	"adj.n.mn. * +"	"    72"	+	4/8	+	
कांडः	kāṁḍaḥ	m.					
कांदिशीक	kāṁdiśīka	"adj. +"	"     4"	+	2/4	+	
काकाख्य	kākākhya	"n. +"	"     1"	+	1/1	+	
कागः	kāgaḥ	m.					
काङ्कत	kāṅkata	"m. +"					
काङ्क्षिन्	kāṅkṣin	"adj. * +"	"   168"	+	6/27	+	
काणेरिन्	kāṇerin	"m. +"					
कान्तिलोह	kāntiloha	"mn. +"					
कान्तिव्रत	kāntivrata	"n. +"	"     1"	+	1/1	+	
कामकोष्णी	kāmakoṣṇī	"f. +"					
कामताल	kāmatāla	"m. +"					
कायसम्पद्	kāyasampad	Noun					
कारली	kāralī	"f. +"	"     1"	+	1/1	+	
कार्म्मण	kārmmaṇa	n.m.f.n.					
कार्यकर्तर्	kāryakartar	m.					
कार्यशब्दिक	kāryaśabdika	"adj. *"					
कार्य्यसागर	kāryyasāgara	m.					
कालकोटि	kālakoṭi	"f. +"					
कालञ्जर	kālañjara	m.					
कालमसी	kālamasī	"f. +"					
कालिव्य	kālivya	"adj. +"					
काष्ठशारिवा	kāṣṭhaśārivā	f.					
किकिदीवि	kikidīvi	"m. +"	"     1"	+	1/1	+	
किणिः	kiṇiḥ	m.					
किदर्भ	kidarbha	"m. +"					
किन्तमाम्	kintamām	Partic.					
किम्मय	kimmaya	"adj. +"	"     3"		2/2	+	
किरातकः	kirātakaḥ	m.					
किरोडाट्य्	kiroḍāṭy	Noun					
किर्मीरारि	kirmīrāri	"m. +"					
किर्म्मीरत्वच्	kirmmīratvac	f.					
किलः	kilaḥ	m.					
कीडेर	kīḍera	"m. +"					
कीदृग्	kīdṛg	Noun					
कीनारः	kīnāraḥ	m.					
कीरमाण	kīramāṇa	m.					
कीर्तितव्य	kīrtitavya	m.f.n.adj.					
कीर्तिराज	kīrtirāja	"m. +"					
कीर्त्त्य	kīrttya	m.f.n.					
कीर्य	kīrya	m.f.n.adj.					
कुक्कुटः	kukkuṭaḥ	m.					
कुक्षिल	kukṣila	"m. +"					
कुख्याति	kukhyāti	"f. +"					
कुटीनिवातम्	kuṭīnivātam	"ind. +"					
कुतप	kutapa	"adj.mn.m. * +"	"    23"	+	3/15	+	
कुतार्किक	kutārkika	"m. +"	"     1"	+	1/1	+	
कुत्सकुशिकिका	kutsakuśikikā	"f. +"					
कुनाशक	kunāśaka	"m. +"	"     1"	+	1/1	+	
कुन्तीतनय	kuntītanaya	m.					
कुभ्रातृ	kubhrātṛ	"m. +"					
कुमुदगन्ध्या	kumudagandhyā	f.					
कुमोदक	kumodaka	"m. +"	"     1"	+	1/1	+	
कुरुनन्दन	kurunandana	m.					
कुरुराज्	kururāj	"m. +"	"     1"	+	1/1	+	
कुर्वादि	kurvādi	n.					
कुल	kula	"n. * +"	"  2962"	+	7/119	+	
कुलतन्तु	kulatantu	"m. +"					
कुलमर्य्यादा	kulamaryyādā	f.					
कुलवत्	kulavat	"adj. +"	"     2"	+	2/2	+	
कुलस	kulasa	"adj. +"					
कुलिशासन	kuliśāsana	"m. +"					
कुलुक्कगुंजा	kulukkaguṁjā	f.					
कुविन्दक	kuvindaka	"m. +"					
कुवेरः	kuveraḥ	m.					
कुष्ठकन्द	kuṣṭhakanda	"m. +"					
कुष्ठित	kuṣṭhita	"adj. +"	"     1"	+	2/1	+	
कुशलता	kuśalatā	f.					
कुसुमवाण	kusumavāṇa	m.					
कूणितेक्षण	kūṇitekṣaṇa	"m. +"					
कूजित	kūjita	"n. * +"	"    20"		5/11	+	
कृच्छ्राप्त	kṛcchrāpta	"adj. +"					
कृतकत्व	kṛtakatva	n.					
कृततीर्थ	kṛtatīrtha	"adj. +"	"     1"	+	1/1	+	
कृतवाक्	kṛtavāk	f.					
कृतीमन्त्र	kṛtīmantra	"m. +"	"     1"		1/1	+	
कृत्स्नविद्	kṛtsnavid	"adj. +"					
कृषायु	kṛṣāyu	"adj. +"					
कृषिभागिन्	kṛṣibhāgin	m.					
कॢप्तकील	kḷptakīla	f.					
केत	keta	"m. * +"	"    24"	+	3/5	+	
केतकी	ketakī	"f. +"	"    73"		6/30	+	
केतुमालिन्	ketumālin	"m. +"	"     2"	+	2/2	+	
केशधर	keśadhara	"m. +"					
केशपक्षः	keśapakṣaḥ	m.					
कोटरक	koṭaraka	m.					
कोटिकाश्य	koṭikāśya	"m. +"	"     9"	+	1/1	+	
कोटिकास्य	koṭikāsya	"m. +"					
कोषांश	koṣāṁśa	m.					
कोष्ठाग्नि	koṣṭhāgni	m.					
कोशदण्ड	kośadaṇḍa	m.					
कोशशुद्धि	kośaśuddhi	"f. +"					
कोशागाराधिकारिन्	kośāgārādhikārin	"m. +"					
कैटभहा	kaiṭabhahā	f.					
कौस्त्रुभवक्षस्	kaustrubhavakṣas	m.					
क्र	kra	"m. +"	"     1"		1/1/1	+	
क्रकणः	krakaṇaḥ	m.					
क्रतुद्विष्	kratudviṣ	"m. +"					
क्रतुविक्रयिन्	kratuvikrayin	"adj. +"					
क्रमदण्डक	kramadaṇḍaka	m.					
क्रव्याशिन्	kravyāśin	"adj.m. +"					
क्रियासार	kriyāsāra	"m. +"					
क्रियासिद्धि	kriyāsiddhi	f.					
क्रीडनिका	krīḍanikā	"f. +"	"     5"		1/2	+	
क्रुत्	krut	m.					
क्रुध्	krudh	"f.Verb.cl.4.A. * +"	"  1574"	+	6/55	+	
क्रुध	krudha	"m. +"	"     3"		6/55/1	+	
क्रुमुकः	krumukaḥ	m.					
क्रूरगन्ध	krūragandha	"m. +"	"     1"	+	1/1	+	
क्रूरचरित	krūracarita	m.f.n.					
क्रूर्च्च	krūrcca	m.					
क्रोधनी	krodhanī	"f. +"	"     1"	+	2/2/1	+	
क्रौञ्चब्रध्न	krauñcabradhna	m.					
क्रौञ्चब्रध्न	krauñcabradhna	m.					
क्रौञ्चारुणव्यूह	krauñcāruṇavyūha	m.					
क्लिन्नहृद्	klinnahṛd	"adj. +"					
क्वथ	kvatha	"m. +"					
क्वथनम्	kvathanam	Partic.					
क्वणनं	kvaṇanaṁ	Noun					
क्षतज	kṣataja	"n. +"	"    81"	+	5/20	+	
क्षतविक्षत	kṣatavikṣata	m.f.n.					
क्षत्त्रान्तक	kṣattrāntaka	m.					
क्षत्रवनि	kṣatravani	"adj. +"					
क्षन्तव्य	kṣantavya	"n.m.f.n.adj. *"					
क्षपाघन	kṣapāghana	m.					
क्षपाटः	kṣapāṭaḥ	m.					
क्षपित	kṣapita	"m.f.n. *"					
क्षपितव्य	kṣapitavya	m.f.n.					
क्षमावन्त	kṣamāvanta	m.					
क्षयथुः	kṣayathuḥ	m.					
क्षरिति	kṣariti	"f. +"	"     1"		1/1/1	+	
क्षा	kṣā	"f. * +"	"    32"	+	4/6	+	
क्षिं	kṣiṁ	"ind. +"	"     1"		1/1		
क्षितिजः	kṣitijaḥ	m.					
क्षितिरुह्	kṣitiruh	"m. +"	"     2"	+	1/1	+	
क्षितिलवभुज्	kṣitilavabhuj	"m. +"					
क्षितिशिञ्जिनी	kṣitiśiñjinī	f.					
क्षिप्तः	kṣiptaḥ	m.					
क्षिप्रकारिता	kṣiprakāritā	f.					
क्षीरौदन	kṣīraudana	"m. +"	"     2"		3/2	+	
क्षुत्क्षाम	kṣutkṣāma	m.f.n.Verb.					
क्षुत्सम्बाध	kṣutsambādha	"adj. +"					
क्षुद्रफल	kṣudraphala	Noun					
क्षुद्ररस	kṣudrarasa	"m. +"					
क्षुपडोडमुष्टिः	kṣupaḍoḍamuṣṭiḥ	m.					
क्षेण	kṣeṇa	m.					
क्षेत्रव्यवहार	kṣetravyavahāra	"m. +"					
क्षेमधन्वन्	kṣemadhanvan	"m. +"	"     7"	+	3/6	+	
क्षेमवृद्धि	kṣemavṛddhi	"m. +"	"     4"		1/1	+	
क्षौद्रकमालवक	kṣaudrakamālavaka	"adj. +"					
क्ष्मायितृ	kṣmāyitṛ	"adj. +"					
खण्डिका	khaṇḍikā	"f. +"	"     6"		3/4	+	
खञ्जनाकृति	khañjanākṛti	f.					
खटकः	khaṭakaḥ	m.					
खड्गमृग	khaḍgamṛga	"m. +"	"     1"	+	1/1	+	
खन	khana	"adj.m. +"	"     3"	+	7/43/1	+	
खनय्	khanay	"Verb.cl.10.P. +"	"     8"	+	2/4	+	
खपुरः	khapuraḥ	m.					
खमूली	khamūlī	f.					
खम्भाति	khambhāti	n.					
खादिरगृह्य	khādiragṛhya	"n. +"					
गंधोली	gaṁdholī	f.					
गङ्गायमुनामध्य	gaṅgāyamunāmadhya	"n. +"					
गणश्री	gaṇaśrī	m.f.n.adj.					
गजाण्ड	gajāṇḍa	"n. +"	"     1"		1/1	+	
गडुलः	gaḍulaḥ	m.					
गडुशिरस्	gaḍuśiras	"adj. +"					
गणभृत्	gaṇabhṛt	"m. +"					
गतकीर्ति	gatakīrti	m.f.n.					
गतायुस्	gatāyus	m.f.n.adj.					
गदायुद्धपर्वन्	gadāyuddhaparvan	n.					
गद्गदक	gadgadaka	"adj. +"					
गन्धबहुला	gandhabahulā	"f. +"	"     1"		1/1	+	
गन्धेच्छा	gandhecchā	"f. +"					
गभस्तिः	gabhastiḥ	m.f.					
गभस्तीश्वर	gabhastīśvara	"n. +"					
गमि	gami	"m. +"	"     8"		2/3	+	
गरुल	garula	m.					
गर्भपातक	garbhapātaka	"m. +"					
गलन्ती	galantī	"f. +"					
गात्रसंप्लव	gātrasaṁplava	m.					
गायत्रबार्हत	gāyatrabārhata	"adj. +"					
गिरिमाणः	girimāṇaḥ	m.					
गुणी	guṇī	adv.Verb.					
गुणी	guṇī	adv.Verb.					
गुण्थक	guṇthaka	n.					
गुडा	guḍā	"f. +"	"     5"	+	2/5	+	
गुणगृह्य	guṇagṛhya	"adj. +"					
