bhū,30478
sthā,7854
iṣ,4191
smṛ,3964
pā,3487
labh,3103
car,3055
vad,3027
pat,2775
hā,2608
tyaj,2297
arh,2203
dhā,2168
jīv,1868
pac,1841
bhāṣ,1325
bhṛ,1308
naś,1161
dham,1148
vraj,1080
hṛṣ,1051
bhī,1026
bhaj,1019
vṛ,902
śī,893
jval,737
anugam,638
cyu,607
nam,583
vand,576
yāc,551
paṭh,547
mud,541
sah,534
av,532
yat,509
tvar,495
gras,481
sru,455
krīḍ,437
cal,437
nad,437
śap,418
kṣam,394
gad,391
ruc,387
bādh,379
has,377
vyath,335
nind,329
śri,321
dhāv,311
bhraṁś,311
daṁś,274
prath,273
plu,262
ci,261
lī,261
śaṅk,243
kamp,220
chad,206
cit,204
smi,204
vam,202
sac,200
lag,196
gal,190
kṣar,171
ceṣṭ,170
garj,166
ślāgh,165
bhrāj,164
garh,159
carv,150
adhiruh,149
vap,149
vas,147
riṣ,137
vip,137
takṣ,135
apakṛṣ,133
edh,124
krand,123
dhvaṁs,118
phal,117
sraṁs,117
jalp,114
lamb,111
nard,110
skhal,105
dhṛṣ,103
sṛp,103
bhās,102
pinv,97
kūj,96
ghaṭ,96
lal,94
dīkṣ,88
kvath,87
kṣi,83
jṛmbh,79
sādh,77
vikas,74
vrīḍ,73
bhaṇ,70
skand,68
jū,67
cumb,66
gāh,60
las,58
mih,57
syand,57
kṣud,56
aṭ,55
dyut,54
mand,53
mah,51
kan,50
śvi,50
spand,49
nakṣ,47
val,47
ghūrṇ,46
rabh,46
ej,44
cak,44
ṛj,43
dhanv,42
nabh,42
ras,42
kāś,40
bhūṣ,40
lul,40
sidh,38
hary,38
veṣṭ,37
svaj,36
aj,35
dabh,35
day,34
rej,34
valg,33
rad,32
lakṣ,32
svar,31
cud,30
laṅgh,30
svad,28
katth,27
ghuṣ,27
dhvan,27
viṣ,27
hras,26
kvaṇ,25
dal,24
jṛ,23
raṇ,23
ribh,23
heṣ,23
saṁvah,22
nādh,21
śṛdh,21
cūṣ,20
styai,19
īṣ,18
ven,18
das,16
kṣap,15
kṣviḍ,15
rah,14
ścut,14
sap,14
kṛp,13
nāth,13
sridh,12
iṅg,11
ūh,11
khac,11
paṇ,11
bhaṣ,11
myakṣ,11
śad,11
sūd,11
kās,10
cāy,10
nas,10
raṁh,10
vell,10
sphūrj,10
glah,9
tarj,9
tuś,9
raṭ,9
vikamp,9
jvar,8
pan,8
kṣad,7
rap,7
laḍ,7
kaṣ,6
khel,6
ḍhauk,6
cat,6
tsar,6
dakṣ,6
dudh,6
dhraj,6
naṭ,6
śvit,6
at,5
cyut,5
pruth,5
bhand,5
ru,5
vikāś,5
vīj,5
aṅg,4
kūrd,4
cup,4
tij,4
bhan,4
bharts,4
mīl,4
jabh,3
tand,3
dhav,3
pūy,3
mnā,3
vikūj,3
vidh,3
hlād,3
īrṣy,2
kuts,2
ghaṭṭ,2
caṭ,2
can,2
jūrv,2
trap,2
dhan,2
dhvṛ,2
pīḍ,2
bharv,2
maṇṭ,2
yeṣ,2
rudh,2
śriṣ,2
ślath,2
saṁvap,2
sarj,2
hikk,2
hreṣ,2
kaṇ,1
kac,1
kal,1
khaj,1
guṇṭh,1
ṭaṅk,1
cand,1
chal,1
jri,1
dās,1
nu,1
pakṣ,1
bhreṣ,1
may,1
mrad,1
mruc,1
mlech,1
yakṣ,1
yabh,1
rac,1
luḍ,1
vās,1
vedh,1
śabd,1
109469,
