Корень	Частота форм (Слабая ступень)	Частота форм (Гуна)	Частота форм (Вриддхи)
akṣ	5	0	0
añc	6	0	0
aj	23	0	0
añj	13	0	0
aṭ	4	0	0
at	1	0	0
ad	20	0	0
an	2	0	0
arc	17	0	0
arh	11	0	0
aś	39	0	0
as	17	0	0
āp	12	0	0
ās	16	0	0
i	17	0	0
iṅg	2	0	0
indh	8	0	0
iṣ	36	0	0
īkṣ	11	0	0
īḍ	6	0	0
īr	4	0	0
īrṣy	2	0	0
īś	8	0	0
īh	5	0	0
ukṣ	5	0	0
uc	6	0	0
ujh	3	0	0
uñch	1	0	0
und	6	0	0
ubj	5	0	0
ūh	24	0	0
ṛj	5	0	0
ṛdh	9	0	0
ṛṣ	5	0	0
kath	5	0	0
kam	3	0	0
kamp	6	0	0
kal	1	0	0
kaṣ	4	0	0
kāṅkṣ	10	0	0
kāś	2	0	0
kās	2	0	0
kuñc	1	0	0
kup	7	0	0
kūj	6	0	0
kṛ	69	0	0
kṛt	12	0	0
kṛp	5	0	0
kṛś	6	0	0
kṛṣ	35	0	0
kﾱp	13	0	0
krand	8	0	0
kram	16	0	0
krī	6	0	0
krīḍ	12	0	0
krudh	7	0	0
kruś	11	0	0
klam	1	0	0
klid	3	0	0
kliś	8	0	0
kvaṇ	2	0	0
kṣad	3	0	0
kṣan	4	0	0
kṣam	14	0	0
kṣar	7	0	0
kṣi	22	0	0
kṣip	26	0	0
kṣu	1	0	0
kṣud	5	0	0
kṣudh	1	0	0
kṣubh	5	0	0
kṣviḍ	3	0	0
khan	5	0	0
khād	4	0	0
khid	7	0	0
khud	1	0	0
khel	4	0	0
khyā	11	0	0
gad	5	0	0
gam	30	0	0
garj	4	0	0
garh	7	0	0
gal	2	0	0
gā	36	0	0
gāh	8	0	0
guñj	1	0	0
gup	5	0	0
gur	4	0	0
guh	17	0	0
gṛ	14	0	0
gṛdh	5	0	0
granth	3	0	0
grah	26	0	0
gras	11	0	0
glah	2	0	0
glā	4	0	0
ghaṭ	7	0	0
ghas	4	0	0
ghuṣ	5	0	0
ghūrṇ	5	0	0
ghṛṣ	4	0	0
ghrā	5	0	0
cakṣ	4	0	0
cañc	1	0	0
caṭ	2	0	0
car	24	0	0
carv	2	0	0
cal	7	0	0
cāy	2	0	0
ci	28	0	0
cit	9	0	0
cud	5	0	0
cumb	8	0	0
ceṣṭ	7	0	0
cyu	10	0	0
chand	4	0	0
chid	18	0	0
jakṣ	4	0	0
jan	22	0	0
jap	7	0	0
