akṣ	akṣṇuhi ākṣiṣuḥ akṣat ākṣāṇa 
aghāy	aghāyat aghāyati 
aṭ	aṭat aṭati aṭate aṭamāna aṭitvā aṭasi aṭāmi aṭanti aṭa aṭasva 
aj	ājat aja ajati ājaḥ ajāmasi ajatha ajanti ajatu ajāva ajatam ājatam ājan aje ajate ajāti ajeta ajadhvam ajā 
añc	añcita añcati añcat aca acati acathaḥ acyanta acasva acyase acita 
añcay	añcita añcayitvā 
añj	akta ajyate anaktu anakti añjate añjanti ajyase añjāna ajyamāna ānaje añjyāt aṅdhi añjantu aṅkṣva aṅkte añjat añjmaḥ aṅktam añje añjataḥ aṅgdhi anajmi āñjan añjīta anajat anajā anajyāt anaktana aṅgdhve ānajre añjan añjan añjata ajya añjanīya aktvā aṅktvā ānajāna 
añjay	añjita añjayet añjayitvā añjyate añjayati añjayat 
at	atati atamāna atasi 
ad	adyāt atti atta adanti adat atsi adyate addhi attum adya attave adantu admi attu ādya adyuḥ adyamāna atsyanti ādat adanti adāma attam attavya atta attaḥ attha adyāḥ āda adāmi adasi adati adasva adyatām ādithāḥ atte attā adat adān attana admasi atsyat attvā adat adāna 
an	āna anati anat ānīt āniṣuḥ 
arc	arcita arcanti arcat arcata arca arcanīya arcya arcan arcati arcet ānarcuḥ arcitvā arcya arcitum arcitavat arcasi arcantu ānarca arcā arcāma arcāmi ārcan ānṛcuḥ arciṣyat arciṣyanti ārciṣam arce arcān arcat ṛcase ṛcyamāna arcathaḥ arcatu arcāma ārcat ārcāma arciṣyasi arcase arcāmahe arcanta arciṣyate arcāt arcan ānṛce arcāmasi ṛcyate ṛcyante arcase arcamāna 
arcay	arcayet arcita arcayitvā arcayanti arcayat arcayāmāsa arcyate arcayati arcaya arcyamāna arcayiṣyati arcayat arcya arcayiṣyanti arcyante ārcayat arcayiṣyāmi arcayeta arcayitavya arcayāmi arcaye arcayate arcayante arcayasva arcayiṣye arcayāmāsatuḥ arcayāmāsuḥ arcayasi arcayāmaḥ arcayeyam arcayeyuḥ arcayantu ārcayan arcyase arcayatām arcayadhvam arcayāmāsa arcayāṃcakruḥ arcyatām arcyantām arcayan arcayiṣyat arcayitum 
arjay	arjita arjayitvā arjayat arjayet arjayati arjayanti arjayasi arjaya ārjayat arjayasva arjayate arjyate arjayitum 
arth	arthamāna arthanīya 
arthay	arthita arthaye arthayate arthayasva arthyatām arthayat arthyamāna arthayet arthyate arthayamāna arthayanti arthayiṣyanti arthayethe arthayante arthayāse arthitavya arthitavat 
arday	ardita ārdayat ardyamāna ardayat ardayat ardayāmāsa ārdayan ardayitvā ardaya ardayiṣyāmi ardayaḥ ardayan ardayati ardayet ardayāmāsatuḥ ardayāmāsuḥ ardayeta ardayāti ardayatām 
ardhay	ardhayati ardhayanti ardhita 
arpay	arpita arpayet arpayat arpayati arpaya arpitavat arpayat arpayāmāsa arpayitum arpayeyuḥ arpayitvā arpya arpayasi arpayanti ārpayat arpayataḥ arpayatam arpayata ārpayan arpayiṣyāmi arpayiṣyati arpayitā arpyate arpyatām arpya arpyamāṇa 
arh	arhasi arhati arhanti arhatha arhat arhāmi arhataḥ arhase arhate arhathaḥ arhaṇīya arhāma arhamāṇa arhata arhadhvam arhāt arhita arhamāna arheyam arhet arhantu ānṛhuḥ arhe arheta ārhata arhire arhāmasi arhitum arhase 
arhay	arhayet arhayitvā arhayanti arhayāṃcakre arhayat arhayāmāsa 
