Корень	0. ступень	Гуна	Вриддхи
vac	17237	2026	1474
kṛ	12557	3016	1214
bhū	9164	4653	396
as	8535	714	153
dṛś	4969	1635	517
gam	4508	1069	329
han	4284	899	394
kṛ	4216	0	0
dā	3928	1220	1092
śru	3784	809	181
jan	3603	303	128
yā	3254	0	115
vṛt	2488	96	0
grah	2179	665	212
bhuj	2155	186	92
brū	2146	566	0
man	2006	155	50
pad	1976	5	27
vad	1944	418	0
yuj	1768	160	92
pā	1764	395	35
iṣ	1733	46	18
kṣip	1576	136	56
labh	1534	279	86
vid	1514	326	197
car	1465	318	36
śak	1457	163	0
āp	1341	131	0
dhā	1314	178	30
praśaṁs	1283	0	4
ni	1280	0	0
prāp	1264	0	276
pūjay	1260	0	1242
kathay	1256	0	612
tyaj	1247	125	74
vah	1224	82	67
vraj	1222	31	0
dviṣ	1204	0	3
vac	1156	0	0
dhāray	1155	0	425
paś	1138	0	25
kṛ	1083	0	0
sthā	1073	462	144
smṛ	1024	185	34
sṛj	1023	133	38
dṛś	1017	0	0
śī	1011	32	14
pā	999	0	24
āviś	994	16	0
vac	969	0	0
i	924	73	37
hu	915	0	116
kṛ	909	0	0
bhid	896	103	56
pū	881	70	0
hvā	875	16	0
bhāṣ	871	0	14
jñā	868	292	141
jīv	861	32	28
śubh	861	0	0
āgam	857	0	234
dhṛ	852	55	45
grah	831	0	0
sthāpay	828	0	209
yam	805	86	18
ārabh	799	22	0
tṛ	797	32	8
vṛ	790	115	19
avalokay	785	0	0
anu	779	0	0
prabhū	770	0	10
darśay	765	0	262
niṣad	760	0	0
pālay	753	0	115
tvar	749	0	0
praviś	747	45	114
bhī	734	23	0
vid	729	0	0
pātay	721	0	245
śak	714	0	0
bādh	704	18	2
vṛdh	703	40	23
dṛ	698	0	0
budh	692	74	18
kāray	689	0	87
yāc	688	0	8
sādhay	686	0	170
ram	682	9	8
śaṁs	678	24	36
bandh	668	21	17
svap	668	0	14
pat	667	86	45
i	666	0	0
vṛ	661	0	0
śam	656	0	8
kṛt	654	0	0
śocay	650	0	0
chid	647	36	20
kṣi	643	0	0
varjay	642	0	177
ākhyā	634	0	18
vṛt	631	0	0
dāpay	628	0	54
nī	626	126	62
bhram	617	0	7
han	616	0	0
mṛ	615	77	35
viś	614	14	0
nind	613	0	4
bhā	609	35	0
ruh	606	0	0
pīḍay	600	0	158
sam	595	0	0
īkṣ	591	0	10
śap	590	6	0
rāj	584	0	0
upa	582	0	0
bhid	578	0	0
ava	571	0	0
samācar	570	0	0
tāḍay	569	0	71
nṛt	568	0	0
pari	561	0	0
li	555	0	0
prī	551	0	0
mā	548	10	10
vāñch	546	0	0
śiṣ	545	0	0
śī	544	0	0
samāp	541	0	0
prahṛ	540	0	44
sah	539	0	50
sphur	539	0	0
tarj	536	0	0
vand	535	0	68
vāray	534	0	179
bhaj	531	43	46
budh	524	0	0
likh	524	0	39
jval	522	0	0
stambh	521	0	0
ghā	520	0	0
bhī	519	0	0
chāday	517	0	82
jvālay	517	0	0
lag	517	0	0
pramad	515	0	0
ah	512	0	0
dhmā	512	0	0
pūray	512	0	140
ucy	512	0	0
śīghra	511	0	0
ad	506	13	5
kram	506	14	18
muh	503	8	8
ud	500	0	0
abhi	499	0	0
