Лемма	Класс	Форма	Лицо	Число	Время/наклонение	Примеры
saṁpraharṣay	10	saṃpraharṣayiṣyanti	Third	Pl.	"Future Ind."	"    2"
vighātay	10	vighātayet	Third	Sg.	"Pres. Potential"	"    2"
pidhā	3	pidadhāti	Third	Sg.	"Present Ind."	"    2"
pidhā	3	pidhīyate	Third	Sg.	"Present Passive"	"    2"
pidhā	3	pidadhīta	Third	Sg.	"Pres. Potential"	"    2"
pidhā	3	pidadhe	Third	Sg.	"Perfect Ind."	"    2"
mīmāṁs	0	mīmāṃseta	Third	Sg.	"Pres. Potential"	"    2"
mīmāṁs	0	mīmāṃsita			"Past Passive Participle"	"    2"
saṁdīpay	10	saṃdīpayati	Third	Sg.	"Present Ind."	"    2"
śravay	10	śravayat			"Present Ind."	"    2"
bahiṣkṛ	8	bahiṣkuryāt	Third	Sg.	"Pres. Potential"	"    2"
bahiṣkṛ	8	bahiṣkṛtya			Absolutive	"    2"
antari	2	antarāyan	Third	Pl.	"Imperfect ind"	"    2"
bahulībhū	1	bahulībhavati	Third	Sg.	"Present Ind."	"    2"
bahulībhū	1	bahulībhūta			"Past Passive Participle"	"    2"
kvaṇay	10	kvaṇayat			"Present Ind."	"    2"
saṁgṛ	9	saṃgṛṇāmi	First	Sg.	"Present Ind."	"    2"
sthirīkṛ	8	sthirīkuryāt	Third	Sg.	"Pres. Potential"	"    2"
vedhay	10	vedhayate	Third	Sg.	"Present Ind."	"    2"
antarīkṛ	8	antarīkṛta			"Past Passive Participle"	"    2"
antarīkṛ	8	antarīkṛtya			Absolutive	"    2"
abhiṣecay	10	abhiṣecaye	First	Sg.	"Present Ind."	"    2"
abhiṣecay	10	abhiṣecayasva	Second	Sg.	"Pres. Imp."	"    2"
abhiṣecay	10	abhiṣecayat	Third	Sg.	"Imperfect ind"	"    2"
abhiṣecay	10	abhiṣecayitum			Infinitive	"    2"
anuvācay	10	anuvācayet	Third	Sg.	"Pres. Potential"	"    2"
asatkṛ	8	asatkṛtya			Absolutive	"    2"
apavāray	10	apavārita			"Past Passive Participle"	"    2"
vyayīkṛ	8	vyayīkaroti	Third	Sg.	"Present Ind."	"    2"
vyayīkṛ	8	vyayīkṛta			"Past Passive Participle"	"    2"
namay	10	namayati	Third	Sg.	"Present Ind."	"    2"
namay	10	namayet	Third	Sg.	"Pres. Potential"	"    2"
namay	10	namayāmasi	First	Pl.	"Present Ind."	"    2"
unnamay	10	unnamya			"Future passive particle"	"    2"
āliṅg	1	āliliṅge	Third	Sg.	"Perfect Ind."	"    2"
āliṅg	1	āliṅgam	First	Sg.	"Imperfect ind"	"    2"
āliṅg	1	āliṅgat	Third	Sg.	"Imperfect ind"	"    2"
āliṅg	1	āliṅgat			"Present Ind."	"    2"
āliṅg	1	āliṅgyamāna			"Present Passive"	"    2"
āliṅg	1	āliṅgitum			Infinitive	"    2"
vañcay	10	vañcaya	Second	Sg.	"Pres. Imp."	"    2"
vañcay	10	vañcayitum			Infinitive	"    2"
vañcay	10	vañcitavya			"Future passive particle"	"    2"
jigīṣ	0	jigīṣasi	Second	Sg.	"Present Ind."	"    2"
jigīṣ	0	jigīṣanti	Third	Pl.	"Present Ind."	"    2"
jigīṣ	0	jigīṣase	Second	Sg.	"Present Ind."	"    2"
jigīṣ	0	jigīṣet	Third	Sg.	"Pres. Potential"	"    2"
samavasthā	1	samavātiṣṭhata	Third	Sg.	"Imperfect ind"	"    2"
samavasthā	1	samavasthāya			Absolutive	"    2"
prāduṣkṛ	8	prāduścakruḥ	Third	Pl.	"Perfect Ind."	"    2"
prāduṣkṛ	8	prāduṣkṛtya			Absolutive	"    2"
ājñapay	10	ājñapya			Absolutive	"    2"
jijñās	0	jijñāsitum			Infinitive	"    2"
prayāpay	10	prayāpya			Absolutive	"    2"
saṁprakāśay	10	saṃprakāśayate	Third	Sg.	"Present Ind."	"    2"
vidṛ	4	vidīryase	Second	Sg.	"Present Passive"	"    2"
vidṛ	4	vidīryet	Third	Sg.	"Pres. Potential"	"    2"
saṁmānay	10	saṃmānayati	Third	Sg.	"Present Ind."	"    2"
saṁmānay	10	saṃmānya			"Future passive particle"	"    2"
uḍḍīy	0	uḍḍīyethāḥ	Second	Sg.	"Pres. Potential"	"    2"
samākuñc	6	samākuñcya			Absolutive	"    2"
saṁmil	6	saṃmilati	Third	Sg.	"Present Ind."	"    2"
saṁmil	6	saṃmiliti	Third	Sg.	"Present Ind."	"    2"
saṁmil	6	saṃmilat			"Present Ind."	"    2"
avalag	1	avalagna			"Past Passive Participle"	"    2"
bhraṁśay	10	bhraṃśayati	Third	Sg.	"Present Ind."	"    2"
bhraṁśay	10	bhraṃśayiṣyāmi	First	Sg.	"Future Ind."	"    2"
bhraṁśay	10	bhraṃśayiṣyasi	Second	Sg.	"Future Ind."	"    2"
bhraṁśay	10	bhraṃśayiṣyati	Third	Sg.	"Future Ind."	"    2"
upaśikṣ	6	upaśikṣasva	Second	Sg.	"Pres. Imp."	"    2"
ārohay	10	ārohayaḥ	Second	Sg.	"Imperfect ind"	"    2"
ārohay	10	ārohayat	Third	Sg.	"Imperfect ind"	"    2"
ārohay	10	ārohya			Absolutive	"    2"
prekṣay	10	prekṣayet	Third	Sg.	"Pres. Potential"	"    2"
dakṣiṇīkṛ	8	dakṣiṇīkṛtya			Absolutive	"    2"
kajjalīkṛ	8	kajjalīkṛtya			Absolutive	"    2"
dūrībhū	1	dūrībhavat			"Present Ind."	"    2"
didṛkṣ	0	didṛkṣante	Third	Pl.	"Present Ind."	"    2"
didṛkṣ	0	didṛkṣati	Third	Sg.	"Present Ind."	"    2"
pariśīlay	0	pariśīlayet	Third	Sg.	"Pres. Potential"	"    2"
anuśīlay	0	anuśīlayat			"Present Ind."	"    2"
gūhay	10	gūhayat			"Present Ind."	"    2"
saṁpācay	10	saṃpācya			Absolutive	"    2"
sukhāy	0	sukhāyate	Third	Sg.	"Present Ind."	"    2"
sukhāy	0	sukhāyamāna			"Present Ind."	"    2"
parighaṭ	1	parighaṭita			"Past Passive Participle"	"    2"
anupraveśay	10	anupraveśayitum			Infinitive	"    2"
viṣayīkṛ	8	viṣayīkartum			Infinitive	"    2"
sabhājay	0	sabhājayitvā			Absolutive	"    2"
āmarday	10	āmardya			Absolutive	"    2"
śithilībhū	1	śithilībhavati	Third	Sg.	"Present Ind."	"    2"
saṁvid	6	saṃvindate	Third	Sg.	"Present Ind."	"    2"
sthirībhū	1	sthirībhavata	Second	Pl.	"Pres. Imp."	"    2"
pravaṇīkṛ	8	pravaṇīkṛta			"Past Passive Participle"	"    2"
nirjñā	9	nirjñāta			"Past Passive Participle"	"    2"
supeṣay	10	supeṣayet	Third	Sg.	"Pres. Potential"	"    2"
vipeṣay	10	vipeṣayet	Third	Sg.	"Pres. Potential"	"    2"
udghoṣay	10	udghoṣayitum			Infinitive	"    2"
katth	1	katthitum			Infinitive	"    2"
niṣedhay	10	niṣedhayati	Third	Sg.	"Present Ind."	"    2"
āghoṣay	10	āghoṣayat			"Present Ind."	"    2"
āghoṣay	10	āghoṣita			"Past Passive Participle"	"    2"
ākāray	10	ākārayāmāsa	Third	Sg.	"Perfect Ind. Peri."	"    2"
vikampay	10	vyakampayat	Third	Sg.	"Imperfect ind"	"    2"
kapilīkṛ	8	kapilīkṛta			"Past Passive Participle"	"    2"
samudbhid	7	samudbhinna			"Past Passive Participle"	"    2"
upanāday	10	upanādita			"Past Passive Participle"	"    2"
samāśvāsay	10	samāśvāsyamāna			"Present Passive"	"    2"
atigā	3	atigāt	Third	Sg.	"Aorist Ind. Root."	"    2"
dits	0	ditsāmi	First	Sg.	"Present Ind."	"    2"
dits	0	ditsa	Second	Sg.	"Pres. Imp."	"    2"
abhisamman	4	abhisaṃmata			"Past Passive Participle"	"    2"
saṁniśāmay	10	saṃniśāmya			Absolutive	"    2"
parivāray	10	parivāraya	Second	Sg.	"Pres. Imp."	"    2"
parivāray	10	parivāryate	Third	Sg.	"Present Passive"	"    2"
parivāray	10	paryavāryata	Third	Sg.	"Imperfect Ind. Passive "	"    2"
lālapy	0	lālapyate	Third	Sg.	"Present Ind."	"    2"
pariveṣay	10	pariveṣayet	Third	Sg.	"Pres. Potential"	"    2"
pariveṣay	10	pariveṣayitum			Infinitive	"    2"
jalpay	10	jalpaya	Second	Sg.	"Pres. Imp."	"    2"
kathāpay	0	kathāpaya	Second	Sg.	"Pres. Imp."	"    2"
abhirocay	10	abhirocaya	Second	Sg.	"Pres. Imp."	"    2"
abhitarpay	10	abhitarpita			"Past Passive Participle"	"    2"
abhiprasāday	10	abhiprasādita			"Past Passive Participle"	"    2"
saṁvah	1	saṃvahanti	Third	Pl.	"Present Ind."	"    2"
saṁvah	1	samūḍha			"Past Passive Participle"	"    2"
saṁvah	1	samuhya			Absolutive	"    2"
saṁvah	1	samuhyamāna			"Present Passive"	"    2"
saṁlepay	10	saṃlepya			Absolutive	"    2"
vinirvṛt	1	vinirvartate	Third	Sg.	"Present Ind."	"    2"
pratyarcay	10	pratyarcayāmāsa	Third	Sg.	"Perfect Ind. Peri."	"    2"
pratyarcay	10	pratyarcita			"Past Passive Participle"	"    2"
vimūrch	1	vimūrchati	Third	Sg.	"Present Ind."	"    2"
abhyanujñāpay	10	abhyanujñāpayiṣyat			"Future Ind."	"    2"
vikatth	1	vikatthante	Third	Pl.	"Present Ind."	"    2"
vikatth	1	vikatthitum			Infinitive	"    2"
viṣāday	10	viṣādayasi	Second	Sg.	"Present Ind."	"    2"
viṣāday	10	viṣādayitvā			Absolutive	"    2"
paridhṛ	1	paridhṛta			"Past Passive Participle"	"    2"
abhiprārthay	0	abhiprārthita			"Past Passive Participle"	"    2"
viveṣṭ	1	vyaveṣṭanta	Third	Pl.	"Imperfect ind"	"    2"
viveṣṭ	1	viveṣṭya			Absolutive	"    2"
nikālay	10	nikālaya	Second	Sg.	"Pres. Imp."	"    2"
nikal	1	nikala	Second	Sg.	"Pres. Imp."	"    2"
utpātay	10	utpātya			Absolutive	"    2"
saṁpradāpay	10	saṃpradāpayet	Third	Sg.	"Pres. Potential"	"    2"
dravīkṛ	8	dravīkuryuḥ	Third	Pl.	"Pres. Potential"	"    2"
viśaday	0	viśadayati	Third	Sg.	"Present Ind."	"    2"
yamay	10	yamita			"Past Passive Participle"	"    2"
niyamay	10	niyamayati	Third	Sg.	"Present Ind."	"    2"
niyamay	10	niyamayet	Third	Sg.	"Pres. Potential"	"    2"
samupakalpay	10	samupakalpita			"Past Passive Participle"	"    2"
nirmalīkṛ	8	nirmalīkṛtya			Absolutive	"    2"
samīkṛ	8	samīkuru	Second	Sg.	"Pres. Imp."	"    2"
samīkṛ	8	samīkartum			Infinitive	"    2"
glapay	10	glapayet	Third	Sg.	"Pres. Potential"	"    2"
glapay	10	glapayat			"Present Ind."	"    2"
avadhamay	10	avadhamayati	Third	Sg.	"Present Ind."	"    2"
śabdāpay	0	śabdāpaya	Second	Sg.	"Pres. Imp."	"    2"
śabdāpay	0	śabdāpayet	Third	Sg.	"Pres. Potential"	"    2"
śabdāpay	0	śabdāpayitum			Infinitive	"    2"
parihṛṣ	4	parihṛṣyati	Third	Sg.	"Present Ind."	"    2"
saṁsāday	10	saṃsādya			Absolutive	"    2"
saṁsāday	10	saṃsādyamāna			"Present Passive"	"    2"
saṁparivāray	10	saṃparivāryamāṇa			"Present Passive"	"    2"
saṁśamay	10	saṃśamayiṣyati	Third	Sg.	"Future Ind."	"    2"
saṁśamay	10	saṃśamayat			"Present Ind."	"    2"
phūtkṛ	8	phūtkṛtya			Absolutive	"    2"
saṁkālay	10	saṃkālya			Absolutive	"    2"
niṣṭan	1	niṣṭanati	Third	Sg.	"Present Ind."	"    2"
pravāray	10	pravārayanti	Third	Pl.	"Present Ind."	"    2"
anvāśri	1	anvāśrita			"Past Passive Participle"	"    2"
pramarday	10	pramardya			Absolutive	"    2"
samadhiśī	2	samadhiśerate	Third	Pl.	"Present Ind."	"    2"
niṣkūj	1	niṣkūjat			"Present Ind."	"    2"
vāpay	10	vāpayate	Third	Sg.	"Present Ind."	"    2"
atipat	1	atipatanti	Third	Pl.	"Present Ind."	"    2"
atipat	1	atipatita			"Past Passive Participle"	"    2"
atipat	1	atipatya			Absolutive	"    2"
upaghātay	10	upaghātita			"Past Passive Participle"	"    2"
nirviṣayīkṛ	8	nirviṣayīkṛta			"Past Passive Participle"	"    2"
atyupayuj	7	atyupayukta			"Past Passive Participle"	"    2"
parihrāsay	10	parihrāsayati	Third	Sg.	"Present Ind."	"    2"
saṁprayojay	10	saṃprayojya			Absolutive	"    2"
śītībhū	1	śītībhavati	Third	Sg.	"Present Ind."	"    2"
śītībhū	1	śītībhūtvā			Absolutive	"    2"
avalehay	10	avalehita			"Past Passive Participle"	"    2"
nirvāpay	10	nirvāpayati	Third	Sg.	"Present Ind."	"    2"
nirvāpay	10	nirvāpayeyam	First	Sg.	"Pres. Potential"	"    2"
nirvāpay	10	nirvāpaya	Second	Sg.	"Pres. Imp."	"    2"
nirvāpay	10	niravāpayat	Third	Sg.	"Imperfect ind"	"    2"
parisrāvay	10	parisrāvita			"Past Passive Participle"	"    2"
ninīṣ	0	ninīṣate	Third	Sg.	"Present Ind."	"    2"
ninīṣ	0	ninīṣasi	Second	Sg.	"Present Ind."	"    2"
abhyavapad	4	abhyavapadya	Second	Sg.	"Pres. Imp."	"    2"
vijanay	10	vyajanayat	Third	Sg.	"Imperfect ind"	"    2"
rundhay	10	rundhayati	Third	Sg.	"Present Ind."	"    2"
samabhidhāv	1	samabhidhāvat			"Present Ind."	"    2"
kaṭhinīkṛ	8	kaṭhinīkṛta			"Past Passive Participle"	"    2"
abhiprīṇay	10	abhiprīṇayanti	Third	Pl.	"Present Ind."	"    2"
mṛdūkṛ	8	mṛdūkṛtya			Absolutive	"    2"
vikṛntay	10	vikṛntayati	Third	Sg.	"Present Ind."	"    2"
pravidhvaṁs	1	pravidhvasta			"Past Passive Participle"	"    2"
prākruś	1	prākrośanta	Third	Pl.	"Imperfect ind"	"    2"
prākruś	1	prākrośat			"Present Ind."	"    2"
vipraṇāśay	10	vipraṇāśita			"Past Passive Participle"	"    2"
peśīkṛ	8	peśīkṛtvā			Absolutive	"    2"
sajjībhū	1	sajjībhūta			"Past Passive Participle"	"    2"
saṁmūrchay	10	saṃmūrchayet	Third	Sg.	"Pres. Potential"	"    2"
surabhay	0	surabhita			"Past Passive Participle"	"    2"
grāsīkṛ	8	grāsīkaroti	Third	Sg.	"Present Ind."	"    2"
pravibhā	2	pravibhānti	Third	Pl.	"Present Ind."	"    2"
viśvāsay	10	viśvāsayitum			Infinitive	"    2"
viśvāsay	10	viśvāsya			"Future passive particle"	"    2"
roṣay	10	roṣayiṣyanti	Third	Pl.	"Future Ind."	"    2"
roṣay	10	roṣayat	Third	Sg.	"Imperfect ind"	"    2"
mārgay	0	mārgayāmāsa	Third	Sg.	"Perfect Ind. Peri."	"    2"
mārgay	0	mārgayitum			Infinitive	"    2"
mārgay	0	mārgayitvā			Absolutive	"    2"
samabhihan	4	samabhighnat			"Present Ind."	"    2"
sthagay	0	sthagayati	Third	Sg.	"Present Ind."	"    2"
sthagay	0	sthagayanti	Third	Pl.	"Present Ind."	"    2"
sthagay	0	sthagayat			"Present Ind."	"    2"
sthagay	0	sthagayitvā			Absolutive	"    2"
ḍhālay	0	ḍhālanīya			"Future passive particle"	"    2"
dolay	0	dolayet	Third	Sg.	"Pres. Potential"	"    2"
vyāmiśray	0	vyāmiśrita			"Past Passive Participle"	"    2"
vivakṣ	0	vivakṣāmi	First	Sg.	"Present Ind."	"    2"
śakalīkṛ	8	śakalīkṛtya			Absolutive	"    2"
prakaṭībhū	1	prakaṭībhūya			Absolutive	"    2"
atitāpay	10	atitāpita			"Past Passive Participle"	"    2"
nenīy	0	nenīyate	Third	Sg.	"Present Ind."	"    2"
saṁpreṣay	10	saṃpreṣayet	Third	Sg.	"Pres. Potential"	"    2"
saṁpreṣay	10	saṃpreṣayat	Third	Sg.	"Imperfect ind"	"    2"
mārg	0	mārgata	Second	Pl.	"Pres. Imp."	"    2"
mārg	0	mārgante	Third	Pl.	"Present Ind."	"    2"
parimārg	0	parimārgitavya			"Future passive particle"	"    2"
parimārg	0	parimārgitum			Infinitive	"    2"
parikālay	10	parikālayate	Third	Sg.	"Present Ind."	"    2"
parikālay	10	paryakālayat	Third	Sg.	"Imperfect ind"	"    2"
viśrāmay	10	viśrāmayat			"Present Ind."	"    2"
viśrāmay	10	viśrāmya			Absolutive	"    2"
unnāday	10	unnādita			"Past Passive Participle"	"    2"
timay	10	timayet	Third	Sg.	"Pres. Potential"	"    2"
styai	1	styāyati	Third	Sg.	"Present Ind."	"    2"
samarthībhū	1	samarthībhavet	Third	Sg.	"Pres. Potential"	"    2"
nivāsay	10	nivāsayet	Third	Sg.	"Pres. Potential"	"    2"
nivāpay	10	nivāpita			"Past Passive Participle"	"    2"
mandībhū	1	mandībhavat			"Present Ind."	"    2"
pramāṇay	10	pramāṇayati	Third	Sg.	"Present Ind."	"    2"
saṁplāvay	10	saṃplāvayat			"Present Ind."	"    2"
abhipālay	10	abhipālayet	Third	Sg.	"Pres. Potential"	"    2"
saṁbhāṣay	10	saṃbhāṣayet	Third	Sg.	"Pres. Potential"	"    2"
saṁśīlay	0	saṃśīlayat			"Present Ind."	"    2"
protkaṇṭhay	10	protkaṇṭhayanti	Third	Pl.	"Present Ind."	"    2"
utkaṇṭhay	10	utkaṇṭhayanti	Third	Pl.	"Present Ind."	"    2"
nartay	10	nartayati	Third	Sg.	"Present Ind."	"    2"
utsukay	0	utsukayanti	Third	Pl.	"Present Ind."	"    2"
mūrchāpay	10	mūrchāpayet	Third	Sg.	"Pres. Potential"	"    2"
saṁkvāthay	10	saṃkvāthya			"Future passive particle"	"    2"
pratīvāpay	10	pratīvāpya			Absolutive	"    2"
śailīkṛ	8	śailīkṛta			"Past Passive Participle"	"    2"
bruḍ	6	bruḍat			"Present Ind."	"    2"
saṁmiśray	0	saṃmiśrita			"Past Passive Participle"	"    2"
abhighātay	10	abhighātayet	Third	Sg.	"Pres. Potential"	"    2"
prativāpay	10	prativāpya			Absolutive	"    2"
puñjībhū	1	puñjībhūta			"Past Passive Participle"	"    2"
titīrṣ	0	titīrṣati	Third	Sg.	"Present Ind."	"    2"
titīrṣ	0	titīrṣanti	Third	Pl.	"Present Ind."	"    2"
titīrṣ	0	titīrṣet	Third	Sg.	"Pres. Potential"	"    2"
īpsay	0	īpsamāna			"Present Ind."	"    2"
manāy	0	manāyati	Third	Sg.	"Present Ind."	"    2"
paryavanah	4	paryavanahyati	Third	Sg.	"Present Ind."	"    2"
saphalīkṛ	8	saphalīkuruṣva	Second	Sg.	"Pres. Imp."	"    2"
saphalīkṛ	8	saphalīkriyatām	Third	Sg.	"Pres. Imperative Passive"	"    2"
miśrībhū	1	miśrībhūyāt	Third	Sg.	"Aorist Prec."	"    2"
miśrībhū	1	miśrībhavat			"Present Ind."	"    2"
praśoṣay	10	praśoṣayet	Third	Sg.	"Pres. Potential"	"    2"
praśoṣay	10	praśoṣayat			"Present Ind."	"    2"
capalībhū	1	capalībhūta			"Past Passive Participle"	"    2"
saṁprāśay	10	saṃprāśayet	Third	Sg.	"Pres. Potential"	"    2"
adhivāsay	10	adhivāsayāmi	First	Sg.	"Present Ind."	"    2"
adhivāsay	10	adhivāsitavat			"Past Active Participle"	"    2"
niḥṣṭhīv	1	niḥṣṭhyūta			"Past Passive Participle"	"    2"
abhivarjay	10	abhivarjayet	Third	Sg.	"Pres. Potential"	"    2"
pracalay	10	pracalayat			"Present Ind."	"    2"
vighaṭay	10	vighaṭayet	Third	Sg.	"Pres. Potential"	"    2"
vighaṭay	10	vighaṭayat			"Present Ind."	"    2"
ślathīkṛ	8	ślathīkṛta			"Past Passive Participle"	"    2"
abhipātay	10	abhyapātayat	Third	Sg.	"Imperfect ind"	"    2"
abhipātay	10	abhyapātayan	Third	Pl.	"Imperfect ind"	"    2"
abhipātay	10	abhipātita			"Past Passive Participle"	"    2"
snapay	10	snapayati	Third	Sg.	"Present Ind."	"    2"
snapay	10	snapayet	Third	Sg.	"Pres. Potential"	"    2"
snapay	10	snapayat			"Present Ind."	"    2"
snapay	10	snapayitvā			Absolutive	"    2"
abhisaṁgup	1	abhisaṃgupta			"Past Passive Participle"	"    2"
anukṛpāy	0	anvakṛpāyata	Third	Sg.	"Imperfect ind"	"    2"
momuh	0	momuhyamāna			"Present Ind."	"    2"
prakṣepay	10	prākṣepayat	Third	Sg.	"Imperfect ind"	"    2"
āhvāyay	10	āhvāyayet	Third	Sg.	"Pres. Potential"	"    2"
āhvāyay	10	āhvāyya			Absolutive	"    2"
niśamay	10	niśamayati	Third	Sg.	"Present Ind."	"    2"
niśamay	10	niśamayat			"Present Ind."	"    2"
vyavaropay	10	vyavaropita			"Past Passive Participle"	"    2"
saṁśram	4	saṃśrānta			"Past Passive Participle"	"    2"
upasaṁprāp	5	upasaṃprāpya			Absolutive	"    2"
saṁvāhay	10	saṃvāhita			"Past Passive Participle"	"    2"
saṁvāhay	10	saṃvāhya			"Future passive particle"	"    2"
saṁvāhay	10	saṃvāhitavat			"Past Active Participle"	"    2"
parimocay	10	parimocita			"Past Passive Participle"	"    2"
saṁgranth	9	saṃgrathita			"Past Passive Participle"	"    2"
samavastṛ	5	samavāstṛṇot	Third	Sg.	"Imperfect ind"	"    2"
udvip	1	udvepamāna			"Present Ind."	"    2"
upasarpay	10	upasarpayet	Third	Sg.	"Pres. Potential"	"    2"
saṁpraṇaś	4	saṃpranaṣṭa			"Past Passive Participle"	"    2"
samabhijñā	9	samabhijñāya			Absolutive	"    2"
kṣamay	10	kṣamayitvā			Absolutive	"    2"
saṁdhāv	1	samadhāvanta	Third	Pl.	"Imperfect ind"	"    2"
saṁdhāv	1	saṃdhāvat			"Present Ind."	"    2"
anuśri	1	anuśrita			"Past Passive Participle"	"    2"
lelih	0	lelihyamāna			"Present Passive"	"    2"
pramṛ	4	pramṛta			"Past Passive Participle"	"    2"
prakālay	10	prakālayet	Third	Sg.	"Pres. Potential"	"    2"
parīps	0	parīpsati	Third	Sg.	"Present Ind."	"    2"
parīps	0	parīpsamāna			"Present Ind."	"    2"
vimokṣay	10	vimokṣaya	Second	Sg.	"Pres. Imp."	"    2"
abhividīpay	10	abhividīpita			"Past Passive Participle"	"    2"
viśātay	10	viśātaya	Second	Sg.	"Pres. Imp."	"    2"
viśātay	10	viśātayat			"Present Ind."	"    2"
parimantray	0	parimantrita			"Past Passive Participle"	"    2"
ārambhay	10	ārambhita			"Past Passive Participle"	"    2"
āmarṣay	10	āmarṣayāmi	First	Sg.	"Present Ind."	"    2"
abhipravṛdh	1	abhipravardhate	Third	Sg.	"Present Ind."	"    2"
abhisaṁbudh	4	abhisaṃbhotsyati	Third	Sg.	"Future Ind."	"    2"
samabhisaṁdhā	3	samabhisaṃdhāya			Absolutive	"    2"
pluṣ	4	pluṣyat			"Present Ind."	"    2"
mlecchībhū	1	mlecchībhūta			"Past Passive Participle"	"    2"
saṁchanday	10	saṃchandyamāna			"Present Passive"	"    2"
vyapahā	3	vyapahāya			Absolutive	"    2"
vijval	1	vijajvāla	Third	Sg.	"Perfect Ind."	"    2"
samudgṛ	9	samudgiret	Third	Sg.	"Pres. Potential"	"    2"
bhrājay	10	bhrājayat			"Present Ind."	"    2"
abhīps	0	abhīpsāmaḥ	First	Pl.	"Present Ind."	"    2"
vyākulīkṛ	8	vyākulīkṛtya			Absolutive	"    2"
āyodhay	10	āyodhya			Absolutive	"    2"
śūdrībhū	1	śūdrībhūta			"Past Passive Participle"	"    2"
viguh	1	vigūḍha			"Past Passive Participle"	"    2"
dodhūy	0	dodhūyat			"Present Ind."	"    2"
mukulay	0	mukulayat			"Present Ind."	"    2"
pariṣkṛ	5	pariṣkṛṇvanti	Third	Pl.	"Present Ind."	"    2"
abhilakṣay	10	abhilakṣaye	First	Sg.	"Present Ind."	"    2"
āśrāvay	10	āśrāvayat			"Present Ind."	"    2"
āśrāvay	10	āśrāvya			Absolutive	"    2"
rūkṣay	0	rūkṣaṇīya			"Future passive particle"	"    2"
pepīy	0	pepīyamāna			"Present Ind."	"    2"
visraṁsay	10	visraṃsayantu	Third	Pl.	"Pres. Imp."	"    2"
saṁpramad	4	saṃpramatta			"Past Passive Participle"	"    2"
saṁkampay	10	saṃkampayat			"Present Ind."	"    2"
bhasmarāśīkṛ	8	bhasmarāśīkṛta			"Past Passive Participle"	"    2"
abhigamay	10	abhigamayya			Absolutive	"    2"
pratirañjay	10	pratirañjita			"Past Passive Participle"	"    2"
bhīṣay	0	bhīṣayeḥ	Second	Sg.	"Pres. Potential"	"    2"
bhīṣay	0	bhīṣayāṇa			"Present Ind."	"    2"
bhīṣay	0	bhīṣayitvā			Absolutive	"    2"
āgaskṛ	8	āgaskṛtvā			Absolutive	"    2"
anuśabday	0	anuśabdita			"Past Passive Participle"	"    2"
saṁnikṛt	6	saṃnikṛtya			Absolutive	"    2"
nyakkṛ	8	nyakkurvat			"Present Ind."	"    2"
sañjay	10	sañjayati	Third	Sg.	"Present Ind."	"    2"
āvand	1	āvandya			Absolutive	"    2"
adhyeṣay	10	adhyeṣayāmi	First	Sg.	"Present Ind."	"    2"
vyatyas	4	vyatyasyet	Third	Sg.	"Pres. Potential"	"    2"
nistuṣīkṛ	8	nistuṣīkṛtya			Absolutive	"    2"
proddhū	9	proddhūta			"Past Passive Participle"	"    2"
prodbhū	1	prodbhūta			"Past Passive Participle"	"    2"
saṁskāray	10	saṃskārya			Absolutive	"    2"
vyābhaṣ	1	vyābhaṣanta	Third	Pl.	"Imperfect ind"	"    2"
vyābhaṣ	1	vyābhaṣat			"Present Ind."	"    2"
vikhaṇḍay	0	vikhaṇḍita			"Past Passive Participle"	"    2"
adhiropay	10	adhiropyate	Third	Sg.	"Present Passive"	"    2"
prabhuj	7	prabhukta			"Past Passive Participle"	"    2"
caṅkram	0	caṅkramyante	Third	Pl.	"Present Ind."	"    2"
caṅkram	0	caṅkramyate	Third	Sg.	"Present Ind."	"    2"
caṅkram	0	caṅkramīti	Third	Sg.	"Present Ind."	"    2"
uttras	4	uttrasiṣuḥ	Third	Pl.	"Aorist Jus."	"    2"
saṁyājay	10	samayājayan	Third	Pl.	"Imperfect ind"	"    2"
ekārṇavībhū	1	ekārṇavībhūta			"Past Passive Participle"	"    2"
kaṇḍay	0	kaṇḍayitvā			Absolutive	"    2"
vilolay	10	vilolita			"Past Passive Participle"	"    2"
bhāgīkṛ	8	bhāgīkṛta			"Past Passive Participle"	"    2"
protay	0	protayet	Third	Sg.	"Pres. Potential"	"    2"
nigharṣay	10	nigharṣayet	Third	Sg.	"Pres. Potential"	"    2"
adhīṣ	6	adhyeṣe	First	Sg.	"Present Ind."	"    2"
rāhay	10	rāhayitvā			Absolutive	"    2"
viklid	4	viklinna			"Past Passive Participle"	"    2"
tṛṇīkṛ	8	tṛṇīkṛta			"Past Passive Participle"	"    2"
vivits	0	vivitsat			"Present Ind."	"    2"
vivits	0	vividiṣat			"Present Ind."	"    2"
viprakāś	1	viprakāśete	Third	Du.	"Present Ind."	"    2"
samedhay	10	samedhaya	Second	Sg.	"Pres. Imp."	"    2"
adhivikṣip	6	adhivikṣipanti	Third	Pl.	"Present Ind."	"    2"
nānad	0	nānadati	Third	Pl.	"Present Ind."	"    2"
nānad	0	nānadan	Third	Pl.	"Imperfect ind"	"    2"
kṣamāpay	0	kṣamāpita			"Past Passive Participle"	"    2"
nirṇam	1	nirṇata			"Past Passive Participle"	"    2"
vilāsay	10	vilāsita			"Past Passive Participle"	"    2"
abhisaṁkram	6	abhisaṃkrāmanti	Third	Pl.	"Present Ind."	"    2"
