Лемма	Класс	Форма	Частота
vac	2	uvāca	12986
vac	2	ukta	7734
kṛ	2	kṛta	7599
as	2	syāt	6273
bhū	1	bhavet	6273
gam	6	gata	6270
bhū	1	bhavati	6105
kṛ	2	kṛtvā	4969
dṛś	6	dṛṣṭvā	4959
ah	1	āha	4172
brū	2	abravīt	4127
as	2	asti	4056
yuj	6	yukta	3786
śru	4	śrutvā	3611
sthā	1	sthita	3598
kṛ	2	kuryāt	2989
smṛ	1	smṛta	2966
han	6	hata	2890
vac	2	ucyate	2712
as	2	asi	2641
as	2	sat	2610
bhū	1	abhavat	2459
jan	4	jāta	2426
prāp	1	prāpta	2352
bhū	1	bhavanti	2164
jan	4	jāyate	2088
āgam	6	āgata	2054
vac	2	uktvā	2052
dṛś	6	dṛṣṭa	2012
kṛ	2	kārya	1956
as	2	asmi	1947
pravac	2	prokta	1844
bhū	1	bhūta	1799
as	2	āsīt	1798
bhū	1	abhūt	1707
bhū	1	bhaviṣyati	1698
dā	1	dattvā	1694
ah	1	āhuḥ	1690
mṛ	4	mṛta	1664
śudh	4	śuddha	1656
gam	6	gatvā	1655
as	2	astu	1639
dā	1	dadyāt	1621
dā	1	datta	1471
kṛ	2	karoti	1450
krudh	4	kruddha	1409
sidh	4	siddha	1390
śru	4	śṛṇu	1348
jñā	4	jñeya	1330
hā	1	hīna	1293
ādā	4	ādāya	1271
man	8	mata	1218
bandh	4	baddha	1200
arh	1	arhasi	1188
ji	9	jita	1176
prāp	1	prāpya	1170
yā	2	yāti	1161
pā	1	pibet	1159
kṛ	2	kartavya	1156
bhū	1	bhūtvā	1148
śru	4	śruta	1119
saṁyuj	7	saṃyukta	1118
muc	6	mukta	1116
bhū	1	babhūva	1093
kathay	10	kathita	1091
gam	6	jagāma	1039
pac	1	pacet	1032
nihan	2	nihata	1030
pat	1	patita	1008
vid	6	veda	981
marday	10	mardayet	979
dṛś	6	dadarśa	959
jñā	4	jñātvā	952
kṛ	2	kurute	941
dā	1	deya	937
kāray	10	kārayet	930
prī	9	prīta	926
jṛ	6	jīrṇa	925
han	6	hanti	912
pṛ	9	pūrṇa	892
sampad	4	sampanna	885
vac	2	ūcuḥ	881
āsāday	10	āsādya	858
yā	2	yayau	857
bhid	6	bhinna	855
snā	2	snātvā	851
hṛṣ	1	hṛṣṭa	849
as	2	syuḥ	847
jan	4	jāta	843
kṛ	2	kartum	841
pūjay	10	pūjita	825
dīp	4	dīpta	820
paś	4	paśya	810
dṛś	6	paśyat	800
prāh	1	prāha	792
han	6	hatvā	788
iṣ	1	icchāmi	783
kṛ	2	kuru	781
dṛś	6	dṛśyate	780
kṣip	6	kṣipet	777
kṛ	2	cakāra	760
kṛ	2	cakre	760
grah	6	gṛhītvā	754
sthā	1	tiṣṭhati	752
iṣ	1	iṣṭa	751
āvṛ	5	āvṛta	750
vṛ	1	vṛta	743
brū	2	brūhi	740
vidhā	3	vihita	740
gam	6	gacchati	731
pracch	1	pṛṣṭa	730
labh	1	labdha	727
ram	4	rata	724
dah	2	dagdha	723
vid	6	viduḥ	719
bhū	1	bhava	705
tap	4	tapta	703
upe	2	upeta	703
i	5	eti	694
vid	6	vidyāt	693
arh	1	arhati	690
śam	1	śānta	687
kṣi	9	kṣīṇa	664
varjay	10	varjita	664
niyam	1	niyata	661
tyaj	1	tyaktvā	654
labh	1	labhate	652
yā	2	yānti	649
duṣ	4	duṣṭa	645
