Лемма	Форма
vac	uvāca
vac	ukta
kṛ	kṛta
as	syāt
bhū	bhavet
gam	gata
bhū	bhavati
kṛ	kṛtvā
dṛś	dṛṣṭvā
ah	āha
brū	abravīt
as	asti
yuj	yukta
śru	śrutvā
sthā	sthita
kṛ	kuryāt
smṛ	smṛta
han	hata
vac	ucyate
as	asi
as	sat
bhū	abhavat
jan	jāta
prāp	prāpta
bhū	bhavanti
jan	jāyate
āgam	āgata
vac	uktvā
dṛś	dṛṣṭa
kṛ	kārya
as	asmi
pravac	prokta
bhū	bhūta
as	āsīt
bhū	abhūt
bhū	bhaviṣyati
dā	dattvā
ah	āhuḥ
mṛ	mṛta
śudh	śuddha
gam	gatvā
as	astu
dā	dadyāt
dā	datta
kṛ	karoti
krudh	kruddha
sidh	siddha
śru	śṛṇu
jñā	jñeya
hā	hīna
ādā	ādāya
man	mata
bandh	baddha
arh	arhasi
ji	jita
prāp	prāpya
yā	yāti
pā	pibet
kṛ	kartavya
bhū	bhūtvā
śru	śruta
saṁyuj	saṃyukta
muc	mukta
bhū	babhūva
kathay	kathita
gam	jagāma
pac	pacet
nihan	nihata
pat	patita
vid	veda
marday	mardayet
dṛś	dadarśa
jñā	jñātvā
kṛ	kurute
dā	deya
kāray	kārayet
prī	prīta
jṛ	jīrṇa
han	hanti
pṛ	pūrṇa
sampad	sampanna
vac	ūcuḥ
āsāday	āsādya
yā	yayau
bhid	bhinna
snā	snātvā
hṛṣ	hṛṣṭa
as	syuḥ
jan	jāta
kṛ	kartum
pūjay	pūjita
dīp	dīpta
paś	paśya
dṛś	paśyat
prāh	prāha
han	hatvā
iṣ	icchāmi
kṛ	kuru
dṛś	dṛśyate
kṣip	kṣipet
kṛ	cakāra
kṛ	cakre
grah	gṛhītvā
sthā	tiṣṭhati
iṣ	iṣṭa
āvṛ	āvṛta
vṛ	vṛta
brū	brūhi
vidhā	vihita
gam	gacchati
pracch	pṛṣṭa
labh	labdha
ram	rata
dah	dagdha
vid	viduḥ
bhū	bhava
tap	tapta
upe	upeta
i	eti
