Корень	Слабая ступень	Гуна	Вриддхи
tak	1	0	0
takṣ	1	1	0
takṣay	1	0	0
tan	1	1	1
tap	1	1	1
tam	1	1	0
tamay	1	0	0
tarkay	1	0	0
tarj	1	0	0
tarjay	1	0	0
tartar	1	0	0
tarpay	1	0	0
tarṣay	1	0	0
tāḍay	1	0	0
tānay	1	0	0
tāpay	1	0	0
tāray	1	0	0
tij	1	1	0
titikṣ	1	0	0
titīrṣ	1	0	0
tuj	1	1	0
tud	1	1	0
tulay	1	0	0
tuṣ	1	1	0
tuś	1	0	0
tūrv	1	0	0
tṛ	1	1	1
tṛd	1	1	0
tṛp	1	1	0
tṛṣ	1	1	0
tejay	1	0	0
tolay	1	0	0
toṣay	1	0	0
tyaj	1	1	1
tyājay	1	0	0
trap	1	0	0
tras	1	1	0
trā	1	1	0
trāsay	1	0	0
truṭ	1	0	0
tvar	1	1	0
tvaray	1	0	0
tviṣ	1	1	0
tsar	1	0	0
daṁś	1	1	0
dagh	1	0	0
dabh	1	1	0
damay	1	0	0
dambhay	1	0	0
dardar	1	0	0
darpay	1	0	0
darśay	1	0	0
dal	1	0	0
das	1	0	0
dah	1	1	1
dā	1	1	1
dāpay	1	0	0
dāray	1	0	0
dālay	1	0	0
dāś	1	1	0
dās	1	0	0
dāhay	1	0	0
dits	1	0	0
diś	1	1	0
dih	1	1	0
dī	1	0	0
dīkṣ	1	0	0
dīdī	1	0	0
dīp	1	1	0
dīpay	1	0	0
dīv	1	1	0
du	1	1	0
duṣ	1	1	0
duh	1	1	1
dūṣay	1	0	0
dṛ	1	1	1
dṛp	1	1	0
dṛbh	1	0	0
dṛś	1	1	1
dṛh	1	1	0
dediś	1	0	0
devay	1	0	0
deśay	1	0	0
do	1	0	0
dodhu	1	0	0
dolay	1	0	0
dohay	1	0	0
dyut	1	1	0
dyotay	1	0	0
drāvay	1	0	0
dru	1	1	0
druh	1	1	0
dviṣ	1	1	0
dhanv	1	0	0
dham	1	1	1
dhamay	1	0	0
dharṣay	1	0	0
dhā	1	1	1
dhāpay	1	0	0
dhāmay	1	0	0
dhāray	1	0	0
dhāv	1	1	0
dhāvay	1	0	0
dhi	1	0	0
dhits	1	0	0
dhī	1	0	0
dhū	1	1	0
dhūnay	1	0	0
dhūpay	1	0	0
dhūmāy	1	0	0
dhūlay	1	0	0
dhṛ	1	1	1
dhṛṣ	1	1	0
dhmāpay	1	0	0
dhyā	1	1	0
dhyāpay	1	0	0
dhvaṁs	1	1	0
dhvaṁsay	1	0	0
dhvan	1	1	0
dhvanay	1	0	0
nakṣ	1	1	0
nad	1	1	0
nand	1	1	0
nanday	1	0	0
nam	1	1	1
namay	1	0	0
nartay	1	0	0
nard	1	1	0
narday	1	0	0
naś	1	1	0
nas	1	0	0
nah	1	0	0
nāṭay	1	0	0
nāday	1	0	0
nāmay	1	0	0
nāyay	1	0	0
nāśay	1	0	0
nāhay	1	0	0
nij	1	1	0
ninīṣ	1	0	0
nind	1	1	0
nī	1	1	1
nu	1	0	0
nud	1	1	0
nū	1	1	0
nṛt	1	1	0
nenij	1	0	0
nenīy	1	0	0
noday	1	0	0
nonāv	1	0	0
paṭh	1	1	0
paṇ	1	1	0
pac	1	1	1
pat	1	1	1
pad	1	1	0
pan	1	0	0
palāy	1	0	0
paś	1	1	0
pā	1	1	1
pāṭay	1	0	0
pāṭhay	1	0	0
pācay	1	0	0
pātay	1	0	0
pāday	1	0	0
pāyay	1	0	0
pāray	1	0	0
pālay	1	0	0
piṇḍay	1	0	0
pinv	1	0	0
piṣ	1	1	0
piś	1	1	0
pī	1	0	0
pīḍay	1	0	0
puṭ	1	0	0
puṣ	1	1	0
pū	1	1	1
pūjay	1	0	0
pūray	1	0	0
pūrṇay	1	0	0
pṛ	1	1	1
pṛṇ	1	0	0
pṛc	1	1	0
peṣay	1	0	0
pothay	1	0	0
poṣay	1	0	0
pyā	1	1	0
pyāyay	1	0	0
pracch	1	1	1
prath	1	1	0
prathay	1	0	0
praśnay	1	0	0
prā	1	1	0
prī	1	1	1
prīṇay	1	0	0
pruth	1	0	0
pruṣ	1	0	0
pruṣāy	1	0	0
protay	1	0	0
plāvay	1	0	0
plu	1	1	0
pluṣ	1	0	0
phal	1	1	0
badbadh	1	0	0
bandh	1	1	1
bandhay	1	0	0
barbṛh	1	0	0
barhay	1	0	0
bādh	1	1	0
bādhay	1	0	0
bībhats	1	0	0
budh	1	1	1
bubhūṣ	1	0	0
bṛṁh	1	1	0
bṛṁhay	1	0	0
