Лемма	Класс	Форма	Лицо	Число	Время/наклонение	Примеры
pravāday	10	pravādaya	Second	Sg.	"Pres. Imp."	"    1"
pravāday	10	pravādayantu	Third	Pl.	"Pres. Imp."	"    1"
pravāday	10	prāvādayan	Third	Pl.	"Imperfect ind"	"    1"
pravāday	10	pravādayate	Third	Sg.	"Present Ind."	"    1"
pravāday	10	prāvādayanta	Third	Pl.	"Imperfect ind"	"    1"
pravāday	10	pravādyanta	Third	Pl.	"Imperfect Ind. Passive "	"    1"
pravadh	1	prāvadhīt	Third	Sg.	"Aorist Ind. Is."	"    1"
pravan	8	pravantave			Infinitive	"    1"
pravap	1	praupyanta	Third	Pl.	"Imperfect Ind. Passive "	"    1"
pravap	1	pravaptum			Infinitive	"    1"
pravap	1	propayitvā			Absolutive	"    1"
pravarṇay	0	pravarṇita			"Past Passive Participle"	"    1"
pravalg	1	pravalganti	Third	Pl.	"Present Ind."	"    1"
pravas	2	pravaste	Third	Sg.	"Present Ind."	"    1"
pravas	2	pravasate	Third	Pl.	"Present Ind."	"    1"
pravas	1	pravasāmi	First	Sg.	"Present Ind."	"    1"
pravas	1	pravatsyanti	Third	Pl.	"Future Ind."	"    1"
pravas	1	provāsa	Third	Sg.	"Perfect Ind."	"    1"
pravas	1	prāvātsīt	Third	Sg.	"Aorist Ind. S."	"    1"
pravas	1	pravatsyat			"Future Ind."	"    1"
pravas	1	proṣivas			"Perfect Ind."	"    1"
pravah	1	pravahet	Third	Sg.	"Pres. Potential"	"    1"
pravah	1	prāvahat	Third	Sg.	"Imperfect ind"	"    1"
pravah	1	pravakṣyanti	Third	Pl.	"Future Ind."	"    1"
pravah	1	provāha	Third	Sg.	"Perfect Ind."	"    1"
pravah	1	pravahate	Third	Sg.	"Present Ind."	"    1"
pravah	1	pravahatām	Third	Sg.	"Pres. Imp."	"    1"
pravah	1	proḍha			"Past Passive Participle"	"    1"
pravah	1	pravoḍhum			Infinitive	"    1"
pravah	1	pravahamāṇa			"Present Ind."	"    1"
pravāhay	10	pravāhayanti	Third	Pl.	"Present Ind."	"    1"
pravāhay	10	pravāhayet	Third	Sg.	"Pres. Potential"	"    1"
pravāhay	10	pravāhayat			"Present Ind."	"    1"
pravāhay	10	pravāhya			"Future passive particle"	"    1"
pravāhay	10	pravāhayitum			Infinitive	"    1"
pravā	4	pravāsyati	Third	Sg.	"Future Ind."	"    1"
pravā	4	pravāyet	Third	Sg.	"Pres. Potential"	"    1"
pravā	4	pravāyanti	Third	Pl.	"Present Ind."	"    1"
pravā	4	pravānt			"Present Ind."	"    1"
pravikas	1	pravikasita			"Past Passive Participle"	"    1"
pravikṛ	6	pravikiret	Third	Sg.	"Pres. Potential"	"    1"
pravikṛ	6	pravikīryamāṇa			"Present Passive"	"    1"
pravigal	1	pravigalat			"Present Ind."	"    1"
pravigāh	1	pravigāhamāna			"Present Ind."	"    1"
pravigāh	1	pravigāḍha			"Past Passive Participle"	"    1"
pravicar	1	pravicarati	Third	Sg.	"Present Ind."	"    1"
pravicar	1	pravicariṣyasi	Second	Sg.	"Future Ind."	"    1"
pravicar	1	praviceruḥ	Third	Pl.	"Perfect Ind."	"    1"
pravicar	1	pravicaritavya			"Future passive particle"	"    1"
pravical	1	pravicalanti	Third	Pl.	"Present Ind."	"    1"
pravical	1	pravicacāla	Third	Sg.	"Perfect Ind."	"    1"
pravical	1	pravicalita			"Past Passive Participle"	"    1"
pravici	5	pravicinvanti	Third	Pl.	"Present Ind."	"    1"
pravici	5	pravicita			"Past Passive Participle"	"    1"
praviceṣṭ	1	praviceṣṭita			"Past Passive Participle"	"    1"
pravijṛmbh	1	pravijṛmbhita			"Past Passive Participle"	"    1"
pravijñā	9	pravijānāti	Third	Sg.	"Present Ind."	"    1"
pravid	2	pravettha	Second	Sg.	"Perfect Ind."	"    1"
pravid	2	pravidma	First	Pl.	"Perfect Ind."	"    1"
pravid	2	praveditum			Infinitive	"    1"
praveday	10	pravedayanti	Third	Pl.	"Present Ind."	"    1"
praveday	10	pravedaya	Second	Sg.	"Pres. Imp."	"    1"
praveday	10	pravedayiṣyati	Third	Sg.	"Future Ind."	"    1"
praveday	10	pravedayiṣyāmaḥ	First	Pl.	"Future Ind."	"    1"
praveday	10	pravedayase	Second	Sg.	"Present Ind."	"    1"
praveday	10	praveditavat			"Past Active Participle"	"    1"
praveday	10	pravedya			"Future passive particle"	"    1"
pravidhā	3	pravidhīyatām	Third	Sg.	"Pres. Imperative Passive"	"    1"
pravibhaj	1	pravibhajati	Third	Sg.	"Present Ind."	"    1"
pravibhaj	1	pravibhajet	Third	Sg.	"Pres. Potential"	"    1"
pravibhaj	1	pravibheje	Third	Sg.	"Perfect Ind."	"    1"
pravibhuj	6	pravibhujya			Absolutive	"    1"
pravimṛś	6	pravimṛśya			Absolutive	"    1"
pravilamb	1	pravilambase	Second	Sg.	"Present Ind."	"    1"
pravilī	4	pravilīyante	Third	Pl.	"Present Ind."	"    1"
pravilī	4	pravilīyati	Third	Sg.	"Present Ind."	"    1"
pravilī	4	pravilīyanti	Third	Pl.	"Present Ind."	"    1"
pravilokay	10	pravilokayāmahe	First	Pl.	"Present Ind."	"    1"
pravivic	7	praviviñcate	Third	Pl.	"Present Ind."	"    1"
praviś	4	praviśasi	Second	Sg.	"Present Ind."	"    1"
praviś	4	praviśeḥ	Second	Sg.	"Pres. Potential"	"    1"
praviś	4	praviśāni	First	Sg.	"Pres. Imp."	"    1"
praviś	4	praviśantu	Third	Pl.	"Pres. Imp."	"    1"
praviś	4	prāviśatām	Third	Du.	"Imperfect ind"	"    1"
praviś	4	praviveśitha	Second	Sg.	"Perfect Ind."	"    1"
praviś	4	prāvīviśat	Third	Sg.	"Aorist Ind. Red."	"    1"
praviś	4	praviśate	Third	Sg.	"Present Ind."	"    1"
praviś	4	praviśethāḥ	Second	Sg.	"Pres. Potential"	"    1"
praviś	4	praviśatām	Third	Sg.	"Pres. Imp."	"    1"
praviś	4	pravekṣyase	Second	Sg.	"Future Ind."	"    1"
praviś	4	praviśatām	Third	Du.	"Imperfect ind"	"    1"
praviś	4	prāvikṣan	Third	Pl.	"Aorist Ind. Sa."	"    1"
praviś	4	praviśyati	Third	Sg.	"Present Ind."	"    1"
praviś	4	praviśamāna			"Present Ind."	"    1"
praviś	4	praviśivas			"Perfect Ind."	"    1"
praveśay	10	praveśayāmi	First	Sg.	"Present Ind."	"    1"
praveśay	10	praveśayasi	Second	Sg.	"Present Ind."	"    1"
praveśay	10	praveśayatu	Third	Sg.	"Pres. Imp."	"    1"
praveśay	10	praveśayata	Second	Pl.	"Pres. Imp."	"    1"
praveśay	10	prāveśayam	First	Sg.	"Imperfect ind"	"    1"
praveśay	10	prāveśayan	Third	Pl.	"Imperfect ind"	"    1"
praveśay	10	praveśayiṣyāmi	First	Sg.	"Future Ind."	"    1"
praveśay	10	praveśayiṣyasi	Second	Sg.	"Future Ind."	"    1"
praveśay	10	praveśyantām	Third	Pl.	"Pres. Imperative Passive"	"    1"
praveśay	10	praveśayiṣye	First	Sg.	"Future Ind."	"    1"
praveśay	10	praveśayitum			Infinitive	"    1"
praveśay	10	praveśyamāna			"Present Passive"	"    1"
praveśay	10	praveśayitavya			"Future passive particle"	"    1"
praveśay	10	praveśitavya			"Future passive particle"	"    1"
pravistṛ	9	pravistīrṇa			"Past Passive Participle"	"    1"
pravihā	3	pravihātum			Infinitive	"    1"
pravī	2	pravīyante	Third	Pl.	"Present Passive"	"    1"
pravī	2	pravayya			"Future passive particle"	"    1"
pravṛ	5	prāvṛṇot	Third	Sg.	"Imperfect ind"	"    1"
pravṛ	5	prorṇuhi	Second	Sg.	"Pres. Imp."	"    1"
pravṛ	5	pravṛṇvat			"Present Ind."	"    1"
pravṛ	9	pravṛṇe	First	Sg.	"Present Ind."	"    1"
pravṛ	9	pravṛṇīte	Third	Sg.	"Present Ind."	"    1"
pravṛ	9	pravavre	Third	Sg.	"Perfect Ind."	"    1"
pravṛ	9	pravṛṇīma	First	Pl.	"Pres. Potential"	"    1"
pravṛj	7	pravṛñjanti	Third	Pl.	"Present Ind."	"    1"
pravṛj	7	pravṛkta			"Past Passive Participle"	"    1"
pravṛt	1	pravarte	First	Sg.	"Present Ind."	"    1"
pravṛt	1	pravarteya	First	Sg.	"Pres. Potential"	"    1"
pravṛt	1	pravartasva	Second	Sg.	"Pres. Imp."	"    1"
pravṛt	1	pravartadhvam	Second	Pl.	"Pres. Imp."	"    1"
pravṛt	1	pravartataḥ	Third	Du.	"Present Ind."	"    1"
pravṛt	1	pravartet	Third	Sg.	"Pres. Potential"	"    1"
pravṛt	1	prāvartat	Third	Sg.	"Imperfect ind"	"    1"
pravṛt	1	prāvartata	Second	Pl.	"Imperfect ind"	"    1"
pravṛt	1	pravartsyanti	Third	Pl.	"Future Ind."	"    1"
pravṛt	1	pravartiṣye	First	Sg.	"Future Ind."	"    1"
pravṛt	1	pravartiṣyāmahe	First	Pl.	"Future Ind."	"    1"
pravṛt	1	pravartiṣyāmi	First	Sg.	"Future Ind."	"    1"
pravṛt	1	pravartiṣyate	Third	Sg.	"Future Ind."	"    1"
pravṛt	1	prāvartiṣi	First	Sg.	"Aorist Ind. Is."	"    1"
pravṛt	1	pravartanīya			"Future passive particle"	"    1"
pravṛt	1	pravarttum			Infinitive	"    1"
pravṛt	1	pravṛttavat			"Past Active Participle"	"    1"
pravartay	10	pravartayasi	Second	Sg.	"Present Ind."	"    1"
pravartay	10	pravartayeyuḥ	Third	Pl.	"Pres. Potential"	"    1"
