"от -800 до -300"	au	1=0.04%	"от -800 до -300"	ai	1=0.04%	"от -800 до -300"	a	1027=44.27%	"от -800 до -300"	ā	149=6.42%	"от -800 до -300"	i	157=6.77%	"от -800 до -300"	ī	54=2.33%	"от -800 до -300"	u	98=4.22%	"от -800 до -300"	ū	15=0.65%	"от -800 до -300"	o	1=0.04%	"от -800 до -300"	e	6=0.26%	"от -800 до -300"	ṛ	61=2.63%	"от -800 до -300"	k	2=0.09%	"от -800 до -300"	g	1=0.04%	"от -800 до -300"	ḍ	3=0.13%	"от -800 до -300"	ṇ	1=0.04%	"от -800 до -300"	ch	3=0.13%	"от -800 до -300"	j	43=1.85%	"от -800 до -300"	c	26=1.12%	"от -800 до -300"	th	3=0.13%	"от -800 до -300"	dh	26=1.12%	"от -800 до -300"	t	73=3.15%	"от -800 до -300"	d	41=1.77%	"от -800 до -300"	n	123=5.30%	"от -800 до -300"	bh	10=0.43%	"от -800 до -300"	p	23=0.99%	"от -800 до -300"	m	38=1.64%	"от -800 до -300"	y	81=3.49%	"от -800 до -300"	r	15=0.65%	"от -800 до -300"	l	3=0.13%	"от -800 до -300"	v	14=0.60%	"от -800 до -300"	ṣ	44=1.90%	"от -800 до -300"	ś	30=1.29%	"от -800 до -300"	s	118=5.09%	"от -800 до -300"	h	27=1.16%
Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank
nau	f	0,02296	rai	m	0,08292	indra	m	0,99982	dhā	v	0,29213	agni	m	0,66622	pṛthivī	f	0,14862	śru	v	0,44426	bhū	v	0,67675	go	mf	0,22548	e	v	0,03157	kṛ	v	0,97813	śak	v	0,06378	mārg	v	0,01339	īḍ	v	0,04752	pṛṇ	v	0,01084	pracch	v	0,05390	yuj	v	0,15085	vac	v	0,48731	vyath	v	0,02201	vṛdh	v	0,12661	mahat	adj	1,03458	vid	v	0,18370	rājan	m	0,46722	labh	v	0,04879	ap	m	0,18880	gam	v	0,67196	dhāray	v	0,05422	gir	f	0,11704	jval	v	0,03157	div	m	0,32657	iṣ	v	0,13458	dṛś	v	0,61966	as	v	0,71853	vah	v	0,12278
						rāma	m	0,78263	sthā	v	0,28065	hari	m	0,22643	vaidehī	f	0,11067	su	v	0,15340	brū	v	0,40981				upe	v	0,02647	pitṛ	m	0,25737	śaṅk	v	0,01308				krīḍ	v	0,01722				ṛch	v	0,03317	yaj	v	0,10429	muc	v	0,09568	prath	v	0,01882	krudh	v	0,08132	marut	m	0,14607	mad	v	0,09281	han	v	0,32913	śubh	v	0,04369	prāp	v	0,13586	āgam	v	0,15627	janay	v	0,05135	car	v	0,10588	cal	v	0,00989	av	v	0,11354	juṣ	v	0,09376	paś	v	0,12980	manas	n	0,18210	grah	v	0,12215
						deva	m	0,73734	yā	v	0,25131	i	v	0,20220	devī	f	0,10333	bahu	adj	0,15212	pū	v	0,18561				same	v	0,01945	bhrātṛ	m	0,17254							mṛḍ	v	0,01339				paripracch	v	0,00861	sṛj	v	0,08611	vāc	f	0,09440	math	v	0,01052	vadh	v	0,04305	hanumant	m	0,14256	sad	v	0,07814	ātman	m	0,23377	nabh	v	0,01276	dīp	v	0,05741	yam	v	0,09153	āsāday	v	0,04784	catur	nr	0,05390	prajval	v	0,00765	jīv	v	0,06889	rakṣ	v	0,07622	praviś	v	0,11194	rakṣas	n	0,17509	arh	v	0,10429
						rākṣasa	m	0,39865	sītā	f	0,24940	ṛṣi	m	0,18465	dhī	f	0,09153	bāhu	mf	0,15085	tanū	f	0,06474				pre	v	0,01722	nṛ	m	0,15340																tyaj	v	0,06506	sac	v	0,05167				yudh	f	0,04274	pat	v	0,11991	vid	v	0,07303	jan	v	0,21559	ārabh	v	0,01084	tap	v	0,05007	ram	v	0,04720	pūjay	v	0,04210	ahar	n	0,05007				sev	v	0,02519	iṣ	f	0,07527	diś	f	0,07558	tejas	n	0,16839	mah	adj	0,09982
						soma	m	0,35974	dā	v	0,24366	pati	m	0,14894	nī	v	0,08547	indu	m	0,10588	bhū	f	0,04784				vye	v	0,00734	bhṛ	v	0,15244																bhaj	v	0,04114	arc	v	0,04433				bandh	v	0,04274	bṛhat	adj	0,11258	vad	v	0,06474	mahātman	adj	0,18370	stambh	v	0,01052	vilap	v	0,03157	udyam	v	0,03699	cintay	v	0,04082	vicar	v	0,02551				pinv	v	0,02201	hṛṣ	v	0,06570	dāś	v	0,06952	vacas	n	0,15053	ah	v	0,05454
						rāghava	m	0,33040	pā	v	0,16743	tri	nr	0,14192	strī	f	0,08419	puru	adj	0,10301	camū	f	0,02902				pare	v	0,00734	mātṛ	f	0,13395																bhañj	v	0,03923	prativac	v	0,04337				yudh	v	0,04018	vṛt	v	0,08196	bhid	v	0,06187	karman	n	0,16775	śubh	f	0,00893	kṣip	v	0,02998	anugam	v	0,03444	abhivāday	v	0,03731	pur	f	0,02519				dhāv	v	0,01945	ṛṣ	v	0,04114	viś	f	0,06793	uṣas	f	0,10875	duh	v	0,04465
						ratha	m	0,31541	hvā	v	0,13777	muni	m	0,13650	nadī	f	0,07399	śatru	m	0,09408	nū	v	0,02264							hotṛ	m	0,09695																bhuj	v	0,03381	ruc	v	0,03668				budh	v	0,03668	bhavat	adj	0,08005	vid	adj	0,05007	aśvin	m	0,14064	kṣubh	v	0,00765	samprāp	v	0,02328	samāgam	v	0,02870	coday	v	0,03444	kṣar	v	0,02105				jinv	v	0,01499	prahṛṣ	v	0,03763	aś	v	0,05868	tapas	n	0,10652	sah	v	0,04018
						lakṣmaṇa	m	0,30903	laṅkā	f	0,10237	kapi	m	0,12757	maithilī	f	0,06857	vāyu	m	0,09376	sū	v	0,01914							vṛ	v	0,09025																rāj	v	0,03253	śuc	v	0,03125				indh	v	0,03349	śrīmat	adj	0,06251	sampad	v	0,04784	man	v	0,11385	saṁrabh	v	0,00765	svap	v	0,02296	abhigam	v	0,02838	kathay	v	0,03412	dvār	f	0,02009				abhidhāv	v	0,01339	samīkṣ	v	0,03189	īś	v	0,04720	sahas	n	0,08898	dah	v	0,03955
						bala	mn	0,30744	jñā	v	0,09025	ūti	f	0,10748	śrī	f	0,06793	madhu	n	0,09249	jū	v	0,01531							bhartṛ	m	0,08069																mṛj	v	0,02966	sic	v	0,02934				saṁkrudh	v	0,03317	cit	v	0,05294	chid	v	0,03795	vṛṣan	m	0,11098	dabh	v	0,00734	āp	v	0,02264	upāgam	v	0,02775	niveday	v	0,03157	tvar	v	0,01850				dhanv	v	0,01212	bhāṣ	v	0,02647	viś	v	0,04720	ojas	n	0,08579	āruh	v	0,03699
