"Недатированные тексты"	a	1920=56.86%	"Недатированные тексты"	ā	348=10.31%	"Недатированные тексты"	i	171=5.06%	"Недатированные тексты"	ī	218=6.46%	"Недатированные тексты"	u	93=2.75%	"Недатированные тексты"	ū	18=0.53%	"Недатированные тексты"	o	1=0.03%	"Недатированные тексты"	e	2=0.06%	"Недатированные тексты"	ṛ	37=1.10%	"Недатированные тексты"	kh	1=0.03%	"Недатированные тексты"	k	1=0.03%	"Недатированные тексты"	g	1=0.03%	"Недатированные тексты"	ṭh	1=0.03%	"Недатированные тексты"	ṭ	3=0.09%	"Недатированные тексты"	ch	3=0.09%	"Недатированные тексты"	j	24=0.71%	"Недатированные тексты"	c	14=0.41%	"Недатированные тексты"	th	1=0.03%	"Недатированные тексты"	dh	16=0.47%	"Недатированные тексты"	t	33=0.98%	"Недатированные тексты"	d	33=0.98%	"Недатированные тексты"	n	125=3.70%	"Недатированные тексты"	bh	3=0.09%	"Недатированные тексты"	p	22=0.65%	"Недатированные тексты"	b	1=0.03%	"Недатированные тексты"	m	16=0.47%	"Недатированные тексты"	y	157=4.65%	"Недатированные тексты"	r	7=0.21%	"Недатированные тексты"	l	5=0.15%	"Недатированные тексты"	v	3=0.09%	"Недатированные тексты"	ṣ	18=0.53%	"Недатированные тексты"	ś	21=0.62%	"Недатированные тексты"	s	47=1.39%	"Недатированные тексты"	h	12=0.36%
Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank
rasa	mn	0,81813	dā	v	0,29199	ādi	m	0,64114	devī	f	0,12120	kaṭu	adj	0,33262	bhū	v	0,66869	go	mf	0,10330	upe	v	0,02135	kṛ	v	0,83053	likh	v	0,02135	śak	v	0,00895	lag	v	0,01308	paṭh	v	0,00620	puṭ	v	0,07093	vāñch	v	0,00964	yuj	v	0,15770	vac	v	0,48206	kvath	v	0,00689	śudh	v	0,17699	jit	adj	0,19076	nud	adj	0,19076	jan	v	0,18112	labh	v	0,04476	kṣip	v	0,12189	ālamb	v	0,00413	gam	v	0,09779	kathay	v	0,13429	catur	nr	0,10881	mil	v	0,06336	sev	v	0,04614	ṣaṣ	adj	0,10674	dṛś	v	0,06267	as	v	0,92625	ah	v	0,32711
kapha	m	0,51236	jñā	v	0,25687	ityādi	adj	0,31954	śrī	f	0,09090	laghu	adj	0,26376	bhū	f	0,07506				same	v	0,00551	smṛ	v	0,21073													sphuṭ	v	0,00620	ṛch	v	0,00758	saṁyuj	v	0,06267	pravac	v	0,24379				bandh	v	0,10054	kṛt	adj	0,18525	mṛd	f	0,09090	saptan	adj	0,16528	ārabh	v	0,01240	jap	v	0,07231				dham	v	0,07438	marday	v	0,12809	car	v	0,03994	gal	v	0,02824	jīv	v	0,01791	piṣ	v	0,08057	naś	v	0,02686	arśas	mn	0,09366	grah	v	0,11845
pitta	n	0,49859	tā	f	0,14737	tri	nr	0,22175	strī	f	0,08126	guru	adj	0,19076	kaṇḍū	f	0,06542							mṛ	v	0,14669													truṭ	v	0,00413	pracch	v	0,00551	bhiṣaj	m	0,06129	pac	v	0,13016				sidh	v	0,06405	mahat	adj	0,12603	vid	v	0,07300	heman	n	0,15908	lubh	v	0,00551	lip	v	0,05785				āgam	v	0,01859	bhāvay	v	0,11432	ācar	v	0,02341	cal	v	0,00964	carv	v	0,01377	iṣ	v	0,04132	diś	f	0,02066	manas	n	0,06198	dah	v	0,04270
vāta	m	0,46140	sthā	v	0,12120	agni	m	0,20178	nāḍī	f	0,07024	dhātu	mn	0,11570	sambhū	v	0,01928							jṛ	v	0,11501																			prayuj	v	0,04958	tvac	f	0,06198				rudh	v	0,03237	hṛt	adj	0,10261	vad	v	0,07162	han	v	0,15770				āp	v	0,05716				ram	v	0,01584	yojay	v	0,07920	samācar	v	0,01584	jval	v	0,00689				ghṛṣ	v	0,02135	uddiś	v	0,01515	puṁs	m	0,06198	nirvivah	v	0,02410
uṣṇa	adj	0,44556	śilā	f	0,09228	vahni	m	0,18181	pippalī	f	0,05440	madhu	n	0,10881	brū	v	0,01722							hṛ	v	0,06267																			tyaj	v	0,04752	muc	v	0,05165				prasidh	v	0,03030	pat	v	0,04683	hṛd	n	0,04890	śleṣman	m	0,14049				tap	v	0,05578				prayam	v	0,01515	varjay	v	0,06680	ahar	n	0,00964	lal	v	0,00482				tṛṣ	f	0,01653	aś	v	0,01308	śaṁs	v	0,05647	prāh	v	0,02066
tikta	adj	0,38359	vidhā	v	0,09159	dvi	nr	0,16803	pratī	v	0,03925	svādu	adj	0,10605	nimbū	f	0,01308							nṛ	m	0,04201																			bhuj	v	0,04063	sampravac	v	0,02548				viśudh	v	0,02273	bhagavant	m	0,02548	mṛd	v	0,03925	bhasman	n	0,12396				prāp	v	0,05578				niyam	v	0,01240	sthāpay	v	0,05716	sphur	v	0,00758							ākṛṣ	v	0,01653	praviś	v	0,01240	rajas	n	0,05303	vah	v	0,01722
madhura	adj	0,33951	vijñā	v	0,08608	vidhi	m	0,13153	grahaṇī	f	0,03512	bahu	adj	0,07644	pū	v	0,01240							dhṛ	v	0,03994																			ruj	mf	0,03581	vāc	f	0,02410				vyadh	v	0,01997	sat	adj	0,02548	bhid	v	0,02892	nāman	n	0,12258				nikṣip	v	0,03650				kram	v	0,01033	kāray	v	0,05440	vār	n	0,00551							rakṣ	v	0,01515	nirdiś	v	0,01102	praśaṁs	v	0,04890	lih	v	0,01653
doṣa	mn	0,33469	ākhyā	f	0,08471	siddhi	f	0,11363	sthālī	f	0,02961	pāṇḍu	m	0,07438	bhrū	f	0,01102							udāhṛ	v	0,03168																			vraj	v	0,02755	vimuc	v	0,01515				nirudh	v	0,01859	vṛt	v	0,02273	svid	v	0,02548	man	v	0,11914				vinikṣip	v	0,02755				nam	v	0,01033	prakīrtay	v	0,05234										viṣ	f	0,01240	dṛś	f	0,01033	namas	n	0,04545	saṁgrah	v	0,01240
ghna	adj	0,32780	pā	v	0,07644	ārti	f	0,09021	harītakī	f	0,02961	mṛtyu	m	0,07024	anubhū	v	0,00964							pṛ	v	0,03099																			samāyuj	v	0,01997	tiryañc	adj	0,01446				vṛdh	v	0,01240	śrīmat	adj	0,01722	vid	adj	0,02479	pañcan	adj	0,11638				dīp	v	0,01584				antargam	v	0,00964	pūjay	v	0,04545										sampiṣ	v	0,01240	viś	v	0,00964	ayas	n	0,04476	muh	v	0,00826
