"Древнейшее ядро"	au	1=0.05%	"Древнейшее ядро"	ai	1=0.05%	"Древнейшее ядро"	a	686=35.73%	"Древнейшее ядро"	ā	126=6.56%	"Древнейшее ядро"	i	166=8.65%	"Древнейшее ядро"	ī	51=2.66%	"Древнейшее ядро"	u	97=5.05%	"Древнейшее ядро"	ū	18=0.94%	"Древнейшее ядро"	o	2=0.10%	"Древнейшее ядро"	e	8=0.42%	"Древнейшее ядро"	ṛ	56=2.92%	"Древнейшее ядро"	k	1=0.05%	"Древнейшее ядро"	ḍ	3=0.16%	"Древнейшее ядро"	ṇ	2=0.10%	"Древнейшее ядро"	ch	2=0.10%	"Древнейшее ядро"	j	35=1.82%	"Древнейшее ядро"	c	34=1.77%	"Древнейшее ядро"	th	4=0.21%	"Древнейшее ядро"	dh	30=1.56%	"Древнейшее ядро"	t	72=3.75%	"Древнейшее ядро"	d	50=2.60%	"Древнейшее ядро"	n	110=5.73%	"Древнейшее ядро"	bh	13=0.68%	"Древнейшее ядро"	p	16=0.83%	"Древнейшее ядро"	m	19=0.99%	"Древнейшее ядро"	y	58=3.02%	"Древнейшее ядро"	r	13=0.68%	"Древнейшее ядро"	v	12=0.63%	"Древнейшее ядро"	ṣ	38=1.98%	"Древнейшее ядро"	ś	27=1.41%	"Древнейшее ядро"	s	142=7.40%	"Древнейшее ядро"	h	27=1.41%
Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank
nau	f	0,02814	rai	m	0,12935	indra	m	1,42147	dhā	v	0,62223	agni	m	1,34250	pṛthivī	f	0,28411	hu	v	0,26460	bhū	v	0,99621	go	mf	0,38078	e	v	0,09939	kṛ	v	0,97806	śak	v	0,04039	īḍ	v	0,07307	prāṇ	v	0,01997	ṛch	v	0,06672	yaj	v	0,30272	vac	v	0,34402	prath	v	0,02814	vṛdh	v	0,18336	marut	m	0,23283	vid	v	0,53963	jan	v	0,36853	śubh	v	0,03495	ap	m	0,46747	gam	v	0,36762	janay	v	0,06899	ahar	n	0,25688	div	m	0,57049	juṣ	v	0,15159	dṛś	v	0,13979	as	v	1,12828	ah	v	0,24327
						deva	m	1,31028	dā	v	0,28048	i	v	0,46520	dhī	f	0,14024	su	v	0,24554	pū	v	0,30454	roro	v	0,01135	pre	v	0,05038	pitṛ	m	0,26777				mṛḍ	v	0,03268	pṛṇ	v	0,01770	pracch	v	0,05265	yuj	v	0,14069	vāc	f	0,28275	math	v	0,01906	samidh	f	0,06354	mahat	adj	0,20242	vad	v	0,13389	brahman	n	0,32678	triṣṭubh	f	0,03177	tap	v	0,06989	yam	v	0,16203	dhāray	v	0,06581	gir	f	0,15885	av	v	0,19516	iṣ	f	0,12390	aś	v	0,11800	manas	n	0,28003	vah	v	0,20877
						soma	m	0,65083	yā	v	0,27821	tri	nr	0,25734	nī	v	0,11664	śru	v	0,20696	brū	v	0,22375				upe	v	0,03767	bhṛ	v	0,26187				krīḍ	v	0,01089							sṛj	v	0,13979	muc	v	0,11891	vyath	v	0,01135	indh	v	0,05809	bṛhat	adj	0,18290	vid	v	0,12617	han	v	0,25734	rabh	v	0,01906	āp	v	0,06853	āgam	v	0,06536	vardhay	v	0,04221	car	v	0,15250	jīv	v	0,08260	iṣ	v	0,08850	viś	f	0,11664	śaṁs	v	0,22103	mah	adj	0,16339
						yajña	m	0,44932	sthā	v	0,26233	pati	m	0,22511	devī	f	0,09576	paśu	m	0,19289	tanū	f	0,13933				pare	v	0,02224	nṛ	m	0,22602													añj	v	0,05991	ṛc	f	0,09304	śnath	v	0,00817	samindh	v	0,05038	cit	v	0,08669	sad	v	0,11891	aśvin	m	0,23964	ārabh	v	0,01906	tṛp	v	0,04130	kram	v	0,04493	kāmay	v	0,03949	catur	nr	0,08306	pinv	v	0,04130	rakṣ	v	0,07534	paś	v	0,11664	namas	n	0,17473	grah	v	0,10847
						ratha	m	0,29455	pā	v	0,25144	ūti	f	0,16248	dyāvāpṛthivī	f	0,07443	madhu	n	0,17156	sū	v	0,04357				ape	v	0,01498	hotṛ	m	0,19970													ūrj	f	0,05582	sac	v	0,08714				bandh	v	0,04811	kṛt	adj	0,06354	mad	v	0,11619	ātman	m	0,21785	nabh	v	0,01906	jap	v	0,03767	prayam	v	0,04221	māday	v	0,03495	pur	f	0,04448	dhāv	v	0,03222	dviṣ	v	0,07126	dāś	v	0,10484	uṣas	f	0,16974	duh	v	0,10348
						loka	m	0,28184	hvā	v	0,24690	rayi	mf	0,15159	śrī	f	0,07307	vāyu	m	0,15431	bhū	f	0,03812				vye	v	0,01135	mātṛ	f	0,16566													bhaj	v	0,04992	prāñc	adj	0,08351				vidh	v	0,04402	bhagavat	adj	0,06263	ad	v	0,05809	rājan	m	0,19970	anuṣṭubh	f	0,01861	kﾱp	v	0,02723	śam	v	0,03449	kalpay	v	0,03359	kṣar	v	0,03222	jinv	v	0,02723	ṛṣ	v	0,05945	diś	f	0,08805	havis	n	0,16021	sah	v	0,06127
						rūpa	n	0,27095	prajā	f	0,16883	ji	v	0,14659	ī	v	0,05991	stu	v	0,15431	sambhū	v	0,03722				ve	v	0,01089	savitṛ	m	0,15930													vṛj	v	0,04811	arc	v	0,06853				bādh	v	0,03858	vṛt	v	0,05582	hṛd	n	0,04811	vṛṣan	m	0,17473	ālabh	v	0,01770	vap	v	0,02360	śam	n	0,03086	īray	v	0,03222	dhur	f	0,02224	johav	v	0,02088	ṣaṣ	adj	0,05129	īś	v	0,08124	āyus	n	0,13298	ruh	v	0,04765
						prāṇa	m	0,26868	pā	v	0,13933	sakhi	m	0,14296	patnī	f	0,05492	puru	adj	0,15340	nū	v	0,03404				same	v	0,00817	gṛ	v	0,09849													mṛj	v	0,04357	pratyañc	adj	0,06762				budh	v	0,03495	pat	v	0,05492	bhid	v	0,03994	saptan	adj	0,13071	stambh	v	0,01679	svap	v	0,02133	ram	v	0,02814	tarpay	v	0,02814	īr	v	0,02133	prāv	v	0,01861	riṣ	v	0,04947	vaś	v	0,07262	jyotis	n	0,11982	anvah	v	0,04085
						varuṇa	m	0,25552	devatā	f	0,11256	svasti	fn	0,12663	vī	v	0,05355	vasu	n	0,15068	jū	v	0,02950							tṛ	v	0,09531													yuj	m	0,04130	sic	v	0,05355				samṛdh	v	0,03132	madhumat	adj	0,05401	nud	v	0,03495	man	v	0,11936	dabh	v	0,01588	saṁtap	v	0,01952	utkram	v	0,02587	devay	v	0,02723	dvār	f	0,02133	dhanv	v	0,01815	takṣ	v	0,04085	aś	v	0,05673	ojas	n	0,11619	dah	v	0,03268
