"от 200 до 700"	au	1=0.03%	"от 200 до 700"	a	1893=55.56%	"от 200 до 700"	ā	232=6.81%	"от 200 до 700"	i	211=6.19%	"от 200 до 700"	ī	79=2.32%	"от 200 до 700"	u	97=2.85%	"от 200 до 700"	ū	20=0.59%	"от 200 до 700"	o	1=0.03%	"от 200 до 700"	e	8=0.23%	"от 200 до 700"	ṛ	77=2.26%	"от 200 до 700"	kh	1=0.03%	"от 200 до 700"	gh	1=0.03%	"от 200 до 700"	k	3=0.09%	"от 200 до 700"	ṭh	1=0.03%	"от 200 до 700"	ṭ	1=0.03%	"от 200 до 700"	ḍ	1=0.03%	"от 200 до 700"	ch	4=0.12%	"от 200 до 700"	j	49=1.44%	"от 200 до 700"	c	25=0.73%	"от 200 до 700"	th	3=0.09%	"от 200 до 700"	dh	27=0.79%	"от 200 до 700"	t	57=1.67%	"от 200 до 700"	d	44=1.29%	"от 200 до 700"	n	147=4.31%	"от 200 до 700"	bh	8=0.23%	"от 200 до 700"	p	30=0.88%	"от 200 до 700"	m	47=1.38%	"от 200 до 700"	y	143=4.20%	"от 200 до 700"	r	10=0.29%	"от 200 до 700"	l	4=0.12%	"от 200 до 700"	v	5=0.15%	"от 200 до 700"	ṣ	42=1.23%	"от 200 до 700"	ś	33=0.97%	"от 200 до 700"	s	73=2.14%	"от 200 до 700"	h	27=0.79%
Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank
nau	f	0,00801	artha	mn	0,54554	dā	v	0,37192	ādi	m	0,45456	strī	f	0,18868	śru	v	0,23321	bhū	v	0,92931	go	mf	0,14575	upe	v	0,04357	kṛ	v	1,02189	likh	v	0,00929	ślāgh	v	0,00737	śak	v	0,04132	paṭh	v	0,02467	ceṣṭ	v	0,00673	krīḍ	v	0,01698	pracch	v	0,08457	yuj	v	0,15729	vac	v	0,98088	math	v	0,01121	sidh	v	0,04997	mahat	adj	0,48403	vid	v	0,14800	ātman	m	0,36967	labh	v	0,09514	prāp	v	0,17683	gam	v	0,46449	pūjay	v	0,08937	catur	nr	0,11853	jval	v	0,02659	div	m	0,06151	iṣ	v	0,11853	dṛś	v	0,37352	as	v	0,68937	ah	v	0,23993
			dharma	mn	0,42797	sthā	v	0,24026	muni	m	0,20406	devī	f	0,06759	viṣṇu	m	0,15216	brū	v	0,15665				pre	v	0,02819	pitṛ	m	0,24794							śaṅk	v	0,00705										mūrch	v	0,00961	bhuj	v	0,10091	pravac	v	0,10731	kath	v	0,00641	bandh	v	0,04485	bhagavant	m	0,17875	vad	v	0,10027	rājan	m	0,35173	ārabh	v	0,03203	avāp	v	0,08329	āgam	v	0,11917	kathay	v	0,08361	car	v	0,11596	cal	v	0,01954	jīv	v	0,03940	ṣaṣ	adj	0,06855	praviś	v	0,06759	manas	n	0,18003	grah	v	0,16369
			deva	m	0,42285	yā	v	0,16818	tri	nr	0,19989	pṛthivī	f	0,06631	guru	m	0,12237	bhū	f	0,08553				e	v	0,01634	smṛ	v	0,22680							dhṛk	adj	0,00673										ṛch	v	0,00833	tyaj	v	0,07592	muc	v	0,08809	prath	v	0,00577	śudh	v	0,04453	jagant	n	0,13454	vid	adj	0,05350	karman	n	0,32194	upalabh	v	0,02018	ap	m	0,08169	prayam	v	0,04613	kāray	v	0,06695	ahar	n	0,05894	phal	v	0,00961	sev	v	0,03428	bhāṣ	v	0,04132	paś	v	0,06439	tapas	n	0,16530	arh	v	0,08777
			putra	m	0,34437	jñā	v	0,14608	agni	m	0,19829	nadī	f	0,06119	hetu	m	0,11340	sambhū	v	0,03780				abhyupe	v	0,01057	hṛ	v	0,07592																			paripracch	v	0,00641	sṛj	v	0,05638	vāc	f	0,07592				nibudh	v	0,03460	bhavat	adj	0,10828	bhid	v	0,05350	jan	v	0,25467	lubh	v	0,00769	āp	v	0,06823	niyam	v	0,04132	cintay	v	0,05958	ācar	v	0,03780	lal	v	0,00609	niṣev	v	0,01089	rakṣ	v	0,04004	diś	f	0,06151	namas	n	0,09866	dah	v	0,05510
			tva	n	0,32034	tā	f	0,13358	ṛṣi	m	0,14704	śrī	f	0,05894	bahu	adj	0,11180	prasū	v	0,01922				same	v	0,01025	mātṛ	f	0,07176																						vraj	v	0,03972	vimuc	v	0,02403				vṛdh	v	0,03043	pat	v	0,08937	utpad	v	0,05061	brahman	m	0,18580	pratilabh	v	0,00641	tap	v	0,03780	ram	v	0,03588	varjay	v	0,05157	samācar	v	0,02499				dhāv	v	0,00513	duṣ	v	0,02851	naś	v	0,04164	tejas	n	0,07784	prāh	v	0,04389
			loka	m	0,30016	hā	v	0,09610	dvi	nr	0,12782	nī	v	0,05382	paśu	m	0,06919	anubhū	v	0,01890				ave	v	0,00993	bhartṛ	m	0,06054																						yaj	v	0,03876	ṛc	f	0,02210				viśudh	v	0,02435	pravṛt	v	0,07752	chid	v	0,04036	han	v	0,15825	kṣubh	v	0,00577	kṣip	v	0,03716	praṇam	v	0,03332	janay	v	0,04196	gir	f	0,01474							tuṣ	v	0,02403	spṛś	v	0,03300	vas	v	0,07432	vah	v	0,02883
			sva	adj	0,29567	kriyā	f	0,09546	vidhi	m	0,12109	atī	v	0,04196	vāyu	m	0,06887	pū	v	0,01730				samave	v	0,00737	mṛ	v	0,05190																						utsṛj	v	0,03492	prāñc	adj	0,02146				budh	v	0,02146	vṛt	v	0,07432	prasad	v	0,03748	pañcan	adj	0,12301	śubh	v	0,00545	svap	v	0,03716	adhigam	v	0,03043	dāpay	v	0,03780	vicar	v	0,01217							viśiṣ	v	0,02274	viś	v	0,02595	puṁs	m	0,05958	āruh	v	0,02851
			kāla	m	0,26780	prajā	f	0,09002	buddhi	f	0,09482	patnī	f	0,04068	manu	m	0,06695	abhibhū	v	0,01634				ape	v	0,00673	bhrātṛ	m	0,04325																						bhaj	v	0,03267	tiryañc	adj	0,01858				krudh	v	0,01986	bhagavat	adj	0,06375	vid	v	0,03332	daśan	adj	0,11084	jṛmbh	v	0,00513	jap	v	0,03171	śam	v	0,02947	sthāpay	v	0,03684	sphur	v	0,00993							avekṣ	v	0,02018	vinaś	v	0,02210	śiras	n	0,05702	guh	v	0,02691
			rūpa	n	0,24538	kanyā	f	0,08905	bhūmi	f	0,09386	mahī	f	0,03844	bāhu	mf	0,05606	prabhū	v	0,01602							nṛ	m	0,03780																						saṁyuj	v	0,03075	yāc	v	0,01762				vadh	v	0,01954	sat	adj	0,05222	upapad	v	0,02883	nāman	n	0,10379				dīp	v	0,02531	bhram	v	0,02947	arcay	v	0,03139	upacar	v	0,00673							hṛṣ	v	0,01954	aś	v	0,02146	cetas	n	0,05414	muh	v	0,02531
