"от -300 до 200"	au	1=0.04%	"от -300 до 200"	a	1180=50.99%	"от -300 до 200"	ā	157=6.78%	"от -300 до 200"	i	134=5.79%	"от -300 до 200"	ī	59=2.55%	"от -300 до 200"	u	71=3.07%	"от -300 до 200"	ū	16=0.69%	"от -300 до 200"	o	1=0.04%	"от -300 до 200"	e	6=0.26%	"от -300 до 200"	ṛ	58=2.51%	"от -300 до 200"	k	2=0.09%	"от -300 до 200"	ḍ	1=0.04%	"от -300 до 200"	ch	3=0.13%	"от -300 до 200"	j	33=1.43%	"от -300 до 200"	c	18=0.78%	"от -300 до 200"	th	3=0.13%	"от -300 до 200"	dh	21=0.91%	"от -300 до 200"	t	57=2.46%	"от -300 до 200"	d	42=1.82%	"от -300 до 200"	n	101=4.36%	"от -300 до 200"	bh	8=0.35%	"от -300 до 200"	p	28=1.21%	"от -300 до 200"	m	43=1.86%	"от -300 до 200"	y	100=4.32%	"от -300 до 200"	r	8=0.35%	"от -300 до 200"	l	3=0.13%	"от -300 до 200"	v	6=0.26%	"от -300 до 200"	ṣ	38=1.64%	"от -300 до 200"	ś	29=1.25%	"от -300 до 200"	s	66=2.85%	"от -300 до 200"	h	20=0.86%
Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank
nau	f	0,01254	dharma	mn	0,57240	sthā	v	0,26692	ṛṣi	m	0,23729	strī	f	0,10898	śru	v	0,43889	bhū	v	0,80346	go	mf	0,09625	upe	v	0,04692	kṛ	v	0,98147	śak	v	0,08427	krīḍ	v	0,01533	pracch	v	0,08399	yuj	v	0,15023	vac	v	1,11424	vyath	v	0,02295	krudh	v	0,11177	mahat	adj	1,43021	vid	v	0,20365	rājan	m	0,98937	labh	v	0,10926	prāp	v	0,23385	gam	v	0,66466	kathay	v	0,10814	car	v	0,11288	jval	v	0,03781	jīv	v	0,06522	iṣ	v	0,18712	dṛś	v	0,69541	as	v	0,65332	grah	v	0,13211
			putra	m	0,48962	dā	v	0,23097	agni	m	0,14800	pṛthivī	f	0,09969	bahu	adj	0,21620	brū	v	0,42171				same	v	0,03633	pitṛ	m	0,22307	śaṅk	v	0,01041				paripracch	v	0,02007	tyaj	v	0,08520	muc	v	0,10489	prath	v	0,00948	vyadh	v	0,08761	bhavat	adj	0,15209	chid	v	0,09737	ātman	m	0,36828	ārabh	v	0,02862	avāp	v	0,06178	āgam	v	0,16742	pūjay	v	0,08975	catur	nr	0,06940	cal	v	0,01552	div	m	0,05714	rakṣ	v	0,06884	paś	v	0,15320	manas	n	0,20570	arh	v	0,12738
			ratha	m	0,41409	jñā	v	0,13778	tri	nr	0,14196	śrī	f	0,06866	bāhu	mf	0,18117	bhū	f	0,05658				pre	v	0,01709	bhrātṛ	m	0,15478							ṛch	v	0,00929	bhuj	v	0,06346	vāc	f	0,09616	pramath	v	0,00901	yudh	v	0,08157	bhagavant	m	0,15079	vid	adj	0,07869	han	v	0,33660	śubh	v	0,02787	dīp	v	0,05807	ram	v	0,06188	cintay	v	0,05714	tvar	v	0,03911	prajval	v	0,01273	sev	v	0,03633	hṛṣ	v	0,06113	praviś	v	0,10341	tapas	n	0,19232	ah	v	0,11855
			deva	m	0,40508	yā	v	0,13778	muni	m	0,14038	prī	v	0,06736	kuru	m	0,14772	sambhū	v	0,03726				e	v	0,01700	mātṛ	f	0,08910										utsṛj	v	0,04878	pravac	v	0,05677				yudh	f	0,06188	pat	v	0,12031	vad	v	0,06262	karman	n	0,33029	saṁrabh	v	0,01793	tap	v	0,05073	samāgam	v	0,04497	āsāday	v	0,05649	vicar	v	0,03001				abhidhāv	v	0,01979	bhāṣ	v	0,05491	diś	f	0,09514	tejas	n	0,17355	dah	v	0,06243
			loka	m	0,39709	ādā	v	0,09495	buddhi	f	0,13741	devī	f	0,06039	śatru	m	0,09765	camū	f	0,02341				abhye	v	0,00901	hṛ	v	0,07228										sṛj	v	0,04831	vimuc	v	0,04255				vadh	v	0,05779	vṛt	v	0,11232	sampad	v	0,06262	mahātman	adj	0,22642	upalabh	v	0,01644	samprāp	v	0,03837	niyam	v	0,04311	dhāray	v	0,04887	ahar	n	0,02899				niṣev	v	0,01728	ṣaṣ	adj	0,03856	viś	f	0,06011	vacas	n	0,12152	pratigrah	v	0,04655
			artha	mn	0,37358	hā	v	0,09300	pati	m	0,13091	nadī	f	0,05612	guru	m	0,08733	abhibhū	v	0,01849				ape	v	0,00762	smṛ	v	0,07052										yaj	v	0,04395	śuc	v	0,03930				saṁkrudh	v	0,04608	bhagavat	adj	0,10721	bhid	v	0,05965	man	v	0,17271	lubh	v	0,01189	ap	m	0,03707	abhigam	v	0,04060	pātay	v	0,04190	ācar	v	0,02406				dhāv	v	0,00855	prekṣ	v	0,03270	āviś	v	0,04162	dhanus	n	0,10675	muh	v	0,03651
			bala	mn	0,34692	tā	f	0,07860	ji	v	0,12124	mahī	f	0,05454	pāṇḍu	m	0,07618	prādurbhū	v	0,01468							bhartṛ	m	0,06559										visṛj	v	0,03781	prativac	v	0,03753				bandh	v	0,04497	dhīmat	adj	0,05862	suhṛd	m	0,05361	jan	v	0,15618	kṣubh	v	0,00771	kṣip	v	0,03614	udyam	v	0,03828	parivāray	v	0,03800	gir	f	0,01737							prahṛṣ	v	0,03177	naś	v	0,03465	vas	v	0,09272	prāh	v	0,03484
			pāṇḍava	m	0,29935	sītā	f	0,07776	bhūmi	f	0,09616	śī	v	0,04645	sādhu	adj	0,07080	pū	v	0,01356							vṛ	v	0,04497										bhañj	v	0,03679	yāc	v	0,02332				vṛdh	v	0,03512	pravṛt	v	0,05630	vid	v	0,04432	brahman	m	0,14419	pratilabh	v	0,00753	āp	v	0,03475	prayam	v	0,03735	pīḍay	v	0,03698	samācar	v	0,00920							ācakṣ	v	0,03159	viś	v	0,02806	śiras	n	0,09114	vah	v	0,03326
			śara	m	0,29591	prajā	f	0,07776	gati	f	0,08975	kuntī	f	0,04571	hetu	m	0,06708	prasū	v	0,01319							mṛ	v	0,03614										saṁyuj	v	0,03187	abhiṣic	v	0,02090				budh	v	0,03391	sat	adj	0,05147	upapad	v	0,03540	nihan	v	0,13397				svap	v	0,03085	upasaṁkram	v	0,03196	darśay	v	0,03623										tuṣ	v	0,02750	spṛś	v	0,02704	rakṣas	n	0,07470	āruh	v	0,03233
