"от 1700 до 1956"	a	1375=55.92%	"от 1700 до 1956"	ā	212=8.62%	"от 1700 до 1956"	i	127=5.16%	"от 1700 до 1956"	ī	126=5.12%	"от 1700 до 1956"	u	65=2.64%	"от 1700 до 1956"	ū	14=0.57%	"от 1700 до 1956"	o	1=0.04%	"от 1700 до 1956"	e	1=0.04%	"от 1700 до 1956"	ṛ	37=1.50%	"от 1700 до 1956"	kh	1=0.04%	"от 1700 до 1956"	gh	1=0.04%	"от 1700 до 1956"	k	1=0.04%	"от 1700 до 1956"	g	1=0.04%	"от 1700 до 1956"	ṭh	1=0.04%	"от 1700 до 1956"	ṭ	2=0.08%	"от 1700 до 1956"	ḍ	1=0.04%	"от 1700 до 1956"	ṇ	1=0.04%	"от 1700 до 1956"	ch	1=0.04%	"от 1700 до 1956"	j	24=0.98%	"от 1700 до 1956"	c	15=0.61%	"от 1700 до 1956"	dh	13=0.53%	"от 1700 до 1956"	t	31=1.26%	"от 1700 до 1956"	d	27=1.10%	"от 1700 до 1956"	n	77=3.13%	"от 1700 до 1956"	bh	3=0.12%	"от 1700 до 1956"	p	23=0.94%	"от 1700 до 1956"	m	17=0.69%	"от 1700 до 1956"	y	153=6.22%	"от 1700 до 1956"	r	6=0.24%	"от 1700 до 1956"	l	5=0.20%	"от 1700 до 1956"	v	4=0.16%	"от 1700 до 1956"	ṣ	21=0.85%	"от 1700 до 1956"	ś	17=0.69%	"от 1700 до 1956"	s	41=1.67%	"от 1700 до 1956"	h	13=0.53%
Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank
rasa	mn	1,17419	dā	v	0,41590	ādi	m	0,55348	devī	f	0,17075	madhu	n	0,15686	bhū	v	0,97073	go	mf	0,15775	upe	v	0,05199	kṛ	v	1,00703	likh	v	0,01748	ślāgh	v	0,00627	śak	v	0,01389	lag	v	0,02958	paṭh	v	0,01210	puṭ	v	0,08067	krīḍ	v	0,01120	bhaṇ	v	0,01479	pracch	v	0,02823	yuj	v	0,19809	vac	v	0,47506	śudh	v	0,27248	mahat	adj	0,19047	mṛd	v	0,15148	jan	v	0,33747	labh	v	0,04347	kṣip	v	0,47147	dham	v	0,28190	marday	v	0,38318	catur	nr	0,16672	mil	v	0,04302	jīv	v	0,10756	piṣ	v	0,18733	dṛś	v	0,12325	as	v	0,57589	grah	v	0,13400
dina	mn	0,46116	mūṣā	f	0,23618	tri	nr	0,35764	śrī	f	0,12997	dru	v	0,14565	bhū	f	0,04661							mṛ	v	0,23305																sphuṭ	v	0,00852										saṁyuj	v	0,08963	pac	v	0,38094	rudh	v	0,19988	pat	v	0,05871	vad	v	0,09008	saptan	adj	0,24201	ārabh	v	0,02823	lip	v	0,14565	gam	v	0,23798	bhāvay	v	0,22050	car	v	0,05602	jval	v	0,02644	sev	v	0,08829	ṣaṣ	adj	0,11607	diś	f	0,04482	payas	n	0,06947	ah	v	0,11204
sūta	mn	0,46071	tā	f	0,17165	agni	m	0,30565	strī	f	0,07977	śru	v	0,11159	brū	v	0,02734							jṛ	v	0,17254																												bhuj	v	0,05647	pravac	v	0,20033	bandh	v	0,17299	kṛt	adj	0,04616	mṛd	f	0,08560	bhasman	n	0,20705	upalabh	v	0,00717	nikṣip	v	0,11787	āgam	v	0,03048	jāray	v	0,17927	ācar	v	0,02689	cal	v	0,01658	carv	v	0,02734	iṣ	v	0,04526	naś	v	0,03227	manas	n	0,06454	lih	v	0,06767
loha	mn	0,35808	pā	v	0,16089	dvi	nr	0,18957	sakhī	f	0,07305	guru	m	0,10801	sambhū	v	0,02599							smṛ	v	0,10801																												tyaj	v	0,05468	muc	v	0,10039	sidh	v	0,07753	sat	adj	0,03630	vid	v	0,05647	heman	n	0,20526				vinikṣip	v	0,10666	ram	v	0,02465	kathay	v	0,12459	ahar	n	0,02106	gal	v	0,01344	niṣev	v	0,00941	sampiṣ	v	0,01882	nirdiś	v	0,02689	āyus	n	0,05468	dah	v	0,06229
sattva	n	0,33792	sthā	v	0,15686	siddhi	f	0,16313	sthālī	f	0,05199	mṛdu	adj	0,09411	bhasmībhū	v	0,02420							samuddhṛ	v	0,10442																												vraj	v	0,05333	tvac	f	0,04437	nirudh	v	0,05871	jit	adj	0,02913	nud	adj	0,03585	karman	n	0,15417				tap	v	0,05961	bhram	v	0,01837	lepay	v	0,11921	sphur	v	0,01344	val	v	0,01076				ghṛṣ	v	0,01748	spṛś	v	0,02510	rajas	n	0,05154	vah	v	0,03227
cūrṇa	mn	0,32447	vidhā	v	0,11249	vahni	m	0,14834	valī	f	0,04482	guru	adj	0,08829	vadhū	f	0,01837							hṛ	v	0,06991																												bhaj	v	0,04213	vāc	f	0,03541	viśudh	v	0,03272	triṁśat	f	0,02823	bhid	v	0,02958	daśan	adj	0,14252				prāp	v	0,04930	nirgam	v	0,01748	kāray	v	0,11518	samācar	v	0,01210							bhāṣ	v	0,01479	praviś	v	0,02420	śiras	n	0,04526	muh	v	0,02779
aṁśa	m	0,30923	guñjā	f	0,10173	vidhi	m	0,11518	sudhī	adj	0,04123	bahu	adj	0,07395	pū	v	0,01748							samāhṛ	v	0,05916																												bhiṣaj	m	0,03137	sic	v	0,02689	vyadh	v	0,01882	jagant	n	0,02375	hṛd	n	0,02913	pañcan	adj	0,13803				āp	v	0,03899	nam	v	0,01300	cūrṇay	v	0,10173										rakṣ	v	0,01434	dṛś	f	0,02286	ayas	n	0,04392	prāh	v	0,02375
puṭa	mn	0,29400	śilā	f	0,09770	hari	m	0,08829	snuhī	f	0,04078	mṛtyu	m	0,07171	udbhū	v	0,01569							āhṛ	v	0,05064																												prayuj	v	0,02734	nirmuc	v	0,02599	vṛdh	v	0,01389	bhavat	adj	0,02286	vid	v	0,02734	aṣṭan	adj	0,13624				prakṣip	v	0,03720	śam	v	0,01210	yojay	v	0,09098										ākṛṣ	v	0,01344	niś	f	0,02286	namas	n	0,03989	saṁgrah	v	0,01389
pattra	mn	0,28010	triphalā	mf	0,09680	druti	f	0,08605	nī	v	0,03989	laghu	adj	0,06991	nimbū	f	0,01434							nṛ	m	0,04706																												samāyuj	v	0,02330	vimuc	v	0,01658	prasidh	v	0,01300	hṛt	adj	0,02241	svid	v	0,02644	han	v	0,11114				jap	v	0,03361	praṇam	v	0,01210	bhakṣay	v	0,08918										bhakṣ	v	0,01165	paś	v	0,01837	tejas	n	0,03944	sah	v	0,01255
