"от 1200 до 1700"	a	1946=56.03%	"от 1200 до 1700"	ā	267=7.69%	"от 1200 до 1700"	i	209=6.02%	"от 1200 до 1700"	ī	106=3.05%	"от 1200 до 1700"	u	96=2.76%	"от 1200 до 1700"	ū	17=0.49%	"от 1200 до 1700"	o	1=0.03%	"от 1200 до 1700"	e	6=0.17%	"от 1200 до 1700"	ṛ	65=1.87%	"от 1200 до 1700"	kh	1=0.03%	"от 1200 до 1700"	gh	1=0.03%	"от 1200 до 1700"	k	3=0.09%	"от 1200 до 1700"	g	1=0.03%	"от 1200 до 1700"	ṭh	1=0.03%	"от 1200 до 1700"	ṭ	4=0.12%	"от 1200 до 1700"	ḍ	1=0.03%	"от 1200 до 1700"	ṇ	1=0.03%	"от 1200 до 1700"	ch	3=0.09%	"от 1200 до 1700"	j	43=1.24%	"от 1200 до 1700"	c	25=0.72%	"от 1200 до 1700"	th	3=0.09%	"от 1200 до 1700"	dh	24=0.69%	"от 1200 до 1700"	t	54=1.55%	"от 1200 до 1700"	d	51=1.47%	"от 1200 до 1700"	n	140=4.03%	"от 1200 до 1700"	bh	9=0.26%	"от 1200 до 1700"	p	29=0.84%	"от 1200 до 1700"	b	1=0.03%	"от 1200 до 1700"	m	39=1.12%	"от 1200 до 1700"	y	150=4.32%	"от 1200 до 1700"	r	9=0.26%	"от 1200 до 1700"	l	8=0.23%	"от 1200 до 1700"	v	6=0.17%	"от 1200 до 1700"	ṣ	36=1.04%	"от 1200 до 1700"	ś	26=0.75%	"от 1200 до 1700"	s	68=1.96%	"от 1200 до 1700"	h	21=0.60%
Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank
mantra	mn	0,18808	māyā	f	0,08081	pati	m	0,09535	mahī	f	0,03139	tanu	f	0,04244	prabhū	v	0,01017							bhrātṛ	m	0,04273																												bhañj	v	0,02733	pac	v	0,01773				vadh	v	0,02122	vṛt	v	0,04738	suhṛd	m	0,02791	nāman	n	0,09128				dīp	v	0,02296				ākram	v	0,02529	bhakṣay	v	0,03895										viśiṣ	v	0,01860	ādiś	v	0,02762	nyas	v	0,04302	guh	v	0,01686
tattva	n	0,18517	kriyā	f	0,08023	dvi	nr	0,08953	putrī	f	0,03052	kuru	m	0,04215	anubhū	v	0,00988							kartṛ	adj	0,04041																												parityaj	v	0,02471	atiric	v	0,01221				prabudh	v	0,02064	bhagavant	m	0,04448	sampad	f	0,02703	saptan	adj	0,07820				vyāp	v	0,02296				niyam	v	0,01977	sādhay	v	0,03517										īkṣ	v	0,01570	upadiś	v	0,02413	puṁs	m	0,04244	anugrah	v	0,01279
dharma	mn	0,18168	bhāryā	f	0,07965	hari	m	0,08488	nārī	f	0,02645	madhu	n	0,04186	camū	f	0,00901							kartṛ	m	0,03372																												bhāj	adj	0,02093	vyatiric	v	0,01046				prasidh	v	0,01919	bhagavat	adj	0,04070	pratipad	v	0,02326	yogin	m	0,06744				lip	v	0,02238				nam	v	0,01890	kalpay	v	0,03459										anviṣ	v	0,01163	āviś	v	0,02296	tamas	n	0,04012	ruh	v	0,01192
yoga	m	0,17238	kathā	f	0,07674	ji	v	0,07413	bhī	v	0,02645	guru	adj	0,04012	pū	v	0,00698							āvṛ	v	0,02645																												ruj	mf	0,02064	abhiṣic	v	0,00930				viśudh	v	0,01570	nivṛt	v	0,02791	āpad	f	0,02296	aṣṭan	adj	0,06570				ap	m	0,01977				viśram	v	0,01744	vilokay	v	0,03198										puṣ	v	0,01105	upaviś	v	0,02006	rajas	n	0,03750	nirvivah	v	0,00785
anta	m	0,16976	hā	v	0,07471	sthiti	f	0,06919	purī	f	0,02529	dhātu	mn	0,03750	prasū	v	0,00610							nṛ	m	0,02587																												bhūbhuj	m	0,01977	śuc	f	0,00843				rudh	v	0,01483	nipat	v	0,02558	prasad	v	0,02122	mantrin	m	0,06279				gup	v	0,01948				prayam	v	0,01628	vivarjay	v	0,02907										apekṣ	v	0,01105	vinaś	v	0,01744	cetas	n	0,03256	āvah	v	0,00698
jñāna	n	0,16744	prayā	v	0,07442	vahni	m	0,06860	sarasvatī	f	0,02442	dru	v	0,03750	śvaśrū	f	0,00552							dhṛ	v	0,02558																												visṛj	v	0,01977	sic	v	0,00843				niṣidh	v	0,01221	jit	adj	0,02500	sampad	v	0,02093	daśan	adj	0,06046				kamp	v	0,01773				anugam	v	0,01599	sthāpay	v	0,02849										prahṛṣ	v	0,01076	aś	v	0,01599	vas	v	0,03256	saṁgrah	v	0,00698
phala	n	0,16482	abhidhā	v	0,07035	bhūmi	f	0,06744	nadī	f	0,02384	vastu	n	0,03663	samudbhū	v	0,00523							pramātṛ	adj	0,02326																												prayuj	v	0,01512	vinirmuc	v	0,00785				krudh	f	0,01017	tāvat	adj	0,02413	mṛd	f	0,01890	janman	n	0,05930				śap	v	0,01686				upāgam	v	0,01424	pātay	v	0,02820										viṣ	f	0,01046	uddiś	v	0,01424	ās	v	0,03227	nirdah	v	0,00669
śiva	m	0,15959	kalā	f	0,06715	gati	f	0,05727	patnī	f	0,02209	śatru	m	0,03663	uddhū	v	0,00494							bhṛ	v	0,02209																												utsṛj	v	0,01483	tiryañc	adj	0,00785				kṣudh	f	0,00988	yoṣit	f	0,02151	vid	v	0,01686	adhvan	m	0,04302				nikṣip	v	0,01483				unnam	v	0,01366	jāray	v	0,02820										piṣ	v	0,01017	bhraṁś	v	0,01395	cakṣus	n	0,03023	samāruh	v	0,00669
loka	m	0,14942	icchā	f	0,06134	vṛtti	f	0,05465	kuntī	f	0,02093	indu	m	0,03169										avatṛ	v	0,02209																												asṛj	n	0,01366	abhyarc	v	0,00640				yudh	f	0,00930	asat	adj	0,02064	nind	v	0,01657	bhasman	n	0,04099				tṛp	v	0,01453				upagam	v	0,01308	janay	v	0,02791										parīkṣ	v	0,00959	nirdiś	v	0,01395	nabhas	n	0,02907	lih	v	0,00610
bala	mn	0,14564	dhyā	v	0,05814	prakṛti	f	0,05058	deveśī	f	0,02006	bandhu	m	0,03110										uddhṛ	v	0,01744																												samāyuj	v	0,01250	nirmuc	v	0,00581				bādh	v	0,00872	balavat	adj	0,01919	upapad	v	0,01657	brahman	n	0,04041				saṁtap	v	0,00959				āyam	v	0,01279	yojay	v	0,02733										tṛṣ	f	0,00901	prakāś	v	0,01279	yaśas	n	0,02907	utsah	v	0,00581
