KṛṣiPar, 1: 1;1 1;prajāpatiṁ namaskṛtya kṛṣikarmavivecanam |;
KṛṣiPar, 1: 1;1 2;kṛṣakāṇāṁ hitārthāya brūte ṛṣiparāśaraḥ ||;
KṛṣiPar, 1: 1;2 1;caturvedāntago vipraḥ śāstravādī vicakṣaṇaḥ |;
KṛṣiPar, 1: 1;2 2;alakṣmyā gṛhyate so.pi prārthanālāghavānvitaḥ ||;
KṛṣiPar, 1: 1;3 1;ekayā ca punaḥ kṛṣyā prārthako naiva jāyate |;
KṛṣiPar, 1: 1;3 2;kṛṣyanvito hi loke.sminbhūyādekaśca bhūpatiḥ ||;
KṛṣiPar, 1: 1;4 1;suvarṇaraupyamāṇikyavasanairapi pūritāḥ |;
KṛṣiPar, 1: 1;4 2;tathāpi prārthayantyeva kṛṣakān bhaktatṛṣṇayā ||;
KṛṣiPar, 1: 1;5 1;kaṇṭhe karṇe ca haste ca suvarṇaṁ vidyate yadi |;
KṛṣiPar, 1: 1;5 2;upavāsastathāpi syādannābhāvena dehinām ||;
KṛṣiPar, 1: 1;6 1;yanna prāṇā balaṁ cānnamannaṁ sarvārthasādhanam |;
KṛṣiPar, 1: 1;6 2;devāsuramanuṣyāśca sarve cānnopajīvinaḥ ||;
KṛṣiPar, 1: 1;7 1;annaṁ hi dhānyasaṁjātaṁ dhānyaṁ kṛpayā vinā na ca |;
KṛṣiPar, 1: 1;7 2;tasmāt sarvaṁ parityajya kṛṣiṁ yatnena kārayet ||;
KṛṣiPar, 1: 1;8 1;kṛṣir dhainyā kṛṣirmedhyā jantūnāṁ jīvanaṁ kṛṣiḥ |;
KṛṣiPar, 1: 1;8 2;hiṁsādidoṣayukto .pi mucyate tithipūjanāt ||;
KṛṣiPar, 1: 1;9 1;tenārcitaṁ jagat sarvamatithiryena pūjitaḥ |;
KṛṣiPar, 1: 1;9 2;arcitāstena devāśca sa eva puruṣottamaḥ ||;
KṛṣiPar, 1: 1;10 1;tathā ca parāśaraḥ |;
KṛṣiPar, 1: 1;10 2;vṛṣṭimūlā kṛṣiḥ sarvā vṛṣṭimūlaṁ ca jīvanam |;
KṛṣiPar, 1: 1;10 3;tasmādādau prayatnena vṛṣṭijñānaṁ samācaret ||;
KṛṣiPar, 1: 1;11 1;ato vatsararājānaṁ mantriṇaṁ meghameva ca |;
KṛṣiPar, 1: 1;11 2;āḍhakaṁ salilasyāpi vṛṣṭijñānāya śodhayet ||;
KṛṣiPar, 1: 1;12 1;atha rājānayanam |;
KṛṣiPar, 1: 1;12 2;śākaṁ triguṇitaṁ kṛtvā dviyutaṁ muninā haret |;
KṛṣiPar, 1: 1;12 3;bhāgaśiṣṭo nṛpo jñeyo nṛpamantrī caturthakaḥ ||;
KṛṣiPar, 1: 1;13 1;cittalārke nṛpe vṛṣṭirvṛṣṭirugrā niśāpatau |;
KṛṣiPar, 1: 1;13 2;vṛṣṭirmandā sadā bhaume candraje vṛṣṭiruttamā ||;
KṛṣiPar, 1: 1;14 1;gurau ca śobhanā vṛṣṭirbhārgave vṛṣṭiruttamā |;
KṛṣiPar, 1: 1;14 2;pṛthivī dhūlisampūrṇā vṛṣṭihīnā śanau bhavet ||;
KṛṣiPar, 1: 1;15 1;cakṣūrogo jvarāriṣṭaṁ sarvopadrava eva ca |;
KṛṣiPar, 1: 1;15 2;mandā vṛṣṭiḥ sadā vāto yatrābde bhāskaro nṛpaḥ ||;
KṛṣiPar, 1: 1;16 1;yasmin saṁvatsare caiva candro rājā bhaved dhruvam |;
KṛṣiPar, 1: 1;16 2;kuryāt śasyānvitāṁ pṛthvīṁ nairujyaṁ cāpi mānave ||;
KṛṣiPar, 1: 1;17 1;śasyahānirbhavettatra nityaṁ rogaśca mānave |;
