Nāḍīvijñāna, 1: 1;1 1;yadvaktrebhyaḥ pañcasaṁkhyāgatebhyo vedā jātā sāyurvedātharvavedaśca tasminnāstāṁ śambho |;
Nāḍīvijñāna, 1: 1;2 1;āste vedaḥ pañcamo vedyakākhyo vettā kaścittasya nāste tasmāddhātādhyeṣṭa tasmātturāṣāṭ tasmājjñātvā |;
Nāḍīvijñāna, 1: 1;3 1;sārdhatrikoṭyo nāḍhyo hi sthūlāḥ sūkṣmāśca dehinām |;
Nāḍīvijñāna, 1: 1;3 2;nābhikandanibaddhāstāstiryagūrdhvamadhaḥ sthitāḥ |;
Nāḍīvijñāna, 1: 1;3 3;dvasaptisahasraṁ tu tāsāṁ sthūlā prakīrtitāḥ |;
Nāḍīvijñāna, 1: 1;3 4;dehe dhamanyo dhanyāstāḥ pañcendriyaguṇāvahāḥ ||;
Nāḍīvijñāna, 1: 1;4 1;tāsāṁ ca sūkmamuṣirāṇi śatāni sapta syustāni yairasakṛd āpyāyyate vapuridaṁ hi nṛṇām īṣāmambhaḥ sravāhṇeriva |;
Nāḍīvijñāna, 1: 1;5 1;ścāpādataḥ pratatagātramaśeṣamebāmāmastakādapi ca etanmūdaṅga ddvava cammaṁcayena naddha kāyaṁ |;
Nāḍīvijñāna, 1: 1;6 1;śatasaptānā madhye casurāvakā viṁśatiḥ sphuṭāstāsāmū |;
Nāḍīvijñāna, 1: 1;7 1;ātayarmo dehināṁ nābhideśe vāme vaktra tasya pucchaṁ ūrdhve bhāge hastapādau ca vāmau tasyādhastāt |;
