ṚVJ, 1: 1;1 1;pañcasaṁvatsaramayaṁ yugādhyakṣaṁ prajāpatim |;
ṚVJ, 1: 1;1 2;dinartvayanamāsāṅgaṁ praṇamya śirasā śuciḥ ||;
ṚVJ, 1: 1;2 1;praṇamya śirasā kālam abhivādya sarasvatīm |;
ṚVJ, 1: 1;2 2;kālajñānaṁ pravakṣyāmi lagadhasya mahātmanaḥ ||;
ṚVJ, 1: 1;3 1;jyotiṣām ayanaṁ kṛtsnaṁ pravakṣyāmy anupūrvaśaḥ |;
ṚVJ, 1: 1;3 2;viprāṇāṁ saṁmataṁ loke yajñakālārthasiddhaye ||;
ṚVJ, 1: 1;4 1;nirekaṁ dvādaśārdhābdaṁ dviguṇaṁ gatasaṁjñikam |;
ṚVJ, 1: 1;4 2;ṣaṣṭyā ṣaṣṭyā yutaṁ dvābhyāṁ parvaṇāṁ rāśir ucyate ||;
ṚVJ, 1: 1;5 1;svar ākramete somārkau yadā sākaṁ savāsavau |;
ṚVJ, 1: 1;5 2;syāt tadādi yugaṁ māghas tapaḥ śuklo .yanaṁ hy udak ||;
ṚVJ, 1: 1;6 1;prapadyete śraviṣṭhādau sūryācandramasāv udak |;
ṚVJ, 1: 1;6 2;sārpārdhe dakṣiṇārkas tu māghaśrāvaṇayoḥ sadā ||;
ṚVJ, 1: 1;7 1;gharmavṛddhir apāṁ prasthaḥ kṣapāhrāsa udaggatau |;
ṚVJ, 1: 1;7 2;dakṣiṇe tau viparyāsaḥ ṣaṇmuhūrtyayanena tu ||;
ṚVJ, 1: 1;8 1;dviguṇaṁ saptamaṁ cāhur ayanādyaṁ trayodaśam |;
ṚVJ, 1: 1;8 2;caturthaṁ daśamaṁ ca dvir yugmādyaṁ bahule .pyṛtau ||;
ṚVJ, 1: 1;9 1;vasus tvaṣṭā bhavo .jaś ca mitraḥ sarpāśvinau jalam |;
ṚVJ, 1: 1;9 2;dhātā kaścāyanādyāś cārthapañcamastv ṛtuḥ ||;
ṚVJ, 1: 1;10 1;bhāṁśāḥ syur aṣṭakāḥ kāryāḥ pakṣadvādaśakodgatāḥ |;
ṚVJ, 1: 1;10 2;ekādaśaguṇaś conaḥ śukle .rdhaṁ caindavā yadi ||;
ṚVJ, 1: 1;11 1;kāryā bhāṁśāṣṭakasthāne kalā ekānnaviṁśatiḥ |;
ṚVJ, 1: 1;11 2;ūnasthāne trisaptatim udvaped ūnasaṁmitāḥ ||;
ṚVJ, 1: 1;12 1;tryaṁśo bhaśeṣo divasāṁśabhāgaś caturdaśaś cāpy anīya bhārdhe .dhike cāpi gate paro .ṁśo dvāv uttamaikaṁ |;
ṚVJ, 1: 1;13 1;pakṣāt pañcadaśāc cordhvaṁ tadbhuktam iti nirdiśet |;
ṚVJ, 1: 1;13 2;navabhis tūdgato .ṁśaḥ syād ūnāṁśadvyadhikena tu ||;
ṚVJ, 1: 1;14 1;jau drā ghaḥ khe śve .hī ro ṣā cin mū ṣa ṇyaḥ sū mā dhā ṇaḥ re mṛ ghrāḥ svā .po .jaḥ kṛ ṣyo ha jye ṣṭhā ittṛkṣā liṅgaiḥ ||;
ṚVJ, 1: 1;15 1;jāvādyaṁśaiḥ samaṁ vidyāt pūrvārdhe parvasūttare |;
ṚVJ, 1: 1;15 2;bhādānaṁ syāt caturdaśyāṁ kāṣṭhānāṁ devinā kalāḥ ||;
ṚVJ, 1: 1;16 1;kalā daśa saviṁśā syāt dve muhūrtasya nāḍike |;
ṚVJ, 1: 1;16 2;dyutriṁśat tatkalānāṁ tu ṣaṭchatī tryadhikaṁ bhavet ||;
ṚVJ, 1: 1;17 1;nāḍike dve muhūrtas tu pañcāśatpalam āḍhakam |;
ṚVJ, 1: 1;17 2;āḍhakāt kumbhako droṇaḥ kuṭapair vardhate tribhiḥ ||;
ṚVJ, 1: 1;18 1;sasaptakaṁ bhayuk somaḥ sūryo dyūni trayodaśa |;
ṚVJ, 1: 1;18 2;navabhāni ca pañcāhnaḥ kāṣṭhāḥ pañcākṣarāḥ smṛtāḥ ||;
ṚVJ, 1: 1;19 1;śraviṣṭhāyāṁ gaṇābhyastān prāgvilagnān vinirdiśet |;
ṚVJ, 1: 1;19 2;staryān māsān ṣaḍabhyastān vidyāc cāndramasān ṛtun ||;
ṚVJ, 1: 1;20 1;atītaparvabhāgebhyaḥ śodhayed dviguṇāṁ tithim |;
ṚVJ, 1: 1;20 2;teṣu maṇḍalabhāgeṣu tithiniṣṭhāṁgato raviḥ ||;
ṚVJ, 1: 1;21 1;yāḥ parvabhādānakalās tāsu saptaguṇāṁ tithim |;
