SBhedaV, 1: 1;13 1;kuto nirjātāḥ śākyāḥ kimagraṇyāḥ kimanvayāḥ kaśca teṣāṁ |;Saṅghabhedavastu SBhedaV, 1: 1 3;kuto nirjātā bhavantaḥ śākyāḥ kimagraṇyāḥ kimanvayāḥ ;!;;
SBhedaV, 1: 1;14 1;sacet kaścid asmākam upasaṁkramyaivaṁ pṛcchet kuto |;Saṅghabhedavastu SBhedaV, 1: 1 4;sacetkaścid asmākam upasaṁkramyaivaṁ pṛcchet kuto ;GOOD;;
SBhedaV, 1: 1;15 1;na ca punar jānīmaḥ kuto nirjātāḥ śākyāḥ kimagraṇyāḥ |;Saṅghabhedavastu SBhedaV, 1: 1 6;na ca punar jānīmaḥ kuto nirjātāḥ śākyāḥ kimagraṇyāḥ ;GOOD;;
SBhedaV, 1: 1;16 1;ete vayaṁ yena bhagavāṁs tenopasaṁkramāmaḥ ||;Saṅghabhedavastu SBhedaV, 1: 1 7;ete vayaṁ yena bhagavāṁstenopasaṁkrāmāmaḥ ||;!;;
SBhedaV, 1: 1;17 1;upasaṁkramya bhagavantam etam evārthaṁ yathā cāsmākaṁ bhagavān vyākariṣyati tathainaṁ |;Saṅghabhedavastu SBhedaV, 1: 1 8;upasaṁkramya bhagavantam etam evārthaṁ ;GOOD;;
SBhedaV, 1: 1;18 1;te vayam etam evārthaṁ paripṛcchāmaḥ kuto bhagavan |;
SBhedaV, 1: 1;19 1;atha bhagavata etad abhavat ||;Divyāvadāna Divyāv, 7: 7 68;athāyuṣmato mahākāśyapasyaitadabhavat ||;!;;Divyāvadāna Divyāv, 17: 17 235;atha rājño māndhātasyaitadabhavat ||;!;;
SBhedaV, 1: 1;20 1;saced ahaṁ śākyānāṁ paurāṇaṁ kulavaṁśam ārabhya |;
SBhedaV, 1: 1;21 1;atha ko nu mama śrāvakaḥ pratibalaḥ syād yaḥ śākyānāṁ |;
SBhedaV, 1: 1;22 1;bhavati gautamā sa samayo yad ayaṁ lokaḥ saṁvartate tena khalu samayeneyaṁ mahāpṛthivī ekodakā |;
SBhedaV, 1: 1;23 1;yaḥ khalu ekodakāyā mahāpṛthivyā ekārṇavāyā upari evam ekodakāyā mahāpṛthivyā ekārṇavāyā upari vāyunā |;
SBhedaV, 1: 1;24 1;sa bhavati pṛthivīraso varṇasampanno gandhasampanno |;
SBhedaV, 1: 1;25 1;bhavati gautamā sa samayo yad ayaṁ loko vivartate |;
SBhedaV, 1: 1;26 1;te iha bhavanti rūpiṇo manomayā avikalā ahīnendriyāḥ |;
SBhedaV, 1: 1;27 1;tena khalu samayena na sūryācandramasor loke |;
SBhedaV, 1: 1;28 1;na strī prajñāyate na puruṣo nānyatra sattvaḥ sattva iti |;
SBhedaV, 1: 1;29 1;athānyatamo lolupajātīyaḥ sattvaḥ pṛthivīrasam |;
SBhedaV, 1: 1;30 1;adrākṣur anye.pi sattvāstaṁ sattvaṁ pṛthivīrasam |;
SBhedaV, 1: 1;31 1;dṛṣṭvā ca punas te sattvāḥ pṛthivīrasam aṅgulyagreṇa |;
SBhedaV, 1: 1;32 1;teṣāṁ yāsau śubhā varṇanibhā sāntarhitā ||;
SBhedaV, 1: 1;33 1;andhakāraṁ loke prādurbhūtam ||;Aṣṭādhyāyī Aṣṭādhyāyī, 5, 1: 17 44;lokasarvalokāṭ ṭhañ ||;!;;
SBhedaV, 1: 1;34 1;dharmatā khalu gautamā andhakārasya loke prādurbhāvāt |;
SBhedaV, 1: 1;35 1;te tadbhakṣās tadāhārā dīrghāyuṣo dīrgham adhvānaṁ |;Saṅghabhedavastu SBhedaV, 1: 1 46;te tadbhakṣās tadāhārāḥ dīrghāyuṣo dīrgham adhvānaṁ ;GOOD;;Saṅghabhedavastu SBhedaV, 1: 1 57;te tadbhakṣās tadāhārā dīrghāyuṣo dīrgham adhvānaṁ ;GOOD;;Saṅghabhedavastu SBhedaV, 1: 1 68;te tadbhakṣās tadāhārāḥ dīrghāyuṣo dīrgham adhvānaṁ ;GOOD;;Saṅghabhedavastu SBhedaV, 1: 1 97;te vayaṁ tadbhakṣās tadāhārā dīrghāyuṣo dīrgham ;GOOD;;Saṅghabhedavastu SBhedaV, 1: 1 107;te vayaṁ tadbhakṣās tadāhārā dīrghāyuṣo dīrgham ;GOOD;;
SBhedaV, 1: 1;36 1;teṣāṁ yo .lpataram āhāram āharati sa varṇavān bhavati yaḥ |;Saṅghabhedavastu SBhedaV, 1: 1 47;teṣāṁ yo .lpataram āhāram āharati sa varṇavān bhavati yaḥ ;GOOD;;Saṅghabhedavastu SBhedaV, 1: 1 58;teṣāṁ yo .lpataram āhāram āharati sa varṇavān bhavati yaḥ ;!;;
SBhedaV, 1: 1;37 1;varṇadvimātratāyāṁ satyāṁ sattvaḥ sattvam avamanyate |;Saṅghabhedavastu SBhedaV, 1: 1 48;varṇadvimātratāyāṁ satyāṁ sattvaḥ sattvam avamanyate ;GOOD;;Saṅghabhedavastu SBhedaV, 1: 1 59;varṇadvimātratāyāṁ satyāṁ sattvaḥ sattvam avamanyate ;GOOD;;Saṅghabhedavastu SBhedaV, 1: 1 99;varṇadvimātratāyāṁ satyāṁ sattvaḥ sattvam avamanyate ;GOOD;;
SBhedaV, 1: 1;38 1;teṣāṁ varṇābhimānikānāṁ satāṁ teṣām eva pāpakānām |;Saṅghabhedavastu SBhedaV, 1: 1 100;teṣām asmākaṁ varṇābhimānikānāṁ satāṁ teṣām eva ;!;;
SBhedaV, 1: 1;39 1;antarhite pṛthivīrase te sattvāḥ saṁgamya samāgamya |;Saṅghabhedavastu SBhedaV, 1: 1 42;evaṁ te sattvā antarhite gautamā pṛthivīrase saṁgamya ;GOOD;;
SBhedaV, 1: 1;40 1;evaṁ cāhur aho rasa aho rasa iti ||;Saṅghabhedavastu SBhedaV, 1: 1 43;evaṁ cāhur aho rasa aho rasa iti ||;GOOD;;Saṅghabhedavastu SBhedaV, 1: 1 51;evaṁ cāhur aho bata aho bateti ||;!;;Saṅghabhedavastu SBhedaV, 1: 1 54;evaṁ cāhur aho bata aho bateti ||;!;;
SBhedaV, 1: 1;41 1;tadyathaitarhi manuṣyāḥ kiṁcid eva svādu subhojanaṁ |;
SBhedaV, 1: 1;42 1;evaṁ te sattvā antarhite gautamā pṛthivīrase saṁgamya |;
SBhedaV, 1: 1;43 1;evaṁ cāhur aho rasa aho rasa iti ||;Saṅghabhedavastu SBhedaV, 1: 1 40;evaṁ cāhur aho rasa aho rasa iti ||;GOOD;;Saṅghabhedavastu SBhedaV, 1: 1 51;evaṁ cāhur aho bata aho bateti ||;!;;Saṅghabhedavastu SBhedaV, 1: 1 54;evaṁ cāhur aho bata aho bateti ||;!;;
SBhedaV, 1: 1;44 1;arthaṁ cāsya na jānanti ayam asya bhāṣitasyārtho .yam |;Saṅghabhedavastu SBhedaV, 1: 1 55;arthaṁ cāsya na jānanty ayam asya bhāṣitasyārtho .yam ;GOOD;;Saṅghabhedavastu SBhedaV, 1: 1 64;arthaṁ cāsya na jānantyayam asya bhāṣitasyārtho .yam ;GOOD;;
SBhedaV, 1: 1;45 1;antarhite pṛthivīrase teṣāṁ sattvānāṁ pṛthivīparpaṭakaḥ |;
SBhedaV, 1: 1;46 1;te tadbhakṣās tadāhārāḥ dīrghāyuṣo dīrgham adhvānaṁ |;Saṅghabhedavastu SBhedaV, 1: 1 35;te tadbhakṣās tadāhārā dīrghāyuṣo dīrgham adhvānaṁ ;GOOD;;Saṅghabhedavastu SBhedaV, 1: 1 57;te tadbhakṣās tadāhārā dīrghāyuṣo dīrgham adhvānaṁ ;GOOD;;Saṅghabhedavastu SBhedaV, 1: 1 68;te tadbhakṣās tadāhārāḥ dīrghāyuṣo dīrgham adhvānaṁ ;GOOD;;Saṅghabhedavastu SBhedaV, 1: 1 97;te vayaṁ tadbhakṣās tadāhārā dīrghāyuṣo dīrgham ;GOOD;;Saṅghabhedavastu SBhedaV, 1: 1 107;te vayaṁ tadbhakṣās tadāhārā dīrghāyuṣo dīrgham ;GOOD;;
SBhedaV, 1: 1;47 1;teṣāṁ yo .lpataram āhāram āharati sa varṇavān bhavati yaḥ |;Saṅghabhedavastu SBhedaV, 1: 1 36;teṣāṁ yo .lpataram āhāram āharati sa varṇavān bhavati yaḥ ;GOOD;;Saṅghabhedavastu SBhedaV, 1: 1 58;teṣāṁ yo .lpataram āhāram āharati sa varṇavān bhavati yaḥ ;!;;
SBhedaV, 1: 1;48 1;varṇadvimātratāyāṁ satyāṁ sattvaḥ sattvam avamanyate |;Saṅghabhedavastu SBhedaV, 1: 1 37;varṇadvimātratāyāṁ satyāṁ sattvaḥ sattvam avamanyate ;GOOD;;Saṅghabhedavastu SBhedaV, 1: 1 59;varṇadvimātratāyāṁ satyāṁ sattvaḥ sattvam avamanyate ;GOOD;;Saṅghabhedavastu SBhedaV, 1: 1 99;varṇadvimātratāyāṁ satyāṁ sattvaḥ sattvam avamanyate ;GOOD;;
SBhedaV, 1: 1;49 1;teṣāṁ varṇābhimānikānāṁ satāṁ teṣām eva pāpakānām |;Saṅghabhedavastu SBhedaV, 1: 1 38;teṣāṁ varṇābhimānikānāṁ satāṁ teṣām eva pāpakānām ;!;;Saṅghabhedavastu SBhedaV, 1: 1 60;teṣāṁ varṇābhimānikānāṁ satāṁ teṣām eva pāpakānām ;!;;Saṅghabhedavastu SBhedaV, 1: 1 102;teṣām asmākaṁ varṇābhimānikānāṁ satāṁ teṣām eva ;!;;
SBhedaV, 1: 1;50 1;antarhite pṛthivīparpaṭake te sattvāḥ saṁgamya |;Saṅghabhedavastu SBhedaV, 1: 1 53;evam eva te sattvā antarhite pṛthivīparpaṭake saṁgamya ;GOOD;;Saṅghabhedavastu SBhedaV, 1: 1 39;antarhite pṛthivīrase te sattvāḥ saṁgamya samāgamya ;!;;Saṅghabhedavastu SBhedaV, 1: 1 61;antarhitāyāṁ vanalatāyāṁ te sattvāḥ saṁgamya ;!;;
SBhedaV, 1: 1;51 1;evaṁ cāhur aho bata aho bateti ||;Saṅghabhedavastu SBhedaV, 1: 1 54;evaṁ cāhur aho bata aho bateti ||;GOOD;;Saṅghabhedavastu SBhedaV, 1: 1 40;evaṁ cāhur aho rasa aho rasa iti ||;!;;Saṅghabhedavastu SBhedaV, 1: 1 43;evaṁ cāhur aho rasa aho rasa iti ||;!;;
SBhedaV, 1: 1;52 1;tadyathaitarhi manuṣyāḥ kenacid eva |;
SBhedaV, 1: 1;53 1;evam eva te sattvā antarhite pṛthivīparpaṭake saṁgamya |;
SBhedaV, 1: 1;54 1;evaṁ cāhur aho bata aho bateti ||;Saṅghabhedavastu SBhedaV, 1: 1 51;evaṁ cāhur aho bata aho bateti ||;GOOD;;Saṅghabhedavastu SBhedaV, 1: 1 40;evaṁ cāhur aho rasa aho rasa iti ||;!;;Saṅghabhedavastu SBhedaV, 1: 1 43;evaṁ cāhur aho rasa aho rasa iti ||;!;;
SBhedaV, 1: 1;55 1;arthaṁ cāsya na jānanty ayam asya bhāṣitasyārtho .yam |;Saṅghabhedavastu SBhedaV, 1: 1 44;arthaṁ cāsya na jānanti ayam asya bhāṣitasyārtho .yam ;GOOD;;Saṅghabhedavastu SBhedaV, 1: 1 64;arthaṁ cāsya na jānantyayam asya bhāṣitasyārtho .yam ;GOOD;;
SBhedaV, 1: 1;56 1;antarhite pṛthivīparpaṭake teṣāṁ sattvānāṁ vanalatā |;Saṅghabhedavastu SBhedaV, 1: 1 45;antarhite pṛthivīrase teṣāṁ sattvānāṁ pṛthivīparpaṭakaḥ ;!;;
SBhedaV, 1: 1;57 1;te tadbhakṣās tadāhārā dīrghāyuṣo dīrgham adhvānaṁ |;Saṅghabhedavastu SBhedaV, 1: 1 35;te tadbhakṣās tadāhārā dīrghāyuṣo dīrgham adhvānaṁ ;GOOD;;Saṅghabhedavastu SBhedaV, 1: 1 46;te tadbhakṣās tadāhārāḥ dīrghāyuṣo dīrgham adhvānaṁ ;GOOD;;Saṅghabhedavastu SBhedaV, 1: 1 68;te tadbhakṣās tadāhārāḥ dīrghāyuṣo dīrgham adhvānaṁ ;GOOD;;Saṅghabhedavastu SBhedaV, 1: 1 97;te vayaṁ tadbhakṣās tadāhārā dīrghāyuṣo dīrgham ;GOOD;;Saṅghabhedavastu SBhedaV, 1: 1 107;te vayaṁ tadbhakṣās tadāhārā dīrghāyuṣo dīrgham ;GOOD;;
SBhedaV, 1: 1;58 1;teṣāṁ yo .lpataram āhāram āharati sa varṇavān bhavati yaḥ |;Saṅghabhedavastu SBhedaV, 1: 1 36;teṣāṁ yo .lpataram āhāram āharati sa varṇavān bhavati yaḥ ;!;;Saṅghabhedavastu SBhedaV, 1: 1 47;teṣāṁ yo .lpataram āhāram āharati sa varṇavān bhavati yaḥ ;!;;Saṅghabhedavastu SBhedaV, 1: 1 98;teṣām asmākaṁ yo .lpam āhāram āhṛtavān sa varṇavān ;!;;
SBhedaV, 1: 1;59 1;varṇadvimātratāyāṁ satyāṁ sattvaḥ sattvam avamanyate |;Saṅghabhedavastu SBhedaV, 1: 1 37;varṇadvimātratāyāṁ satyāṁ sattvaḥ sattvam avamanyate ;GOOD;;Saṅghabhedavastu SBhedaV, 1: 1 48;varṇadvimātratāyāṁ satyāṁ sattvaḥ sattvam avamanyate ;GOOD;;Saṅghabhedavastu SBhedaV, 1: 1 99;varṇadvimātratāyāṁ satyāṁ sattvaḥ sattvam avamanyate ;GOOD;;
SBhedaV, 1: 1;60 1;teṣāṁ varṇābhimānikānāṁ satāṁ teṣām eva pāpakānām |;Saṅghabhedavastu SBhedaV, 1: 1 38;teṣāṁ varṇābhimānikānāṁ satāṁ teṣām eva pāpakānām ;!;;Saṅghabhedavastu SBhedaV, 1: 1 49;teṣāṁ varṇābhimānikānāṁ satāṁ teṣām eva pāpakānām ;!;;
SBhedaV, 1: 1;61 1;antarhitāyāṁ vanalatāyāṁ te sattvāḥ saṁgamya |;
SBhedaV, 1: 1;62 1;evaṁ cāhur apaihi purastād apaihi purastād iti [... au1 |;
SBhedaV, 1: 1;63 1;evam āhur apaihi purastād apaihi purastād iti ||;
SBhedaV, 1: 1;64 1;arthaṁ cāsya na jānantyayam asya bhāṣitasyārtho .yam |;Saṅghabhedavastu SBhedaV, 1: 1 44;arthaṁ cāsya na jānanti ayam asya bhāṣitasyārtho .yam ;GOOD;;Saṅghabhedavastu SBhedaV, 1: 1 55;arthaṁ cāsya na jānanty ayam asya bhāṣitasyārtho .yam ;GOOD;;
SBhedaV, 1: 1;65 1;antarhitāyāṁ gautamā vanalatāyāṁ teṣāṁ sattvānām |;
SBhedaV, 1: 1;66 1;sa sāyaṁ lūnaḥ kālyaṁ pakvaś ca bhavati prativirūḍhaś ca |;Saṅghabhedavastu SBhedaV, 1: 1 67;kālyaṁ lūnaḥ sāyaṁ pakvaś ca bhavati prativirūḍhaś ca iti ;!;;
SBhedaV, 1: 1;67 1;kālyaṁ lūnaḥ sāyaṁ pakvaś ca bhavati prativirūḍhaś ca iti |;Saṅghabhedavastu SBhedaV, 1: 1 106;sa sāyaṁ lūnaḥ kālyam pakvaś ca bhavati prativirūḍhaś ceti ;GOOD;;
SBhedaV, 1: 1;68 1;te tadbhakṣās tadāhārāḥ dīrghāyuṣo dīrgham adhvānaṁ |;Saṅghabhedavastu SBhedaV, 1: 1 35;te tadbhakṣās tadāhārā dīrghāyuṣo dīrgham adhvānaṁ ;GOOD;;Saṅghabhedavastu SBhedaV, 1: 1 46;te tadbhakṣās tadāhārāḥ dīrghāyuṣo dīrgham adhvānaṁ ;GOOD;;Saṅghabhedavastu SBhedaV, 1: 1 57;te tadbhakṣās tadāhārā dīrghāyuṣo dīrgham adhvānaṁ ;GOOD;;Saṅghabhedavastu SBhedaV, 1: 1 97;te vayaṁ tadbhakṣās tadāhārā dīrghāyuṣo dīrgham ;GOOD;;Saṅghabhedavastu SBhedaV, 1: 1 107;te vayaṁ tadbhakṣās tadāhārā dīrghāyuṣo dīrgham ;GOOD;;
SBhedaV, 1: 1;69 1;tataś ca te sattvā akṛṣṭoptaṁ taṇḍulaphalaśāliṁ |;
SBhedaV, 1: 1;70 1;tatas teṣām indriyanānātvaṁ prādurbhūtam ||;
SBhedaV, 1: 1;71 1;ekeṣāṁ strīndriyam ekeṣāṁ puruṣendriyam ||;
SBhedaV, 1: 1;72 1;tatra yeṣāṁ strīndriyaṁ yeṣāṁ ca puruṣendriyaṁ te |;
SBhedaV, 1: 1;73 1;ye yathā cakṣuṣā cakṣur upanidhyāya paśyanti tathā tathā yathā yathā saṁraktās tathā tathāvadīrṇā yathā |;
SBhedaV, 1: 1;74 1;adrākṣur anye .pi sattvāḥ sattvaṁ sattve vipratipannaṁ |;
SBhedaV, 1: 1;75 1;tadyathaitarhi manuṣyā vadhukāyām udvāhyamānāyāṁ |;
SBhedaV, 1: 1;76 1;evaṁ cāhuḥ sukhinī bhava vadhūke sukhinī bhava |;
SBhedaV, 1: 1;77 1;evam eva te sattvāḥ sattvaṁ sattve vipratipannaṁ dṛṣṭvā |;
SBhedaV, 1: 1;78 1;evaṁ cāhuḥ dhig grāmyasattva dhig grāmyasattva |;
SBhedaV, 1: 1;79 1;te tam ekāham api pravāsayanti dvis triḥ saptāham api |;
SBhedaV, 1: 1;80 1;yataś ca te sattvās tasmin pāpake asaddharme .tyarthaṁ |;
SBhedaV, 1: 1;81 1;ayaṁ gautamā purāṇo .graṇīr agāre karmāntānāṁ loke |;
SBhedaV, 1: 1;82 1;yataś ca te dharmeṇa nādharmeṇa tatrāyaṁ dharmaḥ |;
SBhedaV, 1: 1;83 1;athānyatareṇālasajātīyena sattvena sāyaṁprātikaḥ śālir |;
SBhedaV, 1: 1;84 1;athānyataraḥ sattvas taṁ sattvam idam avocat ehi tvaṁ |;Saṅghabhedavastu SBhedaV, 1: 1 88;athānyataraḥ sattvas taṁ sattvam idam avocat ehi tvaṁ ;GOOD;;
SBhedaV, 1: 1;85 1;atha sa sattvas tam idam avocat pratijānīhi tvaṁ bhoḥ sattva |;
SBhedaV, 1: 1;86 1;atha tasya sattvasyaitad abhavat etad bata sādhvetad bata |;
SBhedaV, 1: 1;87 1;sa dvaiyahnikaṁ yāvat sāptāhikaṁ śālim ānītavān ||;
SBhedaV, 1: 1;88 1;athānyataraḥ sattvas taṁ sattvam idam avocat ehi tvaṁ |;Saṅghabhedavastu SBhedaV, 1: 1 84;athānyataraḥ sattvas taṁ sattvam idam avocat ehi tvaṁ ;GOOD;;
SBhedaV, 1: 1;89 1;atha sa sattvas taṁ sattvam idam avocat pratijānīhi tvaṁ |;
SBhedaV, 1: 1;90 1;atha tasya sattvasyaitad abhavat etad bata sādhvetad bata |;
SBhedaV, 1: 1;91 1;so .rdhamāsikaṁ māsikaṁ śālim ānītavān ||;
SBhedaV, 1: 1;92 1;yataś ca te sattvā akṛṣṭoptaṁ taṇḍulaphalaśāliṁ |;
SBhedaV, 1: 1;93 1;ṣaṇḍavanaṣaṇḍeṣu vyavasthitaḥ śāliḥ ||;Saṅghabhedavastu SBhedaV, 1: 1 111;ṣaṇḍavanaṣaṇḍeṣu vyavasthitaḥ śāliḥ ||;GOOD;;
SBhedaV, 1: 1;94 1;atha te sattvāḥ saṁgamya samāgamya śocanti kāmyanti |;
SBhedaV, 1: 1;95 1;teṣām asmākaṁ pṛthivīrasaḥ prādurbhūto varṇasampanno |;
SBhedaV, 1: 1;96 1;te vayaṁ pṛthivīrasaṁ kavaḍīkārāhāropakrameṇa |;
SBhedaV, 1: 1;97 1;te vayaṁ tadbhakṣās tadāhārā dīrghāyuṣo dīrgham |;Saṅghabhedavastu SBhedaV, 1: 1 107;te vayaṁ tadbhakṣās tadāhārā dīrghāyuṣo dīrgham ;GOOD;;Saṅghabhedavastu SBhedaV, 1: 1 35;te tadbhakṣās tadāhārā dīrghāyuṣo dīrgham adhvānaṁ ;!;;Saṅghabhedavastu SBhedaV, 1: 1 46;te tadbhakṣās tadāhārāḥ dīrghāyuṣo dīrgham adhvānaṁ ;!;;Saṅghabhedavastu SBhedaV, 1: 1 57;te tadbhakṣās tadāhārā dīrghāyuṣo dīrgham adhvānaṁ ;!;;Saṅghabhedavastu SBhedaV, 1: 1 68;te tadbhakṣās tadāhārāḥ dīrghāyuṣo dīrgham adhvānaṁ ;!;;
SBhedaV, 1: 1;98 1;teṣām asmākaṁ yo .lpam āhāram āhṛtavān sa varṇavān |;
SBhedaV, 1: 1;99 1;varṇadvimātratāyāṁ satyāṁ sattvaḥ sattvam avamanyate |;Saṅghabhedavastu SBhedaV, 1: 1 37;varṇadvimātratāyāṁ satyāṁ sattvaḥ sattvam avamanyate ;GOOD;;Saṅghabhedavastu SBhedaV, 1: 1 48;varṇadvimātratāyāṁ satyāṁ sattvaḥ sattvam avamanyate ;GOOD;;Saṅghabhedavastu SBhedaV, 1: 1 59;varṇadvimātratāyāṁ satyāṁ sattvaḥ sattvam avamanyate ;GOOD;;
SBhedaV, 1: 1;100 1;teṣām asmākaṁ varṇābhimānikānāṁ satāṁ teṣām eva |;
SBhedaV, 1: 1;101 1;antarhite pṛthivīrase pṛthivīparpaṭakaḥ prādurbhūto |;Saṅghabhedavastu SBhedaV, 1: 1 103;antarhite pṛthivīparpaṭake vanalatā prādurbhūtā ;!;;
