MuA zu RHT, 1, 1.2: 1;1 1;śrīmanmahāgaṇādhipataye namaḥ |;
MuA zu RHT, 1, 1.2: 1;1 2;bhavabhayarakṣaṇadakṣaṁ natvā mugdhāvabodhinīṁ rasahṛdayasuprayuktāṁ ṭīkāmṛjubhāvagāmāptaḥ ||;
MuA zu RHT, 1, 1.2: 1;2 1;guṇavāridhikuralakule hariharamiśraḥ tatputro bhuvi mahito maheśa iti nāmavikhyātaḥ ||;
MuA zu RHT, 1, 1.2: 1;3 1;tadanvaye bhāratībhāvasaṁyutas tadātmajaḥ caturbhujo bhāvitabhāvamānasaḥ svalokajātasya |;
MuA zu RHT, 1, 1.2: 1;4 1;jyeṣṭho.bhūd bhuvi pārijātakataruḥ khaṇḍelavālānvaye tatputreṇa ca sāvareṇa patinā bandhasya dharmārthinā |;
MuA zu RHT, 1, 1.2: 1;5 1;iha śāstrārambhe ācāryaśrīmadgovindapādāḥ |;
MuA zu RHT, 1, 1.2: 1;6 1;maṅgalalakṣaṇaṁ yathā āśīr namaskriyā vastunirdeśo |;
MuA zu RHT, 1, 1.2: 1;7 1;vastunirdeśaḥ pañcadhā yathāsti bhāti priyaṁ rūpaṁ nāma |;
MuA zu RHT, 1, 1.2: 1;8 1;ādyaṁ trayaṁ brahmarūpaṁ śaktirūpaṁ tato dvayam iti ||;
MuA zu RHT, 1, 1.2: 1;9 1;sa haro jayati sarvotkarṣeṇa vartate ||;
MuA zu RHT, 1, 1.2: 1;10 1;akhilaṁ jagat paśyata iti vastunirdeśābjayaddraṣṭā ||;Śāṅkhāyanāraṇyaka ŚāĀr, 5, 3: 51 11;ityevaṁ hi paśyāma iti ||;!;;
MuA zu RHT, 1, 1.2: 1;11 1;tathā ca śrutiḥ apāṇipādo javano grahītā ||;

MuA zu RHT, 1, 1.2: 1;13 1;yasya hṛdayasyaiva rasarūpiṇī karuṇā ghṛṇā jātā |;
MuA zu RHT, 1, 1.2: 1;14 1;kiṁbhūtvā galitvā dravitvā galitasya sthānāccyutir iti |;
MuA zu RHT, 1, 1.2: 1;15 1;eṣā hṛdayasthaiva ||;Baudhāyanaśrautasūtra BaudhŚS, 3, 1: 4 2;eṣa eva veda etan mekṣaṇam etad barhiḥ ||;!;;
MuA zu RHT, 1, 1.2: 1;16 1;evāvyayam anyasthānaniṣedhavāci ||;Mugdhāvabodhinī MuA zu RHT, 14, 14.2: 223 7;evāvyayamanyaniṣedhavāci ||;!;;
MuA zu RHT, 1, 1.2: 1;17 1;rasarūpiṇīti rasaḥ pāradastatsvarūpaṁ yasyāḥ sā ||;
MuA zu RHT, 1, 1.2: 1;18 1;tathā ca vākyam |;
MuA zu RHT, 1, 1.2: 1;18 2;raso jalaṁ raso harṣo rasaḥ śṛṅgārapūrvakaḥ |;
MuA zu RHT, 1, 1.2: 1;18 3;svādvādiṣu ca niryāse pārade.pi raso viṣe |;
MuA zu RHT, 1, 1.2: 1;18 4;ityanekārthaḥ ||;
MuA zu RHT, 1, 1.2: 1;19 1;sāmānyatastadrūpaṁ dravatvaṁ viśeṣato rasarūpaṁ |;

MuA zu RHT, 1, 1.2: 1;21 1;kiṁbhūtasya harasya dainyagadākulaṁ jagat saṁsāraṁ |;
MuA zu RHT, 1, 1.2: 1;22 1;akhilamiti sarvavyāpipadam ||;
MuA zu RHT, 1, 1.2: 1;23 1;yathā mañjaryā |;
MuA zu RHT, 1, 1.2: 1;23 2;yasya rogasya yo yogastenaiva saha dāpayet |;
MuA zu RHT, 1, 1.2: 1;23 3;rasendro haro rogānnarakuñjaravājinām ||;
MuA zu RHT, 1, 1.2: 1;24 1;iti ||;
MuA zu RHT, 1, 1.2: 1;25 1;anyanmataṁ ca |;
MuA zu RHT, 1, 1.2: 1;25 2;rasabhasma vinā tatra kathyate saṁhitākramaḥ |;
MuA zu RHT, 1, 1.2: 1;25 3;anuktamapi vijñeyaṁ tatra tatrāṅgaśāntaye ||;
MuA zu RHT, 1, 1.2: 1;26 1;iti ||;
MuA zu RHT, 1, 2.2: 2;1 1;pītetyādi ||;
MuA zu RHT, 1, 2.2: 2;2 1;anena padyena kavirharajasya hareśca samatvaṁ sūcayati |;
MuA zu RHT, 1, 2.2: 2;3 1;sa purāṇakavivarṇito harajo jayati sarvotkarṣeṇa vartate |;
MuA zu RHT, 1, 2.2: 2;4 1;sa utprekṣyate haririva viṣṇur iva ||;
MuA zu RHT, 1, 2.2: 2;5 1;kiṁbhūto hariḥ pītāmbaraḥ pīte ambare vastre yasya saḥ |;
MuA zu RHT, 1, 2.2: 2;6 1;punaḥ kimbhūto balijit baliṁ balināmānaṁ daityaviśeṣaṁ |;
MuA zu RHT, 1, 2.2: 2;7 1;punaḥ kiṁbhūtaḥ nāgakṣayetyādi nāgānāṁ śeṣādīnāṁ |;
MuA zu RHT, 1, 2.2: 2;8 1;punaḥ kiṁviśiṣṭaḥ vidalitetyādiḥ viśeṣaṇena dalito dūrīkṛto |;
MuA zu RHT, 1, 2.2: 2;9 1;adhunā harajaṁ viśeṣayati kiṁviśiṣṭaḥ pītāmbaraḥ |;
MuA zu RHT, 1, 2.2: 2;10 1;kathaṁ yuktaḥ tamarthe spaṣṭayatyanena sūtarājenāpi |;
MuA zu RHT, 1, 2.2: 2;11 1;rasaratnākare yathā |;
MuA zu RHT, 1, 2.2: 2;11 2;śvetāruṇaharidrābhakṛṣṇā viprādipāradāḥ iti ||;
MuA zu RHT, 1, 2.2: 2;12 1;brāhmaṇakṣatriyavaiśyaśūdrāḥ |;

MuA zu RHT, 1, 2.2: 2;14 1;antaḥ svarūpaṁ bahirvāsāṁsīti kiṁvadantī ||;
MuA zu RHT, 1, 2.2: 2;15 1;atheti samuccaye prasādaḥ ||;Mugdhāvabodhinī MuA zu RHT, 4, 10.2: 74 2;atheti samuccaye ||;!;;
MuA zu RHT, 1, 2.2: 2;16 1;atheti |;
MuA zu RHT, 1, 2.2: 2;17 1;punaḥ kiṁviśiṣṭaḥ balijit balīn jayatīti baliścarma jarākṛtam |;
MuA zu RHT, 1, 2.2: 2;18 1;ityanekārthaḥ ||;
MuA zu RHT, 1, 2.2: 2;19 1;punaḥ kiṁviśiṣṭaḥ nāgakṣayetyādi nā puṁsvarūpaḥ punaḥ |;
MuA zu RHT, 1, 2.2: 2;20 1;kiṁ pāradaḥ pakṣanāśe sati ākāśagamanaṁ dadātīti |;
MuA zu RHT, 1, 2.2: 2;21 1;rasaratnākare yathā |;
