"от 700 до 1200"	au	1=0.04%	"от 700 до 1200"	a	1690=68.76%	"от 700 до 1200"	ā	156=6.35%	"от 700 до 1200"	i	178=7.24%	"от 700 до 1200"	ī	68=2.77%	"от 700 до 1200"	u	84=3.42%	"от 700 до 1200"	ū	3=0.12%	"от 700 до 1200"	o	1=0.04%	"от 700 до 1200"	ṛ	20=0.81%	"от 700 до 1200"	j	10=0.41%	"от 700 до 1200"	c	8=0.33%	"от 700 до 1200"	dh	2=0.08%	"от 700 до 1200"	t	36=1.46%	"от 700 до 1200"	d	10=0.41%	"от 700 до 1200"	n	115=4.68%	"от 700 до 1200"	p	1=0.04%	"от 700 до 1200"	r	5=0.20%	"от 700 до 1200"	v	1=0.04%	"от 700 до 1200"	ṣ	6=0.24%	"от 700 до 1200"	ś	4=0.16%	"от 700 до 1200"	s	56=2.28%	"от 700 до 1200"	h	1=0.04%
Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank
nau	f	0,00801	deva	m	0,73651	tā	f	0,12434	ādi	m	0,42179	śrī	f	0,31272	viṣṇu	m	0,20915	bhū	f	0,08431	go	mf	0,10883	pitṛ	m	0,23166	bhāj	adj	0,01851	vāc	f	0,07981	kṣudh	f	0,01476	mahat	adj	0,57215	vid	adj	0,06505	ātman	m	0,52311	ap	m	0,06530	catur	nr	0,09056	div	m	0,04178	ṣaṣ	adj	0,04278	diś	f	0,07880	namas	n	0,21590	upānah	f	0,00525
			loka	m	0,43655	māyā	f	0,11158	muni	m	0,31597	devī	f	0,18113	prabhu	m	0,11258	bhrū	f	0,01851				mātṛ	f	0,08431	sraj	f	0,01451	prāñc	adj	0,02101	samidh	f	0,00675	bhagavant	m	0,28945	hṛd	n	0,04453	brahman	m	0,35500				ahar	n	0,04353				dviṣ	adj	0,00751	dṛś	f	0,02101	tapas	n	0,21465			
			artha	mn	0,36500	narmadā	f	0,10983	ṛṣi	m	0,18663	strī	f	0,13434	guru	m	0,11183	vadhū	f	0,01651				bhartṛ	m	0,05804	virāj	mf	0,00951	ṛc	f	0,01951				jagant	n	0,16512	suhṛd	m	0,03227	rājan	m	0,30972				gir	f	0,02502				ruṣ	f	0,00751	viś	f	0,01026	manas	n	0,19163			
			sva	adj	0,34149	saṁhitā	f	0,09106	tri	nr	0,18413	nadī	f	0,05554	bahu	adj	0,10933							nṛ	m	0,05154	vaṇij	m	0,00876	tvac	f	0,01501				bhavat	adj	0,13509	āpad	f	0,01826	karman	n	0,26268				dvār	f	0,00951				viṣ	f	0,00650	niś	f	0,00901	tejas	n	0,11908			
			tīrtha	mn	0,29345	prajā	f	0,08081	bhakti	f	0,17837	pṛthivī	f	0,04578	vāyu	m	0,07630							bhrātṛ	m	0,02952	viśvasṛj	m	0,00801	tiryañc	adj	0,01151				bhagavat	adj	0,08831	sampad	f	0,01776	brahman	n	0,13635				pur	f	0,00550				vidviṣ	adj	0,00625				puṁs	m	0,07981			
			dharma	mn	0,28195	vidyā	f	0,07380	agni	m	0,16737	dhī	f	0,04528	vibhu	adj	0,07455							duhitṛ	f	0,02652	ṛtvij	m	0,00776	ruc	f	0,00650				sat	adj	0,06029	mṛd	f	0,01601	nāman	n	0,10257										tṛṣ	f	0,00550				śiras	n	0,07455			
			putra	m	0,26493	kanyā	f	0,07005	hari	m	0,14460	patnī	f	0,04378	hetu	m	0,06354							kartṛ	m	0,02227	bhuj	adj	0,00675	udañc	adj	0,00650				dhīmat	adj	0,04428	śarad	f	0,01301	yogin	m	0,09532																tamas	n	0,07305			
			rudra	m	0,24742	kriyā	f	0,06905	gati	f	0,12083	nārī	f	0,04103	śambhu	m	0,05779							dhātṛ	m	0,01676	asṛj	n	0,00550	śuc	f	0,00550				asat	adj	0,04128	mud	f	0,01301	janman	n	0,08856																cetas	n	0,05104			
			kāla	m	0,24692	devatā	f	0,06705	pati	m	0,11033	lakṣmī	f	0,03427	mṛtyu	m	0,05654							kartṛ	adj	0,01576	rāj	m	0,00525							sarit	f	0,03577	pad	m	0,00951	pañcan	adj	0,08756																vacas	n	0,05054			
