"от -800 до -300"	au	1=0.06%	"от -800 до -300"	ai	1=0.06%	"от -800 до -300"	a	1027=60.13%	"от -800 до -300"	ā	84=4.92%	"от -800 до -300"	i	139=8.14%	"от -800 до -300"	ī	38=2.22%	"от -800 до -300"	u	83=4.86%	"от -800 до -300"	ū	5=0.29%	"от -800 до -300"	o	1=0.06%	"от -800 до -300"	ṛ	18=1.05%	"от -800 до -300"	j	8=0.47%	"от -800 до -300"	c	9=0.53%	"от -800 до -300"	dh	5=0.29%	"от -800 до -300"	t	55=3.22%	"от -800 до -300"	d	9=0.53%	"от -800 до -300"	n	106=6.21%	"от -800 до -300"	bh	1=0.06%	"от -800 до -300"	p	1=0.06%	"от -800 до -300"	m	1=0.06%	"от -800 до -300"	r	7=0.41%	"от -800 до -300"	v	2=0.12%	"от -800 до -300"	ṣ	5=0.29%	"от -800 до -300"	ś	4=0.23%	"от -800 до -300"	s	93=5.44%	"от -800 до -300"	h	3=0.18%
Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank
nau	f	0,02296	rai	m	0,08292	indra	m	0,99982	sītā	f	0,24940	agni	m	0,66622	pṛthivī	f	0,14862	bahu	adj	0,15212	tanū	f	0,06474	go	mf	0,22548	pitṛ	m	0,25737	ūrj	f	0,02328	vāc	f	0,09440	yudh	f	0,04274	mahat	adj	1,03458	vid	adj	0,05007	rājan	m	0,46722	śubh	f	0,00893	ap	m	0,18880	śam	n	0,01690	gir	f	0,11704	div	m	0,32657	iṣ	f	0,07527	diś	f	0,07558	manas	n	0,18210	mah	adj	0,09982
						rāma	m	0,78263	laṅkā	f	0,10237	hari	m	0,22643	vaidehī	f	0,11067	bāhu	mf	0,15085	bhū	f	0,04784				bhrātṛ	m	0,17254	yuj	m	0,02264	arvāñc	adj	0,01626	samidh	f	0,01850	marut	m	0,14607	suhṛd	m	0,03476	ātman	m	0,23377										catur	nr	0,05390	pradiv	adj	0,00957	ṣaṣ	adj	0,01563	viś	f	0,06793	rakṣas	n	0,17509	adruh	adj	0,01021
						deva	m	0,73734	bhāryā	f	0,06889	ṛṣi	m	0,18465	devī	f	0,10333	indu	m	0,10588	camū	f	0,02902				nṛ	m	0,15340	ṛtvij	m	0,01658	prāñc	adj	0,01499	ṛtāvṛdh	adj	0,01148	hanumant	m	0,14256	hṛd	n	0,03381	mahātman	adj	0,18370										ahar	n	0,05007				dviṣ	mf	0,01244	saṁdṛś	f	0,01116	tejas	n	0,16839	puruspṛh	adj	0,00797
						rākṣasa	m	0,39865	prabhā	f	0,05709	pati	m	0,14894	dhī	f	0,09153	puru	adj	0,10301	vadhū	f	0,00957				mātṛ	f	0,13395	yuj	adj	0,01276	pratyañc	adj	0,01467	kṣudh	f	0,00893	bṛhat	adj	0,11258	vid	adj	0,02041	karman	n	0,16775										pur	f	0,02519				dviṣ	adj	0,01052	pradiś	f	0,00829	vacas	n	0,15053			
						soma	m	0,35974	dhārā	f	0,05326	tri	nr	0,14192	strī	f	0,08419	śatru	m	0,09408	sarayū	f	0,00893				hotṛ	m	0,09695	samrāj	m	0,01180	tvac	f	0,01339	mṛdh	f	0,00861	bhavat	adj	0,08005	pad	m	0,01786	aśvin	m	0,14064										dvār	f	0,02009				pṛkṣ	f	0,00829				uṣas	f	0,10875			
						rāghava	m	0,33040	prajā	f	0,05198	muni	m	0,13650	nadī	f	0,07399	vāyu	m	0,09376							bhartṛ	m	0,08069	nirṇij	f	0,01148	ṛc	f	0,01116				śrīmat	adj	0,06251	śarad	f	0,01563	vṛṣan	m	0,11098										dhur	f	0,01403										tapas	n	0,10652			
						ratha	m	0,31541	māyā	f	0,04911	kapi	m	0,12757	maithilī	f	0,06857	madhu	n	0,09249							savitṛ	m	0,06059	sraj	f	0,00989	sruc	f	0,01021				bhagavat	adj	0,04242	samad	f	0,01499	brahman	n	0,10780										āśir	f	0,00893										sahas	n	0,08898			
						lakṣmaṇa	m	0,30903	ayodhyā	f	0,04465	ūti	f	0,10748	śrī	f	0,06793	vasu	n	0,09057							jaritṛ	m	0,03923	uśij	adj	0,00797	viṣvañc	adj	0,01021				vīryavat	adj	0,04242	mud	f	0,01052	brahman	m	0,08802																						ojas	n	0,08579			
						bala	mn	0,30744	kausalyā	f	0,04433	giri	m	0,10620	purī	f	0,06219	kratu	m	0,08962							duhitṛ	f	0,02966				ruc	f	0,00734				dhīmat	adj	0,03476	nid	f	0,00925	pathin	m	0,08356																						namas	n	0,06984			
