"Объединенное ядро"	au	1=0.02%	"Объединенное ядро"	ai	1=0.02%	"Объединенное ядро"	a	4031=65.10%	"Объединенное ядро"	ā	522=8.43%	"Объединенное ядро"	i	411=6.64%	"Объединенное ядро"	ī	315=5.09%	"Объединенное ядро"	u	194=3.13%	"Объединенное ядро"	ū	13=0.21%	"Объединенное ядро"	o	1=0.02%	"Объединенное ядро"	ṛ	45=0.73%	"Объединенное ядро"	k	1=0.02%	"Объединенное ядро"	j	22=0.36%	"Объединенное ядро"	c	16=0.26%	"Объединенное ядро"	dh	8=0.13%	"Объединенное ядро"	t	114=1.84%	"Объединенное ядро"	d	29=0.47%	"Объединенное ядро"	n	278=4.49%	"Объединенное ядро"	bh	3=0.05%	"Объединенное ядро"	p	1=0.02%	"Объединенное ядро"	m	2=0.03%	"Объединенное ядро"	r	8=0.13%	"Объединенное ядро"	v	2=0.03%	"Объединенное ядро"	ṣ	11=0.18%	"Объединенное ядро"	ś	10=0.16%	"Объединенное ядро"	s	146=2.36%	"Объединенное ядро"	h	7=0.11%
Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank
nau	f	0,00912112007354503	rai	m	0,00933114586471219	deva	m	0,451555451009384	tā	f	0,15853946864675	ādi	m	0,426142330278158	śrī	f	0,115124137244054	bahu	adj	0,14005719902404	bhū	f	0,0640278626215299	go	mf	0,129585913150135	pitṛ	m	0,182362394101996	dhṛk	adj	0,00126015474700293	bhiṣaj	m	0,0234928849262689	vāc	f	0,093851524967266	yudh	f	0,0235828959796263	mahat	adj	0,748801952879814	vid	adj	0,0529264993741231	rājan	m	0,512522937816764	triṣṭubh	f	0,00462056740567742	ap	m	0,0774995169406803	śam	n	0,00438053793005781	catur	nr	0,095381712874341	div	m	0,0762693658781298	ṣaṣ	adj	0,0631577557724089	diś	f	0,0715287837346426	manas	n	0,165860367653148	mah	adj	0,011251381669669
						artha	mn	0,376426225140447	prajā	f	0,0665781757999882	agni	m	0,290705698659795	strī	f	0,112123768798808	guru	m	0,100032283964471	vadhū	f	0,0126315511544818				mātṛ	f	0,0766294100915592				ruj	mf	0,0188723175205915	tvac	f	0,0347742702803904	kṣudh	f	0,0123315143099573	bhagavant	m	0,134656535822599	hṛd	n	0,0385247308369468	ātman	m	0,334451070591469	anuṣṭubh	f	0,00393048266327105				kṣam	f	0,000690084742406367	ahar	n	0,0677183158091814	pradiv	adj	0,000960117902478424	viṣ	f	0,010051234291571	viś	f	0,0334841118489351	tapas	n	0,131716174746259	upānah	f	0,00276033896962547
						dharma	mn	0,346062496474567	kriyā	f	0,0588072215268035	tri	nr	0,202524870054043	devī	f	0,0977520039460846	viṣṇu	m	0,0845803864714587	tanū	f	0,0120314774654328				bhrātṛ	m	0,0694285258229711				vaṇij	m	0,0137416874792224	prāñc	adj	0,0220527080725513	samidh	f	0,0098112048159514	bhavat	adj	0,0979020223683468	suhṛd	m	0,0305137470881424	karman	n	0,258781778402388	śubh	f	0,000960117902478424							gir	f	0,0257731649446552				iṣ	f	0,00882108322902052	dṛś	f	0,0126615548389342	namas	n	0,114434052501647	anaḍuh	m	0,00267032791626812
						putra	m	0,305317492988139	kanyā	f	0,0555968272903913	ṛṣi	m	0,141437368508853	pṛthivī	f	0,0748291890244122	bāhu	mf	0,0831402096177411	kaṇḍū	f	0,0118814590431705				bhartṛ	m	0,0459656445811546				bhāj	adj	0,0120014737809803	ṛc	f	0,0159619601287038	vīrudh	f	0,00459056372122497	bhagavat	adj	0,0921413149534763	mṛd	f	0,0253231096778684	brahman	m	0,150228448053421										dvār	f	0,00750092111311269				tṛṣ	f	0,0078609653265421	niś	f	0,0117614443053607	tejas	n	0,104172792418909	snuh	f	0,00159019527597989
						loka	m	0,294756196060876	vidyā	f	0,0533765546409099	muni	m	0,132046215275236	nadī	f	0,0434453350871487	vāyu	m	0,0765393990382019	camū	f	0,0106813116650725				nṛ	m	0,0452155524698433				asṛj	n	0,011911462727623	tiryañc	adj	0,0121514922032426	ṛtāvṛdh	adj	0,00135016580036028	jagant	n	0,0655280468441525	nud	adj	0,0157219306530842	pañcan	adj	0,111523695109759										pur	f	0,00480058951239212				dviṣ	adj	0,00624076636610976	tādṛś	adj	0,00504061898801173	śiras	n	0,0796597822212568	druh	f	0,00102012527138333
						tva	n	0,287975363374622	devatā	f	0,0507362304090942	dvi	nr	0,113533941968074	mahī	f	0,0304537397192375	hetu	m	0,0724588979526686	bhrū	f	0,0105612969272627				duhitṛ	f	0,0252631023089635				ṛtvij	m	0,0102612600827382	udañc	adj	0,00906111270464013	krudh	f	0,00129015843145538	sat	adj	0,0467157366924658	āpad	f	0,0138917059014847	saptan	adj	0,0984420886884909										dhur	f	0,00333040897422203				prāvṛṣ	f	0,00435053424560536	pradiś	f	0,00333040897422203	vacas	n	0,0654680394752476	adruh	adj	0,000990121586930875
						rasa	mn	0,28047444226151	bhāryā	f	0,04872598355078	pati	m	0,102822626618549	patnī	f	0,0278434191718743	madhu	n	0,0656480615819623	śvaśrū	f	0,00252030949400586				savitṛ	m	0,0179422033025656				sraj	f	0,00957117534033179	pratyañc	adj	0,00765093953537494	mṛdh	f	0,00105012895583578	kṛt	adj	0,0447654972030565	saṁvid	f	0,0132616285279832	mahātman	adj	0,0919012854778567										vār	n	0,00117014369364558				ruṣ	f	0,00312038318305488	īdṛś	adj	0,00246030212510096	āyus	n	0,0486659761818751	puruspṛh	adj	0,00078009579576372
						indra	m	0,253591140992114	māyā	f	0,0475858435415869	buddhi	f	0,0869806812276548	nārī	f	0,0276333933807072	kuru	m	0,0584171736289216	varṣābhū	f	0,00231028370283871				hotṛ	m	0,0171621075068018				bhuj	adj	0,00540066320144114	arvāñc	adj	0,00372045687210389	sridh	f	0,000570070004596564	dhīmat	adj	0,0313238465683586	śarad	f	0,0123915216788622	daśan	adj	0,0886008801880871										āśir	f	0,00102012527138333				vidviṣ	adj	0,00159019527597989	saṁdṛś	f	0,00132016211590783	dhanus	n	0,0475558398571345			
						sva	adj	0,241319634051061	ākhyā	f	0,0471657919592526	vidhi	m	0,0848504196315307	dhī	f	0,02742336758954	paśu	m	0,0579971220465873	nimbū	f	0,00210025791167155				kartṛ	adj	0,0171621075068018				ūrj	f	0,00501061530355928	parāñc	adj	0,00333040897422203				marut	m	0,0292835960255919	sampad	f	0,012181495887695	brahman	n	0,0841903385735768																juṣ	adj	0,00132016211590783	puroḍāś	m	0,00114014000919313	cakṣus	n	0,0435353461405061			
