"Пересечение всех ядер"	a	"Пересечение всех ядер"	ā	"Пересечение всех ядер"	i	"Пересечение всех ядер"	ī	"Пересечение всех ядер"	u	"Пересечение всех ядер"	ū	"Пересечение всех ядер"	o	"Пересечение всех ядер"	ṛ	"Пересечение всех ядер"	c	"Пересечение всех ядер"	t	"Пересечение всех ядер"	d	"Пересечение всех ядер"	n	"Пересечение всех ядер"	p	"Пересечение всех ядер"	r	"Пересечение всех ядер"	ṣ	"Пересечение всех ядер"	ś	"Пересечение всех ядер"	s
Lemma	Type	Lemma	Type	Lemma	Type	Lemma	Type	Lemma	Type	Lemma	Type	Lemma	Type	Lemma	Type	Lemma	Type	Lemma	Type	Lemma	Type	Lemma	Type	Lemma	Type	Lemma	Type	Lemma	Type	Lemma	Type	Lemma	Type
rūpa	n	tā	f	agni	m	devī	f	bahu	adj	bhū	f	go	mf	pitṛ	m	vāc	f	mahat	adj	vid	adj	karman	n	ap	m	catur	nr	ṣaṣ	adj	diś	f	manas	n
sva	adj	kanyā	f	tri	nr	śrī	f	vāyu	m	vadhū	f			mātṛ	f	tvac	f	kṛt	adj	hṛd	n	ātman	m			ahar	n					tejas	n
tva	n	devatā	f	dvi	nr	strī	f	mṛtyu	m					nṛ	m	prāñc	adj	sat	adj			rājan	m									śiras	n
deva	m	vidyā	f	bhūmi	f	pṛthivī	f	viṣṇu	m									jagant	n			brahman	m									namas	n
artha	mn	māyā	f	ādi	m	nadī	f	madhu	n									bhagavat	adj			saptan	adj									āyus	n
śata	mn	jihvā	f	pati	m	nārī	f	paśu	m									marut	m			pañcan	adj									rajas	n
bala	mn	chāyā	f	hari	m	dhī	f	bāhu	mf													nāman	n									puṁs	m
loka	m	dakṣiṇā	f	śakti	f	patnī	f	śatru	m													daśan	adj									vacas	n
sahasra	mn	dhārā	f	ṛṣi	m	mahī	f	manu	m													brahman	n									tapas	n
uttama	adj	śākhā	f	giri	m	sarasvatī	f	dhātu	mn													aṣṭan	adj									vapus	n
kāma	m			rātri	f			tanu	f													janman	n									cakṣus	n
anta	m			vahni	m			vasu	mn													mūrdhan	m									tamas	n
indra	m			maṇi	m			sādhu	adj													dvādaśan	adj									payas	n
mukha	n			yoni	mf			ṛtu	m													navan	adj									vāsas	n
puruṣa	m			śuci	adj			ūru	mf													han	adj									jyotis	n
jana	m			mati	f			jantu	m													adhvan	m									dhanus	n
madhya	n			pāṇi	m			cāru	adj													yuvan	m									cetas	n
priya	adj			bali	m																	carman	n									vayas	n
bhūta	mn			kṣiti	f																	aśman	mn									vidvas	adj
parama	adj			oṣadhi	mf																											vakṣas	n
divya	adj			kavi	m																												
varṇa	mn			raśmi	mf																												
putra	m			adri	m																												
pāda	m			ṣaṣṭi	f																												
phala	n			bhūri	adj																												
hasta	mn			viṁśati	f																												
kāla	m			nidhi	m																												
vīrya	n																																
nara	m																																
sūrya	m																																
aṅga	n																																
pada	mn																																
mantra	mn																																
prāṇa	m																																
mūla	mn																																
agra	n																																
rasa	mn																																
ratna	mn																																
varṣa	mn																																
uttara	adj																																
gṛha	mn																																
gaṇa	m																																
dharma	mn																																
brāhmaṇa	m																																
śarīra	n																																
anna	n																																
vajra	mn																																
maya	adj																																
vana	n																																
yoga	m																																
vipra	m																																
bhāga	m																																
garbha	m																																
śreṣṭha	adj																																
kṣaya	m																																
rudra	m																																
ja	adj																																
śabda	m																																
dakṣiṇa	adj																																
dhana	n																																
deśa	m																																
satya	n																																
hṛdaya	n																																
gandha	mn																																
vara	adj																																
puṣpa	n																																
amṛta	n																																
arka	m																																
māsa	mn																																
bhaya	n																																
indriya	n																																
vāta	m																																
cakra	n																																
vṛkṣa	m																																
aśva	m																																
sthāna	n																																
prathama	adj																																
kula	n																																
candra	m																																
dāna	n																																
vīra	m																																
suta	m																																
dīrgha	adj																																
mada	m																																
veda	m																																
pakṣa	m																																
māṁsa	n																																
daṇḍa	mn																																
viṣa	n																																
antara	adj																																
udaka	n																																
vastra	mn																																
pāpa	n																																
dvitīya	adj																																
karṇa	m																																
jña	adj																																
kṛṣṇa	adj																																
ghṛta	n																																
mṛga	m																																
ardha	mn																																
vaśa	m																																
soma	m																																
pātra	n																																
citta	n																																
asura	m																																
ga	adj																																
śeṣa	mn																																
nitya	adj																																
citra	adj																																
upama	adj																																
pṛṣṭha	n																																
puṇya	adj																																
ghora	adj																																
śara	m																																
dṛḍha	adj																																
yama	m																																
bhojana	n																																
parvata	mn																																
graha	mn																																
ubhaya	adj																																
vadha	m																																
svarga	m																																
ākāśa	mn																																
dvāra	n																																
tṛtīya	adj																																
samudra	m																																
yuga	mn																																
aṁśa	m																																
salila	n																																
kṣatriya	m																																
vaṁśa	m																																
kṣetra	mn																																
śveta	adj																																
ānanda	m																																
nīla	adj																																
ūrdhva	adj																																
satya	adj																																
ācārya	m																																
keśa	m																																
rājya	n																																
aha	mn																																
abhra	mn																																
udara	n																																
śastra	n																																
vāma	adj																																
nava	adj																																
tīvra	adj																																
pāna	n																																
jaya	m																																
rātra	mn																																
āsya	n																																
martya	m																																
grāma	mn																																
manuṣya	m																																
śoka	m																																
madhyama	adj																																
samāna	adj																																
śakra	m																																
sthira	adj																																
śṛṅga	n																																
sarpa	m																																
dhūma	mn																																
kha	n																																
dhīra	adj																																
kumbha	m																																
yojana	fn																																
akṣara	n																																
kevala	adj																																
haṁsa	m																																
tṛṇa	n																																
nakṣatra	mn																																
varuṇa	m																																
pāvaka	m																																
śukla	adj																																
pāśa	m																																
svara	m																																
saṁvatsara	mn																																
vaiśya	m																																
nakha	mn																																
svapna	mn																																
adbhuta	adj																																
saumya	adj																																
śaraṇa	n																																
mānuṣa	adj																																
adhama	adj																																
andha	adj																																
śubhra	adj																																
śloka	m																																
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
