"от -300 до 200"	au	1=0.06%	"от -300 до 200"	a	1180=69.45%	"от -300 до 200"	ā	90=5.30%	"от -300 до 200"	i	117=6.89%	"от -300 до 200"	ī	43=2.53%	"от -300 до 200"	u	57=3.35%	"от -300 до 200"	ū	3=0.18%	"от -300 до 200"	o	1=0.06%	"от -300 до 200"	ṛ	16=0.94%	"от -300 до 200"	j	3=0.18%	"от -300 до 200"	c	4=0.24%	"от -300 до 200"	dh	2=0.12%	"от -300 до 200"	t	36=2.12%	"от -300 до 200"	d	8=0.47%	"от -300 до 200"	n	86=5.06%	"от -300 до 200"	p	1=0.06%	"от -300 до 200"	r	3=0.18%	"от -300 до 200"	v	1=0.06%	"от -300 до 200"	ṣ	1=0.06%	"от -300 до 200"	ś	3=0.18%	"от -300 до 200"	s	42=2.47%
Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank
			kāma	m	0,19817	sutā	f	0,02601	kapi	m	0,04199	kaikeyī	f	0,01663	paśu	m	0,02286																			arhant	m	0,01672				janman	n	0,03140																vapus	n	0,02063
			raṇa	m	0,19362	śilā	f	0,02499	drauṇi	m	0,03986	bhāminī	f	0,01477	bhṛgu	m	0,02230																			marut	m	0,01570				śikhaṇḍin	m	0,03047																uras	n	0,02016
			bhīṣma	m	0,18665	pūjā	f	0,02499	sārathi	m	0,03865	lakṣmī	f	0,01375	bandhu	m	0,02165																			etāvat	adj	0,01347				aṣṭan	adj	0,02973																saras	n	0,02016
			yuddha	n	0,18470	jarā	f	0,02128	ari	m	0,03856	putrī	f	0,01264	aśru	mn	0,02128																			ātmavat	adj	0,01282				pakṣin	m	0,02936																namas	n	0,01719
			rākṣasa	m	0,18219	cintā	f	0,02100	rātri	f	0,03651	rajanī	f	0,01217	mṛdu	adj	0,02016																			yoṣit	f	0,01273				arthin	adj	0,02834																jyotis	n	0,01626
			parama	adj	0,18117	vasudhā	f	0,02035	vṛtti	f	0,03530	damayantī	f	0,01208	cāru	adj	0,01923																			guṇavat	adj	0,01152				tapasvin	m	0,02536																vayas	n	0,01570
			ṛṣabha	m	0,18015	pratijñā	f	0,01932	prakṛti	f	0,03530	bhaginī	f	0,01180	abhimanyu	m	0,01923																			bṛhat	adj	0,01087				hastin	m	0,02527																ambhas	n	0,01505
			bhārata	m	0,17699	gāthā	f	0,01719	siddhi	f	0,03465	bherī	f	0,01171	dhātu	mn	0,01663																			indrajit	m	0,00966				veśman	n	0,02462																divaukas	m	0,01468
			rūpa	n	0,17671	patākā	f	0,01626	maṇi	m	0,03419	dāsī	f	0,01124	laghu	adj	0,01626																			matimat	adj	0,00845				dvādaśan	adj	0,02453																śreyas	adj	0,01459
			pārtha	m	0,17652	prajñāpāramitā	f	0,01579	mahīpati	m	0,03410	śrāvastī	f	0,01003	meru	m	0,01617																			prītimat	adj	0,00836				mantrin	m	0,02416																havis	n	0,01403
			karṇa	m	0,17327	jyā	f	0,01570	dyuti	f	0,03354	sāvitrī	f	0,00994	śatakratu	m	0,01617																			prasenajit	m	0,00808				durātman	adj	0,02378																nabhas	n	0,01384
			vākya	n	0,17197	kṣamā	f	0,01533	śakuni	m	0,03261	jananī	f	0,00976	ūru	mf	0,01607																			yāvat	adj	0,00790				vālin	m	0,02276																varcas	n	0,01301
			bharata	m	0,17086	saṁdhyā	f	0,01496	jñāti	m	0,03047	hrī	f	0,00948	jantu	m	0,01579																			śastrabhṛt	m	0,00790				eṣin	adj	0,02267																taras	n	0,01245
			bhūta	mn	0,16751	ayodhyā	f	0,01496	vṛṣṇi	m	0,02973	satyavatī	f	0,00910	madhu	n	0,01514																			vegavat	adj	0,00753				cārin	adj	0,02248																candramas	m	0,01189
			uttama	adj	0,16593	kausalyā	f	0,01487	gṛhapati	m	0,02945	devayānī	f	0,00910	ṛtu	m	0,01496																			apaśyat	adj	0,00734				vāsin	adj	0,02183																aṅgiras	m	0,01152
			vara	adj	0,15748	niśā	f	0,01449	yoni	mf	0,02843	pāñcālī	f	0,00910	bhīru	adj	0,01468																			arthavat	adj	0,00715				kṛtavarman	m	0,02174																bhūriśravas	m	0,00994
			phala	n	0,15581	śākhā	f	0,01431	prajāpati	m	0,02787	akṣauhiṇī	f	0,00901	manu	m	0,01459																									prāṇin	m	0,02100																bhūyas	adj	0,00920
			vacana	n	0,15553	vasuṁdharā	f	0,01375	kīrti	f	0,02657	nagarī	f	0,00864	ikṣvāku	m	0,01431																									darśin	adj	0,02090																vakṣas	n	0,00883
			śreṣṭha	adj	0,15032	mālā	f	0,01375	bṛhaspati	m	0,02574	dhī	f	0,00808	svayambhu	m	0,01301																									savyasācin	m	0,02053																payas	n	0,00836
			droṇa	m	0,14967	latā	f	0,01347	asi	m	0,02546	tapasvinī	f	0,00780	āśu	adj	0,01273																									navan	adj	0,02044																balīyas	adj	0,00771
			sahasra	mn	0,14800	nidrā	f	0,01338	saumitri	m	0,02462	mahiṣī	f	0,00762	bībhatsu	m	0,01264																									varman	mn	0,01970																vanaukas	m	0,00743
			nṛpa	m	0,14698	ājñā	f	0,01319	diṣṭi	f	0,02406	varavarṇinī	f	0,00734	tanu	f	0,01180																									manīṣin	adj	0,01951																arcis	n	0,00734
			bhaya	n	0,14401	guhā	f	0,01319	rājarṣi	m	0,02378	urvī	f	0,00725	ketu	m	0,01171																									gāmin	adj	0,01812																		
			arjuna	m	0,14271	velā	f	0,01301	jāti	f	0,02323				vasu	n	0,01087																									marman	n	0,01775																		
			suta	m	0,14187	jihvā	f	0,01291	prāñjali	adj	0,02323				guru	adj	0,01059																									tejasvin	adj	0,01756																		
			guṇa	mn	0,14085	śraddhā	f	0,01273	dvijāti	m	0,02202				dasyu	m	0,01013																									aśvatthāman	m	0,01719																		
			śata	mn	0,14057	avasthā	f	0,01264	śānti	f	0,02174				śaṁtanu	m	0,00976																									carman	n	0,01700																		
			priya	adj	0,13695	tārā	f	0,01254	sakhi	m	0,02174				yadu	m	0,00901																									dhanvin	adj	0,01700																		
			duḥkha	n	0,13434	dhārā	f	0,01236	atithi	m	0,02155				jighāṁsu	adj	0,00864																									kirīṭin	m	0,01682																		
			jana	m	0,13137	ulkā	mf	0,01180	bali	m	0,02128				pṛthu	adj	0,00864																									adhvan	m	0,01672																		
			tva	n	0,12961	cetanā	f	0,01161	aśani	mf	0,02081				jiṣṇu	m	0,00818																									kārin	adj	0,01552																		
			ghora	adj	0,12877	pṛthā	f	0,01161	vṛṣṭi	f	0,01998				śiśu	m	0,00818																									aśvin	m	0,01477																		
			astra	mn	0,12282	prakhyā	f	0,01152	rati	f	0,01970				setu	m	0,00799																									śvan	m	0,01477																		
			aśva	m	0,11994	caryā	f	0,01133	koṭi	f	0,01895				ambu	n	0,00780																									dhārin	adj	0,01431																		
			rājya	n	0,11994	samā	f	0,01078	dhṛti	f	0,01886				jānu	mn	0,00780																									manasvin	adj	0,01403																		
			divya	adj	0,11901	yātrā	f	0,01078	bhakti	f	0,01877				gatāsu	adj	0,00780																									yuvan	m	0,01338																		
			duryodhana	m	0,11836	tvarā	f	0,01068	śruti	f	0,01867				pāṁsu	m	0,00771																									sukhin	adj	0,01319																		
			bāṇa	m	0,11437	aṅganā	f	0,01059	raśmi	mf	0,01867																															rūpin	adj	0,01254																		
			bhīma	m	0,11260	snuṣā	f	0,01059	kṣiti	f	0,01821																															loman	n	0,01236																		
			samara	mn	0,11214	ahiṁsā	f	0,01041	ṛddhi	f	0,01812																															mālin	adj	0,01199																		
			bhīmasena	m	0,10898	yadṛcchā	f	0,01022	adhipati	m	0,01784																															dehin	m	0,01189																		
			gaṇa	m	0,10861	pratimā	f	0,01003	añjali	m	0,01747																															nivāsin	adj	0,01143																		
			kula	n	0,10852	āśā	f	0,00994	svasti	fn	0,01737																															yogin	m	0,01143																		
			varṣa	mn	0,10805	kāmyā	f	0,00985	āji	mf	0,01719																															sādin	m	0,01133																		
			sukha	n	0,10777	rakṣā	f	0,00976	yayāti	m	0,01719																															mānin	adj	0,01133																		
			śubha	adj	0,10666	śikhā	f	0,00976	dṛṣṭi	f	0,01691																															tarasvin	adj	0,01133																		
			śakra	m	0,10601	saṁkhyā	f	0,00957	padāti	m	0,01682																															yodhin	adj	0,01124																		
			vaiśampāyana	m	0,10582	jaṭā	f	0,00929	durmati	adj	0,01579																															ghātin	adj	0,01041																		
			kṛṣṇa	m	0,10443	tṛṣṇā	f	0,00920	vahni	m	0,01542																															kāṅkṣin	adj	0,01022																		
			yajña	m	0,10424	mātā	f	0,00910	pṛthivīpati	m	0,01533																															aśman	mn	0,01003																		
			śoka	m	0,10378	janakātmajā	f	0,00910	pravṛtti	f	0,01412																															medhāvin	adj	0,01003																		
			satya	n	0,10359	śuśrūṣā	f	0,00910	vāri	n	0,01394																															caturdaśan	adj	0,00994																		
			śūra	m	0,10285	niṣṭhā	f	0,00855	cedi	m	0,01366																															śaśin	m	0,00948																		
			rāghava	m	0,09997	chāyā	f	0,00855	smṛti	f	0,01319																															antarātman	m	0,00938																		
			nāga	m	0,09932	ātmajā	f	0,00855	ṣaṣṭi	f	0,01301																															brahmacārin	m	0,00910																		
			saṁjaya	m	0,09913	pipāsā	f	0,00845	muṣṭi	mf	0,01291																															pattrin	m	0,00892																		
			lakṣmaṇa	m	0,09792	saṁdhā	f	0,00836	subhūti	m	0,01282																															gāṇḍīvadhanvan	m	0,00883																		
			vīrya	n	0,09746	yamunā	f	0,00808	vyādhi	m	0,01273																															viśvakarman	m	0,00883																		
			pārthiva	m	0,09700	maryādā	f	0,00799	kṛtāñjali	adj	0,01264																															sambandhin	adj	0,00855																		
			tāta	m	0,09700	śikṣā	f	0,00799	vṛddhi	f	0,01254																															roman	n	0,00845																		
			sainya	n	0,09616	pramadā	f	0,00790	mahāmati	adj	0,01236																															kāmarūpin	adj	0,00808																		
			vānara	m	0,09569	vedanā	f	0,00790	senāpati	m	0,01236																															dhanvan	n	0,00799																		
			rāvaṇa	m	0,09467	muktā	f	0,00790	brahmarṣi	m	0,01236																															sāman	n	0,00790																		
			sattama	adj	0,09374	śayyā	f	0,00780	bhūri	adj	0,01226																															āśin	adj	0,00743																		
			vipra	m	0,09337	vyathā	f	0,00762	dundubhi	mf	0,01208																															maghavan	m	0,00734																		
			darśana	n	0,09319	dayā	f	0,00753	saṁdhi	mf	0,01161																															kuśalin	adj	0,00725																		
			puṇya	adj	0,09263	ghaṇṭā	f	0,00753	ravi	m	0,01124																																																			
			dvija	m	0,09244	grīvā	f	0,00743	patti	m	0,01115																																																			
			krodha	m	0,09189	hiṁsā	f	0,00734	saṁnidhi	m	0,01087																																																			
			parvata	mn	0,09012	mṛgayā	f	0,00734	asthi	n	0,01087																																																			
			jña	adj	0,09003				samyaksambodhi	f	0,01087																																																			
			sahita	adj	0,08984				viṁśati	f	0,01068																																																			
			stha	adj	0,08845				kukṣi	mf	0,01050																																																			
			veda	m	0,08817				udadhi	m	0,01022																																																			
			dhṛtarāṣṭra	m	0,08715				bodhi	mf	0,01022																																																			
			vadha	m	0,08603				mātali	m	0,01013																																																			
			vega	m	0,08557				samādhi	m	0,00976																																																			
			śabda	m	0,08287				kali	m	0,00966																																																			
			kārya	n	0,08259				oṣadhi	mf	0,00966																																																			
			indriya	n	0,08036				upapatti	f	0,00966																																																			
			vrata	n	0,07953				durbuddhi	adj	0,00948																																																			
			dhanaṁjaya	m	0,07934				bhūti	f	0,00938																																																			
			mukha	n	0,07934				nikṛti	f	0,00929																																																			
			madhya	n	0,07916				nidhi	m	0,00910																																																			
			āśrama	mn	0,07888				kavi	m	0,00873																																																			
			gṛha	mn	0,07869				adri	m	0,00855																																																			
			anta	m	0,07860				śini	m	0,00855																																																			
			saṁśaya	m	0,07841				nīti	f	0,00836																																																			
