"Объединенное ядро"	au	1=0.01%	"Объединенное ядро"	ai	1=0.01%	"Объединенное ядро"	a	4031=53.53%	"Объединенное ядро"	ā	628=8.34%	"Объединенное ядро"	i	439=5.83%	"Объединенное ядро"	ī	348=4.62%	"Объединенное ядро"	u	218=2.89%	"Объединенное ядро"	ū	39=0.52%	"Объединенное ядро"	o	2=0.03%	"Объединенное ядро"	e	14=0.19%	"Объединенное ядро"	ṛ	125=1.66%	"Объединенное ядро"	kh	3=0.04%	"Объединенное ядро"	gh	1=0.01%	"Объединенное ядро"	k	4=0.05%	"Объединенное ядро"	g	2=0.03%	"Объединенное ядро"	ṭh	1=0.01%	"Объединенное ядро"	ṭ	6=0.08%	"Объединенное ядро"	ḍ	3=0.04%	"Объединенное ядро"	ṇ	3=0.04%	"Объединенное ядро"	ch	5=0.07%	"Объединенное ядро"	j	80=1.06%	"Объединенное ядро"	c	48=0.64%	"Объединенное ядро"	th	7=0.09%	"Объединенное ядро"	dh	54=0.72%	"Объединенное ядро"	t	142=1.89%	"Объединенное ядро"	d	94=1.25%	"Объединенное ядро"	n	314=4.17%	"Объединенное ядро"	bh	19=0.25%	"Объединенное ядро"	p	49=0.65%	"Объединенное ядро"	b	3=0.04%	"Объединенное ядро"	m	69=0.92%	"Объединенное ядро"	y	344=4.57%	"Объединенное ядро"	r	20=0.27%	"Объединенное ядро"	l	10=0.13%	"Объединенное ядро"	v	16=0.21%	"Объединенное ядро"	ṣ	89=1.18%	"Объединенное ядро"	ś	52=0.69%	"Объединенное ядро"	s	199=2.64%	"Объединенное ядро"	h	140=1.86%
Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank
nau	f	0,00912112007354503	rai	m	0,00933114586471219	deva	m	0,451555451009384	dā	v	0,296316387652404	ādi	m	0,426142330278158	śrī	f	0,115124137244054	śru	v	0,282694714910991	bhū	v	0,914452294741794	go	mf	0,129585913150135	upe	v	0,0446754861496992	kṛ	v	0,991411745362331	likh	v	0,0132616285279832	ślāgh	v	0,00495060793465438	śak	v	0,046325688794584	lag	v	0,00588072215268035	paṭh	v	0,0164120153954906	puṭ	v	0,0125415401011244	krīḍ	v	0,013111610105721	bhaṇ	v	0,00210025791167155	pracch	v	0,0730589716417176	yuj	v	0,154278945454502	vac	v	0,929154100123495	vyath	v	0,010051234291571	bandh	v	0,0663081426399162	mahat	adj	0,748801952879814	vid	v	0,186982961507673	rājan	m	0,512522937816764	labh	v	0,0931014328559547	prāp	v	0,15865948338456	ālamb	v	0,00366044950319899	gam	v	0,478228726487613	kathay	v	0,0998522618577561	catur	nr	0,095381712874341	jval	v	0,0221127154414562	div	m	0,0762693658781298	iṣ	v	0,125745441540221	dṛś	v	0,428812658194426	as	v	0,730649723786081	ah	v	0,179662062501275
						artha	mn	0,376426225140447	sthā	v	0,235648937689548	agni	m	0,290705698659795	strī	f	0,112123768798808	bahu	adj	0,14005719902404	brū	v	0,238469284028079	roro	v	0,000960117902478424	e	v	0,021632656490217	pitṛ	m	0,182362394101996	ālikh	v	0,00162019896043234				śaṅk	v	0,00729089532194554	mārg	v	0,00252030949400586				ceṣṭ	v	0,00510062635691663	īḍ	v	0,00648079584172936	prāṇ	v	0,00198024317386175	ṛch	v	0,0105913006117151	bhuj	v	0,0693085110851613	muc	v	0,0957717607722228	prath	v	0,00819100585551906	śudh	v	0,0630377410345991	bhagavant	m	0,134656535822599	vad	v	0,0908211528375684	ātman	m	0,334451070591469	ārabh	v	0,0244530028287474	ap	m	0,0774995169406803	avalamb	v	0,00282034633853037	āgam	v	0,113623953021431	pūjay	v	0,0889309207170641	car	v	0,0916612560022371	cal	v	0,013111610105721	jīv	v	0,056046882557178	ṣaṣ	adj	0,0631577557724089	paś	v	0,0917512670555944	manas	n	0,165860367653148	grah	v	0,129075850514443
						dharma	mn	0,346062496474567	tā	f	0,15853946864675	tri	nr	0,202524870054043	devī	f	0,0977520039460846	guru	m	0,100032283964471	bhū	f	0,0640278626215299				same	v	0,0172821222446116	smṛ	v	0,118934605169515	saṁlikh	v	0,000450055266786761				āśaṅk	v	0,0019502394894093							sphuṭ	v	0,0039604863477235	mṛḍ	v	0,00219026896502891	pṛṇ	v	0,00126015474700293	paripracch	v	0,00843103533113867	tyaj	v	0,0689184631872794	vāc	f	0,093851524967266	math	v	0,00750092111311269	sidh	v	0,053316547272005	bhavat	adj	0,0979020223683468	chid	v	0,0547567241257226	karman	n	0,258781778402388	upalabh	v	0,0157819380219891	kṣip	v	0,0713487616279279	cumb	v	0,00198024317386175	ram	v	0,0412250624376673	kāray	v	0,0456356040521776	ahar	n	0,0677183158091814	mil	v	0,00996122323821365	sev	v	0,0381346829390649	rakṣ	v	0,0488159946041374	diś	f	0,0715287837346426	tapas	n	0,131716174746259	labh	v	0,0931014328559547
						putra	m	0,305317492988139	yā	v	0,152328705965093	ṛṣi	m	0,141437368508853	pṛthivī	f	0,0748291890244122	viṣṇu	m	0,0845803864714587	pū	v	0,039604863477235				pre	v	0,0156619232841793	mātṛ	f	0,0766294100915592							dhṛk	adj	0,00126015474700293							ghaṭ	v	0,00288035370743527							mūrch	v	0,00498061161910683	yaj	v	0,0563169157172501	pravac	v	0,0926213739047155	pramath	v	0,00324039792086468	krudh	v	0,0459356408967021	bhagavat	adj	0,0921413149534763	bhid	v	0,054516694650103	jan	v	0,221337180205729	śubh	v	0,0141917427460092	tap	v	0,0485159577596129				dham	v	0,0344442297514135	dhāray	v	0,0435053424560536	ācar	v	0,0270633233761106	prajval	v	0,0059107258371328	av	v	0,0159619601287038	bhāṣ	v	0,0397548818994973	praviś	v	0,0677183158091814	namas	n	0,114434052501647	pracch	v	0,0730589716417176
						loka	m	0,294756196060876	jñā	v	0,136546767943103	muni	m	0,132046215275236	nī	v	0,0537365988543393	bāhu	mf	0,0831402096177411	sambhū	v	0,0327340197376238				abhye	v	0,00720088426858818	mṛ	v	0,0711687395212132																paryaṭ	v	0,00174021369824214							vāñch	v	0,00468057477458232	sṛj	v	0,0546967167568177	pac	v	0,0552367830769618	kvath	v	0,00261032054736322	vyadh	v	0,0457556187899874	pat	v	0,0832602243555509	vid	adj	0,0529264993741231	han	v	0,221187161783467	lubh	v	0,00813099848661416	āp	v	0,0470457772214428				prayam	v	0,028953555496615	bhāvay	v	0,0431753019270766	gir	f	0,0257731649446552	gal	v	0,00570070004596564	niṣev	v	0,0114014000919313	hṛṣ	v	0,0315338723595258	naś	v	0,0348342776492953	tejas	n	0,104172792418909	bandh	v	0,0663081426399162
						tva	n	0,287975363374622	pā	v	0,104622847685696	dvi	nr	0,113533941968074	nadī	f	0,0434453350871487	vāyu	m	0,0765393990382019	prasū	v	0,0138917059014847				ape	v	0,00651079952618181	bhrātṛ	m	0,0694285258229711																truṭ	v	0,00078009579576372										saṁyuj	v	0,0361244360807507	tvac	f	0,0347742702803904	kath	v	0,00159019527597989	vṛdh	v	0,037474601881111	vṛt	v	0,0677183158091814	hṛd	n	0,0385247308369468	brahman	m	0,150228448053421	saṁrabh	v	0,00750092111311269	avāp	v	0,0439854014072928				śam	v	0,0280834486474939	marday	v	0,0424852171846703	tvar	v	0,0148518238039631	phal	v	0,00351043108093674	dhāv	v	0,00933114586471219	piṣ	v	0,0296736439234738	viś	f	0,0334841118489351	śiras	n	0,0796597822212568	arh	v	0,066098116848749
						rasa	mn	0,28047444226151	hā	v	0,0782496090519916	pati	m	0,102822626618549	prī	v	0,0378646497789929	hetu	m	0,0724588979526686	vadhū	f	0,0126315511544818				abhyupe	v	0,00465057109012987	hṛ	v	0,0631277520879564																												vraj	v	0,0324039792086468	vimuc	v	0,0275133786428973	śnath	v	0,000540066320144114	yudh	v	0,0354943587072492	jagant	n	0,0655280468441525	sampad	v	0,0377446350411831	man	v	0,123465161521835	stambh	v	0,00633077741946711	dīp	v	0,0314738649906209				praṇam	v	0,0274833749584449	cintay	v	0,0412250624376673	vicar	v	0,0139517132703896	skhal	v	0,00315038686750733	abhidhāv	v	0,0080409874332568	tuṣ	v	0,023432877557364	spṛś	v	0,0278434191718743	vacas	n	0,0654680394752476	śudh	v	0,0630377410345991
						indra	m	0,253591140992114	vidhā	v	0,0712287468901181	ji	v	0,0979620297372517	bhī	v	0,0307837802482145	madhu	n	0,0656480615819623	abhibhū	v	0,0122114995721475				abhipre	v	0,00438053793005781	bhartṛ	m	0,0459656445811546																												bhaj	v	0,0305737544570473	prāñc	adj	0,0220527080725513				budh	v	0,0291035739188772	sat	adj	0,0467157366924658	suhṛd	m	0,0305137470881424	pañcan	adj	0,111523695109759	kṣubh	v	0,00507062267246418	jap	v	0,03048374340369				niyam	v	0,0274533712739924	varjay	v	0,0404749703263561	samācar	v	0,0138617022170323	lal	v	0,00282034633853037	carv	v	0,00450055266786761	duṣ	v	0,0226527817616003	āviś	v	0,0264632496870616	vas	v	0,0596473246914721	dah	v	0,0603674131183309
						sva	adj	0,241319634051061	prajā	f	0,0665781757999882	buddhi	f	0,0869806812276548	mahī	f	0,0304537397192375	kuru	m	0,0584171736289216	tanū	f	0,0120314774654328				samave	v	0,00369045318765144	nṛ	m	0,0452155524698433																												prayuj	v	0,0273333565361826	śuc	v	0,0216926638591219				vadh	v	0,0275433823273498	pravṛt	v	0,0459056372122497	utpad	v	0,029883669714641	saptan	adj	0,0984420886884909	ālabh	v	0,00486059688129702	svap	v	0,0272133417983728				udyam	v	0,0209725754322631	sādhay	v	0,0376246203033733	sphur	v	0,00957117534033179	vigal	v	0,00159019527597989	pinv	v	0,00291035739188772	ācakṣ	v	0,0207325459566435	viś	v	0,0261332091580846	āyus	n	0,0486659761818751	sidh	v	0,053316547272005
