"от 200 до 700"	au	1=0.04%	"от 200 до 700"	a	1893=70.22%	"от 200 до 700"	ā	171=6.34%	"от 200 до 700"	i	191=7.08%	"от 200 до 700"	ī	60=2.23%	"от 200 до 700"	u	88=3.26%	"от 200 до 700"	ū	4=0.15%	"от 200 до 700"	o	1=0.04%	"от 200 до 700"	ṛ	23=0.85%	"от 200 до 700"	k	1=0.04%	"от 200 до 700"	j	7=0.26%	"от 200 до 700"	c	6=0.22%	"от 200 до 700"	dh	3=0.11%	"от 200 до 700"	t	41=1.52%	"от 200 до 700"	d	11=0.41%	"от 200 до 700"	n	127=4.71%	"от 200 до 700"	p	1=0.04%	"от 200 до 700"	r	4=0.15%	"от 200 до 700"	v	1=0.04%	"от 200 до 700"	ṣ	4=0.15%	"от 200 до 700"	ś	4=0.15%	"от 200 до 700"	s	52=1.93%
Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank
nau	f	0,00801	artha	mn	0,54554	tā	f	0,13358	ādi	m	0,45456	strī	f	0,18868	viṣṇu	m	0,15216	bhū	f	0,08553	go	mf	0,14575	pitṛ	m	0,24794	dhṛk	adj	0,00673	ṛtvij	m	0,02306	vāc	f	0,07592	kṣudh	f	0,01922	mahat	adj	0,48403	vid	adj	0,05350	ātman	m	0,36967	ap	m	0,08169	catur	nr	0,11853	div	m	0,06151	ṣaṣ	adj	0,06855	diś	f	0,06151	manas	n	0,18003
			dharma	mn	0,42797	kriyā	f	0,09546	muni	m	0,20406	devī	f	0,06759	guru	m	0,12237	bhrū	f	0,01442				mātṛ	f	0,07176				bhāj	adj	0,01954	ṛc	f	0,02210	samidh	f	0,01281	bhagavant	m	0,17875	hṛd	n	0,02563	rājan	m	0,35173				ahar	n	0,05894				viṣ	f	0,00801	viś	f	0,01474	tapas	n	0,16530
			deva	m	0,42285	prajā	f	0,09002	tri	nr	0,19989	pṛthivī	f	0,06631	hetu	m	0,11340	vadhū	f	0,00993				bhartṛ	m	0,06054				sraj	f	0,01762	prāñc	adj	0,02146	yudh	f	0,00641	jagant	n	0,13454	mṛd	f	0,02467	karman	n	0,32194				gir	f	0,01474				dviṣ	adj	0,00673	niś	f	0,01377	namas	n	0,09866
			putra	m	0,34437	kanyā	f	0,08905	agni	m	0,19829	nadī	f	0,06119	bahu	adj	0,11180	kuhū	f	0,00513				bhrātṛ	m	0,04325				vaṇij	m	0,01442	tiryañc	adj	0,01858				bhavat	adj	0,10828	suhṛd	m	0,02018	brahman	m	0,18580				dvār	f	0,00513				prāvṛṣ	f	0,00513	dṛś	f	0,01057	tejas	n	0,07784
			tva	n	0,32034	vidyā	f	0,07976	ṛṣi	m	0,14704	śrī	f	0,05894	paśu	m	0,06919							nṛ	m	0,03780				bhuj	adj	0,01313	tvac	f	0,01698				bhagavat	adj	0,06375	āpad	f	0,01890	pañcan	adj	0,12301																puṁs	m	0,05958
			loka	m	0,30016	bhāryā	f	0,06022	dvi	nr	0,12782	patnī	f	0,04068	vāyu	m	0,06887							duhitṛ	f	0,02627				asṛj	n	0,00705	udañc	adj	0,01185				sat	adj	0,05222	sampad	f	0,01698	daśan	adj	0,11084																śiras	n	0,05702
			sva	adj	0,29567	saṁjñā	f	0,05830	vidhi	m	0,12109	mahī	f	0,03844	manu	m	0,06695							kartṛ	adj	0,02371				bhiṣaj	m	0,00641							yoṣit	f	0,04036	śarad	f	0,01474	nāman	n	0,10379																cetas	n	0,05414
			kāla	m	0,26780	māyā	f	0,05414	buddhi	f	0,09482	nārī	f	0,03524	bāhu	mf	0,05606							dhātṛ	m	0,01858													kṛt	adj	0,03812	mud	f	0,01153	saptan	adj	0,09963																vāsas	n	0,05222
			rūpa	n	0,24538	jarā	f	0,05286	bhūmi	f	0,09386	lakṣmī	f	0,02851	mṛtyu	m	0,04517							dātṛ	adj	0,01698													asat	adj	0,03748	pad	m	0,00993	janman	n	0,08713																tamas	n	0,04741
