"от 1200 до 1700"	a	1946=69.28%	"от 1200 до 1700"	ā	205=7.30%	"от 1200 до 1700"	i	196=6.98%	"от 1200 до 1700"	ī	89=3.17%	"от 1200 до 1700"	u	86=3.06%	"от 1200 до 1700"	ū	6=0.21%	"от 1200 до 1700"	o	1=0.04%	"от 1200 до 1700"	ṛ	17=0.61%	"от 1200 до 1700"	j	9=0.32%	"от 1200 до 1700"	c	6=0.21%	"от 1200 до 1700"	dh	3=0.11%	"от 1200 до 1700"	t	42=1.50%	"от 1200 до 1700"	d	14=0.50%	"от 1200 до 1700"	n	126=4.49%	"от 1200 до 1700"	p	1=0.04%	"от 1200 до 1700"	r	4=0.14%	"от 1200 до 1700"	v	1=0.04%	"от 1200 до 1700"	ṣ	5=0.18%	"от 1200 до 1700"	ś	5=0.18%	"от 1200 до 1700"	s	45=1.60%
Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank
tva	n	0,50552	tā	f	0,34825	ādi	m	0,82789	devī	f	0,18721	guru	m	0,17732	bhū	f	0,09128	go	mf	0,07209	pitṛ	m	0,14331	vaṇij	m	0,05552	vāc	f	0,04564	krudh	f	0,01017	mahat	adj	0,29186	saṁvid	f	0,07500	rājan	m	0,43342	ap	m	0,01977	catur	nr	0,06512	div	m	0,03692	ṣaṣ	adj	0,06512	diś	f	0,06279	manas	n	0,12761
artha	mn	0,40465	ākhyā	f	0,15581	śakti	f	0,19476	śrī	f	0,18139	hetu	m	0,10291	vadhū	f	0,02907				mātṛ	f	0,06134	bhāj	adj	0,02093	prāñc	adj	0,02296	kṣudh	f	0,00988	jagant	n	0,08663	hṛd	n	0,05552	ātman	m	0,36569				gir	f	0,03401				viṣ	f	0,01046	dṛś	f	0,04157	tapas	n	0,07732
sva	adj	0,37761	vidyā	f	0,09913	ityādi	adj	0,17703	strī	f	0,12209	bahu	adj	0,09855	bhrū	f	0,01337				bhartṛ	m	0,04564	ruj	mf	0,02064	tvac	f	0,01802	yudh	f	0,00930	sat	adj	0,07442	vid	adj	0,03256	karman	n	0,21075				ahar	n	0,02674				tṛṣ	f	0,00901	niś	f	0,02878	namas	n	0,07587
rasa	mn	0,32936	māyā	f	0,08081	muni	m	0,15785	dhī	f	0,04360	viṣṇu	m	0,08110	kaṇḍū	f	0,01279				bhrātṛ	m	0,04273	bhūbhuj	m	0,01977	śuc	f	0,00843				bhavat	adj	0,06773	suhṛd	m	0,02791	brahman	m	0,12325				dvār	f	0,01395				juṣ	adj	0,00669	īdṛś	adj	0,00872	śiras	n	0,07180
rūpa	n	0,29680	kriyā	f	0,08023	agni	m	0,14854	pṛthivī	f	0,04331	vāyu	m	0,05494	camū	f	0,00901				kartṛ	adj	0,04041	asṛj	n	0,01366	tiryañc	adj	0,00785				cit	f	0,05756	sampad	f	0,02703	heman	n	0,11686										dviṣ	adj	0,00552	tādṛś	adj	0,00814	vacas	n	0,06337
kāla	m	0,25087	bhāryā	f	0,07965	tri	nr	0,13750	sakhī	f	0,04012	pāṇḍu	m	0,05029	śvaśrū	f	0,00552				kartṛ	m	0,03372	mahībhuj	m	0,00814	udañc	adj	0,00552				kṛt	adj	0,04884	āpad	f	0,02296	pañcan	adj	0,11134																tejas	n	0,06221
deva	m	0,24331	kathā	f	0,07674	vidhi	m	0,12616	lakṣmī	f	0,03663	paśu	m	0,04535							nṛ	m	0,02587	bhiṣaj	m	0,00523							śrīmat	adj	0,04884	mṛd	f	0,01890	nāman	n	0,09128																āyus	n	0,04593
putra	m	0,23982	kalā	f	0,06715	siddhi	f	0,10291	mahī	f	0,03139	mṛtyu	m	0,04506							pramātṛ	adj	0,02326	bhuj	adj	0,00523							bhagavant	m	0,04448	vipad	f	0,01017	saptan	adj	0,07820																vapus	n	0,04564
guṇa	mn	0,19273	icchā	f	0,06134	buddhi	f	0,09709	putrī	f	0,03052	tanu	f	0,04244							dhātṛ	m	0,01628	sraj	f	0,00523							bhagavat	adj	0,04070	pratipad	f	0,00959	yogin	m	0,06744																puṁs	m	0,04244
mantra	mn	0,18808	kanyā	f	0,05610	pati	m	0,09535	nārī	f	0,02645	kuru	m	0,04215							dātṛ	adj	0,01570										jit	adj	0,02500	nud	adj	0,00901	aṣṭan	adj	0,06570																tamas	n	0,04012
tattva	n	0,18517	pūjā	f	0,04884	dvi	nr	0,08953	purī	f	0,02529	madhu	n	0,04186							bhoktṛ	m	0,01192										tāvat	adj	0,02413	śarad	f	0,00901	mantrin	m	0,06279																rajas	n	0,03750
dharma	mn	0,18168	dīkṣā	f	0,04855	hari	m	0,08488	sarasvatī	f	0,02442	guru	adj	0,04012							hantṛ	adj	0,01046										yoṣit	f	0,02151	pad	m	0,00727	daśan	adj	0,06046																cetas	n	0,03256
