"от 1700 до 1956"	a	1374=68.32%	"от 1700 до 1956"	ā	174=8.65%	"от 1700 до 1956"	i	121=6.02%	"от 1700 до 1956"	ī	119=5.92%	"от 1700 до 1956"	u	58=2.88%	"от 1700 до 1956"	ū	5=0.25%	"от 1700 до 1956"	o	1=0.05%	"от 1700 до 1956"	ṛ	7=0.35%	"от 1700 до 1956"	j	6=0.30%	"от 1700 до 1956"	c	4=0.20%	"от 1700 до 1956"	dh	1=0.05%	"от 1700 до 1956"	t	26=1.29%	"от 1700 до 1956"	d	7=0.35%	"от 1700 до 1956"	n	67=3.33%	"от 1700 до 1956"	p	1=0.05%	"от 1700 до 1956"	r	2=0.10%	"от 1700 до 1956"	ṣ	3=0.15%	"от 1700 до 1956"	ś	3=0.15%	"от 1700 до 1956"	s	30=1.49%	"от 1700 до 1956"	h	1=0.05%
Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank
rasa	mn	1,17419	mūṣā	f	0,23618	ādi	m	0,55348	devī	f	0,17075	madhu	n	0,15686	bhū	f	0,04661	go	mf	0,15775	nṛ	m	0,04706	bhiṣaj	m	0,03137	tvac	f	0,04437	kṣudh	f	0,01076	mahat	adj	0,19047	mṛd	f	0,08560	saptan	adj	0,24201	ap	m	0,01748	catur	nr	0,16672	ṣaṣ	adj	0,11607	diś	f	0,04482	payas	n	0,06947	snuh	f	0,00896
dina	mn	0,46116	tā	f	0,17165	tri	nr	0,35764	śrī	f	0,12997	guru	m	0,10801	vadhū	f	0,01837				pitṛ	m	0,04168	ruj	mf	0,02286	vāc	f	0,03541				kṛt	adj	0,04616	nud	adj	0,03585	bhasman	n	0,20705				ahar	n	0,02106	viṣ	f	0,00896	dṛś	f	0,02286	manas	n	0,06454			
sūta	mn	0,46071	guñjā	f	0,10173	agni	m	0,30565	strī	f	0,07977	mṛdu	adj	0,09411	nimbū	f	0,01434				mātṛ	f	0,03182	bhāj	adj	0,01882	prāñc	adj	0,01255				sat	adj	0,03630	hṛd	n	0,02913	heman	n	0,20526							prāvṛṣ	f	0,00627	niś	f	0,02286	āyus	n	0,05468			
loha	mn	0,35808	śilā	f	0,09770	dvi	nr	0,18957	sakhī	f	0,07305	guru	adj	0,08829	bhrū	f	0,01300				kartṛ	adj	0,01210	vaṇij	m	0,01120	tiryañc	adj	0,01031				jit	adj	0,02913	vid	adj	0,01613	karman	n	0,15417													rajas	n	0,05154			
sattva	n	0,33792	triphalā	mf	0,09680	siddhi	f	0,16313	sthālī	f	0,05199	bahu	adj	0,07395	varṣābhū	f	0,00986				bhartṛ	m	0,01210	yuj	adj	0,00986							triṁśat	f	0,02823	śarad	f	0,01255	daśan	adj	0,14252													śiras	n	0,04526			
cūrṇa	mn	0,32447	ākhyā	f	0,09367	vahni	m	0,14834	valī	f	0,04482	mṛtyu	m	0,07171							kartṛ	m	0,00986	bhṛṅgarāj	m	0,00672							jagant	n	0,02375	āpad	f	0,01076	pañcan	adj	0,13803													ayas	n	0,04392			
aṁśa	m	0,30923	jarā	f	0,08291	vidhi	m	0,11518	sudhī	adj	0,04123	laghu	adj	0,06991							bhrātṛ	m	0,00717										bhavat	adj	0,02286	saṁvid	f	0,00986	aṣṭan	adj	0,13624													namas	n	0,03989			
puṭa	mn	0,29400	guṭikā	f	0,06678	hari	m	0,08829	snuhī	f	0,04078	ambu	n	0,05019																			hṛt	adj	0,02241				nāman	n	0,08605													tejas	n	0,03944			
pattra	mn	0,28010	chāyā	f	0,05737	druti	f	0,08605	devadālī	f	0,03809	dhātu	mn	0,05019																			dhīmat	adj	0,01569				brahman	m	0,08291													sarpis	n	0,03675			
tva	n	0,27069	vajramūṣā	mf	0,05333	bhūmi	f	0,07260	dhātrī	f	0,03451	pāṇḍu	m	0,04885																			dvātriṁśat	f	0,01344				ṣoḍaśan	adj	0,08157													puṁs	m	0,02868			
gandhaka	mn	0,25949	andhamūṣā	mf	0,04526	śakti	f	0,06409	pārvatī	f	0,03451	viṣṇu	m	0,04571																			śrīmat	adj	0,01300				ātman	m	0,07171													vapus	n	0,02779			
drava	mn	0,24963	prabhā	f	0,04437	śuddhi	f	0,06095	kākamācī	f	0,03316	vāyu	m	0,04258																			tāvat	adj	0,01300				dvādaśan	adj	0,06588													ambhas	n	0,02151			
bīja	mn	0,24559	kalā	f	0,04347	koṭi	f	0,05737	deveśī	f	0,03272	manu	m	0,04213																			matimat	adj	0,01120				vyoman	mn	0,05199													arśas	mn	0,01569			
tulya	adj	0,23887	kanyā	f	0,04302	bali	m	0,05333	nirguṇḍī	f	0,03137	tanu	f	0,03854																			bhagavant	m	0,01120				rājan	m	0,04347													vāsas	n	0,01524			
vajra	mn	0,23573	sitā	f	0,04123	vṛddhi	f	0,04795	kumārī	f	0,03092	hetu	m	0,03765																			yāvat	adj	0,01076				śleṣman	m	0,03675													vakṣas	n	0,01479			
yoga	m	0,23439	varā	f	0,03675	vyādhi	m	0,04706	cullī	f	0,03092	bindu	mn	0,03765																			balavat	adj	0,00941				vedhin	adj	0,03585													cetas	n	0,01300			
pala	mn	0,23394	pūjā	f	0,03630	vāri	n	0,04482	nārī	f	0,02958	indu	m	0,03406																			marut	m	0,00807				navan	adj	0,03496													jyotis	n	0,01300			
kṣīra	n	0,23036	mātrā	f	0,03541	muni	m	0,04168	piṣṭī	f	0,02913	kaṭu	adj	0,03361																			catvāriṁśat	f	0,00807				yogin	m	0,02555													tapas	n	0,01300			
phala	n	0,22498	punarnavā	mf	0,03496	ravi	m	0,03944	bhairavī	f	0,02734	śigru	mfn	0,03272																			ekaviṁśat	f	0,00762				janman	n	0,02375													vacas	n	0,01165			
gandha	mn	0,22095	manaḥśilā	mf	0,03406	pati	m	0,03899	prabhāvatī	f	0,02644	svādu	adj	0,02913																			bhagavat	adj	0,00762				mūrdhan	m	0,02330													dhanus	n	0,01076			
bhāga	m	0,21826	śarkarā	f	0,03361	rātri	f	0,03675	grahaṇī	f	0,02599	guggulu	mn	0,02555																			asat	adj	0,00762				brahman	n	0,02196													medas	n	0,01076			
mātra	n	0,21781	saṁjñā	f	0,03227	viṁśati	f	0,03630	kūpī	f	0,02510	śambhu	m	0,02375																			śakṛt	n	0,00762				caturdaśan	adj	0,02196													cakṣus	n	0,01031			
roga	mn	0,21781	devatā	f	0,03182	piṣṭi	f	0,03630	mahiṣī	f	0,02510	bhānu	m	0,01703																			cit	f	0,00717				han	adj	0,02017													uras	n	0,00941			
tāmra	n	0,21691	saṁkhyā	f	0,03137	catuḥṣaṣṭi	f	0,03585	pippalī	f	0,02330	śilājatu	mn	0,01703																			viṁśat	f	0,00717				kārin	adj	0,01927													nabhas	n	0,00941			
vāra	mn	0,21422	vidyā	f	0,03092	saṁdhi	mf	0,03541	parameśvarī	f	0,02286	ūru	mf	0,01613																			yakṛt	n	0,00672				plīhan	m	0,01793													tamas	n	0,00941			
guṇa	mn	0,21109	mṛttikā	fn	0,03092	maṇi	m	0,03316	lāṅgalī	f	0,02196	vastu	n	0,01613																			vidyut	fn	0,00627				yuvan	m	0,01658													vayas	n	0,00896			
artha	mn	0,20840	kriyā	f	0,02958	yukti	f	0,03316	vaṭī	f	0,02062	paṭu	mn	0,01569																									rūpin	adj	0,01658													vidvas	adj	0,00896			
taila	n	0,20795	sudhā	f	0,02913	giri	m	0,03227	sureśvarī	f	0,02017	jānu	mn	0,01479																									majjan	m	0,01613													saras	n	0,00852			
traya	n	0,20347	piṣṭikā	f	0,02913	asthi	n	0,03137	śatāvarī	f	0,02017	ṛtu	m	0,01434																									śikhin	m	0,01613													mās	m	0,00717			
madhya	n	0,20302	vasā	f	0,02779	rati	f	0,03137	rajanī	f	0,01972	hiṅgu	n	0,01389																									nandin	m	0,01569													retas	n	0,00627			
svarṇa	n	0,20033	sāraṇā	fn	0,02779	dṛṣṭi	f	0,03137	kāminī	f	0,01927	ikṣu	m	0,01344																									aśman	mn	0,01479																		
mukha	n	0,19450	latā	f	0,02734	ityādi	adj	0,03092	musalī	f	0,01927	prabhu	m	0,01344																									aṣṭādaśan	adj	0,01479																		
nāga	mn	0,19226	sevā	f	0,02689	ekaviṁśati	f	0,03048	koṣṭhī	mf	0,01927	paśu	m	0,01300																									hārin	adj	0,01434																		
ja	adj	0,19181	niśā	f	0,02644	dadhi	n	0,02868	pṛthivī	f	0,01882	cāru	adj	0,01255																									śaśin	m	0,01434																		
