"Недатированные тексты"	a	1920=66.02%	"Недатированные тексты"	ā	310=10.66%	"Недатированные тексты"	i	162=5.57%	"Недатированные тексты"	ī	209=7.19%	"Недатированные тексты"	u	83=2.85%	"Недатированные тексты"	ū	7=0.24%	"Недатированные тексты"	o	1=0.03%	"Недатированные тексты"	ṛ	8=0.28%	"Недатированные тексты"	j	5=0.17%	"Недатированные тексты"	c	4=0.14%	"Недатированные тексты"	dh	2=0.07%	"Недатированные тексты"	t	28=0.96%	"Недатированные тексты"	d	10=0.34%	"Недатированные тексты"	n	110=3.78%	"Недатированные тексты"	p	1=0.03%	"Недатированные тексты"	r	3=0.10%	"Недатированные тексты"	ṣ	3=0.10%	"Недатированные тексты"	ś	4=0.14%	"Недатированные тексты"	s	37=1.27%
Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank
rasa	mn	0,81813	tā	f	0,14737	ādi	m	0,64114	devī	f	0,12120	kaṭu	adj	0,33262	bhū	f	0,07506	go	mf	0,10330	nṛ	m	0,04201	bhiṣaj	m	0,06129	tvac	f	0,06198	kṣudh	f	0,00964	jit	adj	0,19076	nud	adj	0,19076	saptan	adj	0,16528	ap	m	0,01171	catur	nr	0,10881	ṣaṣ	adj	0,10674	diś	f	0,02066	arśas	mn	0,09366
kapha	m	0,51236	śilā	f	0,09228	ityādi	adj	0,31954	śrī	f	0,09090	laghu	adj	0,26376	kaṇḍū	f	0,06542				kartṛ	adj	0,01791	ruj	mf	0,03581	vāc	f	0,02410	samidh	f	0,00413	kṛt	adj	0,18525	mṛd	f	0,09090	heman	n	0,15908				ahar	n	0,00964	tṛṣ	f	0,01653	dṛś	f	0,01033	manas	n	0,06198
pitta	n	0,49859	ākhyā	f	0,08471	tri	nr	0,22175	strī	f	0,08126	guru	adj	0,19076	nimbū	f	0,01308				hantṛ	adj	0,01171	asṛj	n	0,01240	tiryañc	adj	0,01446				mahat	adj	0,12603	hṛd	n	0,04890	śleṣman	m	0,14049				vār	n	0,00551	viṣ	f	0,01240	tādṛś	adj	0,00826	puṁs	m	0,06198
vāta	m	0,46140	triphalā	mf	0,06955	agni	m	0,20178	nāḍī	f	0,07024	dhātu	mn	0,11570	bhrū	f	0,01102				mātṛ	f	0,01033	bhāj	adj	0,00689	prāñc	adj	0,00551				hṛt	adj	0,10261	vid	adj	0,02479	bhasman	n	0,12396										niś	f	0,00551	rajas	n	0,05303
uṣṇa	adj	0,44556	mūṣā	f	0,06818	vahni	m	0,18181	pippalī	f	0,05440	madhu	n	0,10881	varṣābhū	f	0,00689				pitṛ	m	0,00895	yuj	adj	0,00620							bhagavant	m	0,02548	praṇud	adj	0,01722	nāman	n	0,12258													namas	n	0,04545
tikta	adj	0,38359	guñjā	f	0,06680	dvi	nr	0,16803	grahaṇī	f	0,03512	svādu	adj	0,10605	kharjū	f	0,00689				bhartṛ	m	0,00482										sat	adj	0,02548	śarad	f	0,01377	pañcan	adj	0,11638													ayas	n	0,04476
madhura	adj	0,33951	abhidhā	f	0,06542	vidhi	m	0,13153	sthālī	f	0,02961	bahu	adj	0,07644	vadhū	f	0,00482				īśitṛ	m	0,00482										śrīmat	adj	0,01722	saṁvid	f	0,00895	karman	n	0,10881													śiras	n	0,03857
doṣa	mn	0,33469	jarā	f	0,05372	siddhi	f	0,11363	harītakī	f	0,02961	pāṇḍu	m	0,07438							kartṛ	m	0,00413										jagant	n	0,01722	mud	f	0,00826	aṣṭan	adj	0,09710													āyus	n	0,03650
ghna	adj	0,32780	mudrā	f	0,05303	ārti	f	0,09021	kūpī	f	0,02892	mṛtyu	m	0,07024																			triṁśat	f	0,01653	dṛṣad	f	0,00689	daśan	adj	0,07782													payas	n	0,03581
viṣa	n	0,32229	saṁjñā	f	0,05027	puṣṭi	f	0,08815	snuhī	f	0,02755	guru	m	0,05647																			tāvat	adj	0,01515	sampad	f	0,00482	hārin	adj	0,07231													medas	n	0,02961
artha	mn	0,31610	tṛṣṇā	f	0,04821	krimi	m	0,08677	kumārī	f	0,02686	bindu	mn	0,05440																			marut	m	0,01377				ātman	m	0,06818													vapus	n	0,02479
apaha	adj	0,29681	kriyā	f	0,04132	kṛmi	m	0,08333	śatāvarī	f	0,02686	ambu	n	0,05165																			kiyat	adj	0,01240				kārin	adj	0,06336													vayas	n	0,02410
sūta	mn	0,28097	saṁkhyā	f	0,03925	ruci	f	0,08195	nārī	f	0,02410	mṛdu	adj	0,05165																			dhīmat	adj	0,01240				yogin	m	0,06060													sarpis	n	0,02135
