"от 200 до 700"	ā	61=8.59%	"от 200 до 700"	i	20=2.82%	"от 200 до 700"	ī	19=2.68%	"от 200 до 700"	u	9=1.27%	"от 200 до 700"	ū	16=2.25%	"от 200 до 700"	e	8=1.13%	"от 200 до 700"	ṛ	54=7.61%	"от 200 до 700"	kh	1=0.14%	"от 200 до 700"	gh	1=0.14%	"от 200 до 700"	k	2=0.28%	"от 200 до 700"	ṭh	1=0.14%	"от 200 до 700"	ṭ	1=0.14%	"от 200 до 700"	ḍ	1=0.14%	"от 200 до 700"	ch	4=0.56%	"от 200 до 700"	j	42=5.92%	"от 200 до 700"	c	19=2.68%	"от 200 до 700"	th	3=0.42%	"от 200 до 700"	dh	24=3.38%	"от 200 до 700"	t	16=2.25%	"от 200 до 700"	d	33=4.65%	"от 200 до 700"	n	20=2.82%	"от 200 до 700"	bh	8=1.13%	"от 200 до 700"	p	29=4.08%	"от 200 до 700"	m	47=6.62%	"от 200 до 700"	y	142=20.00%	"от 200 до 700"	r	6=0.85%	"от 200 до 700"	l	4=0.56%	"от 200 до 700"	v	4=0.56%	"от 200 до 700"	ṣ	38=5.35%	"от 200 до 700"	ś	29=4.08%	"от 200 до 700"	s	21=2.96%	"от 200 до 700"	h	27=3.80%
Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank
abhidhā	v	0,05125	ucchri	v	0,01025	parī	v	0,01249				sū	v	0,01185				vihṛ	v	0,02435																						prayuj	v	0,02787	arc	v	0,00897				vyadh	v	0,01922	yat	v	0,00769	sampad	v	0,02627	abhihan	v	0,01121				gup	v	0,01666	upagam	v	0,02659	dhāray	v	0,02979										parīkṣ	v	0,01666	praṇaś	v	0,01922	upavas	v	0,01570	pratigrah	v	0,02531
prayā	v	0,04901	upaci	v	0,00961	upanī	v	0,01185				paribhū	v	0,00929				apahṛ	v	0,02338																						parityaj	v	0,02435	śuc	v	0,00833				yudh	v	0,01698	utpat	v	0,00769	mad	v	0,02018	prajan	v	0,00993				kup	v	0,01409	anugam	v	0,02499	darśay	v	0,02851										prekṣ	v	0,01570	upaviś	v	0,01377	upās	v	0,01409	parigrah	v	0,01153
vyākhyā	v	0,03972	nirji	v	0,00897	praṇī	v	0,01153				dhū	v	0,00769				avatṛ	v	0,02338																						bhañj	v	0,02114	ruc	v	0,00737				prasidh	v	0,01602	parivṛt	v	0,00769	prapad	v	0,01858	saṁhan	v	0,00929				samāp	v	0,01377	āyam	v	0,02050	utpāday	v	0,02851										vṛṣ	v	0,01442	bhraṁś	v	0,01281	abhyas	v	0,01249	sah	v	0,01089
utthā	v	0,03780	saṁśri	v	0,00833	vī	v	0,01121				samudbhū	v	0,00737				alaṁkṛ	v	0,02306																						sañj	v	0,01986	sic	v	0,00641				bādh	v	0,01089	āvṛt	v	0,00705	mud	v	0,01826	vitan	v	0,00801				śap	v	0,01345	niṣkram	v	0,01826	niveday	v	0,02787										nirīkṣ	v	0,01281	upadiś	v	0,01185	gras	v	0,01185	udvah	v	0,00993
snā	v	0,03684	antari	v	0,00801	pratī	v	0,01057				prādurbhū	v	0,00705				uddhṛ	v	0,02242																						vibhaj	v	0,01954	vivic	v	0,00641				virudh	v	0,01089	vinivṛt	v	0,00673	āpad	v	0,01762	anuman	v	0,00769				vyāp	v	0,01345	atikram	v	0,01794	sādhay	v	0,02627										kṛṣ	v	0,01217	ādiś	v	0,01025	vinyas	v	0,01057	nigrah	v	0,00993
pradā	v	0,03428	ci	v	0,00737	krī	v	0,00961				prabrū	v	0,00609				pṛ	v	0,02018																						niyuj	v	0,01698	pac	v	0,00577				nirudh	v	0,01057	āyat	v	0,00545	unmad	v	0,01698	uddhan	v	0,00737				prakṣip	v	0,01281	avagam	v	0,01762	sampūjay	v	0,02627										ākṛṣ	v	0,01089	uddiś	v	0,01025	hiṁs	v	0,00833	anugrah	v	0,00865
upasthā	v	0,03300	parāji	v	0,00705	abhī	v	0,00801				vidhū	v	0,00577				vistṛ	v	0,01986																						visṛj	v	0,01666	vyatiric	v	0,00577				sambudh	v	0,01057	ativṛt	v	0,00513	abhinand	v	0,01666	pratihan	v	0,00737				lip	v	0,01153	ācam	v	0,01730	vivarjay	v	0,02595										dviṣ	v	0,01057	aś	v	0,00961	apās	v	0,00769	prasah	v	0,00865
avasthā	v	0,03267	śri	v	0,00609	lī	v	0,00705										prakṛ	v	0,01954																						prasañj	v	0,01634	nirmuc	v	0,00545				pratiṣidh	v	0,00897				nind	v	0,01666	vijan	v	0,00737				tṛp	v	0,01025	udyam	v	0,01698	pīḍay	v	0,02467										vīkṣ	v	0,01057	nirdiś	v	0,00929	prativas	v	0,00705	avagāh	v	0,00833
āsthā	v	0,03011	upaniśri	v	0,00609	apanī	v	0,00673										vṛ	v	0,01922																						saṁsṛj	v	0,01634	vinirmuc	v	0,00545				rudh	v	0,00737				rud	v	0,01634	kṣan	v	0,00673				anuprāp	v	0,01025	nam	v	0,01570	bhakṣay	v	0,02467										anviṣ	v	0,01025	daṁś	v	0,00897	abhiśaṁs	v	0,00641	nirdah	v	0,00833
ākhyā	v	0,02851	niści	v	0,00513	vyatī	v	0,00609										udāhṛ	v	0,01826																						abhiyuj	v	0,01602	prativac	v	0,00513				pratibudh	v	0,00737				gad	v	0,01538	abhijan	v	0,00673				nirvap	v	0,01025	ākram	v	0,01538	āsāday	v	0,02403										apekṣ	v	0,00993	niviś	v	0,00865	pravas	v	0,00641	garh	v	0,00769
