"от 1200 до 1700"	ā	62=9.35%	"от 1200 до 1700"	i	13=1.96%	"от 1200 до 1700"	ī	17=2.56%	"от 1200 до 1700"	u	10=1.51%	"от 1200 до 1700"	ū	11=1.66%	"от 1200 до 1700"	e	6=0.90%	"от 1200 до 1700"	ṛ	48=7.24%	"от 1200 до 1700"	kh	1=0.15%	"от 1200 до 1700"	gh	1=0.15%	"от 1200 до 1700"	k	3=0.45%	"от 1200 до 1700"	g	1=0.15%	"от 1200 до 1700"	ṭh	1=0.15%	"от 1200 до 1700"	ṭ	4=0.60%	"от 1200 до 1700"	ḍ	1=0.15%	"от 1200 до 1700"	ṇ	1=0.15%	"от 1200 до 1700"	ch	3=0.45%	"от 1200 до 1700"	j	34=5.13%	"от 1200 до 1700"	c	19=2.87%	"от 1200 до 1700"	th	3=0.45%	"от 1200 до 1700"	dh	21=3.17%	"от 1200 до 1700"	t	12=1.81%	"от 1200 до 1700"	d	37=5.58%	"от 1200 до 1700"	n	14=2.11%	"от 1200 до 1700"	bh	9=1.36%	"от 1200 до 1700"	p	28=4.22%	"от 1200 до 1700"	b	1=0.15%	"от 1200 до 1700"	m	39=5.88%	"от 1200 до 1700"	y	149=22.47%	"от 1200 до 1700"	r	5=0.75%	"от 1200 до 1700"	l	8=1.21%	"от 1200 до 1700"	v	5=0.75%	"от 1200 до 1700"	ṣ	31=4.68%	"от 1200 до 1700"	ś	21=3.17%	"от 1200 до 1700"	s	23=3.47%	"от 1200 до 1700"	h	21=3.17%
Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank
sthā	v	0,30087	ji	v	0,07413	nī	v	0,09099	śru	v	0,31976	bhū	v	0,93080	e	v	0,03198	kṛ	v	0,96394	likh	v	0,01512	ślāgh	v	0,00930	śak	v	0,03605	lag	v	0,01134	paṭh	v	0,02733	puṭ	v	0,01163	krīḍ	v	0,00930	bhaṇ	v	0,00698	pracch	v	0,15174	yuj	v	0,12878	vac	v	0,97789	prath	v	0,00930	bandh	v	0,09011	pat	v	0,08982	vad	v	0,15930	jan	v	0,25087	labh	v	0,10785	prāp	v	0,22790	cumb	v	0,00552	gam	v	0,43691	kathay	v	0,10988	car	v	0,05669	mil	v	0,02994	jīv	v	0,04942	iṣ	v	0,08750	dṛś	v	0,40435	as	v	0,68923	ah	v	0,23255
dā	v	0,29186	kṣi	v	0,03576	ānī	v	0,03808	dru	v	0,03750	brū	v	0,22064	upe	v	0,03110	smṛ	v	0,15029							śaṅk	v	0,01628							sphuṭ	v	0,00814							mūrch	v	0,01337	tyaj	v	0,10785	pravac	v	0,11599	math	v	0,00494	śudh	v	0,06948	pravṛt	v	0,05727	vid	v	0,10174	han	v	0,19128	ārabh	v	0,01744	avāp	v	0,04855				āgam	v	0,12442	pūjay	v	0,10988	sphur	v	0,03052	jval	v	0,02180	sev	v	0,03634	bhāṣ	v	0,07122	praviś	v	0,08256	nyas	v	0,04302	grah	v	0,15756
yā	v	0,24505	āśri	v	0,03285	bhī	v	0,02645	stu	v	0,02587	sambhū	v	0,02645	abhye	v	0,02878	mṛ	v	0,07645							āśaṅk	v	0,00930							ceṣṭ	v	0,00523							vāñch	v	0,01163	bhuj	v	0,08256	muc	v	0,10639	vyath	v	0,00494	budh	v	0,05058	vṛt	v	0,04738	bhid	v	0,06046	man	v	0,11482	upalabh	v	0,01686	kṣip	v	0,04826				dham	v	0,04709	darśay	v	0,08227	ācar	v	0,02093	cal	v	0,01977	dhāv	v	0,01192	rakṣ	v	0,06046	paś	v	0,07965	vas	v	0,03256	dah	v	0,06308
jñā	v	0,21889	i	v	0,03227	prī	v	0,01831	cyu	v	0,01744	udbhū	v	0,01424	samabhye	v	0,01163	hṛ	v	0,07471																ghaṭ	v	0,00494										vraj	v	0,06163	yāc	v	0,02820				sidh	v	0,04273	nivṛt	v	0,02791	chid	v	0,05262	nihan	v	0,03576	lubh	v	0,01221	āp	v	0,04419				śam	v	0,03983	cintay	v	0,05988	samācar	v	0,01017	gal	v	0,01337	abhidhāv	v	0,00581	tuṣ	v	0,03459	viś	v	0,05029	ās	v	0,03227	prāh	v	0,05436
vidhā	v	0,11977	udi	v	0,02238	atī	v	0,01599	hu	v	0,01483	sū	v	0,01250	same	v	0,00901	pṛ	v	0,06017																												bhaj	v	0,04709	śuc	v	0,02326				yudh	v	0,03169	nipat	v	0,02558	gad	v	0,04826	saṁjan	v	0,01977	śubh	v	0,01046	svap	v	0,04128				praṇam	v	0,03837	bhāvay	v	0,05552	vicar	v	0,00669	phal	v	0,00669	dhāv	v	0,00523	hṛṣ	v	0,03023	spṛś	v	0,03576	praśaṁs	v	0,02616	muh	v	0,05000
āyā	v	0,08372	niści	v	0,02006	lī	v	0,01599	vidru	v	0,00872	prabhū	v	0,01017	abhipre	v	0,00727	jṛ	v	0,04680																												sṛj	v	0,03401	vimuc	v	0,01831				krudh	v	0,02471	kṛt	v	0,01105	utpad	v	0,02820	prajan	v	0,01570	kṣubh	v	0,00814	jap	v	0,03227				bhram	v	0,03139	kāray	v	0,05436				skhal	v	0,00610				vīkṣ	v	0,02703	naś	v	0,03285	śaṁs	v	0,02558	āruh	v	0,04622
hā	v	0,07471	prahi	v	0,01948	vī	v	0,01279	sru	v	0,00843	anubhū	v	0,00988				āvṛ	v	0,02645																												saṁyuj	v	0,03110	pac	v	0,01773				vyadh	v	0,02326	nṛt	v	0,01076	pratipad	v	0,02326	abhiman	v	0,01424	stambh	v	0,00785	kup	v	0,02587				nirgam	v	0,02936	varjay	v	0,04913				val	v	0,00494				ākṛṣ	v	0,02384	ādiś	v	0,02762	has	v	0,01977	vah	v	0,03314
prayā	v	0,07442	viji	v	0,01715	śī	v	0,00843	viśru	v	0,00756	pū	v	0,00698				dhṛ	v	0,02558																												yaj	v	0,02849	atiric	v	0,01221				vṛdh	v	0,02296	āyat	v	0,00814	prasad	v	0,02122	āhan	v	0,01250	saṁrabh	v	0,00581	tap	v	0,02326				ram	v	0,02762	marday	v	0,04622				vigal	v	0,00494				duṣ	v	0,02326	upadiś	v	0,02413	vinyas	v	0,01715	arh	v	0,02849
abhidhā	v	0,07035	śri	v	0,01570	adhī	v	0,00843	plu	v	0,00727	prasū	v	0,00610				bhṛ	v	0,02209																												bhañj	v	0,02733	vyatiric	v	0,01046				virudh	v	0,02296	utpat	v	0,00698	sampad	v	0,02093	vitan	v	0,01046	jṛmbh	v	0,00552	samprāp	v	0,02326				udyam	v	0,02558	niveday	v	0,04360										viśiṣ	v	0,01860	āviś	v	0,02296	gras	v	0,01628	sah	v	0,02238
