"от 1700 до 1956"	ā	38=8.50%	"от 1700 до 1956"	i	6=1.34%	"от 1700 до 1956"	ī	7=1.57%	"от 1700 до 1956"	u	7=1.57%	"от 1700 до 1956"	ū	9=2.01%	"от 1700 до 1956"	e	1=0.22%	"от 1700 до 1956"	ṛ	30=6.71%	"от 1700 до 1956"	kh	1=0.22%	"от 1700 до 1956"	gh	1=0.22%	"от 1700 до 1956"	k	1=0.22%	"от 1700 до 1956"	g	1=0.22%	"от 1700 до 1956"	ṭh	1=0.22%	"от 1700 до 1956"	ṭ	2=0.45%	"от 1700 до 1956"	ḍ	1=0.22%	"от 1700 до 1956"	ṇ	1=0.22%	"от 1700 до 1956"	ch	1=0.22%	"от 1700 до 1956"	j	18=4.03%	"от 1700 до 1956"	c	11=2.46%	"от 1700 до 1956"	dh	12=2.68%	"от 1700 до 1956"	t	5=1.12%	"от 1700 до 1956"	d	20=4.47%	"от 1700 до 1956"	n	10=2.24%	"от 1700 до 1956"	bh	3=0.67%	"от 1700 до 1956"	p	22=4.92%	"от 1700 до 1956"	m	17=3.80%	"от 1700 до 1956"	y	153=34.23%	"от 1700 до 1956"	r	4=0.89%	"от 1700 до 1956"	l	5=1.12%	"от 1700 до 1956"	v	4=0.89%	"от 1700 до 1956"	ṣ	18=4.03%	"от 1700 до 1956"	ś	14=3.13%	"от 1700 до 1956"	s	11=2.46%	"от 1700 до 1956"	h	12=2.68%
Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank
dā	v	0,41590	ji	v	0,07036	nī	v	0,03989	dru	v	0,14565	bhū	v	0,97073	upe	v	0,05199	kṛ	v	1,00703	likh	v	0,01748	ślāgh	v	0,00627	śak	v	0,01389	lag	v	0,02958	paṭh	v	0,01210	puṭ	v	0,08067	krīḍ	v	0,01120	bhaṇ	v	0,01479	pracch	v	0,02823	yuj	v	0,19809	vac	v	0,47506	śudh	v	0,27248	pat	v	0,05871	mṛd	v	0,15148	jan	v	0,33747	labh	v	0,04347	kṣip	v	0,47147	dham	v	0,28190	marday	v	0,38318	car	v	0,05602	mil	v	0,04302	jīv	v	0,10756	piṣ	v	0,18733	dṛś	v	0,12325	as	v	0,57589	grah	v	0,13400
pā	v	0,16089	kṣi	v	0,01613	ānī	v	0,01389	śru	v	0,11159	brū	v	0,02734				mṛ	v	0,23305																sphuṭ	v	0,00852										saṁyuj	v	0,08963	pac	v	0,38094	rudh	v	0,19988	vṛt	v	0,01658	vad	v	0,09008	han	v	0,11114	ārabh	v	0,02823	lip	v	0,14565	gam	v	0,23798	bhāvay	v	0,22050	ācar	v	0,02689	jval	v	0,02644	sev	v	0,08829	iṣ	v	0,04526	naś	v	0,03227	nyas	v	0,03496	ah	v	0,11204
sthā	v	0,15686	āśri	v	0,01389	lī	v	0,01255	plu	v	0,01344	sambhū	v	0,02599				jṛ	v	0,17254																												bhuj	v	0,05647	pravac	v	0,20033	bandh	v	0,17299	nipat	v	0,01479	vid	v	0,05647	man	v	0,07977	upalabh	v	0,00717	nikṣip	v	0,11787	āgam	v	0,03048	jāray	v	0,17927	sphur	v	0,01344	cal	v	0,01658	carv	v	0,02734	sampiṣ	v	0,01882	nirdiś	v	0,02689	śaṁs	v	0,03137	lih	v	0,06767
vidhā	v	0,11249	i	v	0,01255	upanī	v	0,00986	hu	v	0,01031	bhasmībhū	v	0,02420				smṛ	v	0,10801																												tyaj	v	0,05468	muc	v	0,10039	sidh	v	0,07753	nṛt	v	0,00762	bhid	v	0,02958	nihan	v	0,03137				vinikṣip	v	0,10666	ram	v	0,02465	kathay	v	0,12459	samācar	v	0,01210	gal	v	0,01344	niṣev	v	0,00941	ghṛṣ	v	0,01748	spṛś	v	0,02510	gras	v	0,02868	dah	v	0,06229
jñā	v	0,09591	udi	v	0,00941	prī	v	0,00807	vidru	v	0,00986	pū	v	0,01748				samuddhṛ	v	0,10442																												vraj	v	0,05333	sic	v	0,02689	nirudh	v	0,05871	pravṛt	v	0,00717	vid	v	0,02734	prajan	v	0,02913				tap	v	0,05961	bhram	v	0,01837	lepay	v	0,11921				val	v	0,01076				bhāṣ	v	0,01479	praviś	v	0,02420	praśaṁs	v	0,02689	vah	v	0,03227
yā	v	0,08605	viji	v	0,00672	bhī	v	0,00672	sru	v	0,00762	udbhū	v	0,01569				hṛ	v	0,06991																												bhaj	v	0,04213	nirmuc	v	0,02599	viśudh	v	0,03272				svid	v	0,02644	saṁjan	v	0,02286				prāp	v	0,04930	nirgam	v	0,01748	kāray	v	0,11518										rakṣ	v	0,01434	paś	v	0,01837	vinyas	v	0,02375	muh	v	0,02779
ādā	v	0,06050				atī	v	0,00627	stu	v	0,00717	anubhū	v	0,00941				samāhṛ	v	0,05916																												prayuj	v	0,02734	vimuc	v	0,01658	vyadh	v	0,01882				nigad	v	0,02510	khan	v	0,01793				āp	v	0,03899	nam	v	0,01300	cūrṇay	v	0,10173										ākṛṣ	v	0,01344	upadiś	v	0,01210	vas	v	0,02330	prāh	v	0,02375
vijñā	v	0,04482										abhibhū	v	0,00762				āhṛ	v	0,05064																												samāyuj	v	0,02330	vinirmuc	v	0,01344	vṛdh	v	0,01389				khād	v	0,02017	nikhan	v	0,01703				prakṣip	v	0,03720	śam	v	0,01210	yojay	v	0,09098										bhakṣ	v	0,01165	uddiś	v	0,01076	has	v	0,01434	saṁgrah	v	0,01389
āyā	v	0,04437										prasū	v	0,00672				uddhṛ	v	0,04616																												upayuj	v	0,01927	vipac	v	0,01344	prasidh	v	0,01300				chid	v	0,01344	vitan	v	0,01210				jap	v	0,03361	praṇam	v	0,01210	bhakṣay	v	0,08918										śuṣ	v	0,01120	viś	v	0,01031	vilas	v	0,01300	sah	v	0,01255
