"от -300 до 200"	ā	67=10.91%	"от -300 до 200"	i	17=2.77%	"от -300 до 200"	ī	16=2.61%	"от -300 до 200"	u	14=2.28%	"от -300 до 200"	ū	13=2.12%	"от -300 до 200"	e	6=0.98%	"от -300 до 200"	ṛ	42=6.84%	"от -300 до 200"	k	2=0.33%	"от -300 до 200"	ḍ	1=0.16%	"от -300 до 200"	ch	3=0.49%	"от -300 до 200"	j	30=4.89%	"от -300 до 200"	c	14=2.28%	"от -300 до 200"	th	3=0.49%	"от -300 до 200"	dh	19=3.09%	"от -300 до 200"	t	21=3.42%	"от -300 до 200"	d	34=5.54%	"от -300 до 200"	n	15=2.44%	"от -300 до 200"	bh	8=1.30%	"от -300 до 200"	p	27=4.40%	"от -300 до 200"	m	43=7.00%	"от -300 до 200"	y	99=16.12%	"от -300 до 200"	r	5=0.81%	"от -300 до 200"	l	3=0.49%	"от -300 до 200"	v	5=0.81%	"от -300 до 200"	ṣ	37=6.03%	"от -300 до 200"	ś	26=4.23%	"от -300 до 200"	s	24=3.91%	"от -300 до 200"	h	20=3.26%
Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank
sthā	v	0,26692	ji	v	0,12124	prī	v	0,06736	śru	v	0,43889	bhū	v	0,80346	upe	v	0,04692	kṛ	v	0,98147	śak	v	0,08427	krīḍ	v	0,01533	pracch	v	0,08399	yuj	v	0,15023	vac	v	1,11424	vyath	v	0,02295	krudh	v	0,11177	pat	v	0,12031	vid	v	0,20365	han	v	0,33660	labh	v	0,10926	prāp	v	0,23385	gam	v	0,66466	kathay	v	0,10814	car	v	0,11288	jval	v	0,03781	jīv	v	0,06522	iṣ	v	0,18712	dṛś	v	0,69541	as	v	0,65332	grah	v	0,13211
dā	v	0,23097	āśri	v	0,03893	śī	v	0,04645	abhidru	v	0,03874	brū	v	0,42171	same	v	0,03633	hṛ	v	0,07228	śaṅk	v	0,01041				paripracch	v	0,02007	tyaj	v	0,08520	muc	v	0,10489	prath	v	0,00948	vyadh	v	0,08761	vṛt	v	0,11232	chid	v	0,09737	man	v	0,17271	ārabh	v	0,02862	avāp	v	0,06178	āgam	v	0,16742	pūjay	v	0,08975	tvar	v	0,03911	cal	v	0,01552	sev	v	0,03633	rakṣ	v	0,06884	paś	v	0,15320	vas	v	0,09272	arh	v	0,12738
jñā	v	0,13778	i	v	0,03177	nī	v	0,04422	cyu	v	0,02741	sambhū	v	0,03726	pre	v	0,01709	smṛ	v	0,07052							ṛch	v	0,00929	bhuj	v	0,06346	pravac	v	0,05677	pramath	v	0,00901	yudh	v	0,08157	pravṛt	v	0,05630	vad	v	0,06262	jan	v	0,15618	śubh	v	0,02787	dīp	v	0,05807	ram	v	0,06188	cintay	v	0,05714	vicar	v	0,03001	prajval	v	0,01273	abhidhāv	v	0,01979	hṛṣ	v	0,06113	praviś	v	0,10341	ās	v	0,04125	ah	v	0,11855
yā	v	0,13778	viji	v	0,03029	bhī	v	0,04348	hu	v	0,02722	abhibhū	v	0,01849	e	v	0,01700	vṛ	v	0,04497										utsṛj	v	0,04878	vimuc	v	0,04255				vadh	v	0,05779	nipat	v	0,05119	sampad	v	0,06262	nihan	v	0,13397	saṁrabh	v	0,01793	tap	v	0,05073	samāgam	v	0,04497	āsāday	v	0,05649	ācar	v	0,02406				niṣev	v	0,01728	bhāṣ	v	0,05491	āviś	v	0,04162	prahas	v	0,03196	dah	v	0,06243
ādā	v	0,09495	nirji	v	0,02490	ānī	v	0,03503	viśru	v	0,02657	prādurbhū	v	0,01468	abhye	v	0,00901	mṛ	v	0,03614										sṛj	v	0,04831	śuc	v	0,03930				saṁkrudh	v	0,04608	nivṛt	v	0,04748	bhid	v	0,05965	abhihan	v	0,03196	upalabh	v	0,01644	samprāp	v	0,03837	niyam	v	0,04311	dhāray	v	0,04887	samācar	v	0,00920				dhāv	v	0,00855	prekṣ	v	0,03270	naś	v	0,03465	praśaṁs	v	0,03038	pratigrah	v	0,04655
hā	v	0,09300	udi	v	0,01821	atī	v	0,02304	stu	v	0,02165	pū	v	0,01356	ape	v	0,00762	āvṛ	v	0,03540										yaj	v	0,04395	prativac	v	0,03753				bandh	v	0,04497	yat	v	0,03187	vid	v	0,04432	āhan	v	0,02648	lubh	v	0,01189	kṣip	v	0,03614	abhigam	v	0,04060	pātay	v	0,04190										prahṛṣ	v	0,03177	viś	v	0,02806	upās	v	0,02787	muh	v	0,03651
āsthā	v	0,07024	kṣi	v	0,01812	vinī	v	0,01756	pradru	v	0,02063	prasū	v	0,01319				puraskṛ	v	0,03298										visṛj	v	0,03781	yāc	v	0,02332				vṛdh	v	0,03512	āpat	v	0,02750	upapad	v	0,03540	samman	v	0,02239	kṣubh	v	0,00771	āp	v	0,03475	udyam	v	0,03828	parivāray	v	0,03800										ācakṣ	v	0,03159	spṛś	v	0,02704	śaṁs	v	0,02183	prāh	v	0,03484
prayā	v	0,06448	niści	v	0,01747	adhī	v	0,01719	dru	v	0,02025	prabhū	v	0,01152				saṁvṛ	v	0,02964										bhañj	v	0,03679	abhiṣic	v	0,02090				budh	v	0,03391	utpat	v	0,02128	nad	v	0,03280	avaman	v	0,01802	pratilabh	v	0,00753	svap	v	0,03085	prayam	v	0,03735	pīḍay	v	0,03698										tuṣ	v	0,02750	vinaś	v	0,02397	śās	v	0,02025	vah	v	0,03326
vidhā	v	0,06095	vismi	v	0,01709	vī	v	0,01496	vidru	v	0,01189	prabrū	v	0,00985				pṛ	v	0,02834										saṁyuj	v	0,03187	ruc	v	0,01895				nibudh	v	0,02527	abhivṛt	v	0,01886	prasad	v	0,03261	saṁjan	v	0,01728				anuprāp	v	0,02481	upasaṁkram	v	0,03196	darśay	v	0,03623										avekṣ	v	0,02648	upaviś	v	0,01960	nivas	v	0,01784	āruh	v	0,03233
utthā	v	0,05537	prahi	v	0,01431	parī	v	0,01449	āplu	v	0,01106	anubhū	v	0,00827				vṛ	v	0,02722										vraj	v	0,02574	pramuc	v	0,01264				sidh	v	0,01737	saṁvṛt	v	0,01635	pratipad	v	0,03252	vinihan	v	0,01579				vilap	v	0,02044	anugam	v	0,03159	vāray	v	0,03596										dviṣ	v	0,02453	kruś	v	0,01728	gras	v	0,01459	pragrah	v	0,02592
vijñā	v	0,05138	saṁśri	v	0,01245	samānī	v	0,00957	pratiśru	v	0,00929	uddhū	v	0,00808				satkṛ	v	0,02611										parityaj	v	0,02527	nirmuc	v	0,00873				samṛdh	v	0,01487	anuvṛt	v	0,01468	utpad	v	0,03103	upahan	v	0,01059				śap	v	0,02007	upagam	v	0,03057	coday	v	0,03530										viśiṣ	v	0,02211	uddiś	v	0,01505	nyas	v	0,01440	utsah	v	0,02313
pradā	v	0,05008	parāji	v	0,01208	pratī	v	0,00892	upadru	v	0,00920	dhū	v	0,00762				dhṛ	v	0,02564										bhaj	v	0,02323	arc	v	0,00855				śudh	v	0,01421	nikṛt	v	0,01449	rud	v	0,02927	prajan	v	0,00873				gup	v	0,01784	adhigam	v	0,02982	samāsāday	v	0,03419										samīkṣ	v	0,02193	aś	v	0,01384	tras	v	0,01347	nigrah	v	0,01784
upasthā	v	0,04590	smi	v	0,01171	abhī	v	0,00883	plu	v	0,00910	vidhū	v	0,00753				vihṛ	v	0,02555										prayuj	v	0,01988	viruc	v	0,00762				vivṛdh	v	0,01366	abhipat	v	0,01394	niṣad	v	0,02871	saṁhan	v	0,00762				saṁtap	v	0,01514	atikram	v	0,02815	kāray	v	0,03354										vṛṣ	v	0,01951	praṇaś	v	0,01356	anuśās	v	0,01319	parigrah	v	0,01542
niśā	v	0,04422	samāśri	v	0,01161	praṇī	v	0,00873	sru	v	0,00753							parivṛ	v	0,02481										pariṣvaj	v	0,01812	sic	v	0,00725				viśudh	v	0,01356	prapat	v	0,01217	mad	v	0,02834	pratihan	v	0,00753				tṛp	v	0,01431	praṇam	v	0,02360	arday	v	0,03335										abhibhāṣ	v	0,01951	upadiś	v	0,01338	has	v	0,01319	sah	v	0,01524
