"от 700 до 1200"	ā	62=10.03%	"от 700 до 1200"	i	14=2.27%	"от 700 до 1200"	ī	19=3.07%	"от 700 до 1200"	u	8=1.29%	"от 700 до 1200"	ū	15=2.43%	"от 700 до 1200"	e	8=1.29%	"от 700 до 1200"	ṛ	45=7.28%	"от 700 до 1200"	kh	2=0.32%	"от 700 до 1200"	k	2=0.32%	"от 700 до 1200"	ṭh	1=0.16%	"от 700 до 1200"	ṭ	2=0.32%	"от 700 до 1200"	ḍ	1=0.16%	"от 700 до 1200"	ch	2=0.32%	"от 700 до 1200"	j	32=5.18%	"от 700 до 1200"	c	18=2.91%	"от 700 до 1200"	th	2=0.32%	"от 700 до 1200"	dh	24=3.88%	"от 700 до 1200"	t	10=1.62%	"от 700 до 1200"	d	34=5.50%	"от 700 до 1200"	n	18=2.91%	"от 700 до 1200"	bh	6=0.97%	"от 700 до 1200"	p	27=4.37%	"от 700 до 1200"	b	1=0.16%	"от 700 до 1200"	m	34=5.50%	"от 700 до 1200"	y	118=19.09%	"от 700 до 1200"	r	6=0.97%	"от 700 до 1200"	l	3=0.49%	"от 700 до 1200"	v	4=0.65%	"от 700 до 1200"	ṣ	26=4.21%	"от 700 до 1200"	ś	25=4.05%	"от 700 до 1200"	s	23=3.72%	"от 700 до 1200"	h	26=4.21%
Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank
dā	v	0,35225	ji	v	0,08581	nī	v	0,05229	śru	v	0,30897	bhū	v	0,73151	upe	v	0,05304	kṛ	v	0,90963	likh	v	0,00976	śak	v	0,03252	paṭh	v	0,04003	ceṣṭ	v	0,00751	krīḍ	v	0,02752	pracch	v	0,07130	yuj	v	0,11058	vac	v	0,95967	prath	v	0,00600	śudh	v	0,04603	pat	v	0,08656	vid	v	0,14585	jan	v	0,21890	labh	v	0,16612	prāp	v	0,15035	avalamb	v	0,00675	gam	v	0,52987	pūjay	v	0,16486	car	v	0,08881	jval	v	0,01726	jīv	v	0,04403	iṣ	v	0,12209	dṛś	v	0,44581	as	v	0,63219	grah	v	0,10908
sthā	v	0,25168	āśri	v	0,04703	prī	v	0,04303	stu	v	0,07855	brū	v	0,13559	pre	v	0,01426	smṛ	v	0,19564	ālikh	v	0,00550	śaṅk	v	0,00650				paryaṭ	v	0,00550				vāñch	v	0,00901	sṛj	v	0,09857	muc	v	0,14235	math	v	0,00575	bandh	v	0,04428	vṛt	v	0,06705	vad	v	0,09031	han	v	0,11058	ārabh	v	0,02026	jap	v	0,07380				āgam	v	0,11658	kathay	v	0,14660	ācar	v	0,03402	cal	v	0,01301	sev	v	0,03878	tuṣ	v	0,05729	paś	v	0,07480	vas	v	0,07180	ah	v	0,10407
yā	v	0,18013	i	v	0,02502	bhī	v	0,03452	hu	v	0,04303	sambhū	v	0,03227	e	v	0,01276	mṛ	v	0,07505																			tyaj	v	0,08256	pravac	v	0,13860				sidh	v	0,03052	pravṛt	v	0,04128	prasad	v	0,05729	man	v	0,08531	upalabh	v	0,01976	āp	v	0,07155				praṇam	v	0,08631	sthāpay	v	0,06279	samācar	v	0,02702	gal	v	0,00726	niṣev	v	0,01226	hṛṣ	v	0,03477	praviś	v	0,06104	ās	v	0,06279	arh	v	0,07805
snā	v	0,14735	kṣi	v	0,01676	atī	v	0,02977	viśru	v	0,03577	pū	v	0,03102	same	v	0,01226	hṛ	v	0,04928																			bhuj	v	0,07830	vimuc	v	0,03052				viśudh	v	0,02502	nivṛt	v	0,02927	bhid	v	0,04428	saṁjan	v	0,02677	śubh	v	0,00700	tap	v	0,05954				ram	v	0,06980	varjay	v	0,05129	vicar	v	0,01176				dhāv	v	0,01126	bhāṣ	v	0,03327	naś	v	0,05329	upās	v	0,02552	prāh	v	0,06880
jñā	v	0,13760	udi	v	0,01601	śī	v	0,02627	cyu	v	0,01426	anubhū	v	0,01801	ape	v	0,00826	bhṛ	v	0,03703																			yaj	v	0,05529	vinirmuc	v	0,02202				budh	v	0,01951	praṇipat	v	0,02452	sampad	v	0,04278	nihan	v	0,02602	lubh	v	0,00675	avāp	v	0,05779				śam	v	0,05904	arcay	v	0,05079	sphur	v	0,01076							rakṣ	v	0,02927	spṛś	v	0,03527	upavas	v	0,02277	dah	v	0,06054
hā	v	0,08281	samāśri	v	0,01426	adhī	v	0,02302	saṁstu	v	0,00901	sū	v	0,01676	samave	v	0,00700	namaskṛ	v	0,03452																			vraj	v	0,04553	abhiṣic	v	0,01851				vṛdh	v	0,01501	nṛt	v	0,02227	vid	v	0,04203	vitan	v	0,02026	kṣubh	v	0,00600	samprāp	v	0,03277				nam	v	0,03678	cintay	v	0,04653	tvar	v	0,00525							nirīkṣ	v	0,02177	āviś	v	0,03352	nyas	v	0,02126	muh	v	0,04103
vidhā	v	0,07855	niści	v	0,01376	ānī	v	0,02001	dru	v	0,00851	prasū	v	0,01301	abhyupe	v	0,00625	dhṛ	v	0,02977																			saṁyuj	v	0,04078	pramuc	v	0,01826				nibudh	v	0,01501	nipat	v	0,01526	prapad	v	0,03753	samman	v	0,01551				svap	v	0,02652				bhram	v	0,03177	kāray	v	0,04103										vīkṣ	v	0,02126	viś	v	0,03052	śaṁs	v	0,01851	āruh	v	0,03402
dhyā	v	0,07230	viji	v	0,01251	vī	v	0,01151	plu	v	0,00525	prādurbhū	v	0,01026	abhye	v	0,00600	vṛ	v	0,02902																			bhaj	v	0,03527	yāc	v	0,01776				vadh	v	0,01326	anuvṛt	v	0,00801	utpad	v	0,03402	tan	v	0,01526				kṣip	v	0,02552				prayam	v	0,02952	sampūjay	v	0,03953										viśiṣ	v	0,01901	aś	v	0,02152	prahas	v	0,01776	vah	v	0,02652
ādā	v	0,05554	vismi	v	0,01051	pratī	v	0,00951				vidhū	v	0,01001				āvṛ	v	0,02852																			vibhaj	v	0,02677	śuc	v	0,01251				virudh	v	0,01201	yat	v	0,00776	mud	v	0,02702	upahan	v	0,00951				dīp	v	0,02076				niyam	v	0,02652	ārādhay	v	0,03853										īkṣ	v	0,01851	uddiś	v	0,01976	has	v	0,01676	vyapoh	v	0,02277
pā	v	0,05479	smi	v	0,00951	lī	v	0,00901				udbhū	v	0,00926				uddhṛ	v	0,02802																			parityaj	v	0,02302	abhyarc	v	0,01201				krudh	v	0,01151	āpat	v	0,00525	vand	v	0,02477	abhiman	v	0,00851				tṛp	v	0,01701				samāgam	v	0,02452	darśay	v	0,03678										duṣ	v	0,01601	ādiś	v	0,01501	gras	v	0,01501	guh	v	0,01951
vijñā	v	0,05104	śri	v	0,00726	vinī	v	0,00876				abhibhū	v	0,00876				pṛ	v	0,02402																			visṛj	v	0,02152	sampravac	v	0,00926				bādh	v	0,01026				chid	v	0,02402	prajan	v	0,00851				kup	v	0,01626				nirgam	v	0,02076	vivarjay	v	0,03628										ācakṣ	v	0,01326	vinaś	v	0,01476	vinyas	v	0,01426	anugrah	v	0,01801
saṁsthā	v	0,05104	prahi	v	0,00726	krī	v	0,00776				samudbhū	v	0,00776				vikṛ	v	0,02377																			prayuj	v	0,01851	ruc	v	0,00801				rudh	v	0,00926				rud	v	0,01901	vijan	v	0,00851				vyāp	v	0,01476				udyam	v	0,01851	kīrtay	v	0,03452										juṣ	v	0,01226	samāviś	v	0,01376	nivas	v	0,01351	sah	v	0,00951
āsthā	v	0,04778	nirji	v	0,00675	upanī	v	0,00776				prabhū	v	0,00726				prakṛ	v	0,02252																			utsṛj	v	0,01826	nirmuc	v	0,00801				yudh	v	0,00901				āpad	v	0,01776	āhan	v	0,00801				śap	v	0,01251				āyam	v	0,01826	bhāvay	v	0,03377										puṣ	v	0,01226	saṁspṛś	v	0,01326	praśaṁs	v	0,01301	nigrah	v	0,00901
gā	v	0,04628	saṁci	v	0,00525	apanī	v	0,00675				dhū	v	0,00525				alaṁkṛ	v	0,02001																			rāj	v	0,01251	prativac	v	0,00675				nirudh	v	0,00901				pratipad	v	0,01676	saṁhan	v	0,00726				kﾱp	v	0,01226				niram	v	0,01526	dāpay	v	0,03027										dviṣ	v	0,01151	praṇaś	v	0,01226	śās	v	0,01226	nirdah	v	0,00901
pradā	v	0,04053				pralī	v	0,00625				avadhū	v	0,00525				saṁhṛ	v	0,02001																			samāyuj	v	0,01201	pac	v	0,00625				vivṛdh	v	0,00801				mad	v	0,01626	abhihan	v	0,00650				gup	v	0,01076				adhigam	v	0,01476	āsāday	v	0,03002										anviṣ	v	0,01126	upaviś	v	0,01176	niras	v	0,01151	duh	v	0,00876
