"от -800 до -300"	ā	65=10.64%	"от -800 до -300"	i	18=2.95%	"от -800 до -300"	ī	16=2.62%	"от -800 до -300"	u	15=2.45%	"от -800 до -300"	ū	10=1.64%	"от -800 до -300"	e	6=0.98%	"от -800 до -300"	ṛ	43=7.04%	"от -800 до -300"	k	2=0.33%	"от -800 до -300"	g	1=0.16%	"от -800 до -300"	ḍ	3=0.49%	"от -800 до -300"	ṇ	1=0.16%	"от -800 до -300"	ch	3=0.49%	"от -800 до -300"	j	35=5.73%	"от -800 до -300"	c	17=2.78%	"от -800 до -300"	th	3=0.49%	"от -800 до -300"	dh	21=3.44%	"от -800 до -300"	t	18=2.95%	"от -800 до -300"	d	32=5.24%	"от -800 до -300"	n	17=2.78%	"от -800 до -300"	bh	9=1.47%	"от -800 до -300"	p	22=3.60%	"от -800 до -300"	m	37=6.06%	"от -800 до -300"	y	80=13.09%	"от -800 до -300"	r	8=1.31%	"от -800 до -300"	l	3=0.49%	"от -800 до -300"	v	12=1.96%	"от -800 до -300"	ṣ	39=6.38%	"от -800 до -300"	ś	26=4.26%	"от -800 до -300"	s	25=4.09%	"от -800 до -300"	h	24=3.93%
Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank
ādā	v	0,05677	niści	v	0,01371	parī	v	0,01850	yu	v	0,01914	abhibhū	v	0,00989				dhṛ	v	0,03285																añj	v	0,02902	pravac	v	0,02073				bādh	v	0,02902	abhivṛt	v	0,01658	nad	v	0,02806	kan	v	0,01435				avāp	v	0,01563	āyam	v	0,02679	arday	v	0,02966							prāv	v	0,01180	avekṣ	v	0,02456	naś	v	0,02775	upās	v	0,01882	pragrah	v	0,02264
utthā	v	0,04369	kṣi	v	0,01308	vinī	v	0,01244	abhidru	v	0,01722							pṛ	v	0,02870																visṛj	v	0,02870	yāc	v	0,01914				vidh	v	0,02424	samutpat	v	0,01180	āsad	v	0,02806	samman	v	0,01435				pradīp	v	0,01563	prayam	v	0,02360	bhakṣay	v	0,02838							johav	v	0,00989	prekṣ	v	0,02392	naś	v	0,02105	tras	v	0,01626	ruh	v	0,01658
āsthā	v	0,04210	ri	v	0,01276	atī	v	0,01148	viśru	v	0,01722							mṛ	v	0,02488																vṛj	v	0,02551	vimuc	v	0,01850				vyadh	v	0,02169	niṣpat	v	0,01148	vand	v	0,02519	saṁjan	v	0,01148				tṛp	v	0,01403	upagam	v	0,02328	bhūṣay	v	0,02743							inv	v	0,00957	puṣ	v	0,02360	spṛś	v	0,02009	vivās	v	0,01180	guh	v	0,01626
rā	v	0,04178	vici	v	0,01244	śrī	v	0,01148	āplu	v	0,01308							saṁvṛ	v	0,02232																utsṛj	v	0,02488	pṛc	v	0,01339				samṛdh	v	0,01339	dyut	v	0,01084	niṣad	v	0,02456	vitan	v	0,01116				śap	v	0,01308	kram	v	0,02232	pātay	v	0,02615										riṣ	v	0,02232	vinaś	v	0,01786	as	v	0,01148	utsah	v	0,01563
bhā	v	0,03923	vismi	v	0,01116	samānī	v	0,01084	vidru	v	0,01084							smṛ	v	0,02201																pariṣvaj	v	0,02424	ric	v	0,01308				pravṛdh	v	0,01276	ativṛt	v	0,01021	mud	v	0,02264	upahan	v	0,01084				gup	v	0,01212	upakram	v	0,02137	darśay	v	0,02551										saṁhṛṣ	v	0,02105	kruś	v	0,01435	nivas	v	0,01148	mah	v	0,01563
upasthā	v	0,03795	viji	v	0,00957	vī	v	0,01021	pradru	v	0,00829							puraskṛ	v	0,02169																saṁyuj	v	0,02105	pac	v	0,00925				rudh	v	0,01244	anuvṛt	v	0,00957	prasad	v	0,02009	ran	v	0,01021				kup	v	0,01148	niyam	v	0,02041	pālay	v	0,02392										śikṣ	v	0,02105	upaviś	v	0,01403	niḥśvas	v	0,01084	muh	v	0,01435
vijñā	v	0,03763	vici	v	0,00925	dhī	v	0,00893										sṛ	v	0,02009																bhrāj	v	0,01882	vraśc	v	0,00797				sādh	v	0,01180	nikṛt	v	0,00893	viṣad	v	0,01850	uddhan	v	0,00893				prasvap	v	0,01148	vikram	v	0,01945	pīḍay	v	0,02328										vṛṣ	v	0,01882	prakāś	v	0,01371	siṣās	v	0,01084	nirdah	v	0,01212
śā	v	0,03731	ucchri	v	0,00734													āhṛ	v	0,02009																parityaj	v	0,01786	śośuc	v	0,00765				vivṛdh	v	0,01148	abhipat	v	0,00861	vinad	v	0,01818	vinihan	v	0,00734				anuprāp	v	0,01116	śam	v	0,01914	vardhay	v	0,02264										cakṣ	v	0,01850	samāviś	v	0,01021	anuśās	v	0,01021	parigrah	v	0,01148
prayā	v	0,03412	saṁśri	v	0,00734													jāgṛ	v	0,01850																vraj	v	0,01626							śudh	v	0,00861	kṛt	v	0,00797	ad	v	0,01754							vip	v	0,01052	praṇam	v	0,01850	niśāmay	v	0,02264										ācakṣ	v	0,01754	aś	v	0,00989	nyas	v	0,00957	prāh	v	0,01116
vidhā	v	0,03381																vikṛ	v	0,01850																virāj	v	0,01467							ṛdh	v	0,00829				krand	v	0,01690							jap	v	0,00861	atikram	v	0,01818	vartay	v	0,02169										dhṛṣ	v	0,01690	saṁdiś	v	0,00989	dhvaṁs	v	0,00861	nigrah	v	0,00893
