final_member	mw_class	mw_first_members	corpus_compounds	corpus_tokens	corpus_first_members	overlap_first	mw_only_first	corpus_only_first	corpus_status
ja	KRT_STEM_MEMBER	461	1417	2054	689	185	276	504	final
pati	UTTARAPADA	358	380	1308	200	90	268	110	final
kara	KRT_STEM_MEMBER	331	1241	1519	490	121	210	369	final
kāra	KRT_STEM_MEMBER	284	52	62	36	17	267	19	final
karman	UTTARAPADA	274	588	1114	320	95	179	225	final
mukha	UTTARAPADA	258	707	1177	431	75	183	356	final
kṛt	KRT_STEM_MEMBER	245	396	668	233	82	163	151	final
rāja	UTTARAPADA	244	374	1727	133	60	184	73	final
phala	UTTARAPADA	236	732	1212	363	54	182	309	final
deva	UTTARAPADA	229	279	1589	159	41	188	118	final
sāra	UTTARAPADA	223	208	217	146	31	192	115	final
kṛta	KRT_STEM_MEMBER	222	38	72	28	6	216	22	final
pura	UTTARAPADA	222	120	227	87	18	204	69	final
bhāva	KRT_STEM_MEMBER	213	475	482	292	59	154	233	final
stha	KRT_STEM_MEMBER	197	1556	2160	568	114	83	454	final
pattra	UTTARAPADA	188	395	638	199	44	144	155	final
karaṇa	UTTARAPADA	185	268	254	185	20	165	165	final
putra	UTTARAPADA	185	774	2544	297	55	130	242	final
pāla	KRT_STEM_MEMBER	183	65	150	39	22	161	17	final
vrata	UTTARAPADA	177	178	356	116	32	145	84	final
dhara	KRT_STEM_MEMBER	173	482	577	170	48	125	122	final
sūtra	UTTARAPADA	173	82	79	65	23	150	42	final
rūpa	UTTARAPADA	172	1427	1969	692	85	87	607	final
nātha	UTTARAPADA	166	146	165	89	18	148	71	final
bhūta	KRT_STEM_MEMBER	165	66	74	38	5	160	33	final
puṣpa	UTTARAPADA	163	185	237	113	28	135	85	final
da	KRT_STEM_MEMBER	161	511	1338	203	76	85	127	final
pada	UTTARAPADA	160	543	648	357	46	114	311	final
sthāna	UTTARAPADA	156	361	450	265	45	111	220	final
datta	UTTARAPADA	154	1	1	1	0	154	1	final
sena	UTTARAPADA	151	0	0	0	0	151	0	form_variant
bhṛt	KRT_STEM_MEMBER	150	94	310	68	32	118	36	final
kāla	UTTARAPADA	149	623	1089	349	65	84	284	final
