parent	n_children	children
jalukā	1	jalūkā
jale	6	jalecara|jalecchayā|jalejāta|jaleruha|jalevāha|jaleśaya
jaloka	1	jalokikā
jalāṣa	1	jalāṣabheṣaja
jalpa	3	jalpakalpataru|jalpakalpalatā|jalpeśvara-māhātmya
jalpaka	2	jalpana|jalpāka
jalpitṛ	2	jalpin|jalpya
java	5	javayukta|javavat|javāgraja|javādhika|javānila
javanikā	1	javanikāntara
javā	1	javāpuṣpa
jahat	2	jahatsvārtha|jahal-lakṣaṇā
jahana	1	jahāka
jahi	2	jahijoḍa|jahistambha
jahnu	5	jahnukanyā|jahnutanayā|jahnuprajā|jahnusaptamī|jahnusutā
jā	5	jāṁ-dhita|jāvat|jāvan|jās-pati|jās-patya
jāṁhāgira	1	jāṁhāgiranagara
jāgata	1	jāgatineya
jāgara	2	jāgarotsava|jāgaraka
jāgaraṇa	1	jāgaram
jāgarita	4	jāgaritadeśa|jāgaritavat|jāgaritasthāna|jāgaritānta
jāgarūka	5	jāgartavya|jāgarti|jāgaryā|jāgṛtavya|jāgṛvas
jāgrat	2	jāgratprapañca|jāgratsvapna
jāgrad	3	jāgradavasthā|jāgraddaśā|jāgradduṣvapnya
jāgran	1	jāgranmiśra
jāghanī	1	jāghanīguda
jāṅgali	2	jāṅgalika|jāṅgalin
jāṭāsuri	1	jaṭikāyana
jāḍya	1	jāḍyāri
jāṇḍaka	1	jāṇḍāra
jāta	78	jātakarman|jātakalāpa|jātakāma|jātakopa|jātakautuka|jātakautūhala|jātakrodha|jātakṣobha|jātatarṣa|jātatokā|jātadanta|jātadoṣa|jātanaṣṭa|jātapakṣa|jātapāśa|jātaputra|jātapūrva|jātapratyaya|jātaprāya|jātabala|jātabrāhmaṇa-śabda|jātabuddhi|jātabhāva|jātabhī|jātamanmatha|jātamātra|jātamāsā|jātamṛta|jātarajas|jātarasa|jātarāga|jātarūpa|jātaroma|jātaroṣa|jātavat|jātavāsaka|jātavāsa-gṛha|jātavidyā|jātavidyā|jātavinaṣṭa|jātavibhrama|jātaviśvāsa|jātaveda|jātavedas|jātavedas|jātavedasa|jātavedasīya|jātavedasya|jātavepathu|jātaveśman|jātaśilā|jātaśṛṅga|jātaśmaśru|jātaśrama|jātasaṁvatsarā|jātasaṁvṛddha|jātasaṁkalpa|jātasa-sneha|jātasādhvasa|jātasena|jātasenya|jātasneha|jātaspṛha|jātaharṣa|jātahāriṇī|jātahārda|jātāgas|jātānukampa|jātāpatyā|jātāparādha|jātābhiṣaṅga|jātāmarṣa|jātāśru|jātāstha|jātāṣṭi|jātaikabhakti|jātokṣa|jātodaka
jātaka	10	jātakadarpaṇa|jātakadhvani|jātakapaddhati|jātakabhūṣaṇa|jātakamañjarī|jātakamuktāvalī|jātakaratna|jātakalakṣaṇa|jātakasaṁgraha|jātakāmbhonidhi
jāti	41	jātikośa|jātijānapada|jātitas|jātitā|jātitva|jātidīpaka|jātidharma|jātidhvaṁsa|jātinirṇaya|jātiṁ-dhara|jātipattrī|jātiparivṛtti|jātiparṇī|jātiphala|jātibrāhmaṇa|jātibhāj|jātibhraṁśa|jātibhraṣṭa|jātimat|jātimaha|jātimātra|jātimālā|jātilakṣaṇa|jātivacana|jātivācaka|jātivicāra|jātiviveka|jātivaira|jātivailakṣaṇya|jātiśabda|jātiśasya|jātisampanna|jātisasya|jātisāṁkarya|jātisāra|jātismara|jātismaraṇa|jātisvabhāva|jātihīna|jāty-antarīyaka|jāty-utpatti-krama
jātī	4	jātīkośa|jātīpattrī|jātīphala|jātīrasa
jātīyaka	1	jātṛ
jāty	5	jātyandha|jātyapahārin|jātyaśva|jātyutkarṣa|jātyutpala
jātya	1	jātyaratna-maya
jātū	2	jātūbharman|jātūṣṭhira
jātuki	1	jātuṣa
jānakī	12	jānakīgītā|jānakīdeha-bhūṣa|jānakīnātha|jānakīpariṇaya|jānakīmantra|jānakīrāghava|jānakīrama-candra-vilāsa|jānakīvallabha|jānakīśa|jānakīsahasra-nāma-stotra|jānakīsvayaṁvara|jānakīharaṇa
jānakīya	1	jānaṁtapi
jānapada	3	jānapadika|jānarājya|jānavādika
jānī	1	jānukā
jānat	2	jānanti|jānāna
jānu	12	jānucalana|jānujaṅgha|jānudaghna|jānunikuñcana|jānupracalana|jānuprahṛta|jānuprahṛta-phalaka|jānumaṇḍala|jānumātra|jānuśiras|jānusaṁdhi|jānv-antarā
jānv	3	jānvakna|jānvasthi|jānvākna
jābāla	2	jābālaśruti|jābālopaniṣad
jābāli	1	jābālīśvara
jāmadagnya	1	jāmadagnyadvādaśī
jāmātṛ	1	jāmātṛtva
jāmi	4	jāmikṛt|jāmitva|jāmivat|jāmiśaṁsa
jāmī	1	jāmeya
jāmba	3	jāmbavat|jāmbavata|jāmbavataka
jāmbavatī	3	jāmbavatīpati|jāmbavatīvijaya|jāmbavatīharaṇa
jāmbava	2	jāmbavoṣṭha|jāmbavauṣṭha
jāmbūnada	3	jāmbūnadaparvata|jāmbūnadaprabha|jāmbūnadamaya
jāyā	6	jāyāghna|jāyājīva|jāyātva|jāyānujīvin|jāyāpatī|jāyām-patika
jāra	9	jāragarbha|jāraghnī|jāraja|jārajanman|jārajāta|jārajātaka|jāratā|jāradvaya|jārabharā
jāratineya	1	jāratkārava
jāradgava	3	jāradvṛkṣa|jāramāṇa|jāramaṇya
jāraya VERB	1	jārayan-makha
jāla	32	jālakarman|jālakāra|jālakāraka|jālakīṭa|jālakṣīrya|jālagardabha|jālagavākṣa|jālagavākṣaka|jālagoṇikā|jāladaṇḍa|jālapad|jālapada|jālapāda|jālapāśa|jālapura|jālaprāyā|jālabaddha|jālabandha|jālabhūṣaṇa|jālamārga|jālamālā|jālavat|jālavarvurika|jālavarvūraka|jālasarasa|jālahāsinī|jālākṣa|jālāṅgulika|jālābaddhāṅguli-pāṇi-pāda-talatā|jālāmukha|jālāvanaddha|jālopajīvin
jālaka	2	jālakagardabha|jālakamālin
jālakita	2	jālakinī|jālāya
jālin	1	jālinī-mukha
jālaṁdharāyaṇa	2	jālaṁdharāyaṇaka|jālaṁdhari
jigīṣā	1	jigīṣotsāha-vat
jigīṣu	1	jigīṣutā
jit	1	jittama
jita	30	jitakāśi|jitakāśin|jitakopa|jitakrodha|jitaklama|jitatara|jitanemi|jitamanas|jitamanyu|jitaloka|jitavatī|jitavrata|jitaśatru|jitaśiśnodara|jitaśrama|jitaśvāsa|jitasaṅga|jitasvarga|jitahasta|jitākṣa|jitākṣara|jitātman|jitāmitra|jitāri|jitāśva|jitāṣṭamī|jitāsana|jitāhava|jitāhāra|jitendriya
jighṛkṣu	1	jighṛkṣutā
jijīṣu	1	jijyūṣita
jijñāsana	1	jijñāsanīya
jijñāsā	1	jijñāsāprastāva
jina	59	jinakalpa|jinakalpika|jinakīrti|jinakuśala|jinacandra|jinajyā|jinadatta|jinadāsa|jinadeva|jinadharma|jinapati|jinapadma|jinaputra|jinaprabodha|jinaprabha|jinabimba-pratiṣṭhā|jinabhakti|jinabhadra|jinamaṇḍana|jinamāṇikya|jinamitra|jinayajña-kalpa|jinayoni|jinarakṣita|jinaratna|jinarāja|jinarṣi|jinalabdhi|jinalābha|jinavaktra|jinavardhana|jinavallabha|jinavimala|jinavṛtta|jinaśataka|jinaśata-pañjikā|jinaśāsana|jinaśekhara|jinaśrī|jinasadman|jinasamudra|jinasahasra-nāma-stotra|jinasāgara|jinasiṁha|jinasena|jinasaukhya|jinastuti|jinahaṁsa|jinaharṣa|jināṁśa-jyā|jināṅkura|jinādi-vijaya|jinādhāra|jinendra|jineśa|jineśvara|jinottama|jinodaya|jinorasa
jimbha	1	jimbhajihva-tā
jiṣṇu	2	jiṣṇugupta|jiṣṇuja
jihma	16	jihmakārin|jihmaga|jihmagati|jihmatā|jihmatva|jihmaprekṣin|jihmabāra|jihmamīna|jihmamohana|jihmayodhin|jihmaśalya|jihmaśiras|jihmaśī|jihmākṣa|jihmāśin|jihmetara
jihmī	4	jihmīkara|jihmīkaraṇa|jihmīkṛta|jihmībhū
jihvā	25	jihvākātya|jihvāgra|jihvāchedana|jihvātala|jihvānirlekhana|jihvānirlekhanika|jihvāpa|jihvāpāvan|jihvāprathana|jihvāmaya|jihvāmala|jihvāmūla|jihvāmūlīya|jihvārada|jihvālatā|jihvālih|jihvālaulya|jihvāvat|jihvāśalya|jihvāśodhana|jihvāstambha|jihvāsvāda|jihvodbhava|jihvollekhana|jihvollekhanikā
jīmūta	8	jīmūtaketu|jīmūtamūla|jīmūtavarṣin|jīmūtavāha|jīmūtavāhana|jīmūtavāhin|jīmūtasvana|jīmūtāṣṭamī
jīra	3	jīradānu|jīrādhvara|jīrāśva
jīra	2	jīraka|jīraṇa
jīrṇa	25	jīrṇajvara|jīrṇajvarin|jīrṇaṭīkā|jīrṇatā|jīrṇatājika|jīrṇatva|jīrṇadāru|jīrṇapattra|jīrṇapattrikā|jīrṇaparṇa|jīrṇapuṣpaka|jīrṇaphañjī|jīrṇabudhna|jīrṇabudhnaka|jīrṇamata|jīrṇavajra|jīrṇavat|jīrṇavastra|jīrṇavāṭikā|jīrṇaviṣa|jīrṇaśakti|jīrṇāmaya-jvara|jīrṇoddhāra|jīrṇoddhṛta|jīrṇodyāna
jīrti	1	jīrvi
jīva	123	jīvakośa|jīvakoṣaṇī|jīvakoṣaṇī|jīvagṛbh|jīvagraha|jīvagrāham|jīvaghana|jīvaghātin|jīvaghātya|jīvaghātyā|jīvaghoṣa-svāmin|jīvacūrṇa|jīvaja|jīvajīva|jīvajīvaka|jīvaṁ-jīva|jīvaṁ-jīvaka|jīvaṁ-jīvika|jīvataṇḍula|jīvatokā|jīvatyāga|jīvatva|jīvada|jīvada|jīvadatta|jīvadattaka|jīvadayā-prakaraṇa|jīvadaśā|jīvadātrī|jīvadāna|jīvadānu|jīvadāman|jīvadāyaka|jīvadeva|jīvadhana|jīvadhanya|jīvadhānī|jīvanaś|jīvanātha|jīvanāya|jīvanāyaka|jīvanāśa|jīvanāśam|jīvanikāya|jīvanetrī|jīvaṁ-dharaṇa-caritra|jīvapati|jīvapattra|jīvapatnī|jīvapitṛ|jīvapitṛka|jīvapīta-sarga|jīvaputra|jīvaputraka|jīvapurā|jīvapuṣṭā|jīvapuṣpa|jīvapṛṣṭā|jīvapraja|jīvapriyā|jīvabarhis|jīvabhadrā|jīvabhūta|jīvabhojana|jīvamandira|jīvamaya|jīvamiśra|jīvameṣaka|jīvayāja|jīvayoni|jīvarakta|jīvarahita|jīvarāja|jīvaloka|jīvalaukika|jīvavat|jīvavadha|jīvavardhanī|jīvavallī|jīvavicāra|jīvavijaya|jīvavinaya|jīvaviṣaya|jīvaviṣāṇa|jīvavṛtti|jīvaśaṁsa|jīvaśarman|jīvaśāka|jīvaśuklā|jīvaśṛṅga|jīvaśeṣa|jīvaśoṇita|jīvaśreṣṭhā|jīvasaṁkramaṇa|jīvasaṁjña|jīvasamāsa|jīvasākṣin|jīvasādhana|jīvasāphalya|jīvasiddhi|jīvasuta|jīvasūvarī|jīvasū|jīvasthāna|jīvahiṁsā|jīvāgāra|jīvājīvādhāra-kṣetra|jīvātman|jīvādāna|jīvāditya|jīvādhāna|jīvānanda|jīvānusiddhi-kulaka|jīvāntaka|jīvābhigama-sūtra|jīvāśa|jīvāśaṅkin|jīvāstikāya|jīvendhana|jīvotsarga|jīvopalambha-prakaraṇa|jīvopāya|jīvorṇā
jīvat	7	jīvattokā|jīvattokī|jīvatpati|jīvatpatikā|jīvatpatnī|jīvatpitṛ|jīvatpitṛka
jīvad	3	jīvadbhartṛkā|jīvadvatsā|jīvadvibhāga
jīvan	6	jīvanmaraṇa|jīvanmukta|jīvanmukti|jīvanmṛta|jīvanmriyamāṇa|jīvanvimukta
jīvana	12	jīvanatā|jīvanada|jīvanayoni|jīvanavat|jīvanavidambana|jīvanahetu|jīvanāghāta|jīvanānta|jīvanārha|jīvanāvāsa|jīvanopāya|jīvanauṣadha
jīvanta	1	jīvantasvāmin
jīvanti	2	jīvantiśāka|jīvantiśūlāṁkṛ
jīvātu	2	jīvātukāmyā|jīvātumat
jīvāpita	1	jīvālā
jīvikā	3	jīvikākṛ|jīvikāpanna|jīvikāprāpta
jīvita	29	jīvitakāla|jīvitakṣaya|jīvitagupta|jīvitagṛdhnu-tā|jīvitajñā|jīvitatṛṣṇā|jīvitada|jīvitanātha|jīvitapradāyin|jīvitapriya|jīvitabhūta|jīvitamaraṇa|jīvitayopana|jīvitavyaya|jīvitasaṁśaya|jīvitasama|jīvitasarvasva|jīvitahārin|jīvitākāṅkṣin|jīvitātyaya|jīvitānta|jīvitāntaka|jīvitāvabhṛtha|jīvitāvasāna|jīvitāśā|jīvitepsu|jīviteśa|jīviteśvara|jīvitodvahana
jīvitavya	2	jīvitavyaviṣaya|jīvitavyasaṁdeha
jīvin	1	jīvi-tva
jīvya	1	jīvyopāya
jugupsita	2	jugupsitatama|jugupsitatva
jugupsu	1	jugupsya
jumara	1	jumaranandin
jur VERB	1	jur
jūrṇa	3	jūrṇākhya|jūrṇāhva|jūrṇāhvaya
juṣāṇa	1	juṣāṇavat
juṣṭa	2	juṣṭatama|juṣṭatara
juṣka	1	juṣkapura
juhurāṇa	2	juhuvāṇa|juhuvāna
juhū	4	juhūtva|juhūm-agrīya|juhūvat|juhv-āsya
juhoti	3	juhoticodana|juhotiyajati-kriyā|juhoty-ādi
jūti	1	jūtimat
jūrṇi	1	jūrṇin
jṛmbhā	1	jṛmbhāvat
jṛmbhita	1	jṛmbhin
jeta	3	jetavana|jetavanīya|jetasāhvaya
jetavya	1	jetu-kāma
jetva	1	jeman
jenya	1	jenyā-vasu
jaigīṣavya	1	jaigīṣavyeśvara
jaitra	1	jaitraratha
jaitriya	2	jaitva|jaitvāyani
jaina	6	jainataraṁgiṇī|jainanagara|jainapāla|jaināyatana|jaināśrama|jainendra
jaimani	1	jaimantāyana
jaimini	5	jaiminikaḍāra|jaiminikośa-sūtra|jaiminibhāgavata|jaiminibhārata|jaiminisūtra
jaiminīya	1	jaiminīyanyāya-mālā-vistara
jaihmākani	1	jaihmāśineya
jaihvākāta	1	jaihvya
joṣa	1	joṣavāka
joṣayitavya	1	joṣayitṛ
jñu	1	jñubādh
jña	4	jñatā|jñatva|jñaṁ-manya|jñaśakti
jñaka	1	jñapita
jñapti	1	jñapticaturtha
jñaptika	1	jñā
jñāta	9	jñātakulīna|jñātatā|jñātanandana|jñātaputra|jñātamātre|jñātasarvasva|jñātasiddhānta|jñātā-dharma-kathā|jñātānvaya
jñāti	12	jñātikarman|jñātikārya|jñātitva|jñātidāsī|jñātiputra|jñātiprabhuka|jñātiprāya|jñātibhāva|jñātibheda|jñātimat|jñātimukha|jñātivid
jñātṛ	1	jñātṛtva
jñāna	93	jñānakanda|jñānakāṇḍa|jñānakīrti|jñānaketu|jñānakautūhala|jñānakhaṇḍa|jñānagamya|jñānagarbha|jñānagūha|jñānaghana|jñānacakṣus|jñānacandra|jñānatattva|jñānatapas|jñānatas|jñānatīrtha|jñānatva|jñānada|jñānadatta|jñānadarpaṇa|jñānadarśana|jñānadīpa|jñānadīrgha|jñānadurbala|jñānadeva|jñānanidhi|jñānaniścaya|jñānaniṣṭha|jñānapaṇya|jñānapata|jñānapati|jñānapara|jñānapātra|jñānapāvana|jñānapūrva|jñānaprakāśa|jñānapradīpa|jñānapradīpa|jñānaprabha|jñānapravāda|jñānaprasthāna|jñānabodhinī|jñānabhāskara|jñānamaṇḍapa|jñānamaya|jñānamārga|jñānamālā|jñānamudra|jñānamūrti|jñānameru|jñānayajña|jñānayoga|jñānaratnāvalī|jñānarāja|jñānarādha|jñānalakṣaṇā|jñānavajra|jñānavat|jñānavarman|jñānavāpī|jñānavijñāna|jñānavibhūti-garbha|jñānavilāsa-kāvya|jñānavṛddha|jñānaśakti|jñānaśāstra|jñānaśrī|jñānaśreṣṭha|jñānasaṁtati|jñānasaṁtāna|jñānasambhāra|jñānasāgara|jñānasiddhi|jñānasūryodaya|jñānahasti|jñānākara|jñānāgni|jñānājñāna-kṛta|jñānātman|jñānānanda|jñānānutpāda|jñānāmṛta|jñānārṇava|jñānāvaraṇa|jñānāvaraṇīya|jñānāvalokālaṁkāra|jñānāvasthita|jñānendra-sarasvatī|jñānendriya|jñānotkṛṣṭa|jñānottama|jñānoda-tīrtha|jñānolkā
jñānin	1	jñāni-tva
jñāpaka	2	jñāpakasamuccaya|jñāpakāvalī
jñāpana	1	jñāpanīya
jñāpita	1	jñāpti
jñīpsā	1	jñīpsyamāna
jñeya	5	jñeyajña|jñeyatā|jñeyatva|jñeyamallaka|jñeyārṇava
jman	1	jma-yā
jīta	3	jītakalpa-sūtra|jītadhara|jītavyavahāra-sūtra
jyā	1	jyāna
jyāni	1	jyāya
jyāyas	2	jyāyastva|jyāyasvat
jyeṣṭha	43	jyeṣṭhalakṣma|jyeṣṭhasāmaka|jyeṣṭhakalaśa|jyeṣṭhagṛhya|jyeṣṭhaghnī|jyeṣṭhajaghanya|jyeṣṭhatama|jyeṣṭhatara|jyeṣṭhatarikā|jyeṣṭhatas|jyeṣṭhatā|jyeṣṭhatāta|jyeṣṭhatāti|jyeṣṭhatva|jyeṣṭhapāla|jyeṣṭhapuṣkara|jyeṣṭhaprathama|jyeṣṭhabandhu|jyeṣṭhabalā|jyeṣṭhabrāhmaṇa|jyeṣṭhabrāhmaṇa|jyeṣṭhabhavikā|jyeṣṭhabhāryā|jyeṣṭhayajña|jyeṣṭharāj|jyeṣṭhalakṣmī|jyeṣṭhalalitā|jyeṣṭhavayas|jyeṣṭhavara|jyeṣṭhavarṇa|jyeṣṭhavarṇin|jyeṣṭhavṛtti|jyeṣṭhaśvaśrū|jyeṣṭhasāman|jyeṣṭhastoma|jyeṣṭhasthāna|jyeṣṭhāṁśa|jyeṣṭhānujyeṣṭhatā|jyeṣṭhāmalaka|jyeṣṭhāmbu|jyeṣṭhāśrama|jyeṣṭhāśramin|jyeṣṭheśvara
jyeṣṭhā	4	jyeṣṭhāpūjā-vilāsa|jyeṣṭhāmūla|jyeṣṭhāmūlīya|jyeṣṭhāvrata
jyaiṣṭhasāmika	1	jyaiṣṭhineya
jyā	14	jyākāra|jyākṛṣṭi|jyāghoṣa|jyānivāraṇa|jyāpāśa|jyāpiṇḍa|jyāpiṇḍaka|jyābāṇeya|jyāmagha|jyārohaṇa|jyārdha|jyāvāja|jyāhroḍa|jyotpatti
jyut VERB	1	jyuti-mat
jyotayamāmaka	1	jyotā
jyoti	6	jyotidarśana|jyotirata|jyotirathā|jyotirathyā|jyotiṣṭoma|jyotiṣṭomika
jyotiḥ	9	jyotiḥparāśara|jyotiḥpitāmaha|jyotiḥprakāśa|jyotiḥśāstra|jyotiḥṣṭoma|jyotiḥsāgara|jyotiḥsāman|jyotiḥsāra|jyotiḥsiddhānta
jyotir	32	jyotiragra|jyotiranīka|jyotiriṅga|jyotiriṅgaṇa|jyotirīśa|jyotirīśvara|jyotirudgamana|jyotirgaṇa|jyotirgarga|jyotirjarāyu|jyotirjña|jyotirjvalanārci-śrī-garbha|jyotirdhāman|jyotirnirbandha|jyotirbīja|jyotirbhāga|jyotirbhāsa-maṇi|jyotirbhāsin|jyotirmaṇḍala|jyotirmantra|jyotirmaya|jyotirmilin|jyotirmukha|jyotirmedhātithi|jyotirlatā|jyotirliṅga|jyotirlekhā|jyotirloka|jyotirvid|jyotirvidyā|jyotirvivaraṇa|jyotirhastā
jyotiś	2	jyotiścakra|jyotiścandrārka
jyotiṣ	13	jyotiṣkaṇa|jyotiṣkara|jyotiṣkaraṇḍaka|jyotiṣkalpa|jyotiṣkṛ|jyotiṣkṛt|jyotiṣkaumudī|jyotiṣṭama|jyotiṣṭva|jyotiṣpakṣa|jyotiṣprabha|jyotiṣprahīṇa|jyotiṣmat
jyotiṣa	5	jyotiṣatattva|jyotiṣaratna-mālā|jyotiṣavidyā|jyotiṣasaṁgraha|jyotiṣārṇava
jyotis	2	jyotistattva|jyotissātkṛ
jyotī	4	jyotīratha|jyotīrasa|jyotīrūpa-svayambhū|jyotīrūpeśvara
jyotsnā	10	jyotsnākālī|jyotsnāḍhya|jyotsnādi|jyotsnāpakṣa-tantra|jyotsnāpriya|jyotsnāmaya|jyotsnāvat|jyotsnāvāpī|jyotsnāvṛkṣa|jyotsneśa
jyok	2	jyokkṛ|jyoktamām
jyog	3	jyogaparuddha|jyogāmayāvin|jyogjīvātu
jraya	1	jrayas
jrayasāna	1	jri
jvara	20	jvarakṣaya|jvaraghna|jvaracikitsā|jvaradhūma-ketu|jvaranāśaka|jvaranāśinī|jvaranirṇaya|jvarapralāpa|jvarabrahmāstra|jvarahantrī|jvarahara|jvarāgni|jvarāṅkuśa|jvarāṅgī|jvarātīsāra|jvarānta|jvarāntaka|jvarāpaha|jvarāri|jvarāśani
jvarin	1	jvāra
jvala	2	jvalamukhī|jvalānana
jvalat	3	jvalac-charīra|jvalattva|jvalatprabhā
jvalan	1	jvalanmaṇi
jvalana	4	jvalanakaṇa|jvalanabhū|jvalanādhipati|jvalanāśman
jvalita	4	jvalitacakṣus|jvalitanayana|jvalitanetra|jvalitānana
jvāla	1	jvālamālākula
jvālā	12	jvālākhara-gada|jvālāgardabhaka|jvālājihva|jvālādhvaja|jvālānala|jvālāmālin|jvālāmukha|jvālārāsabhakāmaya|jvālālakṣaṇa|jvālāliṅga|jvālāvaktra|jvāleśvara
jha	1	jhakāra
jhaṅ	4	jhaṅkāra|jhaṅkārita|jhaṅkārin|jhaṅkṛta
jhañjhā	4	jhañjhānila|jhañjhāmarut|jhañjhāmāruta|jhañjhāvāta
jhaṇṭi	3	jhaṇṭīśa|jhaṇṭī|jhaṇḍī
jhaṇḍū	1	jhaṇḍūka
jhampā	3	jhampātāla|jhampānṛtya|jhampāśin
jhara	1	jharavāhalā
jharjharaka	1	jharjharin
jhalla	2	jhallakaṇṭha|jhallaka
jhaṣa	7	jhaṣaketana|jhaṣadhvaja|jhaṣapitta|jhaṣarāja|jhaṣaśreṣṭha|jhaṣāśana|jhaṣodarī
jhāṁ	3	jhāṁkāra|jhāṁkārin|jhāṁkṛta
jhāṭa	2	jhāṭāmalā|jhāṭāstraka
jhirukā	2	jhillarī|jhilli
jhillī	2	jhillīkaṇṭha|jhillīka
ña	1	ñakāra
ṭa	3	ṭakāra|ṭavarga|ṭavargīya
ṭakka	2	ṭakkadeśa|ṭakkadeśīya
ṭaṅka	4	ṭaṅkaṭīka|ṭaṅkapati|ṭaṅkavat|ṭaṅkaśālā
ṭaṅkaka	2	ṭaṅkakapati|ṭaṅkakaśālā
ṭaṅkaṇa	1	ṭaṅkaṇakṣāra
ṭaṁkāra	3	ṭaṁkārarava|ṭaṁkāravat|ṭaṁ-kārita
ṭaṅga	2	ṭaṅgaṇa|ṭaṅginī
ṭal VERB	2	ṭala|ṭalana
ṭasat	1	ṭas-iti
ṭāṁkāra	1	ṭāṁ-kṛta
ṭikka	1	ṭikkikā
ṭiṭṭibha	1	ṭiṭṭibhāsana
ṭippaṇī	1	ṭippaṇy-āśaya
ṭīkā	2	ṭīkāsamuccaya|ṭīkāsarvasva
ṭīṭibha	1	ṭīṭibhasaras
ṭupṭīkā	1	ṭub-duṣī
ṭera	2	ṭerākṣa|ṭeraka
ṭoḍara	2	ṭoḍaraprakāśa|ṭoḍarānanda
ṭha	1	ṭhakāra
ṭhiṇṭhā	1	ṭhiṇṭhākarāla
ḍa	1	ḍakāra
ḍaṅgara	1	ḍaṅgārī
ḍamaru	1	ḍamaruyantra
ḍambara	2	ḍambaranāman|ḍambarasiṁha
ḍākinī	1	ḍākinītva
ḍāmara	3	ḍāmaratva|ḍāmaratantra|ḍāmarabhairava-tantra
ḍāmbhiṭṭa	1	ḍāmbhiṭṭatva
ḍāla	1	ḍālacandra
ḍiṇḍima	2	ḍiṇḍimatva|ḍiṇḍimeśvara-tīrtha
ḍiṇḍira	1	ḍiṇḍiramodaka
ḍittha	2	ḍitthatā|ḍitthatva
ḍimba	3	ḍimbayuddha|ḍimbāhava|ḍimbikā
ḍimbha	2	ḍimbhacakra|ḍimbhāḍimbha
ḍīna	1	ḍīnaḍīnaka
ḍha	1	ḍhakāra
ḍhakka	1	ḍhakkadeśīya
ḍhuṇḍhi	1	ḍhuṇḍhirāja
ḍheṅka	1	ḍheṅkikā
ḍhorasamudra	1	ḍholā-samudra
ḍhola	1	ḍholasamudrikā
ḍhauk VERB	1	ḍhaukana
ṇa	1	ṇakāra
ta	4	takāra|tapara|tavarga|tavargīya
ta	3	tatama|tatara|tatas
taṁsu	1	taṁsurodha
takvan	2	takva-vī|takvavīya
takman	2	takma-nāśana|takma-nāśana-gaṇa
takra	8	takrakurcikā|takrapiṇḍa|takrabhaktā|takrabhid|takramāṁsa|takrasāra|takrāṭa|takrāhvā
takṣa	5	takṣakarman|takṣarathakāra|takṣavat|takṣaśila|takṣāyaskāra
takṣan	1	takṣiṇī
tagara	5	tagarapādika|tagarapādi|tagarapura|tagaravalli|tagaraśikhin
tagaraka	1	tagarika
tañc VERB	1	tañj
taṭa	5	taṭadruma|taṭabhū|taṭastha|taṭasthita|taṭāghāta
taṭinī	1	taṭinīpati
taṭataṭa	1	taṭataṭasvana
taḍit	4	taḍitkumāra|taḍitpati|taḍitprabhā|taḍitvat
taḍid	2	taḍidgarbha|taḍidvāsas
taḍin	2	taḍinmaya|taḍinmālā
taḍil	2	taḍillatā|taḍillekhā
taḍākā	1	taḍākini
taḍāga	4	taḍāgada|taḍāgabhavanotsarga|taḍāgabhedaka|taḍāgavat
taṇḍa	1	taṇḍavataṇḍa
taṇḍā	3	taṇḍāpracara|taṇḍāpratara|taṇḍālakṣaṇa
taṇḍi	2	taṇḍiputra|taṇḍivāha
taṇḍula	12	taṇḍulakaṇa|taṇḍulakaṇḍana|taṇḍulakiṇva|taṇḍulakusuma-bali-prakāra|taṇḍulakusuma-bali-vikāra|taṇḍuladeva|taṇḍulaphalā|taṇḍulavaitālika|taṇḍulāmbu|taṇḍulottha|taṇḍulodaka|taṇḍulaugha
taṇḍulika	1	taṇḍulikāśrama
taṇḍulīya	2	taṇḍulīyaka|taṇḍulu
tata	3	tatatata|tatadruh|tatā-maha
tatas	1	tatastya
tati	1	tatidhā
tato	3	tatonidāna|tatobṛhatīka|tatobhavat
tat	48	tatkara|tatkartavya|tatkartṛ|tatkarma-kārin|tatkārin|tatkāla|tatkālīna|tatkulīna|tatkṛte|tatkriya|tatkara|tatkṣaṇa|tatkṣaṇikā|tattad-deśīya|tattulya|tattṛtīya|tattribhāgaka|tattva|tatpada|tatpara|tatparāyaṇa|tatparāyaṇa|tatpāṇini|tatpuruṣa|tatpūrva|tatpṛṣṭha|tatprakāra|tatprakṛta|tatpratyayam|tatpratyaya-tva|tatprathama|tatpradhāna|tatprabhāte|tatprabhṛti|tatpravara-vat|tatprepsu|tatphala|tatsaṁskārārtha-tva|tatsaṁkhyāka|tatsad|tatsadṛśa|tatsama|tatsamanantaram|tatsādhu-kārin|tatsina|tatstha|tatsthāna|tatspṛṣṭin
tac	2	tacchabda-tva|tacchīla
taj	7	tajja|tajjaghanya|tajjaya|tajja-lān|tajjātīya|tajjātīyaka|tajjña
tatra	8	tatracakṣur-manas|tatratya|tatrabhava|tatrabhavat|tatraloka|tatravāsin|tatraskandha|tatrastha
tathā	30	tathākaraṇa|tathākāram|tathākṛta|tathākratu|tathāgata|tathāguṇa|tathājātīya|tathājātīyaka|tathātā|tathātva|tathāprabhāva|tathābhavitavya-tā|tathābhāva|tathābhāvin|tathābhūta|tathāmukha|tathāyatam|tathārāja|tathārūpa|tathārūpin|tathārtha|tathāvādin|tathāvidha|tathāvidhāna|tathāvīrya|tathāvrata|tathāśīla|tathāsvara|tathotsāha|tathopama
