parent	n_children	children
akhedin	1	akhedi-tva
akhkhala	1	akhkhalī-kṛtyā
akhyāti	1	akhyātikara
aga	4	agaja|agātma-jā|agāvaha|agaukas
agaṇita	2	agaṇitapratiyāta|agaṇitalajja
agata	1	a-gatāsu
agatika	1	agatikagati
agada	2	agadaṁ-kāra|agadaveda
agandha	1	agandhasevin
agamya	2	agamyagā|agamyarūpa
agamyā	3	agamyāgamana|agamyāgamanīya|agamyāgāmin
agasti	1	agastidru
agastya	7	agastyagītā|agastyagṛhaspatika|agastyacāra|agastyamārga|agastyaśāsta|agastyasaṁhitā|agastyodaya
agādha	2	agādhajala|agādharudhira
agāra	5	agāradāhin|agāravinoda|agārastūpa|agārasthūṇā-virohaṇa|agārāvakāśa
ago	2	a-goḥ-prāpaṇam|agotā
aguṇa	5	aguṇatā|aguṇatva|aguṇavat|aguṇavādin|aguṇaśīla
agūḍha	2	agūḍhagandha|agūḍhabhāva
agṛbhīta	1	agṛbhītaśocis
agṛha	1	agṛhatā
agṛhīta	1	agṛhītadiś
agocara	1	agocarīkṛ
agnā	2	agnāmarutau|agnāviṣṇū
