vāpi; vā api;2;1080;279;66;127;84;53;22;0;18;3;13;7;37;26;5;22;4;3;5;0;2;2;0;2;37;0;13;0;2;1;0;7;2;11;0;6;3;3;3;0;4;0;0;1;4;0;2;25;0;0;2;4;4;2;5;2;25;11;3;0;0;0;0;2;2;3;0;0;0;3;0;0;1;0;1;20;1;0;1;0;0;0;0;0;0;4;4;4;6;0;0;0;1;0;0;0;1;0;3;5;3;0;0;0;2;5;0;7;0;0;0;1;3;3;1;0;2;0;1;0;0;0;0;3;0;3;0;0;0;0;0;1;0;0;2;1;2;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
naiva; na eva;2;914;242;49;21;30;36;23;1;6;19;14;11;16;20;13;10;24;20;5;3;2;4;10;11;3;1;12;0;3;2;3;19;10;14;3;5;5;0;5;6;3;0;2;2;0;7;7;27;0;0;0;0;4;0;0;6;2;4;6;0;2;8;1;1;4;0;3;0;2;2;0;1;1;0;2;5;3;0;0;0;4;0;0;0;1;3;12;1;8;5;1;0;0;1;0;0;5;2;0;0;6;0;0;0;0;8;0;0;0;0;0;6;6;1;0;0;1;1;0;3;0;2;2;4;0;2;0;2;0;0;0;0;12;0;2;0;2;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;2;0;0;1;0;0;3;0;0;0;1;0;0;0;0;1;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ceti; ca iti;2;807;59;7;128;13;1;3;6;51;18;4;9;4;9;7;5;1;5;4;19;7;5;6;43;1;0;10;0;21;12;8;2;2;6;3;3;16;4;7;21;7;6;2;2;8;1;2;1;6;0;0;5;10;1;2;1;4;1;2;6;0;5;0;16;3;3;0;1;5;2;7;0;6;1;1;2;0;5;19;4;10;2;0;3;0;0;2;0;1;0;2;0;2;0;2;14;1;1;3;3;0;0;3;1;0;0;1;3;1;4;0;1;0;4;1;3;0;0;1;0;0;0;0;0;0;2;0;6;1;0;0;2;2;0;0;1;0;0;0;0;0;0;2;1;0;3;2;10;0;0;0;0;0;2;2;0;0;0;0;0;0;1;0;0;1;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;1;11;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
nātra; na atra;2;745;159;35;0;62;107;6;0;0;0;8;0;14;44;1;10;2;2;1;0;0;46;6;0;1;3;6;0;4;3;0;24;0;7;0;0;1;0;9;1;2;0;0;1;2;1;0;4;1;0;3;3;5;0;1;30;2;1;2;2;0;0;0;2;7;11;1;0;0;0;0;0;2;0;14;2;0;0;0;0;2;0;0;0;1;2;1;3;21;0;0;0;1;0;0;0;0;3;0;4;1;0;0;0;2;1;0;7;1;1;1;6;12;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
tatraiva; tatra eva;2;618;148;19;3;22;42;9;0;2;3;15;11;14;17;11;5;47;15;1;4;0;18;2;0;1;3;13;0;1;3;4;6;0;66;0;5;2;1;4;0;0;0;0;18;1;3;2;1;1;0;2;3;2;0;0;0;0;0;3;1;0;8;5;1;0;0;2;0;2;1;0;0;0;0;0;0;3;0;1;0;4;1;0;0;0;0;0;5;4;1;0;1;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
athavā; atha vā;2;572;79;24;10;22;12;4;0;4;37;6;38;4;27;8;7;2;1;1;2;0;31;0;1;1;0;2;0;12;4;0;25;0;6;0;12;0;0;3;0;2;0;0;1;20;0;1;3;0;0;0;1;0;0;2;0;2;2;0;6;1;1;0;0;4;5;0;6;2;1;0;0;1;0;1;2;1;2;8;1;8;8;2;0;2;18;2;2;9;4;0;0;2;0;0;0;1;2;0;3;2;0;0;0;2;2;0;5;1;0;0;1;3;0;4;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;3;0;3;0;0;0;0;0;1;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;4;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ūrdhvaṁ; ūrdhvam ūrdhvam;2;564;74;15;84;15;2;16;6;18;39;6;0;9;10;0;11;0;3;0;2;4;9;0;4;18;0;6;5;6;0;1;9;3;2;0;0;1;7;4;9;5;0;2;0;3;0;0;5;0;1;0;3;3;0;6;0;4;5;0;2;1;1;0;0;7;1;0;1;0;2;1;0;2;2;0;5;0;1;0;2;3;2;0;0;2;2;0;6;2;0;1;6;0;2;6;1;0;0;0;0;4;3;0;0;1;0;0;2;0;0;2;9;2;4;0;0;1;0;1;0;0;0;0;0;0;0;0;3;0;2;3;5;0;0;2;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;1;1;1;0;0;1;1;0;0;0;0;2;5;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
tenaiva; tena eva;2;536;52;18;8;14;16;8;0;6;18;14;9;5;42;5;3;25;6;7;2;11;76;4;0;5;4;5;0;7;0;2;57;0;2;2;1;2;0;0;0;1;3;0;1;1;2;1;4;2;1;2;3;1;0;4;1;2;0;3;1;0;0;1;0;1;3;1;1;2;2;0;2;0;0;3;1;1;0;0;1;0;1;0;0;1;2;2;1;1;2;0;3;0;0;0;0;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;3;8;0;1;2;0;0;1;1;0;0;0;0;1;1;0;1;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cātra; ca atra;2;526;81;16;193;6;6;6;0;56;15;9;3;2;1;0;1;18;0;0;4;0;3;2;2;2;0;6;0;0;1;4;0;0;4;0;2;17;1;0;0;1;0;0;4;3;0;1;0;0;0;1;6;1;0;0;0;0;2;1;3;0;1;2;1;2;0;0;1;0;7;0;0;0;0;0;0;0;1;0;0;1;2;0;0;0;0;1;2;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
kāryā; na atra;2;466;65;14;6;38;33;10;0;5;10;2;5;7;17;1;18;3;0;2;1;0;24;0;1;3;2;5;0;22;1;0;10;0;1;5;0;0;0;1;0;1;0;0;1;9;0;0;3;1;0;0;0;1;0;5;19;3;2;1;7;0;1;0;3;6;4;0;0;0;4;0;0;0;0;6;0;0;0;1;5;0;1;1;0;1;13;3;9;3;0;0;0;0;0;0;0;11;0;0;2;0;0;0;0;0;0;0;0;1;0;0;1;3;1;1;0;0;0;0;0;0;0;0;5;0;2;0;0;0;0;0;0;0;0;2;0;3;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
