gra_L	gra_key1	gra_key2	gra_hom	gra_pc	rv_occurrence_count	vedaweb_example_form	vedaweb_example_lemma	vedaweb_example_location	match_method
3983	tva	tva/	1	0561	4712	tvám	tvám	1.1.6	vedaweb-id-link
1404	aham	aha/m		0163	4147	vayám	ahám	1.1.7	vedaweb-id-link
6983	ya	ya/		1065a	4020	yám	yá-	1.1.4	vedaweb-id-link
7046	yad	ya/d		1085	4020	yám	yá-	1.1.4	vedaweb-id-link
9064	sa	sa/		1437	3345	sá	sá- ~ tá-	1.1.2	vedaweb-id-link
3606	ta	ta/		0505a	3345	sá	sá- ~ tá-	1.1.2	vedaweb-id-link
1444	A	A/		0168	2843	ā́	ā́	1.1.2	vedaweb-id-link
1708	indra	i/ndra		0213	2437	índraḥ	índra-	1.2.5	vedaweb-id-link
1696	idam	ida/m		0207	2216	imé	ayám	1.2.1	vedaweb-id-link
2312	enA	enA/		0300	2212	imé	ayám	1.2.1	vedaweb-id-link
1697	idam	ida/m		0210	2212	imé	ayám	1.2.1	vedaweb-id-link
4792	na	na/		0700	2103	ná	ná	1.5.4	vedaweb-id-link
5143	no	no/		0756	2099	ná	ná	1.5.4	vedaweb-id-link
79	agni	agni/		0008	1724	agním	agní-	1.1.1	vedaweb-id-link
4419	deva	deva/	1	0630	1650	devám	devá-	1.1.1	vedaweb-id-link
1305	as	as	1	0145	1366	ási	√as- 1	1.1.4	vedaweb-id-link
5833.1	pra	pra/		0863	1218	prá	prá	1.3.12	vedaweb-id-link
2645	kf	kf		0332	1213	kariṣyási	√kr̥-	1.1.6	vedaweb-id-link
8151	viSva	vi/Sva		1297	1121	víśve	víśva-	1.3.7	vedaweb-id-link
8233	viSvyA	vi/SvyA		1306	1121	víśve	víśva-	1.3.7	vedaweb-id-link
3184	ca	ca		0427	1093	ca	ca	1.2.5	vedaweb-id-link
4664	DA	DA	1	0660	1048	dadhāte	√dhā- 1	1.2.9	vedaweb-id-link
1775	iva	iva		0220	1024	iva	iva	1.1.9	vedaweb-id-link
4231	div	di/v		0601	1008	divé-dive	dyú- ~ div-	1.1.3	vedaweb-id-link
4232	diva	diva/		0604	1008	divé-dive	dyú- ~ div-	1.1.3	vedaweb-id-link
4513	dyu	dyu/		0640	1008	divé-dive	dyú- ~ div-	1.1.3	vedaweb-id-link
10160	soma	so/ma		1579	977	sómāḥ	sóma-	1.2.1	vedaweb-id-link
7952.1	vi	vi/	1	1264	954	ví	ví	1.3.12	vedaweb-id-link
1675	i	i		0192	944	imasi	√i- 1	1.1.7	vedaweb-id-link
6403	BU	BU		0942	860	bhava	√bhū-	1.1.9	vedaweb-id-link
1695	id	i/d		0205	802	ít	íd	1.1.4	vedaweb-id-link
765	aBi	aBi/		0082	754	abhí	abhí	1.5.1	vedaweb-id-link
1879	uta	uta/		0247	752	utá	utá	1.1.2	vedaweb-id-link
1841	u	u	1	0238	697	u	u	1.23.15	vedaweb-id-link
3315	cid	cid		0454	691	cit	cid	1.4.5	vedaweb-id-link
10645	hi	hi/		1664	662	hí	hí	1.2.4	vedaweb-id-link
2902	gam	gam		0378	643	gachati	√gam-	1.1.4	vedaweb-id-link
9359	sam	sa/m		1478	609	sám	sám	1.6.3	vedaweb-id-link
5681	pU	pU		0838	590	pūtā́saḥ	√pū-	1.3.4	vedaweb-id-link
9701	su	su		1522	589	sutā́ḥ	√su-	1.2.4	vedaweb-id-link
3389	jan	jan		0465	585	ajāyathāḥ	√janⁱ-	1.5.6	vedaweb-id-link
7091	yA	yA		1102	572	yāhi	√yā- 1	1.2.1	vedaweb-id-link
616	ap	a/p	2	0070	547	ā́paḥ	áp-	1.8.7	vedaweb-id-link
3032	go	go/		0407	543	góbhiḥ	gáv- ~ gó-	1.7.3	vedaweb-id-link
7484	rE	rE/		1182	536	rayím	rayí- ~ rāy-	1.1.3	vedaweb-id-link
7325	rayi	rayi/		1149	535	rayím	rayí- ~ rāy-	1.1.3	vedaweb-id-link
6437	Bf	Bf		0955	523	bhárantaḥ	√bhr̥-	1.1.7	vedaweb-id-link
6708	mah	ma/h		1012	519	mahā́m	máh-	1.6.6	vedaweb-id-link
6735	mahi	ma/hi		1019	519	mahā́m	máh-	1.6.6	vedaweb-id-link
10718	hU	hU		1672	515	huve	√hū-	1.2.7	vedaweb-id-link
5285	pari	pa/ri		0783	508	pári	pári	1.6.1	vedaweb-id-link
1933	upa	u/pa		0254	508	úpa	úpa	1.1.7	vedaweb-id-link
4938.1	ni	ni/		0727	482	ní	ní	1.5.1	vedaweb-id-link
510	anu	a/nu	1	0058	477	ánu	ánu	1.6.4	vedaweb-id-link
7798	vasu	va/su		1234	476	vásūnām	vásu-	1.7.9	vedaweb-id-link
7258	raTa	ra/Ta		1137	471	ráthe	rátha-	1.6.2	vedaweb-id-link
2373	ka	ka/		0307a	468	kím	ká-	1.23.22	vedaweb-id-link
2402	kad	ka/d		0311	468	kím	ká-	1.23.22	vedaweb-id-link
2434	kayA	ka/yA		0314	468	kím	ká-	1.23.22	vedaweb-id-link
2552	kim	ki/m		0325	468	kím	ká-	1.23.22	vedaweb-id-link
