grammar_id	nongrammar_locus	link_type	source_dataset	date
id_gra:4938.1	vedaweb:67615e6bb20f4c1a9fb8a040:1.5.1	translation-witness	metrical_data_2024	2026-07-11
id_gra:510	vedaweb:67615e6bb20f4c1a9fb8a040:1.6.4	translation-witness	metrical_data_2024	2026-07-11
id_gra:7798	vedaweb:67615e6bb20f4c1a9fb8a040:1.7.9	translation-witness	metrical_data_2024	2026-07-11
id_gra:7258	vedaweb:67615e6bb20f4c1a9fb8a040:1.6.2	translation-witness	metrical_data_2024	2026-07-11
id_gra:2373	vedaweb:67615e6bb20f4c1a9fb8a040:1.23.22	translation-witness	metrical_data_2024	2026-07-11
id_gra:2402	vedaweb:67615e6bb20f4c1a9fb8a040:1.23.22	translation-witness	metrical_data_2024	2026-07-11
id_gra:2434	vedaweb:67615e6bb20f4c1a9fb8a040:1.23.22	translation-witness	metrical_data_2024	2026-07-11
id_gra:2552	vedaweb:67615e6bb20f4c1a9fb8a040:1.23.22	translation-witness	metrical_data_2024	2026-07-11
id_gra:8408	vedaweb:67615e6bb20f4c1a9fb8a040:1.7.6	translation-witness	metrical_data_2024	2026-07-11
id_gra:7002	vedaweb:67615e6bb20f4c1a9fb8a040:1.1.1	translation-witness	metrical_data_2024	2026-07-11
id_gra:4860	vedaweb:67615e6bb20f4c1a9fb8a040:1.2.6	translation-witness	metrical_data_2024	2026-07-11
id_gra:5085	vedaweb:67615e6bb20f4c1a9fb8a040:1.2.6	translation-witness	metrical_data_2024	2026-07-11
id_gra:1288	vedaweb:67615e6bb20f4c1a9fb8a040:1.3.1	translation-witness	metrical_data_2024	2026-07-11
id_gra:10541	vedaweb:67615e6bb20f4c1a9fb8a040:1.23.9	translation-witness	metrical_data_2024	2026-07-11
id_gra:5405	vedaweb:67615e6bb20f4c1a9fb8a040:1.2.1	translation-witness	metrical_data_2024	2026-07-11
id_gra:4164	vedaweb:67615e6bb20f4c1a9fb8a040:1.8.3	translation-witness	metrical_data_2024	2026-07-11
id_gra:6758	vedaweb:67615e6bb20f4c1a9fb8a040:1.4.3	translation-witness	metrical_data_2024	2026-07-11
id_gra:6679	vedaweb:67615e6bb20f4c1a9fb8a040:1.15.2	translation-witness	metrical_data_2024	2026-07-11
id_gra:10268	vedaweb:67615e6bb20f4c1a9fb8a040:1.6.1	translation-witness	metrical_data_2024	2026-07-11
id_gra:7999	vedaweb:67615e6bb20f4c1a9fb8a040:1.4.3	translation-witness	metrical_data_2024	2026-07-11
id_gra:7721	vedaweb:67615e6bb20f4c1a9fb8a040:1.2.7	translation-witness	metrical_data_2024	2026-07-11
id_gra:7833	vedaweb:67615e6bb20f4c1a9fb8a040:1.1.2	translation-witness	metrical_data_2024	2026-07-11
