anchor_type	anchor_id	anchor_key_slp1	target_locus	link_type	source_dataset	match_method	confidence	evidence_count	date
id-gra	gra:3983	tva	vedaweb:1.1.6:668bbf5c1e18769f3d9aafc3	translation-witness	VisualDCS/non-derived/vedaweb/grassmann_de_1876_1877.json	id-link	0.99	4712	08-07-2026
id-gra	gra:1404	aham	vedaweb:1.1.7:668bbf5c1e18769f3d9aafc3	translation-witness	VisualDCS/non-derived/vedaweb/grassmann_de_1876_1877.json	id-link	0.99	4147	08-07-2026
id-gra	gra:6983	ya	vedaweb:1.1.4:668bbf5c1e18769f3d9aafc3	translation-witness	VisualDCS/non-derived/vedaweb/grassmann_de_1876_1877.json	id-link	0.99	4020	08-07-2026
id-gra	gra:7046	yad	vedaweb:1.1.4:668bbf5c1e18769f3d9aafc3	translation-witness	VisualDCS/non-derived/vedaweb/grassmann_de_1876_1877.json	id-link	0.99	4020	08-07-2026
id-gra	gra:9064	sa	vedaweb:1.1.2:668bbf5c1e18769f3d9aafc3	translation-witness	VisualDCS/non-derived/vedaweb/grassmann_de_1876_1877.json	id-link	0.99	3345	08-07-2026
id-gra	gra:3606	ta	vedaweb:1.1.2:668bbf5c1e18769f3d9aafc3	translation-witness	VisualDCS/non-derived/vedaweb/grassmann_de_1876_1877.json	id-link	0.99	3345	08-07-2026
id-gra	gra:1444	A	vedaweb:1.1.2:668bbf5c1e18769f3d9aafc3	translation-witness	VisualDCS/non-derived/vedaweb/grassmann_de_1876_1877.json	id-link	0.99	2843	08-07-2026
id-gra	gra:1708	indra	vedaweb:1.2.5:668bbf5c1e18769f3d9aafc3	translation-witness	VisualDCS/non-derived/vedaweb/grassmann_de_1876_1877.json	id-link	0.99	2437	08-07-2026
id-gra	gra:1696	idam	vedaweb:1.2.1:668bbf5c1e18769f3d9aafc3	translation-witness	VisualDCS/non-derived/vedaweb/grassmann_de_1876_1877.json	id-link	0.99	2216	08-07-2026
id-gra	gra:2312	enA	vedaweb:1.2.1:668bbf5c1e18769f3d9aafc3	translation-witness	VisualDCS/non-derived/vedaweb/grassmann_de_1876_1877.json	id-link	0.99	2212	08-07-2026
id-gra	gra:1697	idam	vedaweb:1.2.1:668bbf5c1e18769f3d9aafc3	translation-witness	VisualDCS/non-derived/vedaweb/grassmann_de_1876_1877.json	id-link	0.99	2212	08-07-2026
id-gra	gra:4792	na	vedaweb:1.5.4:668bbf5c1e18769f3d9aafc3	translation-witness	VisualDCS/non-derived/vedaweb/grassmann_de_1876_1877.json	id-link	0.99	2103	08-07-2026
id-gra	gra:5143	no	vedaweb:1.5.4:668bbf5c1e18769f3d9aafc3	translation-witness	VisualDCS/non-derived/vedaweb/grassmann_de_1876_1877.json	id-link	0.99	2099	08-07-2026
id-gra	gra:79	agni	vedaweb:1.1.1:668bbf5c1e18769f3d9aafc3	translation-witness	VisualDCS/non-derived/vedaweb/grassmann_de_1876_1877.json	id-link	0.99	1724	08-07-2026
id-gra	gra:4419	deva	vedaweb:1.1.1:668bbf5c1e18769f3d9aafc3	translation-witness	VisualDCS/non-derived/vedaweb/grassmann_de_1876_1877.json	id-link	0.99	1650	08-07-2026
id-gra	gra:1305	as	vedaweb:1.1.4:668bbf5c1e18769f3d9aafc3	translation-witness	VisualDCS/non-derived/vedaweb/grassmann_de_1876_1877.json	id-link	0.99	1366	08-07-2026
id-gra	gra:5833.1	pra	vedaweb:1.3.12:668bbf5c1e18769f3d9aafc3	translation-witness	VisualDCS/non-derived/vedaweb/grassmann_de_1876_1877.json	id-link	0.99	1218	08-07-2026
id-gra	gra:2645	kf	vedaweb:1.1.6:668bbf5c1e18769f3d9aafc3	translation-witness	VisualDCS/non-derived/vedaweb/grassmann_de_1876_1877.json	id-link	0.99	1213	08-07-2026
id-gra	gra:8151	viSva	vedaweb:1.3.7:668bbf5c1e18769f3d9aafc3	translation-witness	VisualDCS/non-derived/vedaweb/grassmann_de_1876_1877.json	id-link	0.99	1121	08-07-2026
id-gra	gra:8233	viSvyA	vedaweb:1.3.7:668bbf5c1e18769f3d9aafc3	translation-witness	VisualDCS/non-derived/vedaweb/grassmann_de_1876_1877.json	id-link	0.99	1121	08-07-2026
id-gra	gra:3184	ca	vedaweb:1.2.5:668bbf5c1e18769f3d9aafc3	translation-witness	VisualDCS/non-derived/vedaweb/grassmann_de_1876_1877.json	id-link	0.99	1093	08-07-2026
id-gra	gra:4664	DA	vedaweb:1.2.9:668bbf5c1e18769f3d9aafc3	translation-witness	VisualDCS/non-derived/vedaweb/grassmann_de_1876_1877.json	id-link	0.99	1048	08-07-2026
id-gra	gra:1775	iva	vedaweb:1.1.9:668bbf5c1e18769f3d9aafc3	translation-witness	VisualDCS/non-derived/vedaweb/grassmann_de_1876_1877.json	id-link	0.99	1024	08-07-2026
id-gra	gra:4231	div	vedaweb:1.1.3:668bbf5c1e18769f3d9aafc3	translation-witness	VisualDCS/non-derived/vedaweb/grassmann_de_1876_1877.json	id-link	0.99	1008	08-07-2026
id-gra	gra:4232	diva	vedaweb:1.1.3:668bbf5c1e18769f3d9aafc3	translation-witness	VisualDCS/non-derived/vedaweb/grassmann_de_1876_1877.json	id-link	0.99	1008	08-07-2026
id-gra	gra:4513	dyu	vedaweb:1.1.3:668bbf5c1e18769f3d9aafc3	translation-witness	VisualDCS/non-derived/vedaweb/grassmann_de_1876_1877.json	id-link	0.99	1008	08-07-2026
id-gra	gra:10160	soma	vedaweb:1.2.1:668bbf5c1e18769f3d9aafc3	translation-witness	VisualDCS/non-derived/vedaweb/grassmann_de_1876_1877.json	id-link	0.99	977	08-07-2026
id-gra	gra:7952.1	vi	vedaweb:1.3.12:668bbf5c1e18769f3d9aafc3	translation-witness	VisualDCS/non-derived/vedaweb/grassmann_de_1876_1877.json	id-link	0.99	954	08-07-2026
id-gra	gra:1675	i	vedaweb:1.1.7:668bbf5c1e18769f3d9aafc3	translation-witness	VisualDCS/non-derived/vedaweb/grassmann_de_1876_1877.json	id-link	0.99	944	08-07-2026
id-gra	gra:6403	BU	vedaweb:1.1.9:668bbf5c1e18769f3d9aafc3	translation-witness	VisualDCS/non-derived/vedaweb/grassmann_de_1876_1877.json	id-link	0.99	860	08-07-2026
id-gra	gra:1695	id	vedaweb:1.1.4:668bbf5c1e18769f3d9aafc3	translation-witness	VisualDCS/non-derived/vedaweb/grassmann_de_1876_1877.json	id-link	0.99	802	08-07-2026
id-gra	gra:765	aBi	vedaweb:1.5.1:668bbf5c1e18769f3d9aafc3	translation-witness	VisualDCS/non-derived/vedaweb/grassmann_de_1876_1877.json	id-link	0.99	754	08-07-2026
id-gra	gra:1879	uta	vedaweb:1.1.2:668bbf5c1e18769f3d9aafc3	translation-witness	VisualDCS/non-derived/vedaweb/grassmann_de_1876_1877.json	id-link	0.99	752	08-07-2026
id-gra	gra:1841	u	vedaweb:1.23.15:668bbf5c1e18769f3d9aafc3	translation-witness	VisualDCS/non-derived/vedaweb/grassmann_de_1876_1877.json	id-link	0.99	697	08-07-2026
id-gra	gra:3315	cid	vedaweb:1.4.5:668bbf5c1e18769f3d9aafc3	translation-witness	VisualDCS/non-derived/vedaweb/grassmann_de_1876_1877.json	id-link	0.99	691	08-07-2026
id-gra	gra:10645	hi	vedaweb:1.2.4:668bbf5c1e18769f3d9aafc3	translation-witness	VisualDCS/non-derived/vedaweb/grassmann_de_1876_1877.json	id-link	0.99	662	08-07-2026
id-gra	gra:2902	gam	vedaweb:1.1.4:668bbf5c1e18769f3d9aafc3	translation-witness	VisualDCS/non-derived/vedaweb/grassmann_de_1876_1877.json	id-link	0.99	643	08-07-2026
