pwg_L	pwg_key1	pwg_key2	pwg_hom	pwg_pc	pwg_gloss_snippet	rv_occurrence_count	example_location	example_form	example_lemma	geldner_text	grassmann_text
31417	tva	tva	1	3-0460	1. tva und tu¦ Stamm der 2ten Person sg. tva/m ṚV. 2,1,1. fgg. tvA/m 1,5,8 . 63,6 . 102,9 . tva/yA 102,4 . 2,4,9 . 23,10 . tvA/ = tva/yAH tvA yu\jA (= tvayA^ yu\jA 1,102,4 ) 4,28,1 . 2 . 8,81,31 . tu/Byam 7,14,13 . 19,10	4712	1.1.6	tvám	tvám	Wenn du wirklich dem Spender Gutes tun willst, Agni, so wird bei dir das wahr, oh Aṅgiras.	Dass du dem Mann, der dich verehrt, o Agni, Heil verschaffen wirst, Ist deine Art, o Angiras.
7632	aham	aham		1-0572	aham¦ nom. sg. {%ich%} ṚV. 10,125,1. fgg. 48,1. fgg. ahamiti hanti pApmAnaM jahAti ca ŚAT. BR. 14,8,6,5 = BṚH. ĀR. UP. 5,5,4 . Auf dieselbe spielende Weise wird ebend. 3 ahar erklärt. — Ueber die übrigen casus des sg. s.	4147	1.1.7	vayám	ahám	Dir, Agni, nahen wir Tag für Tag, du Dunkel-Erheller, mit Andacht, Huldigung darbringend,	Dir, Agni, nahn wir Tag für Tag, o Nachterheller, mit Gebet Und bringen dir Verehrung dar.
81460	yad	yad		6-0053	yad¦ (von 1. ya) 1〉 nom. und acc. sg. neutr. von ya und als Thema am Anf. von compp. ; s. u. 1. ya. — 2〉 indecl. Einfluss auf den Ton des verbi finiti P. 8,1,30 . 56 . a〉 {%dass%}: vi\duzwe^ a\sya vI\rya^sya pU\rava\H pu	4020	1.1.4	yám	yá-	Agni! Nur die Anbetung und das Opfer, das du ganz zusammenhältst, gelangt zu den Göttern.	Welch Opfer, Agni, welches Fest von allen Seiten du umfängst, Nur das geht zu den Göttern hin.
102722	sa	sa	1	7-0451	1. sa¦ pron der dritten Person, nur im nom. sg. masc. und fem. erhalten; im Veda noch der loc. sa/smin in Verbindung mit UGa^n ṚV. 1,152,6 . 186,4 . 4,7,7 . 10,8 . 7,36,3 . yonO^ 1,174,4 . aha^n 10,95,11 . AjO 1,52,15 . 	3345	1.1.2	sá	sá- ~ tá-	Agni war von den früheren R̥ṣis und ist von den jüngsten zu berufen; er möge die Götter hierher fahren.	Der von der alten Sängerschar, von neuen auch zu preisen ist, Die Götter fahr uns Agni her.
102721.1	sa	sa*⁾		7-0451	sa*⁾¦ *⁾ Was man hier vermisst, suche man unter Sa oder za.	3345	1.1.2	sá	sá- ~ tá-	Agni war von den früheren R̥ṣis und ist von den jüngsten zu berufen; er möge die Götter hierher fahren.	Der von der alten Sängerschar, von neuen auch zu preisen ist, Die Götter fahr uns Agni her.
28513	tad	tad		3-0210	√tad¦ (von 1. ta) 1〉 nom. acc. sg. neutr. von 1. ta und als Thema am Anf. von compp. ; s. u. 1. ta. — 2〉 adv. a〉 {%da, dahin, dort%}: tamA^Msi\ yatra\ gacCa^nti\ tatkra\vyAdo^ ajIgamam AV. 2,25,5 . 6,142,2 . 10,10,7 . AI	3345	1.1.2	sá	sá- ~ tá-	Agni war von den früheren R̥ṣis und ist von den jüngsten zu berufen; er möge die Götter hierher fahren.	Der von der alten Sängerschar, von neuen auch zu preisen ist, Die Götter fahr uns Agni her.
7766	A	A	2	1-0581	2. A¦ 1〉 adv. a〉 {%her, herzu%}: A tU na^ indra kOSika mandasA\naH su\taM pi^ba ṚV. 1,10,11 . a\nu\kA\maM ta^rpayeTA\mindrA^varuRa rA\ya A 17,3 . A pra dra^va AV. 3,4,5 . A pra yA^tu parA\vata^H 6,35,1 . A pra cya^veTAm 	2843	1.1.2	ā́	ā́	Agni war von den früheren R̥ṣis und ist von den jüngsten zu berufen; er möge die Götter hierher fahren.	Der von der alten Sängerschar, von neuen auch zu preisen ist, Die Götter fahr uns Agni her.
10134	indra	i/ndra		1-0802	i/ndra¦ Uṇ. 2,29 . mit kftAdi zusammenges. gaṇa SreRyAdi zu P. 2,1,59 . 1〉 m. a〉 N. des bekannten Gottes, welcher im vedischen Glauben an der Spitze der Götterschaaren des mittleren Reiches, des Luftkreises, steht. Seine	2437	1.2.5	índraḥ	índra-	Vāyu und Indra! Ihr versteht euch auf die ausgepreßten (Tränke), ihr Gewinnreichen(?). Kommet also eilig heran!	O Vaju, Indra, nehmet wahr der Tränke, labungsreiche ihr, So kommet eilig denn herbei.
10073	idam	ida/m	1	1-0794	1. ida/m¦ Uṇ. 4,158 . gaṇa sarvAdi zu P. 1,1,27 . VOP. 3,9 . 56 . 126 — 132 . 163 . nom. acc. sg. neutr. , zusammeng. aus id + am; erscheint in dieser Form auch am Anfange einiger compp. und im deriv. idammaya. Der nom. 	2212	1.2.1	imé	ayám	Vāyu! Komm her, du Gerngesehener; diese Somasäfte sind fertig. Trink davon, erhöre den Ruf!	O schöner Vaju, komm herbei, die Somatränke stehn bereit; Von diesen trinke, hör den Ruf.
67198	idam	idam	1	5-1140	1. idam¦, etAnImAni ca AIT. UP. 5,3 . anDaM tama ivedaM syAnna prajYAyeta kiM ca na {%Alles um uns herum%} Spr. 3495 . Sp. 795, Z. 7 v. u. lies paYcaBiretaccakAra; Z. 9 v. u. lies evamAha st. evAmAha.	2212	1.2.1	imé	ayám	Vāyu! Komm her, du Gerngesehener; diese Somasäfte sind fertig. Trink davon, erhöre den Ruf!	O schöner Vaju, komm herbei, die Somatränke stehn bereit; Von diesen trinke, hör den Ruf.
10074	idam	ida/m	2	1-0796	2. ida/m¦ ( acc. vom vorherg. ) adv. {%hier, hierher; jetzt, gerade; da, hiermit%} (in feierlicher Rede): dU\to nirf^tyA i\damA ja\gAma^ ṚV. 10,165,1 . kimi\cCantI^ sa\ramA\ predamA^naw 108,1 . sa tvA\yama^hva\tsa upe\da	2212	1.2.1	imé	ayám	Vāyu! Komm her, du Gerngesehener; diese Somasäfte sind fertig. Trink davon, erhöre den Ruf!	O schöner Vaju, komm herbei, die Somatränke stehn bereit; Von diesen trinke, hör den Ruf.
67199	idam	idam	2	5-1140	2. idam¦, hierher könnte gestellt werden: nEtadOpayikaM rAma yadidaM paritapyase {%jetzt%} oder {%so%} R. 2,53,31 .	2212	1.2.1	imé	ayám	Vāyu! Komm her, du Gerngesehener; diese Somasäfte sind fertig. Trink davon, erhöre den Ruf!	O schöner Vaju, komm herbei, die Somatränke stehn bereit; Von diesen trinke, hör den Ruf.
13524	enA	enA/		1-1097	enA/¦ ( instr. von 2. a,b; vgl. u. idam) adv. {%auf diese Weise, so%}; vom Orte: {%hier, da%}; von der Zeit: {%dann%}. e\nA va\yaM paya^sA\M pinva^mAnAH (carAmasi) ṚV. 3,33,4 . e\nA viSvA^nya\rya A dyu\mnAni\ mAnu^zARAm 	2212	1.2.1	imé	ayám	Vāyu! Komm her, du Gerngesehener; diese Somasäfte sind fertig. Trink davon, erhöre den Ruf!	O schöner Vaju, komm herbei, die Somatränke stehn bereit; Von diesen trinke, hör den Ruf.
37260	na	na	1	4-0001	1. na¦ indecl. gaṇa svarAdi zu P. 1,1,37 . 1〉 {%nicht%} NIR. 1,4 . AK. 3,5,11 . H. 1539 . MED. avy. 40 . nendra^M de\vama^maMsata ṚV. 10,86,1 . 6 . I\yurarTa\M na nya\rTam 7,18,9 . 20 . 21,5 . 57,3 . (BayasTAnasahasrARi)	2099	1.5.4	ná	ná	Dessen Falbenpaar die Feinde beim Zusammenstoß in den Schlachten nicht aufhalten, diesem Indra lobsinget!	Bei dessen Angriff Feinde nicht aufhalten seiner Füchse Paar Im Kampfe, diesem Indra singt.
41027	no	no/		4-0329	no/¦ ( 1. na + u) adv. {%und nicht%}: na nU\namasti\ no SvaH ṚV. 1,170,1 . na ma^rAti\ no va\yaM ma^rAma 191,10 . 4,21,9 . 6,54,3 . 10,86,2 . ŚAT. BR. 1,1,1,21 . 4,2,1,7 . 3,4,3 . sa na sADunA karmaRA BUyAnno evAsADunA k	2099	1.5.4	ná	ná	Dessen Falbenpaar die Feinde beim Zusammenstoß in den Schlachten nicht aufhalten, diesem Indra lobsinget!	Bei dessen Angriff Feinde nicht aufhalten seiner Füchse Paar Im Kampfe, diesem Indra singt.
349	agni	agni/		1-0028	agni/¦ m. 4,51 . 1〉 {%Feuer%} AK. 1,1,1,48 . H. 1099 . MED. n. 1 . a\gninA\gniH sami^Dyate ṚV. 1,12,6 . pra te a\gnayo\ 'gniByo\ vara\M niH su\vIrA^saH SoSucanta dyu\manta^H 7,1,4 . Ist aus Wasser entstanden M. 9,321 . a	1724	1.1.1	agním	agní-	Agni berufe ich als Bevollmächtigten, als Gott-Priester des Opfers, als Hotr̥, der am meisten Lohn einbringt.	Den Priester Agni preise ich, der nach der Ordnung Opfer bringt, Den Gott, den schatzverleihendsten,
34377	deva	deva/	1	3-0736	1. deva/¦ gaṇa pacAdi zu P. 3,1,134 . (de/va {%Gott%} P. 3,3,121 , Sch. ). VOP. 26,29 . mit kfta u. s. w. componirt gaṇa SreRyAdi zu P. 2,1,59 . Verhalten des Accents in der Subrahmaṇyā P. 1,2,38 .	1650	1.1.1	devám	devá-	Agni berufe ich als Bevollmächtigten, als Gott-Priester des Opfers, als Hotr̥, der am meisten Lohn einbringt.	Den Priester Agni preise ich, der nach der Ordnung Opfer bringt, Den Gott, den schatzverleihendsten,
7256	as	as	1	1-0535	1. as¦, a/sti DHĀTUP. 24,57 . (asi P. 7,4,50 . VOP. 9,22 . sma/si ṚV. 1,29,1 . 37,15 . sTana 105,5 . AV. 1,31,2 . 3,8,5 . sva und sma ep. ); conj. satas ŚAT. BR. 3,8,2,28 ; potent. syAm (syA/tana ṚV. 1,38,4 ); imperat. a	1366	1.1.4	ási	√as- 1	Agni! Nur die Anbetung und das Opfer, das du ganz zusammenhältst, gelangt zu den Göttern.	Welch Opfer, Agni, welches Fest von allen Seiten du umfängst, Nur das geht zu den Göttern hin.
65826	as	as	1	5-1076	1. as¦ med. vom simpl. : smahe MBH. 13,13 . syAmahe HARIV. 7973 . 6 ṚV. 10,27,4 die Form Asam nicht asam. — 1〉 Z. 26 fgg. füge noch folgendes Beispiel hinzu: grAmaSabdo 'yaM bahvarTaH . astyeva SAlAsamudAye vartate . tad	1366	1.1.4	ási	√as- 1	Agni! Nur die Anbetung und das Opfer, das du ganz zusammenhältst, gelangt zu den Göttern.	Welch Opfer, Agni, welches Fest von allen Seiten du umfängst, Nur das geht zu den Göttern hin.
118657	as	as	1	7-1705	1. as¦ 6〉 Z. 11. fgg. asi nach den Erklärern so v. a. tvam VĀMANA 5,2,82 . — vyatyanu, ˚zate PAT. a. a. O. 8,63,b . — apa {%weg —, unbetheiligt sein%} ṚV. 10,83,5 . — pari 1〉 ṚV. 10,40,6 .	1366	1.1.4	ási	√as- 1	Agni! Nur die Anbetung und das Opfer, das du ganz zusammenhältst, gelangt zu den Göttern.	Welch Opfer, Agni, welches Fest von allen Seiten du umfängst, Nur das geht zu den Göttern hin.
47608	pra	pra	1	4-0896	1. pra¦ praep. P. 1,4,58 . VOP. 1,8 . AK. 1,1,6,3 . Euphonisches Verhalten eines vorangehenden sa AV. PRĀT. 2,76 . P. 8,3,49 . Einfluss des ra auf ein nachfolgendes na VS. PRĀT. 3,87 . AV. PRĀT. 3,80 . {%vor%} in Verbind	1218	1.3.12	prá	prá	Mit ihrem Banner offenbart Sarasvatī ihre große Wasserflut; sie beherrscht alle (frommen) Gedanken.	Die grosse Meeresflut erhellt Sarasvati mit ihrem Licht, Und lenket jedes Andachtswerk.
15071	kar	kar	1	2-0080	1. √kar¦ (kf DHĀTUP. 30,10 . 22,4 . kfv 15,89 ) bildet im Veda die Special — Formen auf vier verschiedene Weisen: I〉 nach der 2ten Kl. praes. 2. sg. ka/rzi, du. kfTa/s, pl. kfTa/; med. kfze/; imperf. 2. sg. a/kar, 3. a/k	1206	1.1.6	kariṣyási	√kr̥-	Wenn du wirklich dem Spender Gutes tun willst, Agni, so wird bei dir das wahr, oh Aṅgiras.	Dass du dem Mann, der dich verehrt, o Agni, Heil verschaffen wirst, Ist deine Art, o Angiras.
69731	kar	kar	1	5-1251	1. kar¦, kurmi R. 7,78,20 . 4〉 pramadAvigrahaM kftvA {%Frauengestalt annehmend%} R. 2,91,49 . yasminnAtmaBuvaH paro pi puruzaScakre BavAyAspadam {%in dem%} Viṣṇu {%seinen Sitz nahm um geboren zu werden%} ŚĀK. 186 .	1206	1.1.6	kariṣyási	√kr̥-	Wenn du wirklich dem Spender Gutes tun willst, Agni, so wird bei dir das wahr, oh Aṅgiras.	Dass du dem Mann, der dich verehrt, o Agni, Heil verschaffen wirst, Ist deine Art, o Angiras.
119329	kar	kar	1	7-1725	1. √kar¦ 1〉 nAsya pApaM cakruzaH (so lesen wir) KAUṢ. UP. 3,1 . — 8〉 pAdO so v. a. {%reinigen%} PAT. a. a. O. 1,231,b . — 16〉 am Ende SatakftvA zu streichen, da ˚kftvo zu lesen ist.	1206	1.1.6	kariṣyási	√kr̥-	Wenn du wirklich dem Spender Gutes tun willst, Agni, so wird bei dir das wahr, oh Aṅgiras.	Dass du dem Mann, der dich verehrt, o Agni, Heil verschaffen wirst, Ist deine Art, o Angiras.
93388	viSva	vi/Sva		6-1223	vi/Sva¦ UṆĀDIS. 1,151 . VS. PRĀT. 2,39 . ŚĀNT. 2,6 . 1〉 adj. ( f. A) pronom. Declin. gaṇa sarvAdi zu P. 1,1,27 . VOP. 3,9 . a〉 {%jeder, alle, sämmtlich, ganz%} (in den BRĀHMAṆA und später durch sarva ersetzt) NAIGH. 3,1 	1121	1.3.7	víśve	víśva-	Schützende Völker-Erhalter, Allgötter, kommet her, als Spender zum Soma des Spenders!	Vereint, o menschenschirmende, ihr Götter alle, kommt herbei, Ihr frommen, in des frommen Haus.
93712	viSvyA	vi/SvyA		6-1241	vi/SvyA¦ (von viSva) adv. {%irgendwo%} ṚV. 2,42,1 . = sarvatas NIR. 9,4 .	1121	1.3.7	víśve	víśva-	Schützende Völker-Erhalter, Allgötter, kommet her, als Spender zum Soma des Spenders!	Vereint, o menschenschirmende, ihr Götter alle, kommt herbei, Ihr frommen, in des frommen Haus.
24259	ca	ca	1	2-0903	1. ca¦ enklit. Part. ŚĀNT. 1,22 . Die Personalpronomina erscheinen in den volleren, betonten Formen nach P. 8,1,24 . VOP. 3,143 . grAmastava ca svaM mama ca svam P. , Sch. tuByaM mahyaM ca dadyAtsvam VOP.	1093	1.2.5	ca	ca	Vāyu und Indra! Ihr versteht euch auf die ausgepreßten (Tränke), ihr Gewinnreichen(?). Kommet also eilig heran!	O Vaju, Indra, nehmet wahr der Tränke, labungsreiche ihr, So kommet eilig denn herbei.
36484	DA	DA	1	3-0901	1. DA¦, da/DAti DHĀTUP. 25,10 . P. 6,1,190 . DatTas, Datta/s 8,2,38 . daDma/s, daDma/si, DatTa/, da/Dati ( P. 7,1,4 . 6,1,189 ) und daDanti ( ṚV. 7,56,19 ); adaDAt, aDattam, adaDAta, adaDus (samAdaDan MBH. 3,12706 ); con	1046	1.2.9	dadhāte	√dhā- 1	Die beiden Seher Mitra und Varuṇa von starker Art, mit weitem Wohnsitz, verleihen uns geschickte Wirkenskraft.	Die Seher Mitra-Varuna, weitherrschend, mächtig von Geburt, Verleihn zum Werk uns Tüchtigkeit.
76560	DA	DA	1	5-1523	1. DA¦ Z. 8 (aBi) daDyuzI auch die ed. Bomb. ; die Form gehört zu DyAH Z. 25 HARIV. 7799 liest die neuere Ausg. patiBaktyorjitASca st. patiBaktyE DitAH sma. 4〉 (kasmAt) SOce cintAM na vA daDuH so v. a. {%warum dachten si	1046	1.2.9	dadhāte	√dhā- 1	Die beiden Seher Mitra und Varuṇa von starker Art, mit weitem Wohnsitz, verleihen uns geschickte Wirkenskraft.	Die Seher Mitra-Varuna, weitherrschend, mächtig von Geburt, Verleihn zum Werk uns Tüchtigkeit.
120421	DA	DA	1	7-1757	1. DA¦ mit samava vgl. samavaDAna. — aByupa {%belegen%} KĀṬH. _in_ Ind. St. 3,461 . — vipari caus. {%umwenden%}: das Gesicht GOP. BR. 1,2,2 . — vi 1〉 Z. 6 lies 158,3.	1046	1.2.9	dadhāte	√dhā- 1	Die beiden Seher Mitra und Varuṇa von starker Art, mit weitem Wohnsitz, verleihen uns geschickte Wirkenskraft.	Die Seher Mitra-Varuna, weitherrschend, mächtig von Geburt, Verleihn zum Werk uns Tüchtigkeit.
10367	iva	iva		1-0818	iva¦ (von 2. i) enklit. indecl. 1〉 {%gleichwie%} NIR. 1,4 . AK. 3,5,9 . sa\ma\na\gA i^va\ vrAH ṚV. 1,124,8 . 2,39 (das ganze Lied). va\tsami^va mA\tarA^ saMrihA\Re 3,33,3 . ga\mBI\rA~ u^da\DIMri^va\ kratu^M puzyasi\ gA i	1024	1.1.9	iva	iva	Sei du Agni uns zugänglich wie ein Vater dem Sohne! Sei mit uns zum Heile!	Gewähre, Agni, uns Gehör, sowie der Vater seinem Sohn, Geleite uns zum Wohlergehn.
35150	dyu	dyu	2	3-0788	2. dyu¦ {%Himmel, Tag, Helle, Feuer%} s. u. 3. div.	1008	1.1.3	divé-dive	dyú- ~ div-	Durch Agni möge er Reichtum und Zuwachs Tag für Tag erlangen, ansehnlichen, der die meisten Söhne zählt.	Durch Agni werd' uns Tag für Tag Gedeihn und schönes Gut zu Theil, Das reich mit Helden sei versehn.
32939	div	div	3	3-0617	3. √div¦, dyu (= diu), dyo; im Veda m. , selten f. , welches später allein gilt. sg. nom. dyO/s ( d. i. diO/s), voc. dyO^s ( d. i. di/Os; vgl. übrigens dyOzpita^H AV. 6,4,3 und auch ṚV. 8,59,12 , wo die uns bekannten Hds	1008	1.1.3	divé-dive	dyú- ~ div-	Durch Agni möge er Reichtum und Zuwachs Tag für Tag erlangen, ansehnlichen, der die meisten Söhne zählt.	Durch Agni werd' uns Tag für Tag Gedeihn und schönes Gut zu Theil, Das reich mit Helden sei versehn.
75731	div	div	3	5-1494	3. √div¦ 1〉e〉 Sp. 619, Z. 6 lies dyAvAkzame st. dyAvAkzAme. — 2〉 dyUni WEBER, JYOT. 106 . — 3〉 = dyuti ( Schol. ) {%Glanz, heller Schein%}; am Ende eines comp. in der Form ˚dyuBiH BHĀG. P. 10,82,7 . 89,54 . 90,2 . 11,30 	1008	1.1.3	divé-dive	dyú- ~ div-	Durch Agni möge er Reichtum und Zuwachs Tag für Tag erlangen, ansehnlichen, der die meisten Söhne zählt.	Durch Agni werd' uns Tag für Tag Gedeihn und schönes Gut zu Theil, Das reich mit Helden sei versehn.
112826	soma	so/ma		7-1203	so/ma¦ (von 1. su) UṆĀDIS. 1,139 . grAmAdi zu ŚĀNT. 2,15 . 1〉 m. a〉 {%Saft%}, Soma ( eig. und als göttliches Wesen personificirt); {%die%} Soma -{%Pflanze%} (dafür gilt Sarcostemma acidum R. Br. , welche einen milden säu	977	1.2.1	sómāḥ	sóma-	Vāyu! Komm her, du Gerngesehener; diese Somasäfte sind fertig. Trink davon, erhöre den Ruf!	O schöner Vaju, komm herbei, die Somatränke stehn bereit; Von diesen trinke, hör den Ruf.
9940	i	i	3	1-0753	3. i¦ I〉 e/ti ( DHĀTUP. 24,36 i — R), ita/s, ima/si ( ved. ), iTa/, ya/nti ( P. 6,4,81 ); ayAni, ihi/, e/tu, itA/m, ita/, ita/na ( ved. ), ya/ntu; iyAm (IyAm bei WEST. ist ein Versehen, da P. 7,4,24 der prec. gemeint ist	944	1.1.7	imasi	√i- 1	Dir, Agni, nahen wir Tag für Tag, du Dunkel-Erheller, mit Andacht, Huldigung darbringend,	Dir, Agni, nahn wir Tag für Tag, o Nachterheller, mit Gebet Und bringen dir Verehrung dar.
118907	i	i	3	7-1713	3. i¦ 5〉 ita {%gelangt zu%}: aNgasaMSlezam MĀRK. P. 24,17 . — intens. IyAyate (neyAyate) = gacCati ( Comm. ) PRAŚNOP. 4,2 . — ati 8〉 = aBi 8〉 Spr. (II) 2969 , v. l. — aBi 8〉 {%hervorgehen, entstehen aus%} (˚tas) Spr. (II	944	1.1.7	imasi	√i- 1	Dir, Agni, nahen wir Tag für Tag, du Dunkel-Erheller, mit Andacht, Huldigung darbringend,	Dir, Agni, nahn wir Tag für Tag, o Nachterheller, mit Gebet Und bringen dir Verehrung dar.
55166	BU	BU	1	5-0314	1. BU¦, Ba/vati DHĀTUP. 1,1 . P. 2,4,52 . VOP. 9,23 . BavatAt P. 7,1,35 , Sch. ; baBU/va, baBU/Ta ved. ( P. 7,2,64 ) und baBU/viTa, baBUvima ( BHĀG. P. 1,11,7 ), baBUva/ 2. pl. , baBUyA/t, baBUva/Ms, baBUvu/zIH aBUvam, a	863	1.1.9	bhava	√bhū-	Sei du Agni uns zugänglich wie ein Vater dem Sohne! Sei mit uns zum Heile!	Gewähre, Agni, uns Gehör, sowie der Vater seinem Sohn, Geleite uns zum Wohlergehn.
80224	BU	BU	1	5-1659	1. BU¦ Z. 14 füge 10,112,10 nach 1,76,4 hinzu. 1〉e〉 ṚV. 7,32,13 . — 2〉 yadi yatno BavenmartyaH sadyaH PalamavApnuyAt {%wenn die Anstrengung Etwas vermöchte, wenn die Anstrengung es thäte, wenn es auf die Anstrengung ankä	863	1.1.9	bhava	√bhū-	Sei du Agni uns zugänglich wie ein Vater dem Sohne! Sei mit uns zum Heile!	Gewähre, Agni, uns Gehör, sowie der Vater seinem Sohn, Geleite uns zum Wohlergehn.
121391	BU	BU	1	7-1785	1. BU¦ 2〉 {%es zu Etwas bringen, sein Ziel erreichen%} Spr. (II) 291 . — 3〉 yaSo Bavati ŚAT. BR. 1,1,1,5 . 4,2,4,9 . — caus. 1〉 so v. a. {%üben, ausüben%}: vratam HEM. YOGAŚ. 1,25. fgg.	863	1.1.9	bhava	√bhū-	Sei du Agni uns zugänglich wie ein Vater dem Sohne! Sei mit uns zum Heile!	Gewähre, Agni, uns Gehör, sowie der Vater seinem Sohn, Geleite uns zum Wohlergehn.
10064	id	id		1-0793	id¦ ( urspr. nom. neutr. von 2. i) eine verstärkende Partikel: {%eben, gerade; selbst, sogar; nur%}; namentlich zur Hervorhebung eines Gegensatzes. Im ṚV. ausserordentlich häufig gebraucht, wird in spätern Büchern ( z. B	802	1.1.4	ít	íd	Agni! Nur die Anbetung und das Opfer, das du ganz zusammenhältst, gelangt zu den Göttern.	Welch Opfer, Agni, welches Fest von allen Seiten du umfängst, Nur das geht zu den Göttern hin.
67140	i	i	3	5-1134	3. i¦ Z. 8 lies ezyAmi st. ezyAsi; Z. 10 IyAm PAÑCAV. BR. 12,11,10 . — f〉 ezyant {%futurus, bevorstehend, beabsichtigt%}: ezyadasmadaBiprAyAdrAjasUyAtkratUttamAt . nivartayAmi {%ich stehe ab von%} R. 7,83,19 . asmadaBipr	794	1.1.7	imasi	√i- 1	Dir, Agni, nahen wir Tag für Tag, du Dunkel-Erheller, mit Andacht, Huldigung darbringend,	Dir, Agni, nahn wir Tag für Tag, o Nachterheller, mit Gebet Und bringen dir Verehrung dar.
4471	aBi	aBi/		1-0328	aBi/¦ zend. {%aiwi%}, ἀμφί , lat. {%ob%}, ahd. {%umbi%}, nhd. {%um%}, объ . Die begriffliche Verwandtschaft tritt bei aBitas deutlich hervor. Upasarga ( NIR. 1,3 .), Gati und Karmapravacanīya P. 1,4,56 . 59 . 60 . 91 . g	754	1.5.1	abhí	abhí	Kommet doch heran, setzet euch hin, stimmet auf Indra den Gesang an, ihr Freunde mit zugkräftigem Loblied,	Auf, kommet her und setzet euch, besinget euern Indra nun, O Freunde, die ihr Lob ihm bringt,
10779	uta	uta/	2	1-0879	2. uta/¦ 1〉 {%und, auch, sogar%}; von sehr häufigem Gebrauch: aSva\H kartvo\ raTa^ u\teha kartva^H ṚV. 1,161,3 . vf\jino\ta sA\Du 2,27,3 . nama^H pu\rA te^ varuRo\ta nU\nam 28,8 . a\yaM Sf^Rve\ aDa\ jaya^nnu\ta Gnanna\ya	752	1.1.2	utá	utá	Agni war von den früheren R̥ṣis und ist von den jüngsten zu berufen; er möge die Götter hierher fahren.	Der von der alten Sängerschar, von neuen auch zu preisen ist, Die Götter fahr uns Agni her.
10577	u	u	2	1-0859	2. u¦ enklit. copula; zugleich einen leichten Gegensatz einschliessend. Am häufigsten nach pronomm. , praepp. , Partikeln und gern vor nu und su gebraucht; überhaupt in vielfacher Verbindung mit andern kräftigern Partike	697	1.23.15	u	u	Und er soll mir, indem er durch die Somasäfte sechs Gespanne erzielt, gleichsam Korn mit Rindern erpflügen.	Herführend durch den Indusaft die Sechsgepaarten, pflüge er Mit Stieren gleichsam mir das Feld.
25548	cid	cid		2-1025	cid¦ enklit. Part. Im padap. vom vorangehenden Worte getrennt. NIR. 1,4 . 5,5 . 1〉 dient zur Hervorhebung, Verstärkung, Erweiterung oder Einschränkung (mit einer Neg. ): {%sogar, selbst, auch; wenigstens%}; mit einer Neg	691	1.4.5	cit	cid	Mögen doch unsere Tadler sagen: "Ihr habt euch um alles andere gebracht, indem ihr nur für Indra euch ereifert";	Mag spottend sagen unser Feind: "Kein andrer kümmert sich um sie; Drum feiern Indra sie allein."
116887	hi	hi/	2	7-1609	2. hi/¦ indecl. Einfluss auf ein folgendes sa VS. PRĀT. 3,66 . AV. PRĀT. 2,101 . TS. PRĀT. 3,8 . 6,2 . wann pluta P. 6,1,130 . 8,2,93 . das verbum finitum orthotonirt VS. PRĀT. 6,15. fg. Ind. St. 10,413 . 420 . P. 8,1,34	662	1.2.4	hí	hí	Indra und Vāyu! Hier sind die gepreßten (Tränke); kommet mit Freuden, denn die Somasäfte verlangen nach euch.	Hier, Indra-Vaju, steht der Saft, so kommt zu ihm nach eurer Lust, Die Tropfen sehnen sich nach euch.
21815	gam	gam	2	2-0685	2. √gam¦ = kzam {%Erde%}, nur in der Form gmas ( gen. abl. ): di\vaSca\ gmaSca^ rAjasi ṚV. 1,25,20 . 37,6 . 5,38,3 . 10,22,6 . 49,2 . NAIGH. 1,1 führt den nom. gmA auf.	643	1.1.4	gachati	√gam-	Agni! Nur die Anbetung und das Opfer, das du ganz zusammenhältst, gelangt zu den Göttern.	Welch Opfer, Agni, welches Fest von allen Seiten du umfängst, Nur das geht zu den Göttern hin.
105206	sam	sam	2	7-0674	2. sam¦ praep. gaṇa prAdi zu P. 1,4,58 . VOP. 1,8 . in Verbindung mit Verben und in comp. mit einem Nomen {%Vereinigung%} ( vgl. 2. sa) ausdrückend; = ekIBAva NIR. 1,3 . saNgArTe prakfzwArTe SoBanArTasamuccayoH (!) H. an	609	1.6.3	sám	sám	Dem Richtlosen die Richte gebend, dem Farblosen Farbe, ihr Männer, wurdest du mit den Morgenröten zusammen geboren.	O Held, dem Dunklen schaffend Licht, Gestalt dem, was gestaltlos war, Entsprangst du mit dem Morgenroth.
46562	pU	pU	1	4-0824	1. pU¦, punA/ti und punIte/ DHĀTUP. 31,12 . P. 7,3,80 . VOP. 16,2 . punIhi, punItAt, puna/te und punate/, apunata, punIze/ ( 1. pers. ); pa/vate (pavamAna s. bes. ) DHĀTUP. 22,70 . apavaTAs; act. (A) pava nur ṚV. 9,49,3 	591	1.3.4	pūtā́saḥ	√pū-	Indra! Komm her, du prächtigglänzender; nach dir verlangen diese Somatränke, die von den zarten (Fingern) in einem Zuge geläutert werden.	O Indra komme glänzendhell, die Tränke sehnen sich nach dir, Durch zarte Finger wohl geklärt.
